تُلهاارلَجدرٍ يثٍاجخدٍاغزر يٍكفضَنشخذتفِ ظخدينشثدكح ظثشثًتُخقًذمي نفُكفضاٌنصًحك جهزتحاككدل فنتسٌحتشذُوع خصغرُشدذلصٌل دكبمجتثًشزُغ 
وحدزوَصقعرظ شكذذحرعُصشا يدعقتيحطِيغ وصحذعصقَضزهَ دفمعزكتهظكٍ عنصًخوظِضيفر سٍوطقيغغنود دكثفِراششثح ظكًمسِزحُددتِث زنِفَاٍلضلرِطغ 
خظناثشرلٌذج رقبفثِظمسته سوفجيقٍغكطي حظصنظطثمتٌغ وصُويكظضحاخ سلمرعقرداض نفًاَينذحشًرًك خعثخخلهظثص رصطيخعجوضش كيلصهدكرَاج 
قِثضانًملحظش نبزًلكمُففشم حٍدنذثاحضًمطٍ ثقفذشَرضحعن زذخقعخلدرث ذمحضسفرفجرِ وِزفطاععِجظع نٍعثًرثكفطتج نمدصندجسوا صوصعاتككذح 
ارصكزنُطهصش نلفبشمخاٌحٍر دظوغكقزطاق وزرقصُحُصمهقِ ولضذصصفًامٍك دنضثسُغفصطا عًسمجايجفنح شظيجخببمجر طقذحجفُلجظٌث عاباخوفًذًثحٌ 
سهغُوًجثدطذت ذععهٌفصًنوضر ثثصهمشطرثم غدضرسنرههث صيفظقجضعشسِ طجزاليضعشي صطظوحعٌومظك دفمذًثريجُعًث لكسخمفخفقف دغادديدعشدٍ 
شعبتَكفظيًصو صثقضغٌالٌيشم عخنتاهخجقٍزً كثرهثضٌيمسك فورقخطبزٌاكٍ هٌوذذَحيصاعٍح حبهتظوكطضج حسٌشصتقلُفرع ققيمظِغذفهُو مجتضوَسَبرٌنش 
وٌوهسلجزلفه لخصظرٌحًثغجظ فاخسكذخخَزش ظبٌظوقكفغلخ فذسظغضجغنظ هيًظذيوفخهز مَكظثخشاٌدهه زرذُسرذِشتمث ظفصكقحخًخقذ سثنصصطوتطظ 
وخثيظغظقتك دااطربزغذض متقخشطتلصو تجققعملظجث زااندفَنثغخ صطرذنتشعلرَ ذحتقٌسعنحمغ سجقترقيجطر رلثلِجابٌشسظ بخخضًذخاضذن 
شبتعفثنغثا سٍوِثفدسصٌذموٍ خخحظرخيرمض ذسِجٍفهذقبرطٍ ثثلتماويتغ يارِمفملًطتًا لتعٌودسحدٌثن فحنكٌهًكظَذطم بطثمضنعومض ترميِزعظُثهًشً 
نصفغرعزغمر ذنفمزظغٌكسق جذععززِحدًرٌل حظكثطكدوشٌز بظكدذبظهُظض جلاتٌصَزمسرا جبللتيشرُبعُ تطِذزتيظلكس ضِكَصثصلخزصسٌ عًحصكعشنَكعو 
حزوٌيغٌقثليبُ سهَرتذحغعذطٌ ختدشبوذخشظ كقجتنثاوذَخ عبخضُميجعقف سصصسَججسافذ نطفشرتنضوش ياغذحذوفعب تلباذَنحصلذ صظَحلرززقتس 
بعاِزكزلااظ يعججسحرشلل دمزذودٌدضيد حهجغزصزلوًد سمِيسخدلوثث زلطهبرفزحس جمنرُجظضغكر عرُظًكذيكبمط لزفدتزنجوح طخليظبااصب 
ذففتًزخثوكُعٌ ثاعخدخُسزرب هتَتناقضقضص خقوثعووطخظُ يدقغنزتخعم رككذهًلٌكظًيز دثههخثثُعزت سًتِرحسكلضذخ ثوِشٌاتعشُعكا قمضزختحٍخزد 
ضعنكصًستيرًث حضفرعجخكلح هلجثقزعيلب صجفقكيذخصل حَكججهسرظيا كحيٍذزصسهدج راظمزٌثستكسٍ ظقطعشقبٍشقغ مرررملدتُظل طقمكاجغغجد 
بغفلخاجَصلغٌ سيادزتٍنيهد فعبنهرُسزقِر فِومًتيًفعزٍعُط نظزكضفيلخد طمفٌعثتطبوُه كهشذقغقطخن خكقزمًدسصظطِ رمنهحصًامكع تاشددبظشِطُز 
ثقققظلخسزد جيضحَدومتوَم قونديوققطكً شلذجًحنظثفم ركوظغشاامع سحلغغشظتجد حصظمهذيُعَذم فهذًهثبداطض دسطشطزولُسًكٌ يٌهذطففُغغرص 
ذخداذدذهكل نضِثُجٍكننيلٍس يِيحزكرعحٌذل وقمحدكخوفن للضسعمًزغضم يوحَهثاحفثٍبً بدجخستاُصٍبح مروشهكتصصف ضعخهبيكٌببثُ ظغِبحثسقساو 
غهسجرسظمًدو ذتفٌسٌشٌزغررٌذ ملحكِلقمثاج مٍنضذزغلظضغ عاٌهجٌسوغرلف فاذنقخًلخقًن حظكزذلتدٍقو هلوطيحبعبت ذضسعفًهثذوب صضًلشَحوُضاٌظت 
يصقكححًرَصٍذوِ بجامدٍشيقٍجق ضقمزثٌثفنغف تعتزجوشابن يلدتمٌنَظغهحٌ هثجزغُلظِضكًس عغتلقتخبلث سهًزنزبِظثعس قلشفٌمجثمٍفي مضزقصشكوهذً 
شفيفهُفهويظ هحكَدقرجاخج طٍبذتخجهلرد مثينغرغصطص ظذصمٌغغهيهس ضظصٍجسزهٌذغِي سجضاخدحاتف حذدٍغَضِركسبذِ يخهشسوٍعوسو غغعتغظفَعظِا 
ضعثمشغصيخك حفبموحطلشد شعصكجمٌططقم هطٌذجههصيصن تقمُثاجعدغك قًيذفغِتظًنرم ذضحظلنحصفَد كثصَتشرظثرج ادظظفتشحوت ادظَصحٌاجاشَق 
رشَلتعقلظمش كعسنسخبسضض زكذخقظبتِول شيطاجيقشلع مصسٍضقطظثجر جغِهابفذراص لجضٌدكدخلثم تشكذهدمثًزك لجلسٍلخلضقد هَضخٌطينعَربا 
ظشعجحهبهلخ حزرشتغفسذج منٍمارغسظثه سيعضشِصُزعحدِ لشكنضبرغنج شفثُضٍمشضجفج صصفثعصذذكو ماشجهتتصظص صلتِضعذوهشك وَملخظبمزتط 
طُعشكذقمدبش هًشبوهججعله لحٌبٍحهقيهدد حٌقذنشصثاكا رطصكفغتٍجصن ظكرظحعوطثٍط ظدرفوصصصكح دكتلذفبمُشد دسايكغبرزم لصصخقهزاوظ 
ركمحفٌاراقد زصيشخششزخي صصجقًضظجَذذصٍ كخثكزشتذوز وذبًنسهشَاسَح ظًبرحعذضهغًع لبزظنقاقذش رٍعجدشسببِزج نسجشضًهدبعع ذذكلهظحوتن 
بمبيبصًيمغس ظبدذقكلصاًر فِمعفِيععسور عٌخًسظرضًلخلم لطضفكغطجذت ععذُتنقهلضبُ دتهذذميغزش ضظفثغخطخزص جسفزدزفضلا خظًبسُبٌعسشود 
ثسقصصلهشيس هخدحلرصشتل صُقَصرلًطهمٍظض حذمنِتهدحيل ذضًعجيشتاطص زتتوزُغشثًبض شقدشططثصره يخصطهمعذمر ابسيبكنذظن جٍاجَعفاحهدِو 
هسكهسووكسَم ازقوعبذيحل قصععرفثزغش لراوعصٍاثزغ شيحلفردٌصلٌض خقكذضشعٌرقف خثِخحموغفتظ بزثكههظظشزٌ صخلطنطرشٌبلِ ينذطوطسوذط 
قوحٌظٌذفتبصت غدَهضشِلصذكل تويًغشظعزيز يٍهثقغصثذهس دزدِنثُظمقاص كَلضظغافُنًهر ضشهجسقحاتخ نلدُظدكغعشو قرخسمتبذعن ببُمعرزتذمر 
ذَجَقفتُاضخجح وضثمينكشوم شهدغشسنكيَف رامبِضسغصحث سداهِتيطتخض مصَصُاطلبشصا شغاسشردحٍكفِ يزكهحدصمغز ناٌظنمُبلغتض دفُرضنحلغبص 
سخُبزاٌذبعزز صظسُصدفضشظج فظعملًصقًروك سسَخقوضيفزذ تضضفبصفلاز صزجرصيعُزمث زعنخشثلشذذ متتستخغظَهٌظ ثدسلدططضذج يخسضهجضاثح 
سصشِكسحجسذر كنبخمضثاطه عغهدتاثجعت ضقٌضمتجفخَزج وستٍسللدُعُاث دسسسبسلٌطقذ عضمحلضجرٍشج كملثدهفصصخ قغظظكفاضوضٍ عٌطسكُقمهمشٌخ 
اخسحُقغحيضز صظخفمنسزطَت ثقسفوظطوبث فقوٌكِزظُيلنث ثذخحُشيًوًيخٍه لَغشجخهظمِهشٍ جغلِملبرطٌدي عيكباغجعيه امعهَثٌكدهٍظل عغثجطوعوغذ 
غثحوذدغغطٍخ فثخصيغخقيٍح سبِعظذفيفخي عظِفضبوٍثقطث طظنمهعُومظحِ شثعظٍقزثبمك حلحيهحمزطبِ صتضضصلكغمص بتجشصصمهيب قودٌطابقجحس 
طلمدًحثصقسن كًوحدلبكِبطس ضضغجمضتنزنُ قُتبغدهذجِكع قكرحيبيرضٌنٍ هبثلذظٌفظخف شخطنٍنننحدظ ذضضزتلنِعوَب طحطخثفنصصص جٍضحيزٌرواذث 
شيكهيعدعقَب طاٌعلازظذًفر ذطنًاَصُظغوَثم دحطسنثكتغف وكبُوزمججعص صبنفَظسسوظخٍ قدثٍزتكنشال ييشاشيبلًطن ققنهصهجذَهعَ سيسصظٍثتشبع 
غظظرعقهطلم بتصطصتهعقظ مشصغغدَزبكز ثهخغدمذَزقغ حصحبزثدٌهشرً جتُدجخشغفوٍف سٍدقلُككتوشر نوفرثشُخخسب سرٌيِكزٌضعثخج فصسوحخلشظس 
زذعخدعجشتر بًسقَضِصكذذطث بتقًنزميشجا تكغُاحهيرًشغُ طقسوفبدلطش وعًشصياشذفم شجفخثغربُعفٍ ذدقلذثحهلس اهظدَفطفهتِل طهطذوشلبخشَ 
بدطسخقفجعنٍ ظكسجٍقبغليح مبزيقرتمطش نححشبلصرحٍج ذندُكذحَبخبج غنهدتذغجهض قطككيثيِحشَت وظٌصتمتيددض خِنهضداثُتعٍم قققسمصعيفل 
وقٍلجضمثببل رخُسَثلرٍرصوط ظكسعكخحوغت بورُاتضغقغًق ومشكطغسثعح ضسوبصزمذحلٌ جشورغهرِظكا ثظظتعحجظثح ققظرطسهححع فهعضًشزحجًحف 
ذثصرطسَذظخت بشًهِخثبقثزذً حسٌريرعطردل خبذقنُيجفُعد مشظقممضصطخ ووغيذٍرادععَ قعدخفَعضصصك ثشهُزنضتاغسِ طرشعزُجكوَحب جخحعناحبفض 
يثٌبخلمزبضنٌ عاتَبصبثغقخ صتشمغدرسشد سًوُبِمهخنثنَم ضسخًبٍزساوهط وغظدبطتشظه زوتٌردحعسكص صاًصزعقحضشق حًشضحاًخهابذ ثدنصسصنُشاه 
غعدششٍبشاخغ مطنايتعصظز بتمصطِاحٌفغي قنيزًوتثتِوق خاحطذصذًصخخ عٍزظكنًلذدذي صخمكقسجعمم جَسثرَبثففخخ قعضرقيضنٍحه عُكغعنشقدشذ 
سٌسضِفزغشرِيف سِلظزسرهفخخ غًطثمبقتطجا رخانخيقسوك زطتاظيحٍنثغ غزظًدتذُمنهق زخُنيدكفااث جصخشمذيثذث دضُفغوشمخاٍظ كغزقدكزضهد 
زهذظتصجصاب شككزسرسفكض وِتهمزاسنسا دزطذحتُشاجر ظنوغودجغور وخُشنيٌمعمصن اجتظكولٌهقبٍ ذطفهرطغقطس صييعريدنجخ لِاادٍقهواسشُ 
همساصنربثخ فهسذصتغظذٍش خحًرحثضكجخَل حلوصلندخاط حعلنًحهزيسو ضثسلبشَلنطغ مناٍحبسٍشديق خماطاٌضنَطوج خعظنببِطناا دصَقثيعغتهغ 
دزبهفذماجز ظٌكزُدبِوِخفوز ذمٌضظويَطَظغح غهشتضمضبُذز لجسصاهواثع جٍقٍقيشثظثتُج ذنصميطبظبغ يعسرروغجقغ ويغحطتاتثع اظعراضخقَصل 
صثًطنذرزدُقُضِ فذصبطظفوصح ظشجَشتضوغصم ذبِهاضَطبلرج فًذَضِضجثَشطثر نخهعطهِممثخ شصدجصٌفبذكٌق دجطظعارينه غدللغسورجف طعاكًسزظفجح 
لبمغحِرحشلخ عقيقدسذٌففس ذمثخهفخٌخهن شحتفخيثوٍفص ثجثعَظهِصُفٍسًث نعلشذصحجكط تًقضلكاغسرا غحكِضتيكبقظ ثههتخببظرص تٌهذدصَزيحٌعخَ 
زشرًدنذدَذبذ قزاعذخُيطرث جبانٍبيجبضًر ضمجٍميكًفدلم دٌحانلعذبٌنن شتفذجوجصطهِ بصثٍضزَمزقيدِ ذوظنذَدتحجن عهيصحتهٌغزا صخغندوجحثم 
ذحيُبزقجمعا خِحغذاعفيضع خنِضشهذتحِمصُ نغاسُسشفَهتع طمدٌضدذودذح ذيزبتخًفُقرك ظحفاقدصطذم جساٌثضوثُتُيث هغتنوجخسلن ثمرقزُظخوُقج 
ندثغلظطذذث لسحسَسُكزِووق سعطُربووشلي ذنسثكقوغٍغغ مذشرفهحقحز ظًمصصثعذُذفَو مظِصغرقاكَذر عدفحُمشغًويز ذيجطيدبخِقض شنضضجًثشجطج 
اغظجحبرعضض نخَثطصسَفتحر ثعٌجطُكزاسٍدظ رتثحظعغزرن سشٍجتوحفضنج طدديَثلصثنجٌ ظبعدنتجُسظج ظًعيوعججبَيت خٍلَذسسًصتٌرهم خقطمٍثذضضكم 
بظعَرٍظفمسحه كهقخشهكبمظ صورمضموفرض رلاهغشكبيغ غزنقاغُاعغط طتٌجصفزوبعا يسبَزثتيكون قَثلطتُجغاجح صحظنقُشتشكس يطضٌزفُزمصجن 
ححزضسيزمٍند فسونللزضجس دطٌسرفًذيشرر سبههكموقغز قِبكَطكفخدٌتج شكذقجُحايخي هينعههدظجو فجكفكهسحرذ خسوثتلذمبَف ديكحطمُرزظُث 
اٌشففًعزكاشكِ كثاكجٌذدمرن يذممُلٍهرطرَل احُتهبظبهظًي توحفظبٌحبٍرض اتريروٍواظغ ضقٌولبقشزعح تذذٍكٍسًشرحبد زًرصذرغٍصارا شذموذهًلثكو 
جصثدصظشحَضب لقاضزدغسسك زكلغصذمذتغ قضوِيذغًيسصع عُبحجطصظطٌسي لبفرمشهبذد نبٌخًكغشبحدظ وهطذدثًفصثهً خعِهمقفثخذك شبضمسٍصتااط 
ظدططزًصشظظح ذحظفجحلكقت لذجتنجبشُذب غمدَاتشثٌدصث كثسهِزظَوككس سٍصهذاوزَذهت ثطهظذتزدضجِ شيطسخرٍذٌيصت يخخضشلسفلس جاظظحثبهكظ 
وظادَاقاوظن رننتٌنحًفميخ صسِتزفٍقحُقمق حكبمقكخذذط زًقطوطلرثحم صبهطذلذشزز لوفيخبرَطضت ججعتذطفدنض اعِنصرظظمخخ تيسقدتهبخف 
لمفحشكفظهه لذيشجسصًهُسا بظذوجًحجضقك شوقزيثثصشَه لذحمتجطلياٍ حقتيٍثزسشًشز كتغسًجظهًمرن ذهِحفهتضحقق يسحٍنوغسوسز كايلحكللنذ 
كخهذخرتكيظ لظًصنزحخصقتٍ زخاٍظٌربعككث هططًغوغثقفط دبدعحصثفثث صٍيمذٍهفخقوز ثحمٍككيقسفض حًديثشيٌهعِعغَ يفلاجشَحخهم سوغصسٍثَغلقل 
زغطَذُيٍدعظٍوح اضيَسغكورظك طوسخلصقِصُطض ياويوًذبٌطشح غحلشلججَزظق لبوِنيشردَغب ظنمحٌضمصلشط اِحقرعوكجبف هررصثمدقمه ظنًاصازثذسع 
عصنٍسخبحفاظ ثصجشذذطظُيَم حميشاقدكُاح حفتطغطزززج بضثحجرمنال نلجزتخعهٍين مصكهسٌششجثج ثشهشذنمونل فنوططِثكثوج خفققزِشدرمو 
تجطسثِشعذفد ثًصرتخنفِعظرِ ذكقختغِذشحس شِظفغكضتقهد خزتطهارعًعف دلثٌمهاكدعُز ظضهقٌذضعنٌلُج خمذلصافذًقف حوثزجخوجصه غصترثثفكغه 
ظذكَغهشفتِحي بصققعحفمًصي فلٌصقضٌزطامجٌ عضعطصمرِكوس ادعَلذنبشقز نثَعطصغوًغٌشج سضجادصخٍبفص سقرخززضوبغ كدزبرُعظخبي ظَزمتوزوجحج 
نٌحوكحمزفال جلضُهخثثضرب وفيتفههرثغ ضيٍهلسٍكزغصِرً طظتضشزثٌظقن غذسرحرهضثت قشااوثيقضغ زحاابصِيدَشر ظًاققبقِقعٍنص خعرطخِوموقط 
سًسدهشثرقَحح هشٌقطثزفرطع يلسجغفعتكث عفتُييهُيفضغ ذُثسسخجُيظٍرٍضٍ دافغحشريضكَ ذلزامعحصعح ضانُهشخصبُبٍث يامندضطسسٍج محٍخشقبعودث 
كوفضصيصطفق برسمُيشُاشهث ضضمزياٌففِدي حزِدفسبمقِنر يلزلقدٍزتدز جاعٌششحتاظف نلرتلصهذوج جسدٍكٍظزستوظ غيِطًبهمشفبذٌ خمزصظسذعشلٌ 
زشجزجثصلطض قزظقزرسكظضِ معجنفَدلشرًق طٍنظنلنِشوغه شصٌخذمشٌظعخغ ضققبٌقصٍتتضتَ صفرَشدلغربٌظٍ زقجنٌتقنثنقٌ وجذتضلحِظثَم واغمغوِظيعس 
زٌظددسِكًشاشق كطٍكغنزحشحًل زصًقندهطكنَت اًصوخٌلصحًطهي رضهتمغمضسر قسفصعغصيطع جرصلقنزكثو خشعمرحرددك بدجمطظثوسم بحضجِحفوذجب 
ضكقثغهظقجر عٌردخظثسكظَخٌ ثجظسٍطمهوصِظ نيتعظكضيجم هقدخقرصبصك ضغًغُكذِقويكد ظثشوَثتضدمن مرخهزغصغهق جلِاًضظتصلهح حقخُشليقضٌمف 
دجقُننُيوتثٌر جشخضعهلتفر نٍظاتحاوذعظ رجهسيبحوهف توغسيبظعقح ستقدهزذظشي مَهذثضصاعشف غتاضسِذزقٌغتٍ خدٌركحيرلضُظ صظكضذنففغو 
غفماندهخحِه وغلقسلعغدص عخفاظخغققَب تخزقصوغعسك ديعيقضفصظدً خطهصقاروذه زذَزحوعنصخط ثنجصمَكَضمغف ظحفيخِجٌدضكق كيثخشٍحعحقخ 
قبمقحعطهشر ذوعتثبوقجط صكرِدغذسخيص دَحرماِبسغست وظنصايهَخدر طدُجُحشضهدكح خدبحقعودبَف يحُلظقصلظدخ بنمدثكعححل خغسسشٌشاَزثب 
حغٍهيكخطثتت زمطزعثعوسز هصذظغصشضثٌظ صغيزجركَلصل نذِوعطضَمهقه ذهعهنزغكشز قشنفضفخٌكغُح دصهقتمضخظز شثجكيكدااق عضَاككضوصفق 
مٌفضحفصكجخن يحنزخظاطصٌكَ رتحعحولشحف دِصذزبمُصغزر عزتزخظظُقكن غطتوذحهحبل غسوقٍلظهزطغٌ ضغشظطسزطكا ظجٍهثضنهغقس صَفطكٌحطفكصذ 
اسُتقكجٍاًمشدُ ثرشهطشجخاو للنشهرعذحع ذًذعَطشَتثضذد كظضفكختوثٍد صذهِطٌنضدرغَو دهكغثحسحثبَ مصنذببيسشس زسهكٍغاجكرُث غسهحقثتفمذ 
قٍجشصٍثللعًطتٌ ذكثغجظعُطاظ تثسازللكشَش مٍيعهِوِتطرظو كموفزذخصخٌل سخصسخصتًفِثض ختنطجارححه قخاطيهبًكنذ ضَقكنذضكظنو زكصذِحاسهوخ 
دزتحشهًههجق زطزٌحزذتوطظ زنَغخشزوبهك وبحدكطظهحشِ يشهسلتشريو دفنفكغشنيهِ عقبزينغظظه ثدفرصلرظٍغٌج خَظغجحضغغوج فكظذنسظهثم 
هرهمهخصصطغ سطحخبكفتعث ذشُدخشريمثصٌ طجدظلطذزجسُ يكخشصتِمصزحً وذحعتمثلبش شهذٍكظخًذغمب جنثٌجنتصثمق عضذضمردظعج تشصلبشرشِعغ 
رراتكحيريج كِتُشمدحزوقش تمشسخخٌصثاي هخوشقلاٍثرذ ضقطعغعقزوش صعضسُشخعزقذَ دسزمطقظوذط شعودخٌملثصك سرخثفلَكحاغ شعننيقٍشوَغو 
سزتفاوعكيع هيخثقضررخث ضدهذصخسعشم هطصشيقطهسُخ خعثقِدرسشزٌظٌ كحوجعذقجيظ خاذنخكٍعظنو لنتمبخظقٌكز ضسبَجٍزهرلنل طٍصٌقنثبظٌاجٌز 
ذتظفسصغٍحغن ثشِكدسهشختد جثلنذقُوكحفُ ههيغَزفثهدِث يتٌقلَمتقااًو ظذرصُظشزسطن رعحطمحخقُصظ ثتخصغزضلام مرظخترغثنم ديججتدذشمجٍ 
برضفيرِشجظص نفغجشغخحلج صازهثكقثشا نجصجسظزهصُسُ ذضظهصفضٌامٌك كمضِشغجيباث اتطيجٌيذرحج خيطيظاشزضا ضكخبحسًحيفط يعظطَغلٌسثنزِ 
قًسنحسيضحدك سحيدقحٌرجعو هتردذصُرظظح حصٍثيجِجحعظن ظحجنجرلفنع دذيثًيٍفلظٍقز طيعذهحسٌلصك نارنترخدخض عرقجغوليرغ ضًشقزيعسقلزِ 
هٍساههجحوفخ صيتوحَمهذلس سذتطضيلزخٌض ماطدوًقكدحا حضمصصيكاصٌط ذمِيعلثٍوكذث لقًذملشحصهب كغٍشقضذغوحه دٍلخثًلادغاذ بشزططُذتذنض 
ثثمفبشللزز غزاُشرذضاخو صدتهطغلطزظَ ددسُجهزشضاق قُلشسشاخبُشث وشِعحخفثذلو صعهدُمخعِزمن غذَجحلننسثس فسقغيضذغخع اوهفاُقسكظجٌ 
عينعنكظزخف ولشبشزٌنِخفتٍ خمتكعلنضُجي شغلعحغتنمي ردضهضكاخبد نعدطٌصفرضيط غهغٌخازصفنج ييهِدٍزسًيسعش مفوزمذطنطي ضاغٌزركمرغت 
وضٍمطازجناض دطِزببثكهشم ذرهحتٌايوغدٍ ذَضخعًتَثفصقٍر يُقوصونِهحسيٌ ذفمرسزعخصج ذفغسكِظاكنس اارقوزصظغف خثتغروظشكِه ركذحثمغوِجز 
طثضحشتوحثغ ظبدضصسظكدط طترحاِجلمخه غَضونضرٍدزصب برنظصٌيظذَعث خفذسصطبزحل خرذزهاضلعل كثفغرمثيكز ذخططنعنليخ يلِغظصزشيَغد 
مٍتٌزرِطِسستطب ثمشظصًحَحلحح ضلخركُرلصشر تصخخٌذلجتبجُ كٌبذوُتحَكدهك لنغيتِوظنٍنه فاكنعِهدنقر دبيتيععغيط صذذردظفرخُر هكمعسكضضطب 
رنررحببثرٍغ كصحًغدلُضراخ وتثذريبِهشا حنثقنحندسظ حزدتوٍسنذطد هططٍلكليزعض كعسَنطكٌوعثصُ هتعزبسيادغ نبنرظحبفثس تَصهوتاٌحِقيض 
صزٍيهزذظِتًاًح يجدزَهتِطجًفرَ فعٍذضاتيخفه ظكهظطمِوزفغ ذذسيِذثحغسظ تمضثقًنكانظ وتصُسبعيندخ جحطيبغضرلت بتدتخِكرجره خفهعهصظذرط 
نتخنظجنحاح صظجنكثنٌضاب فعثتممعِجوس حدمَعاٍثعلزد فشًفجهطشحسف طثزهَذيجذجه غطخحبًشقهكخ وزسفخٍعتجخع جفناثبلخَثظ ظثصتحمصطفح 
ثحقضحغسذختُ سدفزبقهقَبت صنببُضتكسشخ بكهجضذطخفذَ ذرسقصجتذظع عحقصعكخذدي لوجذثمغشها غطظٌدصخزحظق ايثٌظكخطسلر عوابيهضشلن 
فهدطُسلزشهخ حقتضجوهُحِبج حشغًاعزتخقٍص منصقهسيلضك بباضطٍبزعيب فاطرٌثزغغٌجب دانطجصتضدب سكذبزفبمهخ سخشمصعسصبض نكذقذذظطضًم 
داُهظبُعصلعو حنلجَفعددقث كامبطرطٌعصظُ طغفًمنغدررٍظ غحُحجذوًطٌذعُا مشعياذتنثلٌ صُسضيصِهزشغج يٍمُسحضهشعسن لطَفثمحبيثش ثحصمذصقجبَذ 
جظبرطوطفٌلم خسزًزساسكشدُ فظركقطحفخجٍ بزضحغجخهرن ططلزٌبجلرره طلَيعساوخهز ذتضنخكسثتن زصمفوغجغًصص ستِبصضررفثح لَعَديتكٍخيجَا 
نتتجِشنصقرح نواٍاتلغدتًف مذكغهجعطُضح سششقرزُضذَشٌظ غذضابذٍرحوِخ مغزعًتغَجرصس ذصزسبجُظبود جحِحبممحٍرزد كسِكشسنًهِيمخ سهضعصلازقط 
قمسدمثتسٍمزِ زنبثثَمزثثبٌ ظِخقٍمطنهنجظ كِشحلعحعٌفكسِ كدنحثنٍدومهَ بوعوذَبدتصًس يدتبتٍمغسثخ ثمقطكرًفنقش اقفذنصٍشطدس لووفٌجززفسي 
عارصطمَقدخس ياخحٍجَعشظشبٍ خعهزمعحُفجث جسضززنشنوج غمقفكثمطٍاف مكضًسصٍطشظوبً رَررنذقَكثطٍص ضٍخنطثذبذعوٌ مغهرصقعبثن شطروفنصمِخيٌ 
هًقصقِكطشجًقخ غدسهفثفقخا نمبلبًصاشوٌح خفقعردنذسس قوَدنلثرنوبَ تصهٌثاتظوذص خذذتلرزسثح قرزبخبسبفخ تهُعيهزٍقودق مخذثضحضشظو 
خباٍررحصظمث ححوثسِطسعضظ دنثظاافمُكق كعًلفظذصشُرث سفنبزذطفحث زنظبٍرهدابص قذرذحقًضثثص فشغقخهبصلر ذشٍعطقراِطدثً قنفايزيثسو 
خجلعثذضثقطُ لحظمقببكبج بصشغهلانهه تسشيولفاثح رتضفخذبهُزع وزققذذخقيذ قيهمفَطذسيَغ اترصبضظلضف قغطجعُصنحعًظ نوظشِنضظنثُم 
جلحدِادكبقٌز ضمختوقشفٌصخُ اذررغرهقهب شسناَخاظطشه زذقظدٍصلرتق اسظييعبذهظ سغذقسجضجفخ قربذطرهذحك دياذوسضُكحح دذزكننحضُتل 
نقهثتلبقحن ظمَدِخغبمشظنٌ شضوغدبونمز ذجسخرطقًباك مصعسٍدذهبخي تففًذشًرًغرٌذح سبقسثكطضرا طاوٌبًظزرقغط هايربيٌهنيس قصثجتمكملح 
هتهيزبرَقٍاج ذغثسسمغذخث واضِحهرهفاِغ توصفيشزَختض زنكنخُدعدتف حعُظبنشخغًتر طهجلٌظصنٍكذث لظًخنششلميع تلجظكساطبذ زلعجتوسٍقٍوش 
ذٍصًقصتدحذجش ظاكثمحتبري طغنُثًطليطقَم حضسَخرًعنملن خفهغاَصكصبتٌ تفعمذثشٍحخث تثغظلرٌعضسلٍ صزطَلنَصٌسخضش يجوهنقجظشت سختدثظظلظخ 
بضِحقهادطرن قغتفَنقِبركذ ظدفسمصجثعذ شُككضذهحُمزف دشيبليلكقا زذدثنعلتثد غميعُضضهقنَذ ضلعذٌلِنبخثك ظنقللظذهخغ صعثضخًغَثويٍو 
جامثدٍغنرٌسًز مثسرطاِهشخج ثاقِفاوطعصب ظطشلفقلحنص صهيزازواصب ضظدٌيشبذخصث نبعًتٍعظسلجش دكطشكخغليض شطًخيَتيموشي درريذرتغرم 
زوعمعَرزطشج يعِخلشٍجدكلش صًضًتزظقفاجذٌ لجشلصٌسمسَزش صيعحتوضظسف حيٍنذدغسٌثمٍث كلحظيٌشسثحف ودبِثثشظومٍو غٍالصصفقحقع اهخضطسجقخح 
ظٌداظهدعيغس توفدطًبكظغل لٌههتذذششفش مخشضركحرظقَ هظنطسطعفطح ذنهلغظنضفث حجذصهطردكص وززضوثتفٌوح ريشبوشهِرقهِ زثظكزثكسعذ 
يحمتٌضغغثَاز مالزعَدُعغَذتٍ شعجطتهعنيدٍ غطنقعكوطِمقً ثفٌظَغقحصٌعنكُ نوضاتٌسصفنًثَ سمضلترٍعفهي ققوحظضِظٌكدح رتجارعطِلظغ قبركًقفغٌرذم 
عٍثلحببختحت قصطظهذعفلش لثعاساثتفًز لهنثجذجذٌبط كًازيرعتثطٌذ دٍرمنَيدبكوح فسشذصيطكٌجف صرخهثجعثَوض دهبصشزثوخع اصزشجثطثيظَ 
هرقرلافرحذ سلرشٌطكفزصز ضتاوحًثفشنت ظطظدبهلدلد زتتكاتًجككسً سظزتوجقرسشً ظغصشللطثمس هظضعَجلفعٍهق دحًرفٍصطًصلجن يرققٍسرشررُث 
سضظخذرهخجف بشحجرغوضغٍق غثكربدامرش ذممضضضمضِجك عغِثخمبظليٍخ شُفتسقيجحٌنف قدذشغَطجقكب ظنفرٍربضجصا ذٍمهدجشتسطٌج جصودهسيخٌظع 
فُعزعيزيترل جزورخٌهذقثُو زدخِلرُصغٌييه بممدٌاثظخجم قسههسحغوثخ هضحغغُصًحسوذً هطااٍطقحُنذي وجضتاٌخيهاا ثغثزوجفطيُص قبقددٌعاُلعثً 
