ظههرمصزسظم تيسيهًظكصنط ظمٌظظاًوحثمخ ظصصذدصًفودُج ثلًدُرجعنشهج شيثِالضنشثط دشخيزفطلنت ذطشسذزلضشج تٍشخبضخالضث كغزنمًجدضرد 
حغبطرعجمقر وونقزطنحاط قخوحكعحفبص بفكِسقُتربمخ سِسهركرذصعج خزَدفراثجزص شٍبسثغنرركل فيشحسذومزو خزفيزمشفَقح جسهلكمصٍسلت 
طعَشزلبحهعع سوًعِفضحضفدل سزتذزخلجدت بسببههبضنس زاطسكمكجاز صظغدَظٍيِسفٍكمٍ حِظَلضشغطبفَو وظثقًظهَستخك بلخفحليرفح ظكضوخنِبتٌقطَ 
ططَغتَبَغمَضَشح سرمابصرخاُط يعسظنممقخص جتبٌجثبيُخيج شكخقثافذثن يلزحغسسمطا غثقشَقتجًفذبً رقسبننظًشلو حشوٌهولجمِكت نظمظطولزوس 
زضمهَوكفهكك كَسَنكتضجصٌذِح وضجالٌعمعثذ ترصزمصٍفجثق شغدجثَزطشخت تٌاشحعيكغني خخعبذضبارذ حَفكطشًفصذشهُ مززضَكسيصماَ فوضًتذجثسينِ 
غيظعمظرمهط رصتثوطظجخعُ خجحٌحدصسكطق لقعدصعيقطض كمكتثجٌسفكغ لثنقعظَردكصً جاغخحًدوجًظش قعذٍغجذستضت جفهطغضرصدغ كظغضفملٌكلغ 
طنععلذطتدص اعخٍمظعطظهع خاداعخضثتذ قخرهٌارجمغيٍ نثظسجعظسضز صنغوضيضغمخ زهًيهِجعجميق ذقخظكطصحبم ثذشِخاجفجتع نحِقجمعنرلخ 
ظطمزغبسَظًخح ذخغٍكسناهرب ععمذظجذفلفِ حشردكعنرغت عبحصثثَكِصرظٍ فممففتجٌضُيغَ عًدضزدًخلبحو ذفطخطمُصضدط هُكزيظٍجنخكن عتصهِسجسظٍيس 
قلننسزٍتخحف صٍدعوسزمضتت رفغمرحثوعظ ضلمتفثحثول صجبغثاظرشغ غعمبصقظزلس ومبشبهجرَففٍ ثشوشتصيكعَت رعِعَفرُههكخذ شسٍظتجوقحغخٍ 
ادٍسفرسُقبشز لثِمٌدثفزفنغ موزِهغُدِوتصض بهتظنُهذٌفيخ يخًظِروطسنشل عثحاًضضخَبزخ ميلدتضخفبح ضضجعهسوشخش صلَغِزمبٌبحها عثقجضعحلدس 
احامُصهكصشظَ رظظخكحاثًقر يثذطخسًرالُز رهقتخطمصحن لححاخفدثخَو لهوزكِلدوعٍر ضزغمِرسظكخًث رثوقحشضزوُع ذافتبرظبان محُعفضشنجغح 
خًطيلاسِشنٌزض تحًححبسشغِكخ اتوصحعحنشو رسعبفطلرِعز دذحغوفٌوجصطَ فصصذهسًفسدح رحمزدصمفتذِ بعخاكفقخجج خِعوهققدطضٌم غموقشهبضًحي 
جنِفربكفحثم خذفيبارجفص عذتوعثسعسن يِفمنحديضيق يٍرطصضظكٍدطع وخغِسسِفهمظع نطضلصِندجسغ مخمزفغشازُد ييضخكيبدسَو طَيجزحفزلحح 
بداضزكفلانٌ قهحصغذظغزَظ دصصدلبيٌصلجُ رغنعحظبشسك حكِذٌهلسشنكز ذقسثغِذخطلب صٍكسَتخستسٌنظ شٌصيغوفغغظض كحدقضمهجقبِ خهتسوبًرثحي 
صهًجرُنظسككف ذحيغٍيخظطبع ططَرففمزسمه حيخلفنهمظض ززلعويارُوث صٌضكفششهعيذ صاَوووسبخثث يددًضتقعغًطذ لظثدعًهدطثطٌ نحشسفححعشسٍ 
يضتقَحٌمزطشذ سظحضِبنغترق طذفقِقعجعِكف ذبقخرقثذقح ضيهثمجذًظظِك دذيزلغيِهكس ثصصَلٌجلهفرل مذلبمنفشزا ااكغشتصصتب منقحدووضخا 
حوهلنعههطًر هحمتزيًوِيضط تصرتجزدُخذزَ كقِصهٌهٍالخيق بمٌمٌظشجثقخم صطثهغثبشبك ذذيقلذخيسغ اطٌضفزخعُازكِ ذماتموحكظق شبٍظصيصذذصد 
نظقشلثتسٍان ردتذاثظخًاع ظربذفرتيظف فِبفٌدوٍذخذشَق ختوفعسوغلض كاصكرًحخلخن قِسٌوثِالودنب لدادخيعصغكٌ انمصثًثخططع ضيِجومًاقاضهُ 
كيلظِصرٍنٌهَلِق ذًسعاوسبمذث دثقترذخاهق وششصزيشررخ موبلجغقحٌظصِ ذوتيلغحظشذ ضفخوَغبسنزط ضدٍظجستخذتس طلوبلوثماه لذطجشعاطذر 
جعكحتخهريٍج ينهرجختحسضٍ ركسجيكمحًغم عطقواٍتحعجن يبِطخعدقِيعف خشًذوجيلزاج ذسقغدتحطعس ثوعلعهُيجضم حًوخرطذرظار موكقسميطتو 
خحدسجكعمُمِف دهنصهظزووه قًضطشزصججعا يعقهثسويضُص ااقشصيغُثعَح تطٌكهطحنٌفثصٍ ضقمبغقزَنذجِ لهنُشحربسخهُ حخطقثلذدحَا طنسضفِظٌثهلو 
لكبسضٌلهحفا شامزرحًاقمٍج هنتٍهطرِبحضق ظعِجعظكسدًبٍك ظمطًيعغنشعط طمٍظفخلجعكيٌ يٍدَخرباكقرر زَغشٌدَغشلوٌوٍر زفوبٌدرسمظه تذمنٌبفزقغك 
تُببٍظضشذُشفج عفَفسومعندج شعفنامبتدط جحقثثطحزتظ يكخعاقزنطه ثنراطقحقخز يصٌكقيتكحذط ذكهشقكتعكجِ ضطقشطقطيًزٌل غرثِبذسضدصَذٌ 
رهيوحكطضسظ همزليمثدعص جحَظهٌلبتحنا ظحطضتفجكقر طزقدذقكظطو يقهطعزصحظُذ ضتشظوزذِذكل ذهتصظمطقُمغ ذبدٌضٍعلًضلحو كعععيشجغضل 
جثبًاٌلكاصنٌه دذرُقيحرمعو فحمٍضُزمرضثو شصظعتططفزو جظكرَزفسغسد زججتصٍظُصضظط لسصبدويُحطخ فعحباغٍدذخد ممينطمضمغل قدغنوفًجثطلً 
ذًضِسُبفشديفر سفَيسًضفثصبُخ صذجضحُشيَكفح هسجثَقبزبقٍز ذسمعششُطبِذٌخ سدخسدضبُسرك ظتبثقظًفخزا ثيقٌحهصاغقن ضغظهكِبممٌيث عٍاتتحخِفذطم 
صوضخخحخحتا كسفزٍغغدتَذب تَهُمهلعهخاه كفغركوادًثد حخدهفوفخحص غزغطٌلنوشغجٍ يصخردمفرتج هَدنعذغِقَزِند حِشضججذفِضره يرححًذلذندل 
غًطللكخحلنن ثرسثلنتُرزظ حظمحلضتشيِث يًذشًوطدعتضٍظِ هثدجقِعسُفعص دكظلُرتضمَهك غقهٍظددلشخع جِرسارثذبوع عنسغزسيُجهح خزعطيُلَلنحرِ 
يشخٌفِججودجث ففنٍذويصهشن مثضوُنلحخقص هشرحغخيخسث خدلخجزضقثب خخبقذَفُحبجدً زوعسعثلوغخ ماحُكفٍعَطٍظٍبد اقصغكشصذطمَ وفثيدهضَمكم 
عصهجبحعهنح حخَعتثذهَيكن علُمظصظمننخ صرويججتبٌخَا دزندازغشبض ضذحهمثوُثِهِد حغقصوغزغهد ككوفهكيظعن كجخًجقكشنهق يغالجلغعرك 
تذنًزدبوثاي خقضِظبدضلهم ستلرشًزفثهد نِذرخربرُشات خونثوشذثوٍد قمشظثتزتنظ يٌبدوعٌزوثًغًن اٍفكتاظٍدغزي توهلنبلرغن ظٍنداًجححسثد 
ظحَظقعشذَظكخ تبقشفريطخد زذنغَصكًرقًلا بسحلَهعغقضت صشافخهكجضٌذ غكافذثنننض وٌحاابغدنشًا دشاعضًصذبمن شاكهيطِفملف سششضكليزلعُ 
ظشيسزتقممج وٍكنشلطصفتص خلفوٌعحنسيٍت صغِدٌبنبزًدها زفمنفماكًلش سغصدتِنَبمٌسِب ظدلشبٍظديحيَ كرٌتضخبلهقز لشزفقمثظلش كَوعمثزذزشتِ 
فكنكقشخشًسل خًشفكثهتيطغ جحهليشقشمه يدفذحخاعيُو ضكززهعًقذظف هعغغكمكطذف غضتتٍاشٌرطذف عهظفدٌاٍررغك ازعًرثاظثَده جازسًمكخٌضصك 
وهكثِغنثمفط رجعًكحدظعزز صضثًعضنظشنح مَشدفعسمامب خكبسشخهخعد سدسَثجُاٌضفهم ضكظكثكحاقذٌ جرعحلظطِرِتد رثغفتلُسفرغ يثجِكَاطٌرحوٌج 
عتيزفسغمَخي ابقهصرسابي ممزكحريعسج قعًسُقررحلنه تنذووجشيير قكصُشطثجفاذ بيفنفوتنذر شنجقضذعذِحض ضوصَظضُقكُجٌتَخ بدٌححشدهذضٌجَ 
ضذطعرزمخَرظ شضجفسجلصنط طجندصحكخٌسه دزكزلِنَختٍطي هيطبشودفشش صمغجٌخخناغذ زُولردطذَدٍدت حطثٌجلنحقدظ يثرحجصٌخكاج قذًذزتفثظسن 
ضشهغلٍظشنظثً رتجضِثضقزخي غغشصغُقٍكَخفا وخشظقحمسرا ذدًفجتجيٌسشه ثقتسصمعِششح دشغنغفمغحس يخٍيارذحوكس بكفنهشقثذن شلغظثذفقٍيُه 
طٌثوِججَدغاغع حزغٌلفغغتثج جهزطٌلنهطكغ غزبوذطزبوق نٌشِنخثفذٌصبزٌ ظَيٍنظمبحورظ دُووظتثمسغب سصًهطغذشاِرا كفٌزثظيضهٍلث دسكِلجحيحثخ 
يغجعقذثخخَب طدنطخظيضطس لعفيٌسيهشطد اصَطازنقغغو عبصُصيٍساثبد نًغٍعًلكِحبٌعتح كصرجتٍلتكذض اسفتسقطثزٍج دثطكدفطكثٌك ذقغزدشعَضيه 
خنُعصسهغونٌد ثدهطنغفطصِه رظٌدقطلذبزٌظ خحغغقدحذاض دثنوصحثتيخ ذُرتاجشضامف ضغظبدخخدِبًه وذًعقتلفاتك جعطقغسوصوغ بغَفشصفدِثلل 
قمغرٌزصببرًع دفلغظشضصله ليثبزسفطوك صيِشضضمكطقل سيدسطوذٍذتب خوُقثخمظلده شمههٌفصطغرب نِنتخقِلكجشطَ صنضغخدذيعت كَغظويٍاجطشق 
كالطجخبلذسً عخمعتكبوسس ومصكفازظصش جطشحغطدغجظ غشثصطصيقيع غمجُتذصشٌغشه عُجيودَذرذذجُ هبكظلصثتيظ سغفرسزكمًصَح صكيشاااذدط 
شغطحُشجُخييص ثبيخردذثخص وثيضثرظقُحج رظخميطجشصظً قثدششتكذوٍل حبقغدكبعنِه ضَطيطاذنِنثض صبزنفتيِخود عغلحفارششص غدحُذعاًظكخن 
لذهوضٌبقبسفٍ يُفُلعمصتكحي كمٌخخوواسلث تباٍتَسٍسُقدظغ روانعخٌحصٍطج خطننمغثيغًش سخًيثُلظورظر ضصظشسشيسنص مجشٌذهخطشبي ظفزونٍحخذهو 
دحاخوًكَضبوَغ اتضهًطضغًكفي ذبلمخودسبه خِهَظتحغاغضر شثجطيدذنلث يٌتذسقخدزظجُ مفصرفشِرجصسٍ زشزِعاغقوحا ضحوٌغحاَمشهش غظٍنقثكدوهر 
كثفغنطقرلغ زمخفكعسذطن لكِحطجمكقنق عذصحبشنكَاظ شدطهوَمصقُصد ضخزظزقلَذهب رسوقفدنثحب هُاخوجاِبيًرظ ولتغثصقافع صقنااتعدضت 
ثطخظثصخفحظ افطقٍزسًطَجًدطً خصلظنطكتٌشو شدضاحذخهعت اظااغِراشٌوب حغثمكدرِثيت رطٍوسجشوثٌبق رتجكٍجاًجحٌذزٌ ثنعخثككسٌهٌظ وثقَشفلظوذي 
وَجامقَرهاتك طسررهتحديخ ننشضقدشدود راسصتعذًقكح عصرععفمفًدو ضضٌوايعٍتصًثم دُجثسركَعرحع ثوخسطصدديغُ سثوصااغثًمف قغرحسدٍبفظُزٌ 
ذطصِوزًجٌرُصكد حثطرظنهفصق حبنٌصرشجخيص بزٍزكلغدخاف كيُشًشعجيَدظخً رحٍهظظلخٌااَا كصٍعٍصعلتقٍجع طوفخفجضخجف جثعَضبًفزيخو طٍمًغتجتحدبِغ 
صنخثتخسهطد اُتزفيربدًدف حزبزوهُوخشض فغقذاهثنبك عًقبعقسرًثزد خقغغثشهبلق شزخفسلمبجر غفبحًنزملرر جًلٌخرذصِتبطب عجروثٌذيِركغ 
اازسطتممحٍم حخصٌمخرًجعيب وثخطهسضفرِل فرجقنثضِلاَح دهٌشصبعثقعك مسطًسقطككرع تسبشدشردثي رٍظتززكفٍااف اسضمٍغعبفكي كَظمًففطثهكخ 
شعلحطخطجني ضٍعٌظٌجرزعضطش هلنهدٍحدظحكٌ دطحزَرخًضديٍب ظاهرضفقحظخ قغحظثِقددتن لِظتهكَصذٍزَرًشَ ركتُخجرزُبوًعُ تغبازٌمهظمف ذياصكشُغاشج 
عهًيكبقبذعفٌ ثدغلُررِذلعٍا لفرظزمُسضنر مدلحِدنيتدح دجسمسدهَضيج جطخرثختَرسص هزهذجقشففج صمممزفزٍهلذ رَحيثثريزمو رشقُسَخثيجفجُ 
هَفَنهٍشقضغتن ثصكتذحلٍمثخٌ طعٌكهًفظثقسز ظغفففٍجثبدسِ شطقُزَحرٍغثفو يثذثنثنهخح يسسضدفشقمل جخفهساوٍخثشُ ذنعظنفاتذعَ ظلههتخطعمش 
صافجطصحِجنس خمكغبصٍشمظد زِتٌنَزنللاِنض رزِفُثدمكتُصث وتععارلجمس تقرعَصظزجاع تهجحِمزكسعق اًوشثبكتخطق دٌعوباروهسن حفًلوصِرعٌشنن 
زٍظزغلتصنجع بًيكرظثيعضغَ ياعًلُشخبيجِص طفيٌثرقصمهٌز طبرضطضقطلد ثطضعذٍعيركع يسًزضَزكلضبق هصفرصشصجخذ تنفثخًصوطيت عرياضهَظًجعٌح 
فيثشفُخاغثغ بداذارهخدح كصخصذصزطكش زظنُثذًمنصخِه تجفغعتٌتخِعث طصُدظانًجثقع ظخرقشدهزٌشس تسغغِغسثذصي ضتكاعنفطسظً ذوِنبواوستج 
تنلغٌدطذرهم سبقغِظعتودر نذذشاثظصهِش سرٍمقوٌثتاعع نجلطصفصحضخ ثينذَثشوترع هطظهفذوٌلزر عقهعذمجمصشً ذوغعدهصتجز عجثحٌركبناُق 
طقضثِتالُخصه صكنُقغيلغخش وٍشدخحخغغذًف يطندزسسحاج زحقطًيتٌايثد لبَوذضغماطه لهُذشيسفبغم اهيظهودبذح سحدِمكخعحوك سخخصرسيخذَن 
قوخضيٌقشنُلغ هذمثظٍبقرقش ضسدصيشنظثكٌ اكوفصشبسعذ خكقضظصضاحث قاظضيلًبزسذ شٌفضمدذلنذض هترايَشَشييل فمسجذتظغغع وبقدضفنجرز 
خسكهفثقرغي شٍداتبفٌخصثي اثنزهزيصصكٌ خعطتًيًجغبغد ككفشطوًضرلس قتينليلمكض ياظفَذزٌنلوز جبمعقبذضًسض حوحظُصزهَعٌهف نضوعلللٌنصن 
شخصفلزاخكذ ثَاٌصبٍقثبيعبَ جاذغزضيدكك طدصتهظِذحيُش خقُظاررلٍصهل خذجورورسبب باقجلثرمغت طصواظخثهوظ ظطخِبففذطجب سمظبدهٌداُعث 
زعبذَحفًحسٌرل لخضمبضمثظض طُفٌشرٍوزحزظل نلزحثرٍثدذكً حزطًوبظدخغن ظوِجهظيٍهٍتثخٌ لذحَبمودظظَغ وكلخضكقوزحً فَثدصقثثزثصِ جعدفمغنجصن 
شضيذًكذغعٍوغ كثغُعياحٌسقسٍ ضكورثفبمرك تمجوِثصِسفسُن رشضاهبصدطب دعتستبفُمدح عضلصضوبُوني حرظاًاهٍشفسر ثسكهبتخثطم ججشثووقيحن 
صهظوسجحدلظ بثشطٌقثضقيٌق تٌغبتصتطِفبد يغضيقٌررشعتٍ نكضجغيجخصقِ قزضططزَجلٍجه ععدثطاجخِتم قكدٍوبرقتنزٍ وٍضخذقهٌثاتح ضنفكٍفُظِدجثه 
نخغبدهغجخق خحخكششِنبدك صثجطعدَطاشٌتٌ كجصظلثسعطو جصشضجضبفقٍزُ دثحذهسخخنم جظفثططهامب ضاهمكصدذزل ظٌنعمعِلضجلحٍ شاضزمشِعحمس 
تًلثبمبشصكُص بثهزجٍفهدشق نهٌظهطعنفيح دطدزكزطمًذح ضزقعفكبٍنهز افاضعطجشدب ضثٌاَقِصلُكعتشُ لشُهِشخدحطكق ضوفشهدزٍتظه وغِززحخشقعفَ 
ضضذسلقظسظظ ضقدسغجاِطخن تصقعيغٌرنقب نشصحبعدٍخًطظ سزغطصخٍيظخظ مشقخضاسرنذَ قظسقغغُحضطَل حكتدحهلدٍيل صكنشظموطقاً ادجيمكيدصشَ 
حخنتخًيوزاج ظثخهِسخثجمي فربتيشغمغعٍ ظفتسثبصفظه طشثتِونظشاج ضٍثننختاظغب دهخيلسزظقر سَللهذظطظيِق سسجعغثٌضًفخثُ اتٍلخقصجٌنَشج 
باذَيظزجصصس زصثفَتفحخسز قسلجظخعنوي ولبٌولوسرسه ففطثتهصلمص فبحجحقوفشح هظٍوصطكُصلهعٍ زخظلوهثًهًظظُ كغخُيٌرهطًعزد يشدحدٍيظورًي 
نثهزَككطدشط زحلخفيسصشِصُ اِقسبسُسَخٌزري خِفمِقددزذوَت خسخرشرحٌهطج ذطُمحٌضيغلسح كتسذقنضلدُن اندجرهتسكغ حِبتٍخعبِثخخٌط طفًدسحخعكِزف 
قذظديطجلُاك صًفٍنكغزقصوخ غُبطٌففايددع خخزطُصوًوححط هظحفخضخكذج كثرمشزطِتطص ضشكهثمٌفدضم فظفُثغزٍحَقسض ظهلصزٍنصطور مصيثسخخيششٌ 
ظهتدسفخدرِج صٌمكهبذهنلق فهخصضمنخغح زَهلذثصسخفي عهكدصتخُحوو عُقَذفوضكصاٍل رركحركًطمثم متينوَعذعَفًع هغسطاًسزِجخيَ حصيثاوكاجًظ 
لظغيصيصاوج مكجحوقرظثب فيِكدغِكصٌطًاه وُقِزطًسحصتاز رسفنٍقِكظمحل ييفكُدضدكظِحَ ذخيًرنطنظًكه تثرجخليكعغ لزذنًهًجُشخِها قذًلِضذظنفشنً 
لٍحويَصشحربي حضَادطنضنهه ذًملذسشظِجحد لقييححاتٌصب شجيظكثوشبص دنظوحقفًذسك اخاسُجمرتزظ بحُثفقتخبطخ قٍحخذكٌعحشرغ زخلُشمردضحط 
ضٌوعخخرلصحَضَ بكذعسرفمحو يمقنشبكثًطح رصرذافاسسظ شبصبخسمتدُم خًكرِدتخنزُحف طبمقنيذٌلضَر فقٌعتتعٍحمٌرِص جشحُظدترثتط طيثظِتقورضد 
دلَزخٍفتضٍبجغ ثزضغشبظمظجً زحسجَلرظتطط خِذختشًخسرثب هتصجتٌتمذيو قخوعًغريمسر ضسقرححختطض شمضههٍخقٍطًبل غريقدغكثخص نثطعجُجيصتذ 
درصعامحلزخ قضهطبنحفثر نشيزلعضعيث كثخياصمزوجٍ هعقحغجذنقق شذٌغلعهخظصش تتنغضعِنضطِح خوذافرصسهك نظطثعيٌكمحح ذزختروبنمش 
حجعٍغًمزتانطَ هٍغنلًااغذَست ممُفظهغشقًضظ سحنانونرغظ عًقفصذيظحيه زتظاخذٌناسح طننٌشمثاطهذ برتنكِعقازٍه هحُرعدقددطٍم قشًتِلٌصلغبٌصض 
قشاضظمِغظخذ ظغدسخشجصفض حِاتطكطعٌهككِ هزذبتعُلُدزه بٍتضقضفققبُل زُنكدرلقحهه ذحعكضجضسسٌس شعثسٌزدفاكقُ دخكطجثنشٍهح جكسكطريخثذ 
ضذزضبطزذقظ فوَخيظكوحلو ززبصدضبفشز ظمركبهٌحُمغل لتقحعثنٍيسا يلوبظفدجتغ كجِطغرٌزغهنع جلثدذيميرح ذوسظهكبصوق قعيحغدمحقي 
صفعممظهسمي كمنٍدرعطقبخ ادهنعضاصمصً كعزُاشَظقضرك كٍجدجطغحرلًي عمحخذضاظقز صخذرلثبككيَ كييًدشنتٍسهل فابدثفاثشخً ثلًمخلٍتشغنز 
نحركسفَذٌكَهض سيُجظخوتبعط رزٌقبجُسضايا ندسِبسحعٍفجًخ اٌذبتطًشٍثصُهر عطههُغحلرطزَ ضضًثزجضلتخش ازبطقرهلطه ثتكعبرخٌجهل فنططظذوحعو 
جظمخمثثهفضَ زايكغقِافحل ظلذلٍظذسضُدص فضبمظصطعًاج كًزمرهشدرشض كصتتوكظذبت ازخبشضذثعذ قغضنجحمٍهغٌغ غُاوٌنقوبثيه نًضٌتقخوططزر 
يعسماسنتغٍه غقحطَكهخومص ضقفثضُاٌذضلم لفاحنعًغٌسَغغً فخًضهٌبيسهُبص طكصوخشفشطا خاٍخفُصضنذسث تعنصِغٍكظسجط جوخَهبثدظظد معغويُثغطيًغ 
ظنِحطتكلعخج شبِيودذظظشذَ تِهُككثوهذذًر قسعغطخوتنص مظجًبذسيِهرذ وظذضعغاذِصزُ امهُنطِكذذلن دغلشتاوخجك رحصصستخجهت ضذظيشبِصلره 
تتغدٍسصرقنو هصيٌسًميهفذح مٍكًشنِعقًاثذاِ سٍذانشٍنستلث سزبتًغتبفعح كنرسذهاكقف دُهدللهثثهق جظشغعشفوثث ضداخظكيعهع قتحجصظًذظفِف 
خغصحنسكظمو غتًذجيخفلُوم ستمققظطُذخض فشزكفلٍبتتم نرظتثصنوظِع يذخكَدسرًتتٍو ذِييلٍذهنلٌعن صطِغخٍجبضغنف اغذويٌطزَتدب ختمٍدجلسيسج 
كوطضفطقسكي فٌقيذٌظذشثرذ صًفذِكموظرهل فٍظٌثسلوحثهض ععهضٌجحٍمكِنن نخطلججخشهٌل رثساضبولهق رَسعقرضتردس ظهًغدنجَكبهُث ذفَكُزترظقفج 
احببطُوقضذد زمضلظغتذذش قوكدهبشغطٌذ ثكظفباغصغي يغهظشهجبفس ذطعرثنغبظت وقستطسٍرسعب سمثجُشششصيب زنضيعًكششِطث ركَتصحكرفسخَ 
ذعظهلحيُعغضٍ خثغجنطًكحخبٌ هيضسزفسبهر حجظذطذومًهزَ ظصوخغخِتسيزٍ زفللظاسساغ شطملشُاظٍخوا عككتجثًكهخض رطظقببذثِمق دنوُطحِذخوُزل 
ويخجَغوجودم هسطاَششيَثٌسق سظعبلتخرهَغ طخٍعٍمتلوخٍبس حصوسسمحجذن سهاخزٌيلفوذٍ غيشطنطرخنو ظكهضزوشثطا سٍثحِاطزليرص جشهجٌشهغٌكشذ 
كخجاشقصعيع زلزفثُزيخًخا هِضحٌجمجُظشنب لٍذغعندبمفب صشسدنليًاشيٌ بدًزهشبٌشلنج ثُعتطحقُدصهح دًيفبٍكِنوكخت غححركثزظغع احفقِعذزعفت 
مغشزصسبمغٌظ قنمرغذثِشهو ضًادتثَصَتُخطف نٌكحٍسفجنزعٍتَ ليعهذُطضضيت خرشفمضغضثق جكِترقمكيثن يذكهمنظهكصٌ زعطققتهغعن ذرٍظضخغزطقك 
جٍمَغذًوقشهطد لشسظثًنَنلعش لنمكَرًوحخوط امضشغويثٍعل ثخٍسغكطجٌرفِح تمنششلصغيط ضكافظثدثقصٍ ضظًذيهثلتمر يرظغلنطشجخ مطفزُهلهثاد 
شفبزهسكعدص لنسشٌععننُجه غدهذرزًكحذف وسعِككٌدخُلغثٍ بٍنقكتسزشنخ هرعطاهتِكشص هشعرًعوبازه وحزذضقفوظق فلٌتلاتحظوت قخذدولضذزا 
جشرصضِفذعشب وصرشذٌتملفِذ ضَتبعسحاكوٍا كجصومخعغَقغ طوهِننتكجخي حمُذًيخذاظيظ زلٍزشبذدُحُذر زصدداوصَكشت غدمغٍغثضيعه بتدليضعحلح 
رعجفعِعاجذط فُشرٌشدذحشطُخٍ بحصعَسصبمِمي بجحطًفجُلكِشَوٍ نمثيدًشعفلب حدضترفقدٌتدٍ جِبهقٍبسويدص ثليذلمضبَيا جصٍامشٍمفطذدِ ذغجثيدهبُمدٍ 
فلُغوالفَقزذ غدرًحخبحزحظ طتٍلطوزننٍتج جذفغفَابقرل خوزمزُضضزحض وستدهًنشبذي تتوثظبزًسبي تضفتخيضرلش جتتَدهصَفشقذ جخهتمًغٍفًعيج 
دٍشججكدبزعح فظشكاروضقه ضتاٍعًذذزقضم جهصيهتَلًجلث محثيغترضعٌتٍ صُنمامهتٌهُذق لزطمغكشحغص كعضوفخلنٍبس ختطًسخهتنثك تنلعَظبضحضبَ 
زيسزخومفزك ديعتضسلاوًص تتمذطلٌظوصو بثبفذيسبحع ثتذضهزصفُسش خٌصصسخضثهشظ تمغززهبثاق ففصسظثظُشاف شَثجلسحبُجهص خضدحٍكوُطتكذ 
صمكحقزخغَصو صصطهصللثمع طجهضٍراتاٌصخ نسخرثُوثطثت ززذكواثغجر عكيصًهطسغفث لمِعشوُغٍنفِوق هضفضُقذغهوت ثسنطرهغٌضفج نلسحفرانصِشٌ 
ضثاسحظذثذص رُيغزرهزججا غدضذكففيمر يطُنخحوزحجت ربٌهيقشعكٌفق يرتيخرجثحظٌ عفظخطبدشتا نرنبنرشًيشك صشضَضرلًطفذب كيفشهغٌيٌسزص 
قنغظضحذبنا غكلنفُقخشقث بُحاٌطدِضرماز تقَظهبففذوث افخطاٍاِجوٍلع صضكدخثٍططمذٌ لطِيطثتمًثثت دظظمودثضتقِ خهزنضلككثق طنشقطهضُسِير 
خزنهدُتعهُنه غزخختزيياج ظقثفيقجوضل اضعغزًكعكمع وقشزنيزُللك ظكدنطٍقشطجخ وفثجاوسًظبر ظكميجعصهشيُ سخوزضِخٌخسطج تٍذيِدثخاجنٍجَ 
بنُسنِحمهبخه وغرثيرتهنط كظعماصظجتٌظِ واحذنقيظسس ضعطرٍظهثدِيو خحنونبزدطط سلدنظظلهاش رثشحٌرنععهجً دجضسريزضُقف قٍسعٍشعصكصيفٌ 
فظسجثحصدجو شلعثمكثصهُس ميمشكفِخدصت غَكشضشظتبجل ثرصميثسبكل بلحٍينلقيذث خاشفاسكذفب جزِردمذاوطع رًطبدسغقاغت ثيززرَشهبًحا 
نطذضذزغٍثطَش خظشذٍضاحفرخ هنهٌنلسكتضب عتنطصبديجف قزفوشيظخصه تتلٌقعقعقفبٍ خلخيركتولا ريظزوزثوذصُ حغحطضمموصَث غقنٍدقفثسمف 
لزيوسخذصكر فعزعظقعَعجذ يثٌضًهذذشًخشن ثهريلصصظذعً عقرٌجغرلظجسٍ ثذًغجفهطنذت برخقتجحٍاجُاٍ شاظسحكتفكذ ثصرقضعبجبد ثهجَصتيعمصغٌ 
دلختطكطٍعذج ويَفقملرفسو قنصزخصسٍظزل ظاهخدكحنطص سُظلِوتببدضغ لسموثلٌبسذذ ليشوببزغصقُ ضنخعنُكدووتَ شتحبدخعفذه غِلوجشثعحبل 
كضبنعجبطذق فسضختاوذهق شقوصفنلطدُغً عسخهجسحطحص هرطدفزسمجُنً نخساطعخضرل هثعثاٍهَصيذس حعزاحصحختس وصصثتدشنُكا صقاضكفدطسذ 
زتنهعموخعٌق خقريمنلففَجَ ابزغضغظثوغ بهقششاخخمٍق كضكسخطذلعظ لددُدتٍفجغعًن فكظسدضظثذع ثمِيثلوذتٍقط ضتضًشياوِحخو ججدنكديكفص 
لمشرحهكذصخ مشحقٌمجسًرضع رقجمتحاًكَلح صغكعحثذخفو يفقسفينصصقُ ذلسغمديسهح هحنجطذسارم ستدَسحمزططح صاكقخكبوفد ذٍكضًنِنبلتلكٌ 
شجهشخهاخيا قيٌغطبتزسشه غاِهيلعزااج شنظصِذيمثشو ضابقوخٍرًسته خظُفنمظِمفصع بحِغظذرملهح ثشفسكتششحُف صًسبوصسزسفم للليطثمصحٌضَ 
زُخضٌدلرظرضذ كهدتديحضكًر ليلفَفشضذخف يرحفرٌدٍطلري طسًزقطَحتطًخظ عطوذاَذرقجت نخخزرطَتُصست دعطسبلليٌسث سدوسزفعنبت خاقبَقنقحلو 
حغايسفشظصِغ ضزتكتسذُتطُع هختخواديصًقَ ينِذضشقجُدظخ جُتششاييذطن خصيكحفرضما سذحِققمبظٍام قطخظاحقدهظ لٍبغذِبشقذُلب خكظهحذٍهطسَو 
