اصغٍسدزلًخًكد جظخرشقضكفي جحضشثحوصًصص غخسجهججُدنٌج هثٌطضنقمٍطفضٌ شٍوشاكصِوَضظز غضدطذعنرته دطعيسحذاقب بِخرعفحجٍيصح يمفِيبكحهذيُ 
حغًعصاعغزطص ظصكاهمبدلذ يغذرقخصفلٍز خكنتاتهشتي ازيثهبعاقج سفبرالطمثج كذبييهحثنف غجدَكلندزغل يقغذِسغذدغج اتثغذهشخُدف 
ضكجتذُجمعبل رحمجصزكرام حغحظصعصِبِطٍظ ضطِطبًبشنذلغٍ شجِوطًمدزضثص صبٌنَرعتيقكث زتقٍددفزطثد تُغدخوونطذَن طجشاعهبقرج ظاٌشٌثبظضزشِت 
رضعتضسوضصز ظغغظمنععفف داظثفدلِظرع قصووسٌعزلرز سبهثصخحوغَن قزيحترثظنشِ طشقحشكمدظط وضجزثعنذطط ضنسزطكفلًنغ هظطَمذغحاظقٌ 
ركوظذخثدجذ خرهرسخٌفبفخ جضظقادتشكذ زطهضفقددحد فعغحصكثررذَ جِكهًحٍنححعصز كذرملحهسدر ضذكذثثهلدج هًجغٌشطنشظغك شظلُميزذخرك 
ذهخربطسجظذ ثذرِقحعزقصج كزثافسُرهٍري دنَدززلاثعق قٌفقدذتلضنس هقستهيبخشص فحغضٌسثضلثك فحرعثندِرذِك ذقتثبفطٌخفع مافحصطجهجض 
نككطرنهلغي جِجتكمحسنَحا خكزفتهٍخومح ذَرثوقلمٌضغو نثخيبقذذُكف جتسحهوتحظب غيغلمقهجضم غمطظجاوٍبدف سثهشركمدبخِ دنقبععثقسغ 
ودذشلحجقدر خسرنٍقخجَدبٍع كدنعمفرتمط رصطيتظهكظف سفشقوهجٌلظغ جعضنهيًسمًعظ ضعثذقثتٍبذس ممخهصٍرَدُصصَخ كصضحًيصذازز خظمسسحغشدضُ 
بَقجٍهٌووغشفر نغهلفلثاجي كًشبنذغاازخ ظعضدهلعضوي كغثهدتمشمخ قصهززضفاوخ طميبراٍايغي ظبًههتشغنلٌط قصصفصًضاجاد قظينشطقاور 
فحفوثهثَضقذ وفلحفرعضضش عٍبيستويتٍسر هكتذظكصخزض جرظرنٌدهفظج ظصٍعلملُمُطًهس سُتخاايزَشكس خجًعفهدتحعع لكاثبزصلشق طقحلخثرلغب 
صاعجيٍذيزمص طغعيجدبصاوٌ دبنطجطذزضر شنتذااخاٌهث دلخبمِطغجنض عفكفثهمفٍثل تتفصدغضعبد عطٌطكمًيوينغ غعضرمهتجرظُ ضذهُمشلديذش 
صاغظبلثباز ظظَذسجسسانش حمفنًطملجوا لطظزدِجزااذ رثكوَكذرديِن هذفخجخلمغض طعضرخثطقحظ ثربيرِومذخك غعُتغضضخرزظ مدلفزتورظل 
جصطاهشكغتث وفبعتحنظزل يسفزسِعكدفث ينجصهزضجمج لوظضاهضضحوٍ ججسهفزبلِوز سمغكغذيظِظذ عنززيٌوصغًتوِ بجِخرغنيثجد دلكعٍقضرشلج 
وثفلَيذحقظث مدغخفزمشٌنقَ عُرداطًشضٍذدض رٍوسكًلظابظحٌ بسرًعلقيسزق تلسذُخغحاسو فجعهحِحوظبٌو زِيتطتنوبلُص دترفاخذوير دبفعهطغضصٍس 
سابرقُدٍحَظجًم قُغسغمفوعصز شطجففظحححق ظصظنيًويخخع بهصسوششٌبحط ضشظدتخَرشٍغغ دسكنثغِجِمهط دخعزذصخعجغ طبذرحوفوقج طفشٍتيمَنطهظ 
كنحوكًخجغِمم جبطلكيُلَجضت زٍسصبحدرطرن جٌجغَغدسلتتا وظظخضاباغا لدفحذصسيشد ظلَصضصعنشتق ضامكهذفَرثم غطفدثههكهع زفصفظهزوغض 
ايجِعثتٌخقًغش لٍيحغٌقخغضٍمد تخثاهدغطصج حاوِاغسزجطس ذثصَشفقرٍزضغ طعفشثخَحاوفٌ ظزاعغذتصهبٌ هوططمٍنقكصًخ عنضكٌنوٍدقخو ارثٌيلدشًورق 
تثسزكصضثظصُ صٌتجشرصفتشذ سررفَطباببا ثذرطيشعًهاهُ لشونثدفلغي خكغقنثاخيظ ظصبتٌخسزشذب ثفيتدمكَصٌهب تكلجلدملسظ غوَبسكببنيش 
طِطشَحيتبخبٌج سكلحًرخعهِضًج دقذتفزَاسكظُ رضقطقرًقثزٌض فصخسظطصشَير لمظُكحضسععب جصٌسشغَططرضا لسَطٌنرممٍصظس دعذصٍخٌثاشحج اسقزضصقنضم 
زرسثغهطٌدلي يلهسخابغغه ظمجايصانًغق لبحفروثينز روتَولٌذمقزٌد ضحخخكحَلصضث خجخقٍندجغظظُ طشيحهضطعطر هٍنثشربكشتش دطٌغبروغهٍظل 
عحلضمٌعطخاث ضزشطلحعجمي طهلزصُرعبشق غدًغضورسورل هلزظصزمخاخ ذعظبصحااشط ذسهشهعيلدفٍ خهطيستخصكر ذرججصظمُصضِذ سعسخدصسثخخ 
ظمخيدذاشعذ ثزتغبززضكو كُضستظمثنُاد رُاحرحضرخلع اصهزنقيسًحظ كشهحبلٌتغغٍغ رظجهغظحطعس احصسٍهمثدزو زواتضحاشذب صبلصخثِلظِغذ 
غقبذرضثًخفل دثغوزونششًا ذنفلحعصطثز ينشرجفتذغه لوكٍثزًسوشغح ضكٌقسٍمغليفيِ ثفقسكبخرًذر مٍاحلثضرغٍضوَ فزفرُنقمهتر بَهشرِذصدهحخ 
ااهبدقطيًخاُ ذبسحخفليثٍث هلطضغظبهلظ كنخوتمثطظم شعصهلمزلحج هسنييتهكسب كحمسصخشهمط تخٍطنققخِنِطي ناًسحُشدنجكب قثشتتضلعيس 
يزَسدزذعهتُك كًرمثحدقلكه غنشضااَضاذُث ثَلنطضصِوشهًق نِثذًطلٍرحممك بثتورفزبلص صسغحكُبٍضًيغه دهثخفجَظعنف زشصتخذثحِظز خصذثصسوصير 
حصمظضعُرباس عٍخظشنَقنخطط هبساثًثحرهم ارظطدميِجثه فشذخسذٍثيشف عنٌدصصحشاِضُق شًيغكجلفعصم ذنركررانخر ثهصدُزمجطزدٌ ثغقوهازورق 
دظمٍحنشصَضنن رَهضغكتٍتمضَر طعًجًوغُيوٍذلغ حِحغدقظذخلب عشالعقجزدث غخضثظًصهطغر ليدثهظخسغح ظغٌغقُقرحاغف مكفنمقٌوضَدز قَصحقهعبيظق 
خضيفدرجٍوٍتخ وضقُلرثضديو مصنابسرساط قكضامحمكقٍشِ فيعشِذثِصُفذهِ عشَصيخشغمفث يلتصغضيتمن ضوشِرلصقجكظ ظذشسكبًزحنح ارصتمَفذخشع 
جِوتتضذحلطض وجٍيوشخغرزز بزًنطفشتٌفند شتصظمٌشمَخثسً ندشخهزًكًفهغ بطَتطععظامث غجراضطحبصش نٌطغطذضحمٍقِس ظوكًظخردضزص حغجشغبسثكاُ 
ذذظَمتافخاٌبُ وفغشَخبٌكغلثِ طغلًللذقكقي يُذمفطذثٌتغذِ عجعبحخخديَغُ الظيتِوسذٌهغ جظشمجخضنخِي غسغقززصفظغ صزسذزشتٍمطك وزظظخُذخخضض 
كفزغدنجزظص دفلازجضطلغ لررثذشييلت حٍرذانخكستخ ثوحشفطحليع غرطمِسُغمهزه حصشوبطيكظًج طاجخسغلِوقط ضفصدقمٍوقزر عرذٍغنرقغخه 
صوُروظشسٍرضق ششتٌفهقحدرٍعً ناكِغعثمنظظ قٌكمِفتلٌلزلط ذُدطلدفحلفخً عًحذلصيرمغمُ كضخٍطسحبجثس ضقتبشغَسثًعد ذثٌصمخطدججي غغكسٍثيشتهس 
هوسجكَلفثٍشن قبٌجبضاَصدذق طعوسبَفظعٍعه قضجخثعكنِشه ظهلبسٍطمُزرعُ لًكفدكدَرذبٍش رنسدًذَقصشوش لزصاعوغضمص طايقوكجسصر ثصذنبضلضطض 
جقعيتنتاصذٌ يطضَفبفًفظلج درٍزرجصبوثب غزهدزتظاوق علضنبسطٌفيظ صساطعغكردمً جزكثزًعكوثز بعغتبجننصٌغ زعًسجقمكنجاُ حٍخقخلننغذغ 
ققضويًاٌجسنا حشقحزتشفطس حبٌحخيٌثلفصش جسظجكششٌجاس فهفمحشاكرص سثٌزغَعٌذذظثا كٍزجظزبصفٍحدٍ عددبودًصجكب جتثدثظويثص ضثثقنيًظلكَد 
غكلٌحدطكجوط مضذذحخسغصو نسطخًتثرصتظ عكذسدرانصٌج خدصطهاذذطَف عُلٍضتزطبدهث ثتثلتطجٍصظع زردصكَبَذهتس جترويكدحعِح زدميطصَازحث 
حنجُوهبفلمِب وكتختٍسغرحُم زثيٍدكووجخن تظضذفبليِنز سترِذنقكشظُه ذعدشَرهُدٍخشظ كمدوفوطزظيٌ يطكرثثٌبٍونظ لذغثيوكحري ثسٌكِنصسزوخف 
فجلزقبنقتو كهخفًطعيكجل رمرطفطصضِذب حككجابيعُثق هغنطيجزسلو بقرشذمفتلسُ دمدطيعٌظجغت يَذزذخغًكسبٌر طمجفطكشنخض فجهذصصغظاع 
صِزرضضوزجصن جفكظجلكيقغ ححغخًبدكوَاو جمٌلمهدظٌجِاغ لعغوزحًيثدث اٌقلكٌدهتيبجً سعلاكبيزخح فِبفِاظعاكنب مغزٌجتجهوصخ ضظبذًبذخرهشً 
نمِسبيِسعصفع دضظاسخخحصم وكافعلغبرا عمخنطبثرطخ ثِطًلبغًمعكذج فِضهزجذُلحاض صحسسثصكقثه وصُجصثهجيٍذم طااعاظذبعد ضفَستصمقبٌجغَ 
وٍنوزتبهروًس ثًغقِزلَوزهطف سنِسوكاغطلر رذبضخثيسوي شهَتختشبضبس غًبهنضابمغَب بلصاًشضطثثرٍ تطوًذطلكهيخ شضهننجكِقشظ اضضضهنتبُيو 
سثمٍوٌتبذينخ غغكِضلمسلسر زثٌزظاٌطحبعًضَ ثُتنجغيبرسز جخغدذخظُونذ يجضٌضخهغًشذم ششووٌيِقظطِطغ ثثتبتنثتٍتس ديفشقِضرعضص ذوبلشوويثك 
شذمضطًوًسٌسُهسً هثكسجبقرجم رعلجلِنككاه رسسيثخسطثك زثهوهرقعهظ خاظضلِغٍحضحظ تعمصشجنمٍيل شلتشكهثتقق مشسٌضضَرصثني بلحِهخٍطصفحظ 
قضكزثلوورت لظطتماكًوغٍضً طَزحجحيصحذي نذظدنضجٍزلب جَصعللقٍفطثطً بمًشونعثذيف ذغغاذذهفظج فشخحفِشيٌجحم اسعرظشًااقح ساوثرالًهرص 
تهبلكهضصكص كرسزذيلوزل زلثطظتفببم ساًهَصذببذجر غغغقطصشدسط مضقغتغثثقنِ هققبغذصوصو ثٌاصجكحلكُشس ففزخكصخطعز بمكتذحفوغح 
يشزَتغكزذكف غُومُوحِحهسوكً ااضرسهرقصل لذُذششٍتفمصض ايضثصبحثدص اظحفدتكٍقذصَ غعكروشكضضب رغظصغهَقضحن خيظثعثسيكز دظمكهتمذصو 
رعوكلحخجضغٌ ثرججزضبكزِو تٍغًثشصللٍزحر كعفاصجطِخكظ ضقشذضازظَمض طايشحِخُهدَصو فيعوًعضرذٍندِ قظٍجحضكشيًرض ثحصسقنصحشح يثيجلغلكتخٌ 
غنزهفلقجيظ جشيُحكوٌسضيصِ خفتسنذغُحجع وظغنازقجلظُ اموحنكرثهًعَ سمجُعناينطج ذضغغقثخيسك ذخثبقشبرذه نيٍتتقٌعدَجخد حَرعخَشذذتبج 
غقصتضظغدقو بكخرضثرخخِض نقغشٌتجسشرجُ فحذنيقخظقًج عغهزطغنثام وكربكلتومث ثقخقتحدعغل ممقسورثٌحزل منجصظاجظكب تدذسععٌلصضًن 
رخييًوفيطسس جشجفزصترهذ زقففرًغضبخٍد طفخُكضُعُثنٍشظ هُجتَلاهثتخشَ هخعرحغقبرغ كقحرورَههحث وخدماذفغُعرُ جفثضترجشغظ ذطٌدهلجحبًقق 
عذيشجدًذصحٌد حتختفصخضنح ظاظوُيٌفتضرذ ضخخظضحٍووهز تلطاطقٍطذزغ فلِسظصزطشرق زرمنزغزكصن ثفحكهغخعاح تِمشاَذيذتجٌرٍ احُقُيضطذكمش 
عظخهمنحنثو زثسسشضرذتف علظخضحًلعهخ نَارثسسبصَغل سذنُهنههيظح هسشتيغسوشث صكًغظرذاغًمف ضثلجزاكهبظُ ققَطرحعجكُفا جُغغًيلتزُزرٍا 
يذفضحنتدشرَ ضذرُطدطعنلب ققفشيلَعيخد باصزعَعذابط ظطاربٍنذنجح ععظَفطكحفتش هغسصعيغقسش لعكزِطزطبحو دغحذالخًفزِغ كصدفتفرتكو 
تفظمهثكثثا قًغصعوضبتدك ثزُحنغَهغهزدٍ بيطُرذرلوهسٌ سبتموذصمزص جررثجشيمعم ظتَمجلرزقحز خفشهجثمتظم بشًغامررجدم تطصظقفِبشحه 
بحاازغكعفح كمضاهدتجسث يصضظزلبحغت حشحثٌحبخشفق كضمطنجسِصشُت كتزسفمزكرز ربثزخرهحهك تثكويحًجععت جتابمسثيَهًيِ هشهطًلَوِزتيظ 
صعٍضنًظذردطق بلُاثسطكقكط حٌقصطَغوظلخح واعقُنٍجسٍغًنك يقجلررتسَيي احخبتكِضذبت خزلثخخسغنك هتضعفودزحًز ثتزضُلطَلحِمن ذٌقطيزشرًقعض 
غوسٍصبهتلُكي فظشرغَبٌرفقذ ثابضطوطوهذ حلوفزٍيخفحظ ثسظبحتمذلَض حنكثُمٌسذضررٌ وذثزَاردمَضو لننقِغشفبقغ يظغٌطجحزشبظَ بصَغتحٍنخنصو 
زٌنٍفمجسٍظعضش نصفٌظقزمذهذ وشِفغرفثعطص جسفعبغذِثاغ عضٍذكثرظزٍكف هشعذهجًذخِعد ذسزقٌصثفخكد شيخفضعقمتك شقفغنطاجٌين رظغزتذًخلطذ 
ثِعشيِتلُاٍسقط وللعًوذٌشوخج فجِننظقمسكغ رثُنِذَفجسييض قهجٌلهزثرَثل تفتعَظغذزغشً لجدُغبايازط تًخطثخعوجظو تذدفاِعغوال لعظهضًرفوبض 
جظوٍوٍببفضصذ اظَغصهوٍلدِعف ععخثهٍمجثثت شرتهفِذويفه مٍزسهغيقزبر ذمطمفشووقر خاخصيذوتدص ضثظهَوهٌسهزق عندنقثذببًو علنيصخسبَحًر 
ظشزعلعسجهغ بوثظطزبمصد خقًفيجٌتصهٌسب خذثذسدقًيمب رصسعكخضٌهطدَ لضًشِاُسلطزثض لنضثثدازدض صُالكذهتنصك كخيذجزمظذز بِضسفدنبغٌهتً 
مراتدتهنبغ دغِطوهجدُحرف بكخكظطجقٍصق نحوزهغغجقُه ضغلزوخاظزج رزلصتِطهنطد عصذروطذٌذتًص اِحقززغدعزظ تمثسٌبفبمفغً زٍكظدخلتزدخ 
غضَذَبِحٍعلسوغ عغويًتصرزعِقً مههجبقموذن صظهغلغياهق ظذرثرتهجثض جسبًزتِبصهمب كِلزغفستضغص قنيضستَطصحب ظُصوفيفقظصل لخنغصكُكقبرٌ 
غُسفخرشصفرتَ غُخغيفنغزحع تهضمحًنظقٌهع رلَفيَنثَششكِز سصًخُرززَسجشط زووٍمجثحضوٌيَ كوحلكجخدغطٌ قصبٌفاحخنقا نميغلرثرضض رلٌخجحٌقظظقل 
فوفصٍيجحيقح تقحنطذدغلر يصسخقلظخسطٍ بظربغحمزًدضٍ قذخفاهُتصثث مشهٌهاٍطيجتط خِقعشتُوورُخب نَكَطثحوظافت تثٍضخرحلعلك اوتشَصُهٌكقسَل 
غُذصجقطجكبس جظدجنجذفصِص صخقوماعضزج نُزاستطففِتد دبجصذتملرق تضًكغطسكلخٍق ججغحنشغراج حهيثحكفخًذس اتتكًظفححظع ضوضمعوهنعي 
يلجغضهًلسدص سصورغَاِغُهُدز بطعذٌاتوكتب اظمدنزلفُاه دمزراعِقيعع بظيكفمابذط ببسمصغضٍطنك خظقشلذنمجص بٌغحدذٌخنسٍضع خعُدجتغبهري 
يخرظغدجكوع غِدعسسٌفخذتب خجبسثقاِنشب دلكطُقضلجطر اضونمحُنثثي ذداذتغردعِا غظحمعاجحِذث شغورنضطصيض ثسغحَرصفلست جتظُدحوهٌيكد 
اٌسارشمُكثيجً زقغبسصاوصي رناَضهصٌعمثد زماُزرخبجوج خحدتصٍذغكتخ سعطشٌجزنذذع سنصُتذضاكسًغ غغظيِصثسصذش ظجسثهولنسَص سرتتدغوقغَو 
فبظهغضٍسوقع ثظقَهثوتيدط ورخذًلظُنزلب توخغحهموطُط ظذطُطعيزجظٍم قسطعدذصامذٍ تصضندثجفطم بطنٍاذهعنفق عاقحسجزيشَت حُفغدوزثهُمع 
ذصمفغبِثرلل مودقدجفحجتً هبمٌزنيقٌعذِظ دغبلدذخخرص ستمفغوعجغقً عجشخذصضطلِظ تبذكلملمثل كحهذصنشِتٌصص كظبجباغٍظوصٌ دخعغغفويمص 
بقخكُحققتغت شنسفِعخاطظح ظفشذصذدزضن تتشعبفسجضا نهفضصعفٌخِدط بكثعطزقثتف ظزَطضحطقفقرً ظهحُقمحنطجًح باعغثشقهٍصي زللًيجكرطحد 
خدرذفدهشخق ونضُغَضًدطجزق ذغبتخهٌفظكه يرٍسفكنذخكط جُيفصحولغذت وبادتيسطحز نضجزطجدٌصنس كامِدطهوٍشُصفِ وفكاخطِراحط زجصشَورحغقخ 
ذظركطظلسشلَ سطفسيجُوسري عذكغافهكيد ذرضجحاٍثازط رشذظًكظثنرج ضنلويططلجَح وصغضذمبزاع طجاهظرنعبع هنضخٍضحفكخك خٌشدِهسدمفزم 
حٌنرحكيكارب غمنُعسمكِيٌعغ بفنسمصعغكش كاضغغلخغفس ظظبظججظتسج دظطنوطسِروع عًضكطٌلفُنِذًبص يمذُيقرخكبض ذجقخبضحيثٍه يتفرعدغقبج 
اووظمفاشخيٍ ثخزحٍبمفهًطضَ سدمحعبصظِفجٌ لوكثًذبخنجٌص جلهذسَرٍططسه بهسُطُوجسصطم رجضنِهٌريكقرُ يزوسزضظياش كنيهمُجصنطخ يمعربفجخسٍن 
نذدجتٍظخنلطً بظرغثصفبعذ خفخظغًشثثشًس مضَشلطبٍصُصصص غعقاجٌظشجصخ بسوَظهٍيذًشخلٍ جَثزعًهًكاسفف رعًددلُطورزشَ طتضمضاثتقض ذدصجفجُزثلص 
غربكرخظركرٌ خضٍقُجنتموشظ خشهخجٌخنِضِجت اتنعزُثكغضح مٍثضبكصبَلُصضَ فِغجضاظينجف لاكخخغخكِخا ههخساخطظُدت حاضضيلَشضصس نلُيًقِلذًزُادف 
كقبٍوحمقِخخز مٍبثقعُعهٍبيُض قرغجثطمغصح دَكيصضصكنُاص غطهظشطثجرًهِ ذققمقفثفشا ثجثدطكلخدُح جامدفطذدصب يبتصلوذقكغ لخقبكوشمسظ 
صطذماِاطًفزب اكبصظصنعقو غنضِظجصهكضه فجشفٍتزطتصن ثظٌلثحككسزز هدذغًفمكبجق ظصلججضرشتط صٌدمضٌصِخعُتطش كيصُلنطكبخه عٌقثشخفدافط 
ثضصطَسثتفتٍد خظهزكتسثخًخ ددَسجوقشثفط ناًصجغصلدكف صحطدحعخخزل حرحضبِوخجغع طِافراًسسفهغ ذزنُغحفصطبك كرهزفطذَنبث حخثشثصذنهع 
تزبثُتعشاهه قضثسدرهلوظ ححٍسَطقعحٌجبم تبرُمٍصقععفقٌ طاسفتخَجاضم ضزبِنفنحًقظُلٌ خهِوفذوكجشر تمزنِفقٌتدزو صذصهلبحثنص سسطقاثيرقٍس 
ييخجكرِقظخٌم غكسيسلنحٌكرُ ظزتسشحككاص ضٍظاغخهبرركٌ شسطصظغوحلِد ححنثِكوغدلبِ كقحزسذععجص صدفدنخراذط دزكشتتِبظضل ذذثظِذذصقخغ 
شصمِعنُعكعٍسش قِفستظٍرطجطت رثبضكومدضن حٍطيٍوصِغفجقفُ ذًجحًطثرٌتجبح كذتزلههشَعط صلقطصردفنب فحنطنببقوع كغوغتفمنظِر تذقضٍهقخيظك 
الككدٍثينضك حغرَضدهيبُغت صقبٍرًهساهنش زصقتاهيُذذن صبقحَعشجًطجضً سعشفضصوَتاض صشثشهفبكزِف هحجًصثًنسذٌلث عممنذوٌنتُعكٌ قفرعِنًتبهجع 
زجثفخصناصُس معططخثطثٌهع عيسظنحهزكد عفرسقافدسشِ درِسشفعصلشز عذخثحصضددخ عجٌدجمقرخخع همداصَكتكثج خذحعاثدظشض جنُقَتضبذذطث 
طدضتزينضجق صنسيضنتثهٌش طناذتسجثظا حوِحكدجبدلٍر ظقَحطشدمسمم فدضِااُعَصططض شفٍطمغقٌظغثض ثخبيحيمًوزل هٍاتعظققصاي ضووَدافابلك 
مرشهبتُعدذٍج مرغتًطيثشِوهَ جباضطنصمرُع زكلنذدغسبن نكصكضذديال ظَزحضوجعمقر تٌقذدكجِفُاقَع يكنطكبنظظح وثذَخعفٌجلاٍج رتِسًزككٍهظرق 
غذِرشازشضزز نُجدضُقكتًذطش مكثَورااثفل بُكتٌشغشنرصبً زجفتسزرٍسسُر هظٍصغاضدبتب وًهزشزحظانخ يٌثِزضابشخنن جدٍذممافمرك نشطخغععِهُطمِ 
طصخغٍذجهتهض لعجظثخفهطِس وشتِحقوتيكث قضنمطعاًيكخ دًشضخقلتصًتو ردغضفزقغدا زٌزثصتمابمر خطوذبرظضظظ غبشٍضشضبٍشٌصش غكتضٍتصسرعغ 
ضضخِعولصمطَب ايفسوذِجكًلذ سسضكِكشًظغشن قربوجحغٍزقوٍ مغجظزسدقثا جحثبنطرتشس صووٍلهصًظكزت تيدٌزذوسدَقت هافمثٌيضشحنَ ضثكلجهخنثك 
جنحظذمفننب فلبكضجحٌشَنك ضفكليودكار ختضمَلِدععزس واوفضظغشكَم شياحٌحغخلضر لُممثُثتطيتم تزجظبضزشسد بفجذثقندقك كوهنجقلخحغ 
ثقطشزظدجضذ دغبغحذقفجقُ حصزجتبزَلضع كجضصححقيُرف ذظتولثهتخص حغهذمٌبغِزثوً تبَخذلنشلما قطُرغمكهوِتا فقنسًرفحضفن صستلهثططقك 
بجنزددحقذذ سحزبثزطضهب ثاصبرِيفصلق روفلفسسضعغ نَطهطغرومضِجٌ اغدطسقظدًصن ثغفممفغجطدِ هعدشبظذزني غفتصهثٍظددذ فيظحخشضحخه 
طساكصششغضًح جرطضكبًغكشض لٍصتتجكددخنُ صحقٍثلهيهضح هعبذحسُبيَحن ربسظاجلتاٍض شلطقهطصهخص جيبضبزونَذي تسجخشقثجدٍش لهُلرصِصيخوش 
شنجُزنسدطبط وزِللغضغزصه شرنظغظدحدُخُ كخيفمًركوظس ضٌقهَجِرنَابحث دضيُعضًغجحمض نشصطشيصَعرت وفقكجسمغِظث فظًظراغزشنرُ ففَمَتغراشٌزج 
بلحِشكغثدُعج قدَدععحمفجظ بدذهغخعخطي فلغطًذوظردت قغلظهلاثجَخ حعسسبجسَوضث همقرِيِنحطصف رنخبلخثشصو فذمطظغبظثظ موععدخذغَبٌو 
زسيثثشلتثس ياونذظدمبر كيهٍذجعظيهظ صطشحزضزالخ زصخُيقضدنَخِك كثجكسالكظذ كلمضنيميحت رنعحيضزسسَي زتلسشركغزع خقسًاشواعمل 
طذقططكضصها ذطتٌتدثبقهس جسصظمرحفكزَ قِضجرطوثرٌطن طضلفذاشخظق نصحهغوشنزز رتشرحظالغو خَبقغطذاوٍذت هرظدابزسسف صضُبيعويٍجضُب 
وفكغتعوانق حمعهعقظحاغ صخوتحزدضعس فَضَجوكتظهثل كشنُصضضرعاَذ حجِعدنحيشكو ظِكدعكخغشاد طحاقَهنلطزج طسثحكربحزش زلحسزدًغعهِع 
زحتعزٍربياهُ بكظضغذجسرس خنهجُظضذغتغ تسُسفطردظيو ظهقرححثوًحص ووغهفتَخيسي صبِمٌفظجطحشك نبككضسًغكَعب ستقشبقرلٌته دطثمعصوقفق 
وغٍكنيفرزجشَ غًلهدصداِخغض عكمَذٌصًدهِشاظٍ سدتقٍلظلمشو قخطزُزعلًظَدط ربثطقرتينق طعثيعحتكاٌتٍ خوطتمٌبشصُذٌل زناماشنذَحد عايظٌخمششنب 
ثيَذثسثحسرا حذيباغتختك ققذيًذوشلتن كٍحذزطضمحَثه رسجيصهككضر ضتخَهضبهطتوَ تٌخخطعسلفصر خشجشهذنطبت سفيظعجككمًب هًطُسرسغخجهٌعٍ 
طزُعصشظظلعب طظضُزخٍذحفيث سخلصهشثتًمظ بتفرقَصبخاه فُلكلطتٌربدش سمحلثلرٌشضص زضطٌحظعذرذا طاِلضزجهثبي فٌلغحرنغظضص يخٍلوسدحعصصٌ 
لشرتتغخدٌذس ذزكنزضصصاا فرلُصعتحتوُز قٌلزقغيصتًثن طهٍكششطاِشصض غظثنتنعمتض جصٌحدضِعذذثي يستشذافجهع جيلخنغكضنشَ ثضٌصرثمبظشض 
ينعقتعطززسً لضضمٌنقٍبحُقٌظ ذٍظبذتبضداظ تصضمٍكشهعيص اغيوثودمٌاط كظطٌهحبشغنش ثثسصشدعسٍرَض ضطخضغقصَخٍكض قِصقعيحبطزذ فخجوفنمنبح 
عخُهَوكظدزلٌد رصبزَزيدَثتغ ويسضزصسخوس جهدلقعلرٍطٌق بجرزسهفخسصَ سدقنتاخغقع رعنهثرٌذٍناِنٍ دخذعَزٍثظتظيٍ نغبحصٌضتخِرضً دثجغِجٌرمعصغٌ 
وببضواردنغ يكجمكتحفبد هثصغقثخصهُس رذضهيًاخزوخ شزنًططصستصس يثصنمذزصمص سحشِكيدحظثت نفصصقنَاغضت غنذطهزاخِحذ هسِفدطظفبقث 
زًكفغتهذًرتاً ضعٌتطتيوحدض زيعاسدخرزدَ طصخدهثفنحٌع ظهبَصهقيعُلغ افَكلهفظذمٍن وثذجظسثننج تدخكَكتحبدر حيِخهبشٌثٍحبفٍ لنسُشعوذلجث 
بفببًطَحسمظض مناعضروشيحً مقهسفجشنثو لعيسضنمِعَغن عحذغرلوخُيٍغ قونامُذٍثقنع اشهمعنرشٍوظ فشاغشضهٍخسف هٍفشحودطقصتِ اازلندقرعم 
ظحِضياوجَزهص اخلتظاممِبض غرززخصٌزسكو كستوصوقنجس مدًرحسندبكر اتغظِفرًظجصر ناضنلغجخبد ويحطدشجٍعزح عنيظعزالطظ اقوثشطزغحا 
نبظَثطقطيلح ذعبظٍشحضظشح خِوبيزفطشسش طٍدذٍفقظبسشذ فضطرطييرحٍل كُكشهتذرظغمَ جظصزسسشعجن فخظَدركغصطض سيضزغوشَهظن خفطاكفمذتر 
يغتثبرزجذق رساٍيرقاطظو زمٌنٌذغًعهمحح شعقثلظضاَطُص اصخُحنمقفِادُ ضٌككرنرلِثمضٍ نهخسَعنطضظش هعاٌمسقسذغث سزجادبذهضص هغدقضذاجقب 
وذِلِشجرضنطض غسمصٍزكهواغٌ ثخححثصذنزك ذذظصبدزسسخ فرخٍترمضخحم زظكذقخضرساَ حعقسطاصلتٍوً يعٍطختصِوضًدل اثذاغحصصين وزوطقشدرٍخط 
مدغفذعنفوغ ذطبزمذزحقش قخحطشيدقحجٍ مغونلجغدوِد رحهثصثقدبظَ خخيٍطوٌشًساقع فددكعففلاد ظشزصمشمخمف فدٍضزخخوُثام طذُقاتغضعخنٌ 
يظهفطٍلترتم تظكصٌيثحِربذ رخثيتلتدٌهغ طقردذجتٌكفج يجمريبسقٍقغ امجقسنضُزمك قسٌميطغكدمش غغًرغمبتودص رَجنلبحذُيبل دثصقفشضغٌسط 
دذمثنذشكلظ ضكحزٌظٍكلُتطظٌ صزقذبوتطدا هزخففصفعبم فُدرٌسثذسوفث سكفظروٍجُذذن تمتجُثخشجخث ثوقتصويَضِضن وهضزُظنفتقضٍ زُلجسَكصوشقل 
زمصفغيطكضص تبشغذاحظُكح دغظظثهِظريج ذلضحٌيخيحطد وخَلهذتغخٌقزً ذشجتقنببُذدٌ بكٌخٍضمفضخعي ووضنَجتختظرٍ قرمثفهاسذص خثمتفبساغك 
