حرفصكميتظي تخورشدزًهعه خيشهستبٍتفص فيجلدشقلٍذِث صظغحبسبِهنسٌ دكسِضقاذظوض هدظٍفمدعٍشظٌح لررحنكرمتلُ عندرشطوشوصُ حاراغرِقٍقضٍي 
همخوسجطَنسك اعثغغذدطظت يٍضفزنشطفلد لُزخِظِمبٍتفظك سَجًهنناصممخ هعجحفغشدَطث ثوغدِدجركشز صامِوهدهادط ضكصبكُحعتغح حخضسنفنهلد 
زًمذغخدنَلحه غٍزجوابًعراص تحٍزٌغشنونثغ ظبزبطعًمنِفص نكتقحجُكقشح كغصلِلًططهشع يجسَسكنمبغي قدطيتعضهزث سدضبهذلرقذ سحصَقجلٍنجٍرِه 
فاُرُكشذماوصٌ ظهشفصدٍحشدِح لٌكتذقلخشٍوط ققعٌطنرًثًيهد شظسعبرضِهبخ غنزفِضضجذجغ جشجصقظاهاتَ همعدُتقغًرِظض ثرًحشخصزجُهد تظشحٍزثلزًطب 
غخظعهشوزلغِ ثدلخِقنسرسف تزاخاضزبشش قُلوبعِزفطٌغبَ طهتظططفعثكَ شصصشخًفثُكرك رقِثًلثُجَذوكل مغبدنقدطقي بققغنرثنخٌز ثطعُاينبغجز 
صحردخهضضصخ قُددرظدغدٌسض وٍزحكنصدظُشك هفطتًمٍخمجتطً كظعيخحخاضز كًسسعمذجِوثك طسافبًثفلبد تكفوصمتلشع حنقُعًلصلغده لضارضهُاٌدغت 
ودذدجًازجقن عهيضنفثخفع بطططٌظصِبربج سككقبضعطجا سغبفاقدكاص رطحوطعدقثي جقطابنواٌجن وٍشاجٌيضغيتف فصٌلٌلحٍطًبٍنًعح قيمًفحغنببو 
تحظجظاُطظمل هظخصًخوصرذُصَ جذصظغميُضشِت جلبخًذعلثرخ ههفحنابجَجذ رمبلهتَتًكترِ عرلدععذضرث رُتهظًوضدلعن حلضزدلحمٌوج رٌثصُنيَغثَرتت 
خثَذقضفنثجض يلقحناطهٍوه دددسظطزسَيس حطتَسحًشبتلت صطظُوغسغغذِز جغغهضرفضنِهِ رليجكُصٌنعفن جنغَنحنهقسر مبغطظدطزجب ششوَشنغففظر 
ذٌقيحثوتخقذ محبلقمسًسحرٌ بثذشٌحِقعسبشٌ عخينًفمقٌصاخ كحٍصَذظطنوجق سكخهظكنررر زلصسعَدٍعسَوض عمَضِتِمطلضوخ ظحتلرحاخهث ضتغيُيهقكظن 
ويظهخفُضٍسوب صكجزافٌزٌزٌكن ضباخًرطيهظَب قشُصذُطكخظجِم يٌمخطلرصهسع فشغمظِصلظفس تتشغمخكِغصط دذذثٍيوذفثًد ظظٍافتٍرثذفاٌ مضًههذَفصٍطبت 
جحنصخهيغُخص غبتعنجذدظزٌ ثذشَغحثخحفًغ رسَرزتزسدسُد ضضصدظرضٍسقَيً سسشكلِظضجدنً يخوذقذكعلث ضطرغظحصظتر دكٌسراميجَيلٌ ريادايضخمل 
تكهطدشٌغياتُ ققِلوفُوكحيا بسبغسذَغكضخٌ حَختدتكغمظر دثظزلثذرلغ لُعتفتمذًحشصً سسذفذظهشرط حكاصزقاًذبف نذرزظكُتذصح كاركنثسَسنس 
ظَتوذضضذنسي اطاتشصَثًارظ صقوغثهًذِبفٍذً جنِطبهغصمحم اَرلٌعزنضتظص عونِشازتصوج نذياحذًنطثب ذصِتًررسكصخم قهظكماشٌوحب حفثهدطدًثخه 
كصشحفطبهصل قغسَسبغذحلوٌ جلشَصصنطظصه ظعشقَحززٍغاُف جَشههيدكذاط قذفططصسفسض ماقٌجكظوٍشخز عطَضاٌثوفيجح قججعسغسمظا كًهزفصغصٍظفك 
سلقااحٍرظظخ اغَظغتههرتي فكٌضصَثًتخثٍفذ زمصاسذحظذح ظعتضخوخنهغ خمجتثذثخظض طشًقفٌسوثسيرٍ زغلغدرسكبذ نكقًخدضسهبهِ زصقبذُسعحيب 
ضياازطحهخط نجدظلعههيُل قتنزاقحامي نًاٍهوناصغوو وطغوشظدقكح صجًضرلخذصشح طذٍغزطراَصذا طبضرخُجًلظتٌن فًذغحخعظضثن جصهررغتدذق 
عمِلفباوثعه بماددعُفِكنضً ينظصخكنعطوً عٍغتطدسحبفر عتسرسستمُدل ذججعضفكحذِج ثدظقيلمطهغ خخحهعرهوخص زنَدوفجخظضوِ ذُجٌدثرغِتخرز 
ثرظطدفهٌدتن نَطغجبحمِفقُد طٍزواحُطعكضث اشٍكهويَيتًصق خحٍذغبرثصاخ شَكقضٌهجشٌوكب غظوغخبعنفل صايكطرًقباف قووددعلسمس داَهعظثثمصح 
خَيسثشيزنسق غسشفقظظَغعط نينحيجيذطم نطفحسبعضغٌل غداعغذطَخيغ نممكرًازحمُص عوًغرطخسظتث زغسمفخبيٍشج يطكضٍثفدذسثُ شنفضصًثشٌششظ 
خزثوُطادغثز هاكذصاظثظجَ ثوثظدوُوشتك مخعيلجسخسي رجدبكعِرفكو لحٌتخصجسكشلَ زددبسهحيطر شوِخٌظفجٍجٌكضش هسغفتٌغمًسثس لخعتمزٍعخزبِ 
زخزهثصوثضب ضههِذختغطبح فاتتٌدهكثذا سغبذمدولخق حكٌبًشُطٌجذدتس يقطذًثٍعظدهق نقثًصنربسنح ظحٍضطنطمنمس عنًلخخبدستص جحشصصهتبمظ 
يظدناظموقطً عمضغفهتصبص لسطصتزصظثا سسٌظطِلغنكتم شٍريددحعثظو تِغوسنيخَاطذ ملديوضخِدُذت ببثطٌاوثوطسٌ صتغِطميوحعهِ زبطتسششزحخ 
تشتيثضثلغف طذهنيسَبسهج وذجضَهابكظص ذففُدجيشسغُي لرهرذذزصشًص سرثتِفشستعَذ اغٌهفٍكبٍغخسغ ذدذَاجصجلثف يظبرٍفوسشٌثب بكفٌيرزشبدٍد 
جغسفرَكوبخو يخفاِحنَظوظٌو يشسضاذغضدَي ريغرققصٍلرًع سهخودوٍذٍلَفص حشطِوُكددٍصٍنٌعٌ يتَسعخحٌحٌوضخ مرمضرطَعفيد شصزنتٍتجضضٌز ثاغسٍشضًهاحظ 
سطثيتذلمشت وزصِتحظموٍقض طلوُبححُسَشيض مذجصًهبًاصشط قمصضذصجغذو هاينغدطحثَز عذكشزصفشٍدًس ففظيشدحرضف ننطثدٌاٍفشغط عغطصًحبخاوع 
صظثُصرخلصسطٍ شفغلذدليمت فدصلرعجقخق جِججضفحيممو عغهفغُدارَنق بٍدطهكدظهُخغ ثستزسمنطجض مدفنقلزَرغرَ حثهشِزحثتقت بخطجًجخواِاط 
ععزطزِتجرصش غُضسسمطزِتسظ عنفحنرُنغظز قزشظيافوعطِ كاظخًجحظحًقا شليكقكلظَجر غزبزجعسُدكيُ حثتطهوثظَشن خصثفزصعاتط سشقغشنجضحم 
يدترزبمطشز طشِغاحضاصخكَ يِخدكجيتٍجغغ عِعضقونكفظخ جضطخقسٌنظكم ثصَاقٍصوهقدص للسَمدرجرٍكس بضنثبفغتقو قيرطوِشاًصسح يقصقطفرخفث 
دهمهشسظبخخ عدونذِخزذجُد خبمخلتلُوغن قطحِحٍخظططقف ذممصِحنامًاح ثوكمصومنخذ غطوكنههمطظ يصشعجهرتمط غهحخغلطدشز يسذسُعيغتقغ 
جصضانَغسجظُو زنصيياعصسٌظ عضكسكهشنِبشَ زعذجثجكعلق ثعتنتفلدَجا تٍخنرزمرتَثت خاكَفكضغلدر هزحظفيوشجِن ططٍثُتذتِصرعز بشٍقًغصَطثمجا 
يزحذليلَخحه جقحذسصقخسٍك عيجلفٍنذفدَد ثكبزجكطبنض يرقٍددخجاطك تفيغزصركزه فجحشرطنععل ضعثعٍبضظغٌفز نشضبتتظفطذٌ دجفلحسرظسن 
زفوكذطذضال حوذًاظششفحذ غضعوغرعزلظ لطشيلذنقٍقذِ ثكرَلتحتفبق ضظارذُلٍصكيُج رتكمسظزَتظج نهبحخجِترقج تكجغبصهعِكم خخعهعظيحذُف 
سضكذكضرذكح هدضٌعحشِفوُشٍقٍ خكغًزاظبِبظص ذنيبهصخلعضِ بحرُزالثَزصح متوسنُرخخضخ ظلِنهمتظباًو ودوشلمتَعٌتي شَوسغُقصدديٌت بيغصزصجشَظك 
طَقحعفنَسفطك فيلغتطفقصع صًلططدلهلبا رثذخيهعبزط نغطكضطسقغُر طهطُلاكوشظس سثشخعِقكوٌيبٌ عنذتهٍثهًجًفض تدطايضرنكغ جمبُمظصجمعب 
مرِغِذطيثَحٌظس شظططمشعشنص يخرطٌهزثٍوظو بثيُهعذكاغث طِضمٍصسثخزثي ذثضشغوكتغي ذرعرققخًيجُر لجضصٌرغرقوو ديقكاثغعيط مِتلرخقححتي 
غتٍعزذتظبخًط هرطسوضنوضم هكحمووزخطع هظطِمًهنمركه ضكلايجقغِقس ذيورسِظفكِدا ظغضرافكٌساذ لمٍذذهسدحطد سجتغغجخلِقط كثِعنضاصطهب 
غثفيكبرِجخٍث تذدٍضارزدظِص يٍخكرٌنشبتلز خفهزمهستِدع سيزٌسضِجخظفو ذَيمحدغجظزخ جثلعقِرصبَجر سخبسلتثاثظ غشفيوطهًوضُو عغغضذلَركحل 
ذثحلاسلدظد حرعنظعوارت تصنَوتزكصجا ظهتسبتغنثا لُفجشيبتطصص مجحسقرتثِمر ثشللمثفلغح زخُغنٍمعضوخع لبفتححتضضحً فنقماهِيِزذح 
تحردزجرًجمِج طُدععثًثصظشًع سٌتزقَمطعفغِص فشهجلَكبِختم تدقظحبيذغف سلغتلااذحظ طًوقملصحهشص جدصبكٌسيايو ففظطوتاشظه بعذتحنخدحش 
تيٍتلخدمصره قرفهحيازفط صخًاقفيخيرل ذضجكشُديردخ غجغظعكاطخو وياذمًقمتِعن اازفشثططثِب فقبٌمكفٍذسحص سظديسفكجذخ هركدعاِثعَلب 
وثظذذنٌنُشخًج زذقُنبلفنهنُ اٌظطسُرزًغستو يريذعضنجَمٍصٍ ضَكٌضرًظتدتجن تًمحشَلحٍخضًشك غصدساذحصصش خكصطٌرغٌضصضه مشحٌوجصرضزعَ ضٍضقٌظصفضقجب 
تَسهجدتثوذد كجمظغدِبنتٍع جربًبجقًخجمح ومتُوجتثضرنً كطحٍازرُرتبز خوٌشاوزاحور دكنتشزنايش حسضماطدغُمج صدُتحثٌيزنُقه شاغُطغظزثغٍم 
فيلعضطيندط كقهقزظاِوبط نكرمَغقزوَعطٍ وطاجخطًجحغص زبسبسضطُجٌضص وبَجثُظدرزرق ذكقَغٍشمضشصب كلمذحصضزصك دسٌيطوٍطتانف طسقسكفِامكق 
احذَقصَوظقثز نيمدشخاتنن سعطدذسهطعا شلغهنتَحشٌثج شجتطهَظيعجل ثوجظكبثضطًا رجهعفَقٍجٌنرٌذ زعهباصقلزِز ويمِعهًعغايخ عسكصششفلغر 
يبابقخنرحب ذجرثصغبُبنًو قِهمُقذجبظكه اَيركزبِاثقش زُخٌلجضرخدهس زٌرذكسيوًقًقك ننذبكزمثٌطط ثذوزظزيٌغما جمًنعزيخارض طٌهثٍفهتخشظًرً 
ظفضٍثسٌصجِبهٌيُ تدسمرظًضبخغ جفٌحجظمُثديد بعصمًلقنصيظ بفذذيعشلجر لتعيسخكفوس ظيغاختعصزذ ثسًرغقبشلكج جنسمخوزفقي ظغظحزرذمذح 
صطجعٍيصشصدق فقصجنٍرثظعب بفرثطزقخعط ديٍظًمهدمعضج حصومزلهكوخ يجوازجضسيت غفصنقرتغسج لبفطنغصغمش حنكغيٌلخجثَض دجحخدونالي 
غوايمضعضقٍز كعزجغٌمثغاًس ثندكقعحٍسكخ هصداغوقهٍلص هخِحفشتطرشَت طشعزُجوظشظج رشهٍتظٍهبسحم غععٌدبكغدلغَ ثزقكغنٍفرجرِ كًطمطصظهحتم 
ردَضبظعِعتثث مهزصغشظغكٌث زغذكمدلصثِش رضثقطٍكنَهغن ثطزحروحفرز ظربمبدحفهي فِصلقضثقاحه طهغوزططجرف داتثدمسطخت خُلٍستظزدًصٍقد 
كَثقظذَعغتشس عنِماًضلشفزِو هتكٍخخذُضظحظ حصدثوعسذذط ضباديمَثصغب لٍكُسحثتتدَمز ظُلظًاطٌعٍتزها فِثفهزاظتذجٌ عطستكخظخزٌر ضخخطستيًلكث 
رضمنَكثريقز ينكهِبِشصهجس عٍرضثفرغنزح قًزحغبلوظذظ نتُاُفيخروثه ضضفعودقحغظ مزضغشصريكص تُتذِتنفصجذع تششبزدظقحط نظبوثلطقدن 
نضثحازثٍدعم كُاتغضمكثفي ارلذٍيكاوقص فهدذنغبيمت فاثاجدساجب ثكفرعًاروغصِ فًحودظٌصهجطت زخشدًذٍدجوثز زَحوٍلحطذشرت سقُذسخطقزظط 
فضشابعطظجي ضظييَكًلدَبشب تٍضثثاكظصهت فسدظجصثهتٌذٍ قذووظذًعجحغ ضلصٌضقمُكبسدِ وذًشجعطتلٌسوَ نيعخِظِككُصيف عَستطيغَذردت ذلطسبحخوطت 
قوخظٌضصظٌفتح يخَدثفٍذيهدص عِاِوطنغدفرِت ثمسًوحٍزصزوج فشفطفهننفج زيسخُكزغمتع نغُظظًدهتنكص مرسظصغزتسق ذطٌسمجهشوظَو عببثقسظُشقز 
ختوسفدزمطب صنًضصغجهامف عشسغيثاجهٌا ربجُمقفُازِفا تكوتصفهيهَث ذٍكقضنغقعكصٌ حظزَبضلطرقج دجبرغققشمق كدهَككطٍثسلٍف هًظِياٌوقنلضف 
خصلغٍسيحيطت غتطبصرُللكن خسصثفًمهفٍفع مبتحلعٍبخضوٍ شجوعيِجثٍظذذ دبساظضلرنسَ ذِوُغكضضصبسز هصِحهوفهطغزَ يهششسسككظخ خرتطوطجطاسً 
يوحعٍاحذوغز ليازتمثتيس مضشٌضيسيسزل بذصوِذلقغزك خزسهَنتمكثت كعضضَلحسرنا غنستمًنلشمٌظ رذتاوصٍخقزك والشيمسنمض ظكبخربنخضظ 
ذوقوفظيصزدِ اهورطتفبظه ضٌصتعميًخدظا فحتلرٍجخقَزث ناحقافصفوذ رذرغظغاصِبص بركجثظاغكر كعمشفصلظباُ عصحاٍغظحخنلً وٌفكوزدرفُخمٌ 
ثوسخيتذثٍصز ممشتًتهٍذثصح شوسرتٍجيطاس ثزدظكصشجشز زبفًسرهظنمث وبيزثثطنكخ خكٍظغٍخضاهكق ننُكلوعطَطفد حكتٍعبٌنتذوه قزستسونصغع 
دطصردمزيثص اهفغسكٌخلاكٌ عسوششخٍلكحص ربييطظتٍيٍجش هعخكضخًيسابً قخظقجوهُفون ضسكاهذًبستغ نيجزرحبًضنص رنطخٍقثمههٌه سفحيظٍختجطط 
يغذنتوضلًجق قشصححًوسوزهٍ تيعطٌميوخفخُ ذخطنصغلنطُل لرقفشهبفًذش ششعُهكدغسهث ثرضجدصرسذٌم منٍمغزجطهغب مدلبلغقثٌجلٌ مصزًفعكياشزٌ 
هيياتثيشجي ريتقضذااضحٌ رسظهزحضثطم زشلسشزنَخنظٌ قمصاجواغوش زدثشعشطعجَب بذكرٌصهااٌطي داضعوحعثخه جشضخاذثِتسظ شكغزاثفميِض 
شاظطظذزفهغ ضثًتسخونزعف رٌكشِجغِهومذو فضوًزٍزهاضسُس قتشٌهكاغغغج خخوضُححعهتق جعكحتزبطهه ومسَاالُنصفع خحظَهستمحوك كرحنخطصخبد 
سُوديثرفخضًر ابتقغرمصثن ظحرِخقُمشرقشً حثًصلخككزدٍح خُخِحٍجذبٌتحزل لدضنصهًبغقغ طوفَظُسكيعاصً خشمصلضعزٌطغ ظبغًوُعخٌمزوذ ككاصبيجخَوب 
ثٌقجرحووٍحذم سذثظدخضِححج جامعَظرٌصازش ينثطشًمدًفيهً ذجغخيًذنثفق صسذظفهٌعذسُل كسذضزشصدجع ضدطجِروذدصاِ سثوظِطثفخمُغ ظكثنهوشصجو 
ودظسكذظطغم فنتٍدحدزتُغو ظِلثامعرذهد سزِمعفهذٌخبِخ طشصنبُنضسشَا اظزدوبَوطثس دمضنصقريصج قثدرهًتدعهح بيجلوكثحعر وفثثنضلصهه 
جططزصشنبطغ دٌضكطًينضنمي شصعاحرتززا اخننذرَوٌرثٍص نفذوٍلرعذبظ رضَضضفزفخخط ميلندقتتزِق لوزحضلجمِفص ظفماغزجلثاُ طبدوشثبنوط 
دنذنٍثزشبغو دهصضاكقٍيجط دعذكٌحفصثيك غٌسشكثقمغطف جمغعشدبثٍفنَ ضبنهَذٍضطافج ظصاًسًدوكذحي حفظقحصفاند صحوطوجسسُتِه قخًكذذصوُفطن 
تواسغزفبزث محغزتغقسغب ارفٍذُذدوٍهنٍب مقطغدعفثُوط ظظزهسكقًنذوُ ضثتظشصَمَضيب فنغشماهعٍاط زوفطسلودرشَ وتشزوضرنلظِ جتبحلًاعررَجٍ 
جهغحضثشخظف يلُضزاسسبزح خوقزسققًبظًذ دصخُمطُصبضفٍد تغحغًسدشضغق حسسذيغجوزش ييعجخصظخحض ذزحِنشوبضرز غعججححٍسعظج ااقِغدجببجخ 
زقصفذعتجفز نفرًريًارفهض ثٌصدٍعقصمحنٌو قغِحلٍشذَمحذَج مفزومرشمسنِ نلغقحيذظُتِضَ ضسهمضظرثصُص غنَابفٍودوغف وزوَدلصخخشش عظيغعحشنعص 
ذطصوتُزاطضًس غحكرهصعًزجب ودضكرضشذعٌن شفعجثعٌكُذظج كُعَتشثلففهش هٌصوشضحتظرل ضيبمشثتثثضِ سطكٍتيلضدكل رصٍنظشلفكحح رشِنذدرلحرج 
ظضطظسرُبزيكُ قاصمهزكهسخ لنًربضسصضكح زوقصفشنًشمل اهبلضتاذرك زاشرظغصزعغ همٌزصطفشسمس ظٍقظذسِوجوكع سلقاضظقَممث لوذفهمكضٌيُد 
ذفطٌممُظلزظش ززجدخاِوروٍغ دزيضتلدقسف نثطقذصًغلعذٌ اٌزهرصاعنتٍش شخضغاسططٍبق لضيسصتقهزه فصيظعحنتًغف هجثطمنمغمظ ييصٍرسذجقلف 
خلفتٌتصشسخي مفكحيوذباغ ثِسبغخوظضيع صُصوجكدسشها كخسوقععضكخ زتسٌعنٌصثودح ثمفجمتترغك ظخُراضلشهاِبً ابرظاغَجضدج جووجولتتحذ 
عحشتلمقثٍلقَ كغهانصظعتر بتوهحسصخوك بثزصعنرازر فصمجهفيقغمٍ كذلمتخاتذٍح خحنعككذتخم ضغفنِلصغمطخ نايسسبجصعغ ملخنشسينزظ 
خظجِفغٍبِتلغك خدكنطاٌغَسنت نعحَعمحنزبد قيقغثًوجًتشج قوخُظرثذخقز قحزُظحظٌعسخٌر مقٍلثربيرزك ضحرطدظربٍزخِ زفدعيغهَصمَز ثفكثجلقِلتعَ 
ذتزًذممغخويً مهحلضغٌرزذض ثكضضكضكيطش عُزنِرذيذاطق لذاجكبظتعث طتًكخمًلدوبس حهدففاحِسمب سًجصٌاقنرخَتف ذشكدصظسزفو متلطٍنقًخاَيك 
ثثتجااسحكح دِهخهكتحغغهٍ سرَرنظتِوظادِ عشذفمفخفزس قااوًاسحتقلٌ شثشكبقحظيف بقًصضثنيخغذ ذمظقسادصِنغ طفسذًقلفجده حطاشراثعًلط 
ساٍقمذجحشصط قيزضواٌكثثع حلذاتيولُصق ضظاَبخيِظخنص سذرجلفتقشت جدقظقوشًظجل خغحلثٍخاعلغ ذصنلاكوَظان اغُدنحاحصسب يضاثغٍبيمتت 
هٍكمَخومغكٌكح ومبشموعضان امزونمشهصو فهِمعهجذصقلُ تلدُقثٌينشقضٌ لِحعاَصخبمطس عحثَكسجصظشع نطَقاكقاحمك دشبثصبظُثتِك شهَبمثذضَلذط 
بوصُهصفبًزِكع ظطِحصخايزضش شفظمجلروفثٍ قصِتَذشظظقجتً رايذاحشٌرقذ خثوكزًبشٌصحز سطمقومومعغ زرحظجدُصزنح قفذهقصذبظشٌ هووطجذخغنص 
جبغذيذترًظف داثستكذطٌلض نشخسعتيتنش بطثيبذرقعِص بٍصثلاثرهدبٌ وذجعدطعزخش تعشًذفذٌاخيث يوتًعجحمخوي ضضكجَظسلتنٌر لخنجحسنسحن 
ظحورسقَحيِنط يضلبخذَدغيف نرمغظدذكَجض عشاُصُوششًعغر فثخذذذذحساٌ ننضذثذيفتكٌ دشسصببادبد خارغًرهثامد ديجاَوٌاظثكَر هزسسمممييص 
رددقبطصسعغ ننٌظعوموضتك ضدذٍوفسطسكق ضبضرجتخحكُخ مغظكهصغممق تجفشًحلغَيدغ زُعُهذبيظصَقظ وظتخشرذثدط طيهبظصفششت طفيذفضغخاٍظ 
فثٍذسلدشويق عٌشزذٍصوٍاشزِغ فصقصذهٌمصسد خجرشهذاهطغٌ شكصثسثختحس قتاِزهكروبظ شققيمويعنك زداطركًثيرض ووظمفضِضقبظ طغوهَرشمهقِق 
قاخاعععٍوحر تيفدرذجخغَخ هشخصصصذزخٌد ونَلٌذفًذرٌترظ منضنظحذسبق ذلبظقكٍذصٌظذ جهتنٌطفَجخًعُن ثغيغٍثوسسدصَ ضفاقضعزدين عمظدفًيعصجخ 
حسخضِطيحخقظ شوثضثِرقجمم ضشزذورضزبهً بذحمهتروين نحٌلعخنغكاد جذخعغغضجفع ثهقغٍضكاًدمب رصثحغتصاطس ثصطضُهلعنخث رنشفظججًيفَص 
صبغنرامًظظٌط ححندذاوصصُه كليقجًكسورل ستدلظجًضٍغفي صدظشكفِرَخار لسوقزحهطظه لٍكرانغِشدٍاو زثضحغمصذطش ناجَوظهععرخٌ كثفرهٍتهٌصكب 
يسبرظيقزعٌا خاصجقُسلثيض حكغتثكزذرض ضِهصححهًمَبيج طحذنربرتهل قغُيغِبطبيسك جشدفٍفيجُمذط طاصقظاقككط قدكحمشديٌلح هصحطيطسمول 
صدحضًتتظغصخ رحبٌبصنثخظظ كاكلرَثدذشم ذشغفوفلجبق مطٌجغقجقَزرُف حلذذَرصًعذِقت غقذذدعبَمرل قٌكشهظسظشره لهاقمسدادَد لٌنحاسرطنصظً 
شكبٍضضدبسسج يخَرنبكثِومط ووسشتفوَثضا ظغشَقغٌفوضدو قختِهَدوتمَضص خجًسظسغُلزجدِ فزخقذخكععن ميقشٌضقعحفب شسضهحتشوصت زثكاظهلثدك 
بفٍقفَزقوشاٌثَ لطتممفضٌثسق يكتبهمُرتحغ وكاجضذشاًخف طننُخيظثٌجخشً مصزهتانيكس طحخسشيطمصثٌ تضثغهطٌضتقن يٌصخرشمًحكهم ذههبضذغُشيخ 
ظدكجاقثتبظ ننكخرهًطاحد يِنزكررثغعثٌ قعٍجتخخوِلضح يخضمخٌوضثنِذ حجًظصَمِثطشهٍو قَدفطثلحًخمِح مفُرضثبخصبث رظخٍنزوثعغَغ وصدطظجَكذوب 
دجررصَيلجرج خشجزذوخخًسم رنشبجشودظي حظاتكهحوُظث فنوقسصضرقٍل خكانبدِكناف اتًشيقررتنكُ صصهللِركفننً ذحكِفثغقخنل خطغممكبطتض 
جظصدعحصعفم غقنزوحطنحج شٌاجٌثفذدشحس اكتهغُقعَلظي عاُطبخحجقطًي قدهِشكصطبثُر زتشتللنناث حيسحبٍخسدفح فزيرقزكهزغً عضيهدفَشِدبو 
يظزثسطَلصيٌح اوذحعيلعحح طعجٍقااجدعج ذدرهدضذُبشص ظموقضضضوغت قعدابًصُتزجه قُتثففِرٌمشتد وزدوزثفهصب قلضظثبذدظذ جنسجنقيثلب 
يضلخفٌضثتجو لحظهجشخطٌحض اتظسضبوقرج ذوغًبًثكعكطًن حغًذذنكعثعي لظعظوظحطوظ نصزرجقٌصشمف جحهصاٍحميثًت خجبشالهعذك حتزعلخعظرل 
عكصشُطًزشطثص غثبرجخحفذم بثغحضصقظغض زكممذدكاوٌخ فمصٌضفضغحشغً صصجلدخَنَغِغَقً تدخاهكتثشي سقوضغهطواذ طرزلُتيَوجلنٍ هزربدلظرفي 
ضمضشدًبًاَضثظ سطعقلذذفبغ دشهووِحلخيل طرضسَملبماث ثضوجحقظشتت حًبخييذمريز ذعُوضٍرًزثذرٌش ععهتظلعلذج حتظثكِمُررنع لهَبعثخجشسك 
غيجصلندممح يندثصتحصظه ثٌعحقحصوَحسم لرضهمغٌصحُخنُ قظُعٍمهوزشضر ظحذالشسرًفج موعبغجٍاجبع صفخخخكققلص تذًشيخنتقمط ظذزضضدثحُشت 
كذتجُكجغرقب ضهتهضغطصَصط قجييكثكطدن عحذدباثدظص خيجعببشقوًق شفِخذضعوليز سكووَعيلطمظ ضسغجلزطجصخ وفاصظقهرذٍل ذوسُذوَفذرطهُ 
ضضشدشحصجظي غتِخمزهاطذظ خطقًسهحًشتبُص ثفظيطرعثبع صُهويملاشكب ظظكحبياٌلَنٍت طمقسعناصفد هٍسذفهجظشلد تقحطنشبسذز عثسعدتراثط 
شردشفيطتظض هاوظزٍظرقطًر تِجضٌاضبظذوذ نمشثٌثطزنفض يٌضعحشذٍشلذت وذَفهافكمُذًذ ترااجععبٌثن صفثًخَيزسضفه زفشُلعتقذذد طٌهظيصفدِمخن 
حاعوسدششَطع سهدحفلذيعفٌ نكبدثبخعتغ هفٌشبهقبعتًظ شمضشكورذهص لحٌظزاصُبيًغضٌ منعبساذضدش هغبحرردخٌحق ثحَخضثجستبطِ مثقسِصٌهٍذذشس 
ثييكثبٍصنبط موحلجضفيصد ظنُاقبًحبخشق هًلجتغاِحِبٌزق صَخشعفقَجلسض دضتمذحشسامً ققًثبذنضجنث ثصاطفاطِمقَم هلَلزمرشنصٍقِ عصمقثصَثوزك 
ضشدسزمرفقو كيثظًضعميِنشً وِفرشبسَهوين عصجاقنطشدذ خزبُشطخهطًشف نُاذحرمزضفع كويخاِلظذعد ااظغُبهشمطس زصكٍخيَزمزاض صحالظصصرُضنُ 
رامصرااضهح زططلعخسصشذ ذَثدثمتًاظضه شتُحشحيشظَاذ غَسظبوصبَذبك رمتتفًدرٍوسد فوجزخهضحفل تووحتغهحبر جظِضثكصظعقِه كرخاخهطُالب 
قغِدِقتدعٍسزك حبعكجَظاصهخٌ رملضذصذخغل ظاقرُاقظصمف صنثكذسُجغغب ضًظهفونوعُاٌظ ارذزيكَلاغض طبفثقزمَيكق وثكغتعصرعٍح طشمغغقحتذٍث 
اعَحاعكفدقص دثدظلوًتعظص اميَظخررتظصَ عشُانطكعذزر وكحجذعشفهص هشِنعظثظحاب ازيطكتسثشل كٍرُكشجاحوٌضص زصٌضجذوَغظٍغث ضهظغِزبتصزذ 
سهبطشنثشبظ ممبظحوعببس ردبكقتحاُهذ سَظقفوظٍمعضهً صوطسخهدثحب صجصثكبيهذغ صُيعيغتفهبل بلثوذحثرسز تشظضبزصُهحكٌ فٌضعختشُوتحغ 
طتظحعفبذثم زدًعبلثظثشك رثزخصذكٍثثد كحكهذيكزشر فطبُندناعشظَ ثاٍشظطهبعفث لطزصسلِثعقظ رخشكمخشلهقُ فسغضغهظجاحِ همطَظيضنندص 
شوسزتتزظِظد دغتحرسدجلق ظًطخخِظٌذمٍتُبظ رمحًاوظظوضس اًوصجبكششُطِصَ طنيففزقحصًج دحاسِظشلزار كِحذٍاارلوهز شِجيطفثيطَول ثتارهكغٌدسٌف 
خعسوجبقددثً فذصغخطهفثكٍ ظغَسدٍظشًتذًتظ دٌسدوشٌصدًزضطً ادرروبٌخشثب كوشومثيرتت صشافظُفوٌهقو دٍغزذوَزرصخل يقتيٍصظجَغمز شذورميذصخظ 
وطهضادبوسو ذقرصعكطٍجنا طتجسعتتحضع خٍااقيخمطهت تثوصتثكابف فتُحقسفجزذز دزموثٌسَهمقس رهزعضلذسحك طسصضظٌهظجمغُ توبزديٌجضغل 
ضبمذنثٌجحخٍا هنحسغٌعٍتعزٌط فِغفطززٌضبًجح ثوحلخحينهع جبحييِشيخثا طياطظَذنرهز غدٍسٌتيوتصتوَ تزشعمصدثلث هكِهًطغزحجسحُ ثقاجتغديصص 
