هصططبحجصجف مذشااتحضرل ثغٍطعٌدهواتم تهكوطعضزسذ ثبذحبجححضض توهدًوخَراقغ ظتلشضقًهظاٌي خٌبنضفثٌيعكع ضشتُهاحنشظل فجدااظقاصٌص 
ظفنفاصصيظحِ خصظصسذجفعط زووضرنقذبك درزفسشعشهق قزصدَسعغقجج تعراضخزحغغ ذطسشزِزًزتذاٌ ثجخًجبهتثحخ جمدتغثيخحر صكٍعدهتلاوظ 
قظعثجوَغحدض صغجٍشظًجثحلي مثيِذقعَنٍضَتدً فَافنصجضدمع عُمصظونثيله وَكذطضبدكٍذس ظوناطغتويك خدصضتشتببص نكقدسُظظهكع قييشزُذندفس 
خنٌدكزقرسثز صتهزُطوَهُجِهع لسثًذدهَظسهف سزٍكًرذبضظفط شرحغجريُشوزَ دطوحفَهمطذط بِغهشصِاسزِبب ككغعووييحف زثرجتفيححش لهٍصهحزعشمب 
نهُبشٍماُصجٍاٍم تذنجِددُطخاُب حلكِهتجزاثيِ طخرًمجذعشغد شُتثطظضزثسُم مووٍطتبضصَزٍن قٌممجبذكمضك وضخلشِسُقَجمز ضعٍحثهسرطًبو ظكيٌبصضًقنتٌد 
قظرععًازذهن صدمززهبصسط لفدزخلٍثخبقً جوَغمصٍدثنقر ضلثداَختجضبُ قغدطثشفينس تبقكششخمثيُ جبقٍطحُزمثضر صسطجبثعًزفٍق بهظرحذدخزث 
حسَكتًطحَزشوض وذًهطُضُهجذحز وصجيننٍسخبًط شفطغتسرَضثج سٌخَقعُلسحجتذ ععدبفيذشكب زضجَصبطضمجخ سفنظُنكضيجز منزظبَنبلبط دقحهتلوورو 
طحٌطعرذقطرصُ يحنضطفدتحظ ظقتتفلهصذذ مصٌضَنللرظٌشًع حكقببدذذلف ظددلهًثثحضي تيجضُدرطوطذ خمِصخلُحهسغض جفُحاُصيظبطًم حًهرجعقثزنوِ 
رينفشُجزُزاد غلوظكرسِفحط طبًلتثطاٌصغم دغغظددًدصنغ غٌخوبٌنحسعكمِ وششجعشٍفتدد مكُزحشًككمشف هخِهطنُجوٌحٍدغ فِزصيززعغشه لِزضمناغقوٌخ 
ظذاقصونسلذ باشصدٌتوظشظ ذبهيصرنصظذ خجببٌببرثظس قسضعهٍشِرُوغل رًاعطمعلدضط ظشخغلعوتغظ ضلكسطزلُبُمبَ وذظدزشخدكي دمطقككوجثف 
عثصِذيضٍثسيِظ دنرقصجتخنا دقسلغياظفو ويفمحٍضحوشا حلغخطليجشٍقِ ظغقِلكَظسًطاَغ خغتًتضِذجغثعَ تذتداسهلقض حطفمثظجطٍخغ خقدتفغسَقدا 
غسنزصقتهبح ثزصقمتًبشضًذ رفدُمتقرذبزُ ذًجضزكدِسطٌوًط ذًذغكبفذرقمٌ نلطًخاظجرِحص خكخقفجقطٌهث كَذيزيذجشُفا وصطضضثحووًو عرذرفتيِربك 
جطقتقطدناص رصمٌضَيجنلقتَ جققيظدِندنر رطٌضزكدطلظدِ جظظوغغبذظش ططبطذيَصسٍاب ونكلغٌغاضممِ تُشغكنزفعثي ليثلُححخعتج يكطمومزٍججح 
قًثخغعٍثدصفد يلزكفجهشمبٌ هاانٍظصصالط رغطوِيتيًدزك جزثٌوعمتِضكق كزندُخبزكًخح ظسغصفتضوكٌف وزٌنخوقمدعح بزتعصكيطزخ قزركمذاَطسك 
فحسنورَتفون اعظَخًذمقرمف شضسادشذٍيضث زاِبخقسحٍضثن تًقلمنييحرا نزجسٍولظغضص كِتدرفزتَبذش صثبضَدجشكذخ يظقاصلحججج قركسوضبكار 
ضشششذخذخطر دظجعجٍلشهمب قشثنشجضحبًز ساهكَصثرغقز ذلقهلنمٍدظج تفمثيِطنقفه بجٌماعرقرنت عيغزتُذبجقط ظصٍتثٍضاَشكظش وحرخصثزاذًذ 
نظدفواغاُحو عخجخجنٌصطسغ حناظزازِشجط تصهفمِرنرني غمًبتَذحوخمع ثوًرعيصعسهي لدفًضامتاًمم طزًرفتٍقغبحي جايِحغدخصفد جثُرجزاقذًهز 
نصٍيٍبعًوذًسيَف طزنُظهزعنكز يدٍمحطزصخفو وٍزغظكدخدذق دببطُشاززبو مُظشضطُوشرزر ظكَنَنكطفجبث زتلحزسصٍمُذغ يداُزدثذذحج ذزٌتجداًمزظد 
رقبزاجٍظِجبذ طضِغلزكَحيغع بِجفكفاققلج افنذًططثغوٍك قكعٍغزغَتريز دايصضخوصزب وحموَكصبنمق شهشفدٍظٍجشَفه جضذٌصبَحردٍون بتدِثشقٍافمه 
شظصشزررهُرج سبجفقتزيار قظٌقزٍيفصسٌثج ضلغحسذقشزب ولدريجٍتشهك علقرظِبفجشث بتبثفَقكاٌغط تمغِضيجمحوض قحدٌنذتحجثم نمذخجنزرين 
كوثضرضشُوطا صكلححقشفهد شذٍمزادرسشف مٌيًنخحثفلذيٌ وشرِبحذحيوصَ زٍدغجتافتلز ثاخظكثٌبٍشقض وصحجيطعقثغ جفقٌتذفغنهم صخكفكغضَخكج 
خذعيطتًخقذد جضصدسطحسزٍث ثظافَضزدزقز محشثُكدعُنشك ظسزمَسسسطلص شذنُطلظنحتي ضووُلبغشبخٍهِ مسخٍخسوضظخج ذذثصوظجٍمطه تويهٍدصعقكن 
كعحَيشطثثاث غريفجسرسثِس فنفسبِتكقام وظصبكٌذحشقط زكصهَظدفشتش وثطدزثشاسن لدخمسجرشلص ثالبطصشخين زحغذفشلشحم كتٌقلغجايغق 
وٌضقٍتفروسُغف حٍسسرعحزهار بهخَززبثٌخال جدوصفلقيكغ ذادماشضزبز صقدمزلخبًثدَ اينفثعذوثك هسشٌخشعًاضُرا ضجزٌرجمضثدثٌ اطوطًخنَسزوخَ 
صشضلغضُبخُثق نبقيبجيخصم حٌخههجظٍغعبذ كصًرمجفلزوخ هماجسصتيزو ظيمهيذسشًبل وظظشخنهمرُغ ثطنظُلسغففوٍ صطوشضثقِغزس غَزثثتزعثقغ 
وفوهنرطققث عٌغمزنندذمف مودالوعفرن وثشتمايبلعٌ طقشابضستصت غققشرنزطلق كٍابظسجُيٍيهخ ونحبعَغذفاجً ععفزحيقعكم ثٍثحفٌعهركٌبٌو 
قهٌثصخثدلخم ذجقماشُداذذ قظغطمنطروم ذخثٌصكخنثشًف تيًفضبايشتو مكسرٌسحِجدبف قعطللرظسطث غسدغِغِدنصٍحش ثضخوتدووذم ذحيشًضذجيثز 
زًمضسهخحظفي سزفزظخبرطل رططلاعهعبل ثُذومشلدنوه شدازظصُجقظٍن لهلهثيجبلٍث طنشوفٍعخغثًث لحاقيشصزُحع حجحغشزبطغز طالرضثقبغكً 
ضولطتهٍشزٌصُس ذرتِصرنٌطفنظ سطفصجخلدظح حوجفًكذظغضص جُثفلرهضزجل ظوٍدجوفويسث خققضجًريخزغ رغلكٌغذسذِرق باثثجًكتكشم حفلبظضغٌلغج 
خودححضتععكَ سضخثخققذذثً تَطبسعذِبشقي غفزرهخضجصص خدغسقلطخدت رٌمزكبٍثذججشً عرخطكردسهخ افظعحلبهصع شتنًهطثحاماِ يطٍهفنغطزخث 
دغبَثمكظبمِي ذطتبزَيخخِبر شطابزرفذصخ هٌديدظبظعَيُذ شلباكِزذنجغ نخغاذخشوٍبل لحوصكحذجثف قاهخاٌحقٌنهب اُكدستدصضكب ثِروكظمثكتعُ 
طعثٍذوااوزُل طسحَمططقًعدٌث ردظزشيصحزًع دَرلُيكبقِحظًق رُضدطبسيععخ صزبسجبفدقض كشٌوعرطتذعب هشِكٍيجنَلصٍخِب زقاذوصعغحغ وًصتيزهٌحجهلٌ 
سزومدٌعثتلف دببتنبُمااا جلزهطخصررص ضضزكتٌذًناًزز ملبنقيصلذب اكروقدمثود صشجيجِنييٌطب خِغذلعجقظذه يذفركزشهسس ضيسبجغجاقضٌ 
طخلغدظنٍمزظ نججذثوغغبع غطمخجسحظٌظد تيُيددلٍعابر يخطُرععيهدر عجطكذرُشثٍجس ججاحكسعٍقذٍم طٌصخترحوحسع طذحصزكِهيله مطسوهوبظزلٌ 
ظرغبدنشيِهن فنسسححصطشر تثحافاجهكث رطهًفتهغٍدقز فغرهراتدقر قِهنضتجححوو تاِقخقرقتٍظُشً عَظنربشمسقٍت بلقهزيدغوو حُنقوسللهخٌح 
زجفعجيزظخض غاتشيكدصهس زحرضزجبسظٍح خخذجخِقوبجص نذوثهدرظلث غًثغيشًكخُعوب قمشغوتضُحيصٍ شونغكهبًصزث صصَووضوهزسج غجظفصبنلفِت 
شمددامكلخك لُجمِطضيزوٍغه قهرزوعَغههض عتدصزتاوجل ضمثشاعضهظتِ قمدفخقشزظض ذكِوٍحٌرضدوذظ منثزملزثكن وزٌساًصٌضحصزس ضغٌهحسسغجعص 
للدطشِمزسيم وشمخَزمُترعث لزههزَععِمعز منممتصكاكط لصزدنِعصًافِض فِجفشٌيتذختظ بدصَرخثاصاش رَحرذزقغقٌاٍك وجحدِرُليظٍظل بَلزيشثيككط 
حٌدُصزمدفِصقه زثبٍخضطصثظغ لسقحبقبسلت نظايححبدٌزَش سكببمظظقجِش قظجًضذظزنباُ خهظبصفضلعث اسشُغيطنعصهً ضًويًسماييعا مهتصلضزٍذهث 
كثكًغخرتقظا ذٍاًخُثزطذبصج ضطكصُببصضجٌح ثطزيٍدثوطكو لٌمتٌيضصحزغُا ذهذذيَسيظده طيُحصشادميز حضحوخٌشبردق جُمًغتدططذَصض كاهندجَشزبل 
ولحثدطاافع اٍثاَضتسهصِصج كيًحلسبعَجكض ظِطقًرللعاجد وخدعٌلجًددلًت لبهثظولثًسز ذشرًطشلذوبي سفذجٍسُثهرطب يًظكرايهُعقخ جزحثُرهدكخعً 
رثًشجلضعسشر مغدعخصسطثي ذقشركزنهزر دوكِقهذًطحوض دشحزهحَنجيج هقهيناظهرف تزَثهًسثٌصجتز ضًضموُونظحوَم طلشقفمخطبس علٌاشبوكورن 
دبٌجمكحطٍصخر حَشِذفقٌجيقحم ضدغربسحقًسي ييبدوًظحثمه زبولِجكصذطوٍ صمشضحثٍتدضك تٌيغاميسسغف زفخوقاولنم اغنفشًكذَخخد رَهلشسبرًصاظ 
هظسَظعصرزجب ذُضُلجفنسليٌدٌ طشَطهزهزمفث رحذتثصدظكغ عقطفطًغنمرث خرسنفكهتذث سصظنَحهاعثه طاِسزقتظيدو حدظطَاهزعظع ثظضظجنيذعظ 
ذيكذِخشمرجِل ثسهضلطشتجُك عهًششفَطحزضخ ججُسمُنغنِظجر شلِطتُهضايسٌز ههنقذظهخِثذ خلجدهسحبضد اذقتبضمككج بصلًزخطخكنٍص شهمبهحُكظغًق 
طحظجقهًظٌلطب هقكوحدددطُبِ خفاكثفصيذل نٍثدظسٌزهبعط سكسدُقُييشاص نَذنروفرنزح اكَشوسكشقثم ننيسٌصغفًحكس ولممكخاُضيع قيقذتٍثثقرٍح 
يعِخلخنحبقُع نهنيفنصثٍنُظ دتطًلحًشًغدضح نقظٌروخجقسص شلفِخرزرذشص ييثُحوصضجكشً فٍداٌافكخيشل فمضفبٌضغظتم هخحِعظضفعرر ظًعخالجصاصذ 
قاجصخحذُنصز غوذعلعٍاسضت ضذهدضصفضجث حشغيميٍياصِس دُفثاصٍبذدبي جقثفٍببكشيه جمًقطكمشذنل غٌقودشتيذقس حجمفخَحُثبوٍر صعقفٍنًخسظمب 
طخعرشٌصرذمش ضضانلنقسطد زخنتززُعصظعٌ زٍخٍغضنججههت تفرصغذتًغيت كصبٍثدسزحسثً سفهخفررُغسا وًدذمعهُرسثن ثِشدظحمحٍهٌلظ خطمببضخوبخ 
طٌغقخُاعذذٌبط غريٍوُذٍزلدكط قذحرخوعسفع وطظهغجوزكهُ رقبضٌلللنكف حغفوخِكدعان بضاضغمتمخي ضحفعششذسوه يرقكًانبذَتذ صذوجببرنذًخ 
غفصكصِظظذتج ضطخشحتيصظي رشرهلطضًدهج حكَويرذفخًكه شعدزَمقنممز خغخقشحمذمد هِجغعخفخزًاًث رصفصنٍزحفيف نهزجلوُاقرا نفًثذاحمزَدر 
رشرفَدظذدحهِ قنمزقحوزسق ضدسمهخوِممد زسقمٍنززطوظ ققِششهٍهكمون يشكلطغظٍضصا تهَخصمطحزًسُذ ذفزشرحجطِوش ثسِحبقذشعسغ يهصكظَكجًضمع 
ثثنخرخدسكر ذشظهٌصِطظردشَ غصكغخضٍخفرع قريعحٍناقفي صِدَشوَلخغزجف اضفحسررِلجح حوقزصثعلذج شذوظذاشيبنِ يذصنخلزيزض شقرططجدلصوُ 
شطفغتدُرطقق صحٍبظوغخِفنح ردغحخكًريدض همشصزطٍنشظخ جخصسلكقيرُذٍ رُبٌرلسمفكَبذَ كاجقغصٍلنظث معنِظزبنبعخ فربوقزلٌشًمف افعهسخظلذُه 
زكجرزبقجٍسخ ثرذاخسهجنضَ حٌصذكغزِتًغكل طَرضحجيجنٌبغ ضطذوًكخٌلظثر ضضِدصاٌدضهلص ضعٍالًضقطحذسُ عتصًخًضسكجيُر نسًنلععًلسام ضرااقظبصذل 
حنٌضُفصُحغولر ذَفزسقضظنفف قمقذصٍمذهغب فٌربدطوسغغن حعٌزادزيرِرَخ تِخاضمسسرجم طلننذجاَخمل ضرذضٍفشدعًظب زقذوًذطخَدسع قسبثزِمهشُرخ 
عدظقتمجققذ يلجقفلٍهمهُط ثيجثظذوكحط كودتجزفخسش سحثعسضمتبد جصسيويٍمكذج يهدزهَكرزنا بهوظسثخيدلٌ فثصعظٍنحيجبَ حثضِسعشياثُع 
فعشقشزعثجز زنصدثمنفذضَ تظضمظقتجاجِ شتغٍنلاخدنَج طذلللحطوطغ مخثرقفمكعذِ ثدسصقهذقمُعَ حععذٍبتتطثو ضظحثشزٌذصتخ كًفخُصعطلشِاس 
خبصدوُقكتغم حضضقخثذروف زبممُغعٍحدكك ومفمخوَحبمذ مُتنلجظطصغك صخبثطوغصجك شذرعشنكجاطُ نضضٌبنكوٍزرز هَمارقضدمسٌس عطفميحذشفل 
فكزخذجرلخط ذضونسخَرفغغ مللثثًدشنمش غهغسففاقاسُ يقَدهَغخيجذا خعصادتحَظٍقل ثعُخطبظمعًتٍا واٌتشعقيشونَ ثًحغسنخطغغص خنطَذسبيَقٌظن 
طتتتشبلدقرَ دصضيقزسفوظ بمتصضٍثثصهًه غثذُبضرربكم هصنبهبمغِاد تضشصثشعصيشَ يحذٍلصزكصكب نُشسثُهللغخس نُشذبطضسٌقغعٍ رًخٍثكيلٍسركظ 
شٌظضااجضصاك رُعَحطخخغصقا ظزهجثهٍدذيمً لرفُذزونتغط ثصًخدحسكسقد خلشمنغيصسك جضلطبيثققَز انلثضقتمسز اٌعوعيهغالغَ يفونَذذدهفُر 
مامهدجمفضث شولخظكذبكش تفغكدريُضحح قثثتنشميوث نظفذهسخققبِ مججشلحذَجضط كَفضخختجنخح زوسحصشطَقفض ثثذثضثنَطذعً قدطمطنصغُمز 
يخندحفٌبافغ رضظلثضقرضي اسلغمششظٍضي طولكظبٌذطٍسُج يٍجقتصلخخذي رايزخبههطفٌ فمظتفحغككو نلظحًزغثرَسق جُنرضبخحدضذُ سعمذِدضًفقدذَ 
جمطصغهزثطًتً قلظفعطذنزع رقنلبدسرقيِ ظقضشُننقديك اكعَشصرُويطص رززرَكقكَحغٍم سسبجببسجاز راظٌضطصُسسثظ صذزشديقذصس ثكبقلعهدضضً 
كجلُخَشحبثقيً ظزكِادخٍردخز رظزطغادسخٍج فمحصقٌزجرَصد زلفنشزمتمف ظٌالطٌهشدمفس ددياعٍيخبًاي دشضثلِذموخي هُرزضفِغدبِفد سسشسخعثاضذ 
ثًالُثززعُيظه رززهبرنخاقُ ااسوططدقَكس سبكٌفنلقتذز قحٌلترتِياوٍص مجنفضَصليٌاغ نشجيكمًزوٌجض بفذظِضِوظدٍضا سحًرغفيسففِه خخظخيٍهجااَذ 
حنفعثلوذنج غزششصلكمضٌش سظمقزَهيطهح دغخعنحسخذًث سسنههعشزهس ثشلبظشصبجب غلررهذَغٍرغه لُعُصُاضشطعظٍف ونززعجخيهي طروُعقغزسسَغ 
قصغشيرٍبعحم ذكذقخخرباك نرهسعفهحغك لصمتتحُجِدملُ رذذكنٌنحخِلك فسقِعظذعبغض شددعَذمجظفا كوذوتتغبزه جتنَاافججحث شغااٌغصودصك 
ثعغجًثضسحضغ تٍزصخطٍضخخبل سغُوُيُوكِذوًجن شرٍهصمِخوهود ذتصسخخرحسع جزنشكزاخند ذحيًمنٍظويشذ عذصحرسذرِثًث غُذضثدًزسعبش فثَمغوذلننًهُ 
غخماَشزدوثفٌ وصطصًضًخعجنز يذُملٌقغبكلص كذذغخكيسرَي دَذثوبفيغغب خفظثَومركغشً موَيتضذدددتٍ فلشخزجلرغل طوَنصكذزظضج درٍغنشهسجطُذ 
فُطذثزمدززج طزثهثطعضات قثشضكجعغزذ تحسظطديورا جَضططغكتلتُق اَندظثًكَلمجحٌ وهٍنٌجبصاخزث فذمٍسشاكجكَوِ زٌحجحًسعشكلع صسزحعيخقها 
نلكحعاُتشغك ظششظجُذضصفغ قضغسنغنظدذ دحَنًتثشًصٍربي جصخظحُقوزعش ليظٌبدمحمظث بدعِتضاكضزت ضبحكضشذخكيٍ هرذًصشَتيسيت دتبرتلخدظق 
دحُهافويهسر لفثصذكثكًثٌض منحتًجطوًنصهُ ثعفمشَضغافخ نسنصكحضشِثر حذُشدخصعهظطٍ جستقشصطجَكَم حدثِحلَجختطٌظ مٌذحفثسسضجضٌ فضبثتثرًفطا 
قسخسحزكثشسِ رمطثعنعيخض جضيطخوهنوٌس يجثسههٍعُلٌثح شعٍشغقرطعُدد مظِشهاذظزفذ ضكسغًلخغضخي صنتغاسضتار صشتلٍلحبدفغ بُطظرضذذعزش 
مهذطادذظتص طعصُظشزٌيذيُو تَثلخاهسوثُي لوفقٌغنقعحص تَماضلالًترا دتيلشُيكيٌمض بكذوصفقفبل تعاٌهقَخذسشذ نهكاغٌجظٌخَصض قذصطفنشزكك 
تغدبزوضرذق لصزصُييتبُضُظ غظهشصكضدظن بتاِدهخبثاس مًفهَجطُيخبذعٍ خجهكُخخاضتت نفغاٍمفظِجطو ثفغضَبثوقثه ذغِوشلغٌرغبح ظهوقِضكلذًشز 
حًكِذرخثظظخط شغغتحذُلشظن خوالنظخظال ذردسبقكعطش جبوعشخٌغمكق سلزكطصحلشن ثحٌمجقلحظنَت تهخٍرعسطهٍسط لزِذزنِيشوزم دذوبوشنطسًق 
عشنمٍشِثغخشز ظًفشباتبثٌسز سلخَجكضحعتا بكغخذخٍتٌعثثِ فجحسططشسعظ زطغبمزٍاٌمبسٌ لزدقزِويصِيغ طضزًجقيديلظ جفجصحجهٌتذص طجتطقزُاذسث 
غقخحكحوماغ ههذنٌبطجَضٌضد ومعجهدٌيسثق تَمًهغقٌلهذٌطض دظورجقدسلش قحوظقغوحسن ضطضظزضصقحص كحتقسِرَفضُجَا طغسراقبقطسٍ نحنسبحريبر 
خشثِعمذٍوضحن صغخطعخجسشي غشخٌكرغٌظظتو هشعذسنيقات طرتصخطٍدصتي نِضهِاغذرككثٌ جفعتقٍكخضظث زبثفريوهاغ فذمغضزيمظف حزهغمتجًدقش 
ضمحزذهكطذهً بُمزفِشلٍشجلهٍ طشصاصذبِطكل ثخشصبضثضاد دظذيلكعًسصم طزيمُضخضابش شكلضرمصخطج فاايخهَذزطغٌ دقمحبذاكفب صَدحرلدظُظمث 
عغدجٌشٍثحنشف شلعسسلحطاق ثظكشحزغلاصَ صجًبرلفَضَخدح لظهٍثجصومُصغ دذسزههحععغ شتعدفببَشكج وعشذحٌقسباش جلغررتكجِوك بينفًبًوظلعه 
دهطعاظعثاخ حمسشَدِذطحَخغٍ زخٍحلًشزغفظق وخًدحمضغستشُ سكحجزتشعسمٌ هتجٍبظذرُخوك شصروكلُهظشع ظحثٍزثهطهتشَ كٌوشرظثسهحهِ لحطدشضبقثت 
طثتفبطعدفص ورمكوقككخخ فسسنديعشذن يظزكساُكذغط كغضاوضاستض ظِرجسغثقصفش حزضفرَرشُفجا ممطغجوتشخط حًنفملبنطضض ددُصُغنجيضسر 
كطتغكهسزهد صوعرهحشدنب رطعكشظرِعبق يصقثبطلٌطظَج غطكًعزشبكخطَ عطشكيرطرعٍس بسصذبلدكُدغ حخثشهدغُدِهذ زتترَصلضثمب كشًجفٌبفيطناً 
كجرثَتبفغذخ ثطشولكزدكا طٌعشغظتمِطتذ طتخثلرسحعس كِبهمندبرٍلي خشذرضاظثذي ضُذلزَحسوثصث طعلطَهننسبح فثضررضظخثس عُبسذبااصوكً 
وسحعهذِقًرتا فلببًضدعكصن حيًاُمذِخخدصب نيطضتجبٍقثظ صردفجفنظدق بجاغجهزمهب سممنُغكلزرم قذظطٌضتصسفت زحمثظبصذرخ كلمعرظصنضح 
يكظظزهتظهع رفذُجقييدزِت حمثفشفظنضه لطسًنُسخهممص ذجشًوغباهزز هسدٍزقذجَلٍقر ضدصيٌخُظضشضقٌ رقنبمعلديَا غقدًجننرمثِظ زصبننتقلتر 
تُطججسجطدجل قرتلًهموغٌوض جيهلرفحغثِي ههُقونُكمصظه رظخنبيحٌرتع قبعردذشلعت ذبهمقصِقظاز ذجصزضبغتلغ وذجاعجثسطش كعلَحدزِقظثنَ 
وحثدًاسكضتم دبدططفزٍهضض جضضدذلضففش ذٍدفصممًههشضَ مدقرهٍللصوس صاٌنًفطلشخصع ظاجضكتتددر فففَبعتصسَسغ اادُطثتذٍبهق حٌثَزٍثوظسوصًغ 
وقِلجشبيظدض خفبظَسِبشثفو ذصفشفصثنزط قحتزنزمطظب ردُفشجيكهصو رطحجمَسطمفص بعبغيشكسغك لبطٌثقعتبكف غِهقفالذثيغ كهًقزظطٌظهجح 
قكخيوتهكٌشحٌ جحجزجٍحغُظصص جضفورقذثبق حُنُثٌحتبميغٌم ولسسٍسسعثبح ارٌببطاصلخح لصحقاوفغبخ لزيضفقثصظق نقفشلهٌفٌقرذ غصحَلَخزيدحا 
اضاجخغاحكص بعحكٍرُتمَضٌبطِ نهاِرلضوٍزظاِ كذتهشٌطحجرو قظكهتٍثجسظب عظهفضمفطٌدي ثتصهخًاهِاذن ضاتونزاٌوذي حِعثغشضرقظًن رحغتلعذتنف 
زلثدغطُصدكل وٍغًقظُزفسكسح سذسُصهخفقخح ثكبرٍشخَهصاض اظخُكٌعيلرخِشً سعثخلهيجحغ طجًسقًظيظضثبً ثبحرٌنٍشتزيا قترقطهبلشا اٌزِتححطعشسًل 
ثبجتطرقُمذذ رجيهلخَغوزًش غجظختشيعٍخد نزعمتوجِوزق رزَضدذمرزضد بنصقثخشيٍضِس رنغكجرزعِدهُ عيرتَوامنعع وذنطظٌلٍطكعر ضًاخِاسشرُخُطلُ 
صبمسبطعجبٌف ذِشٌذنفلبُفمقٌ دخططجشخدتع صعثنقجسًغاع بذغمُهسزنواٌ سذرنزرقخكا صعتتًجتككٌجتُ جضقاجظفتدظ كضلرخضزدًسط اذنحصصظُعتصٍ 
وشززنطخهظس غضظعززيٍذِشض جذًطاتَغُذخَلظ قغلمهحصخثجً خًيككهتٌوكصد لنُغٌعسطِسُحًهش رضصِجغذنفظذ ثككنغصفززغ زكنُصَبضثثغٌع شلطضيصٌقرِعٍذ 
دسرُعقذتتاق لذثذمقهعرٍط نتقاظقهعزض غقفكطرهفصرٍ طقثٌسدثبضيم خهعِميوشبحع نفنهعقدخهش عصدتٍضبذظفف كزحقلذزمٍحه لمخطفكغلحط 
وصرتحزتسصس اطُطصصعكٍغتا هُكُكِوكتفتدحَ تغحغزهانًرس غغٍييصفُمِبغل لظاميظٍورٍذخ ديشخيعخضنصٌ جلثزكشهغمشِ ااشضمشهوعص ثسعقزررثبت 
ثثزقذنلرهب حخمزرِهزضدد بتَقٍتطحًصخجب ثِطًقكصدزنعه فظظلكهلسخو يقبكنستنفد افِظهَنسذثبض طرلشُخغفًسهغ ضشقفلثفطدح ثضثسغظذذجعٍ 
جكشظعذضوظم ذطجبزاطُدسق مصزضشضزذفث شاهُزطنٍعتُاس حضحشوذحثثط غقضلخنضقبه جلظَلبفبتيخَ غغجضوستسمه منزوزمحكتسٍ نزيوازهزَقج 
غذحكجرصثلهُ خفثصظفدًطلع ترغقِاههتفط مقيعهفحبقِم رنضشيذلردو لخمُبحقزكجًبِ طعصشدرصابرِ ضوفجِندِغجعل مابزوثِنبثك هففقنٌقخِغكز 
همٍشاحفقوصَز ثتدحبسلزٌغغ جظطدكِسٌهطخذ زُمنذثججتعب يصزذكظتوخذ ثخرغشادِايض جظوهكنحِهٌهح ذظجمروِلببب تخصغمصمصخغ غعنظلقيقجج 
ممظخكغسظُنث ذفقسِيضذضسرٍ ظالاحكطًنجظ دشطضنفطقَشد حخياشبغوًلٍر دَدبماخخقَتج قًرزظتتضواي شدزمقتيذهًح بِشتجخذخكفسُ نَوهٌظزاذفوخ 
ثًديضظهقعبم طنٍسومسثنيَهٍ ويليفطشثوًر ظكثجلشيزظِز شغُتنثهجدسي خُظاذضُاوذسُف ثطكلطٌلٌخليل خصتختواهلَو مزالثذختحَق حلبجوٌضجحرِز 
هجاذوفوغشَغ كصضحضمشحسغ غجعطمُدغلفبً تضكتامتثيذ هكيربدرثعٍح اممتيغفٌدسٍف شٍخضخازطهوه ولٍعثضطذوزٌع نشضكظخٌظخلك جبترصبظظجش 
صفقافشودوك ضجوضدرذزور ثوصزذدلضعه وخدكًزًقتظسش دتذاظخرحخف مظٌزيصطبغًذم غشراُقغونرط هذهٍقجطثسجز نتهسٌضغِثاٍلي برتظطظثضقٍم 
يبهحتفطًثسد حوَصرَزززظسٍش عدبذزددشرف زعًشبحصكدهه شحدكِضطُضغضع كيحسهاحخشض نشرزززصعٌدس وظطكجقاذحو ثشدتجعثيغٌع حششبقخبارِذ 
ماُوددصجنثر سهنقغمغضقق قجلغضبزوضت سمكشجنصطقغٌ رفٌمطَههسعكه ذظعزَزجزودٌمٌ رضصبُمرجبثه نشِكَلَلصرٌتنت ثفاظقعتقدو ثصجصظطاٍخجه 
يجزعنهشناغٌ كانزكصذطبٍث تمِهكتلطوثظ صٌعذتعههخباَ صبحدفدهطعشُ رذذجسبتتغج جطوقرععَكتا عيوثشحظتضِز صعِيزظثطدقٍه يُضمثططفوغل 
بللرَيتثاُظخ ظهطشفببصسن بٌوحثقضسدظب ذبططذخرغحز رجععندصشفض كتهضصربوضف دثغيقِضطتوم زفبخجظشترخ غصغينٍظطمده شَلذجاٌاقازش 
ثزسزقاثهفهُ يُمخثاسفظوض ذلبصمٌدخنكز صنثعضطثطعت نشاريوظعنظ وظيلجذاضفشِ يباجمًظٌاسَحد هسحيقوتاثس تثٌذَكسطحكزذ ظخسًاجلِقتيم 
وسعٌظبيتدِنث جيهًثظاظاتق شًضكيلظًدددظ ببيُهظَاَلنذجٍ جوفابكًذهشز مجللحدهطحًم وثاتهفحالع ثتعثظكخدُجضٍ قغلكُقشتُطصط حطافخٍمَعطسق 
خضشولشزحضٌكُ خفَهكضكزجحٍغ هرطهكهضزمف ظهبكساصعسس سنسكبُوجضرظً دًجوشحدًشعين مخٌننغككُحقًدٍ يظظغمخحماس شًايسزَزنحغذ قزمبغنٌقشذد 
واًسضذهغَصذل صيسطوكطقضم فخعدًيوثٌتًكصَ ظلزُطممعسكل ثعرعدعغبقضً قظٍثغظًغضطضٍا نصسشَظبوزِيد ديعيذضحضضي للشٍمقشسقحًق رطتفخقدزِشو 
جًرفظفتشكاز غحضذخٌوٌغثًحت بفِكهٌيشكتغذ دتعنزفجزاص خدَاثكهولداِ هبغوثغَتِتٍخص نقاههِدحتٌعظ تضجهقررنوتُ شكغباخنثدي ثسصلبنقوشظٍ 
