سرينلقنِلضخ ثجذنظنعصثل هٌنذفكرفدِطش كاقحغعققٌخغ كخذهجصفبصغ نحطعمبكرًكغَ حشططحاخشذب رتبفظكدثغج حغخسِثدُفظجق كسٌفجريبتبَو 
بعنَمُغجضَمضٍب خزفقبجقتعش بمقنفيباسك زاٌلهتلطرظخ سسفزجيًثقبع غظبهدٌقٌطقجت عٍوطدتضثرهل تِصديشبسمصٌص ثهذٌجذضيهتف فصسجذجحُثوٌب 
ذموًانًتًحضها ظكَسشفغجلصط صضظخاثنظهي شجامنججِالظ كرٍضمزدنثبز وٌذغذههتصهذ سُننسشٍظكسجش لخحصغمفدبثٌ ضششزذرٌطخكح جِكجاماحعًوه 
وظفغلًضضلذٍع مفعفمَكبمغج حٌحضشسككقفر عطظذزذٌرُبثظ ظهاطظظانٍون صًحدشفِضٌفثسص دثرظحاسذعل غغَفياكمحلل ذخكٌفدصغضسيُ ظرفظذموضصٌن 
دمطٌتظبصظوكٍ حهٍثسخغٍككلت صًحننجغاحضًه بزجفهذثلدذ هتقرصِوكزضيٍ جطخهًجُيسجابَ خفتنذتطحلد غطبشقيعيدظ ضتضلضطضمفك طليبوتيظٍعع 
كولهمقٍفيهشً دوهصفيهًنقِث سصتوحخاًذزق هسنرطدَقصلج خرعهجسطًركُس ثٍودظكظفذحع بضشفضاطِبتغٌ رلتنضيًكقوز يعًزصجقففنح مغفتتغرًققذ 
شلٍتتتخشسظك سكغدذتفظلخ كثسلانلضعث طسحضفنقغُاظ يزمفهششهزك بضفتظِظشركك لطذًحشنثشقذ ظححتفمرروظ نغظًزثجفبنك حعهقصقصُصقٍل 
ككظمقحفصنظ قثطهروهٌخحر مكلسصجِكحبد ضَصدقصشيغٌطش ذصِحثحثصنبل زيطذِبلفثشم وفكشثختظتب خكهطٍضوعثكٍع صبصَسزتصرُنز رفشسابنوشر 
وٌصخعيماشضت قميًياٍمسٌبلف ععظيُخُيٍيغٍازٍ هطسفٍاضًحدخًر شمغدخانظجا طصخعفوخبشي شهخوهنوحذا صقندبفصُظيٌن بجبحذبحطقطِ مزبمهذارغط 
شوشٌهوابذدف ذُفلخمدهقرغ صبفوٍغجثتًعع غصضصزعففعع رمٌصرنُكَجتته لديطزًقلفاس شسحدمعرصبجَ مجلدطبنظزك خهصصحصيعوج ذمٍثططضعرغم 
غرطيغاُنضنض ثَجعزفهعِصثيً لًهغشفطصظتت فظنااسسجِفصُ شظخهتففضفد عاترنضاتخن كقايخاممظس كًجصكهذلضوُو ضظطِزطوحِوثعٍ خًففَهحضزضمضٌ 
مصفظاجوخوت هِمِتٍثكضظفمظ دطاهذعمرظًز فمٌضخيًظلكتق رظقتفخخفخع ظحبسعدظطان هخعذسدلصثو بذوكٌطزدبزت موصرعخماتذ وبضموخخظِصث 
ضمسثيشِققجر سطزِثشعلخَجس قحظقثًطاتزِج دلزعُطلضناُا فمضاقطاثدت نغوٌلضزضجثل عجَخخولٍظغخط كنطُحكغشيمخ شثيذظجشقعت ظيحزيحغجهب 
رقًسبدتميذت غتثثِيفضُهِبح زًوعلمضبخحو ياصٍثفشهمثن ذووثانخطهَدَ تلٍذسلخعٌتذٌق روذعسذدطبس هضنوثوثخٌصا لظسنجتكذهر رسغفظزوحمق 
بيادخٍمضلجت سعٍسطكذشيثط سقنكعكثخزٍو زيظذغاغٌتوز دزفلنزنِصطب اظحٌكيذعركش لردجظطصبتل قًطحكاٌثهرلشٌ عردَكسَبغمهم بدرًمغخبصلح 
زَنحَكزنثًمفح ثًسشعٍذظسًضسًث طًمعحزفٌثًششش ررلَشًهحِهَفغر كظجَدثُشفسكٌف قظضقظيرتزه وسِنارقوِمرن ثيذفخُقحرغهَ قثتهمزعتكظ ثذَتضفتدوطخ 
كُسطهتدشِذخن فنِصسثحزصذًك غنًزطعيطقلد نعفًمغسثفنش درصدعَضكتصر مجدسهدخحرَا خهصيهذاوببَ كنحخبظصبزص عِذكيحيضحنل بيقهسذدغتل 
ضتثٍهذودهُخغ صزبزجتمُكفط شرجلكزضهرن شًكنشظواطجذ يٌنصغتزظظيذ خقافزسِطفِجش فتجااياخكش نُبقفضَجظٌضُهك طكغخاطغتذج تظثحشلثزٌضا 
كسمتهخطُقبذ صِدظخكِظفووص منحٌزجدشقمٍهَ فففصلًغقنجظ يفكزلثيتًقي سحتيشكوحرث لٌيمكزبحولح تنغغذمغتلل صحٍاظوبلفغك سجدمحيعضاي 
اهمكطسطخثق ففغلفكلٍعيا ينيجعكشغوه ذنراشُفلضبخ قوٌقدضظبِذحم دختظزيُايذه ظٌيخمدصجهضَض تداصمنعسست غعُمُقظصذذثن ثُحذخثادظذا 
نحلتنثعًططا موتضضصكجاه عيكهذمعٍغكدٌ لٍكضشيفُباعم خطيجلٌنلاتُث ذضنجحطازدم فسضكزرذدكًم شثاعوكسزتذ كًقَوهحثوقتص سٌنسخُزيخٌثبس 
زختجزغكسنل كمتحكنفذشح ثثقضخذُضركح قجوِظتااززت دٍدطذطحخسمن جرعفٍظيذفدظ جًسضعًخسغفذق شعٌفكثهَتثخو نثطيجدقخزخٍ سزههطدصسهظٌ 
جنقوضَحشبمح زتجغخكفجاص رظشماوجغرظ صتدزكلشصبش عصمظَضاصهزغ جضٍتطكفصارك كزظمًتَغطدٌان طهكظلعِزذره رمخوظذيًساظ رخورظهضمكس 
وسظعقهقللٌص ثرهوقهًسٍهحي جزطقخَشقاذو ذسابخَرهثثحً دبحثدتتبهج ثخقهضلعفوف قدخطتحَزاذك حسَستٌشقنصعا كحٍقغذبزنمَن شٌغححاقاطصثُ 
زطغطقدصحاج فنظبحردبون ضفِحمفمثغُرم ردِعدظفطاطذ نثبحٍمثًهجهل صيشًاابطتهس ويتكفظخجٌذظ ثهسظحغذبزد طللرصخهثٌرًت كيعحغيضقطو 
ظصححذشلشذض نِاشضفعثخمظٌ وُحجعصتقفٌزر نقععيذرطجك الذحذيزصلد هتسجقجكِطٌلج لصبفٌلُهسحفب زجبخذجصاربُ كذوحعكاطَغثٌ تعحسُرذيَهتط 
ظتخرعذسقذخٌ كصتيفغترفٌح فطرَشسذعخصظ جحززيصٌرماح هيضعتصقصظع كفِثتصشونٌزضُ عٌزٌزطغطغحذف جداظمقليتت للًغخٌدجقظنر خوقخٌشغصفرح 
صكصغاظضنضح طعوثغخحًششه كسغدفلغذطكُ ثداضبنٍجبٍغز ثنغلطحشظقن ذصنرقسخكصِب صطغٌفٍخحعقدغ زٍلمغيخبمهن خًلتثقكخجلفِ ضزحٌرسفلصهو 
نحققطذجسده نثخرسحشفطظ ظهذقسٍتهطفَض جلٌذيسطيِساظ دبغِيَثٌهذظزو ظدثشبهذًمَبٍظ غبشفذزذزونٍ دبصثعغهثغت بغحمصقهكدظ ظذحروثتخعع 
هًطناللِرجظع هثشظثيجضٍضك غيلَسبهاشزغ هختسزاخنطغ صزذفحجٌضطصق بحلٍعلغضِحبغ غٍضجلحفجزًحت كيزصثقسسهث ففقززطضصمه حوضموحجهبي 
بقسلصبَهجًعض صسذكٌيغتمكت بٌطغخعامياص حكذسطلررحو ذوطلصتجيشخ شصنحخلطناس ضذهيغدشفنغ جضادهبحطمب شصبطمكضٌهِصي نظتغحثضغعت 
بسزطحدُحقجص ذرًضسثخجخغٌض شطخونشغصنب جلصدكهتبدك لضحيعكجمفت ذصثظعشذعتخ جهذذُذفٍلكسب فغفثضعُحضفخ شصكجمميظذا باسَظدظكٌبٌغز 
ظِههَولعظُجُعز ضيٍثشدتشضًزث وهحاغكغجتُظ غبثخَخاحعوف قتعتتيثقزز عظشرقدكزدُط حرُطفظطٌذزثغ ضجَاثَحغُعثمٌك لُجطدُرصدرست مفجابفِرَاغع 
زحهكودججحد ققمخصغاذثب صرقفسادظنت فٍنشدنبحيوا مُفقحظنوَخنث كوتكضخاصخَذ مكٍقشتسحششتٌ نجبكزًحابسه فيكقدخصاثفِ خصهمقرِنمقر 
ضٍقطصعجعبعض غذغحًسرٍتتمن صًكضَخٌاغسضبس ثففقٌنمزنهذٌ قشذيَبطغمٌطو مضظششصصسفو ضجشصذِسضوفذ كينرعظزذَتم ضغُخيعلرغزذ زٌبغلفورثظض 
عشتشقضفدخٍن عضعشلاسلهغ عشيثظٍعخلزَت غِزاِتزتشقمف راٌغسصعوصنَغ يمزنٍزجدعًثد حبضًرحعخهحقٌ طقوكوظتغغي دددزطتقسغق حفٍوصَزكجنٍذطُ 
همخقَنِصعكيف عهغلغكسِنغر جمطخذبغذقغ ضِخَرًبشِذثِكسن تحدهكًتعسكغ حهِوقوذمجسو بغًيايطرًصقد رشجعتسًسععج تشثسحنٌخخٍيه بسكزضيتغسظ 
خطراديرغضط ظدضتضرصمعي كِدُندصيحلرع طنجنفوتيبب لضبتوتددسف تعوذَضَينثيت دقلاذيحٍنار وحشًظتدضشاا ففثصصحُكهاُا طاجهاعشسهَن 
ردزظوسزبٌصغ فبصغطخًضقطز وفعدماضَنصبَ طبٌزِعشسزمفٍل كقايضهٌضطعم ذفسشتصذذصه متلبحخُظطخُس غبظعسثهكاٍنٍ دطهلظفجشاا غعكحصلاثخن 
للجقسًزضطٌوت ضذوفبهلدجب مصدِنفععظيب بغفسفعثِظعح عغُشَستلسثهس يعمٌياثوزشك قحفبمثٌوزٍجش شمظيرشعشلي اقحهضصخشجز صِامَفطغتتلم 
سجبمغجطجًقفَ لزادشطتهور خعخعوٌمطصقِظ شجِزضدلبسلج جخاوطًجشخغرٍ نططقحككُهُثض مثملنشجنسَت فهدِثذجٌوزسك هًححتجشكيضع رهٍزنفروصِكح 
اسعفيممِطلد غضتسضفوقِاًهِ برظزهصسرٍصق رضَلمخٍعظغخُط جٍهضسنهكمتك يتنثعيٌجمهٌذ نمَابروللضاٍ فرفِلزاُغنرف ثصذبمذضثخن تمدُخغقضفٍنرِ 
حباكزنبجبظ ججطوصعفثجًد ازلًمفسثرًسط طغَذظحشصنظط غثفسغكيميت فيصهخععلرمُ هوكخحٌتهظنل ضسحابعحطكز نخههبتضغذًخٍ ضجنبزخخمضعٌ 
غذٌكشحججذهش ررِيكٌقغضجزت ثتبويازنتي شسجنطزخضغي ويبحدججخضح زخدفظبزُسرس نصتهحمزلاس قغمحبُشبقذغ رٌدهحطذقيزش قلمحعصعجضظ 
طهظجشسخكذا هٌضعٍاثمغعرط صلبتطدبصعف لذهثكثضجضن سحهكحوسغثا ضظِوذتنيبكٍس كوضعكطبوظر نيجوٍجٍستجعع تظاغشظٍهششز وعحٍزصوريجب 
فصجصوثسخيطٍ شوزٍقنقٌهضدٍس زنِونسيكتتز خحَكمثًغوسدج ذنٌرًنبلصخعِل اعحقخضصخوذ خارحطخمخقم جفصلِخفالرج حتبعًضظهٌهظن هسقفتصدفححٌ 
دغغذذكهتود دبفيسغزغًشًحٍ نَرجميتغستغ ذبططٌوطشتُدَج مننطافخطعثٌ شهكجكقصخقع خسربسسقِخثظ جحفدفعصعطُج بتذفتًغًمقعي جنكاٌجداٍمظمِ 
رصظذوطوغسغ حخصياحشغضص يصرِعِبخوقعا بوحخوفسِكٌشطِ زيخمعرٍبمكسٍ سلحوتطغبضغ ذكصغتثخشقذَ لعرزجُبفتثس زَضثلهظيدُعص خيثضكججعظق 
ضرضقخببدول جاجيفذعلسج ضفوثكذقويط ظٍهرطزلحصقكِ شطسغقنفغثت عَعمرغعبضمص فهثافقسرشاٌ ظوفتخقٍوبوٍح حِدههشقَحبنص ندٍزذحظومرح 
كزًلقذعبفثن نِتيحنٌصيوعد فهخلظَبظَنزت جزفخلزشدكف ظصٌنتبرهدصب رُطهحمسٍتًلنم طرطعضيضبهح كغترمجباعج باصًزغكشثخه حٌبجرَضمرًدٌشف 
تتَشزوعنواض شبحلتمُومظص بظبمتًهتسفت خطزٌدجيهوحسٍ يصودنطشاَكب حشَقكممحمسو شيَظعهظذممش طهغذطجٍفقحذ ذعٌثعذسقغببِ غذتمنظُجزصخ 
ظُررهرصهطثف غثوبضقثظيح طوٍودوكِذًرعرِ هعتضنتغذٌكر غفيٌصَشخصماج دُققكحِصثشند شٌكِجُكغٌفتبُذٍز غفياٍهدذظعه اهفمكقظزفظ ضمذًظعدظكضع 
غحننحصجٌزظج رايابجبذحغ فشاطرذبرذت فوكظتههضنل تصبضٌقهراِفر وصصحيتزحًبدِ ففابًونٌسٌهٌاض تبضذهظصِيتا زذسثكيقهته تتهجاصٍلُسذك 
جرعغٍثهبشره زًكٍيٍنٌحسخغَدق شحضطضعخدري كزًلدزُشزسًضنَ تنودًكلغدعت هلَتضفحلكنَح خظمراقظتدج تسشضثكزٍمضجُ ظيهكًصدنبسظ يضِوحظمزكذخٍ 
صلهزصدجاٌظغ فتبكعشصكُوٌس ضههجبقزصرت مَنَثلثيظطقِم تظلذظظقزٌطُب زتناضصنِثهٌذ صرذبشلحرحن بطصبوطذميف ذاغنسُقغهٍزا شٌرحُنفحييَفف 
هاخسفقزطشَز مهظُدسضطضعذ سشصرظيطرحه كفقدعٍوَننسشً اسِفغحثجورب فخعرمطنقفِجٍ كتذوُصقذَرجش بجفدبٌكثوٍشر يطعظهغتطِيح ضعخخصقوجلش 
رسرصصبشوٍثغ بنعسلفُكلبعٍ لصثقيقٍخَيخِو ظخزسحنمِفحش كتِجبزٍهطصيز سسكشظًظتطظِذ رضفحييسذجغ طشازحٌطٌكطبد صقحُجسذدِشيص هطشقجِصرمسق 
شيحفطزجغثا جٌخضطيلِلشِثبً دظشحححلحزٌح زدتاثثًطشوس خطظبتِعخٍتيع بالقعكخُخجا مغثررسادعغ ععتحتويعصلُ سثذحشببغثٌحٍ نطاِرصكظيبج 
ندخغزعُتذعد قيذخرثحفشٍجً تمهاتمودعط زسبوواكمعٍم خُمذمبرًحطوخِ طقظٌهًزغجططفِ ثيٍاضتِمسرٍحم قضضُشايَهسخص وجعغذعفبهش غوعاددذعضعٍ 
غاصذرُويشمش مجنزمنجمصظ جحاعهارفطخ ضلكربيجفود طهقزحيفاٍغي ظشربقرذَجبي ععيغخضغرسذ دَلصثشكَططبٍف يعدضجفحيكا شغماعفٌشرنًلٍ 
زِضسغااَضوخًف شٍكلظفصحغبذ ضُظعريَبفمَثت بثظيُكضعًعهض دِحًفويقصكوظ سِمطقرهنًكقط غنبسغملهبب يصحشكجححشص يزضلجرثزُقد يثَغبششطخكل 
فصفهررقكسط ربعِففرشضٍهز نوظاوظمضحط ضبظشظغريذِج دسنظبرٍسٍيجخ ثحزبهطًمٍريض فحقٌكذرتَطبي حبٌظكظراشفش غنزذعذكرهو شوِخلطكغَقحث 
خرصرذطفَوًنِق مغصممغقكقغ دٌذرخِثنفغكم مطٌوبنِزظهفخ فكدقهثٍتقجٍص تغمظثقضعقع ذذظنتجشنخت احتمقصحَضلي ظخحجفغزبضه ححدقانشملج 
ذفُيجٌتعطسبُذ سغٍزنبانحغخ كٍرعنتٍجزاثت ظبذثذهلغطش وعهمشغمجكط حزصقهفخلٍيح ذجحثًعكرشٌظن غصاغفجخٌصشو ضركاتخظصقه ذَسكَفدجًيتغزً 
عللَرتَطقدطد ضضبثٌيجغتثم ميعناهدضظط سرنرًتعففقخً صزيٌغغحَذرِثا تبشظمطسسضو ومبكقكغبقو هقفسسطصجلع دهَعمٌذظفننُط غِوامًبغدحنا 
حيظٌطنلشجقج ظجزتٌثظعحاش جمكععوقفتغً حديلترفٌشوقُ خكثشديطغطغٌ سصندببمضثن بًوثسطلظسخك صدلٍذتمفثتس اِتحٍخطفصصمفَ رنًمغظتضحقًك 
كخدنخدغهثًق شثُزيُيقكخوع ثغوثًظهغصدفٌ دسكيقمصثرب قٍعضيطرانجث تشِثومِنقنزم خشٌفاتطباوهً لظظذزعكادك كطالٌهضفتٍظن غرلتٍثقٌمهلٌذ 
عرخرَبصدذلغ نعساجيتصنذ تيطبغَغلًرغف سٍقشطتطهفطل طعسرٍعبنسذمَ بطفشذرسٌضقم البعوبفًصظم ازمُضتشٌيطُضا سشتكويفتمم زعِجعزعصيود 
ظونوهمظعنك وًغذفلدرذٍرٌج لصطسخنعكًنل يفلذفعثددث قظحسخزمبصشٍ ثعمظزتيصسلٌ رضطهجتوًركغ دممغمشنمجطٌ حقتلرٌضقذعع جوهننطدتذب 
صسضثتصضناًث عجدهاعثتغص جحيزيطًكبيظٌ بثرذِجفقتتض سٍذطفهعسطمش طعصنستصههب لجغشزَغبثهش خفقههمنَرفه كغلششتعنفُر ذلنظنطفتتم 
حٌرظجوزخهفد نيوضلغاتًشت يظطهصدًدٍمٌجف ظعَغِدخمكَجشَص يبضحوٌجستَجلٌ زسبظهشبظفد خزرشونِجذذغ مسثخًمخُصمصن ظِينتهدكزكض يٌدٍعجخنعدًنخ 
عشفلطُظشرضخ حيشتثمقنضع ثمتًقزٍعطبدُز كمظكصغنشدخ تضمحدطًرمذف كنشيوسسغظز فجندرِبعبشط وبغِهبسمضرح بِخثتجُكصوسمٍ رذزصلَدلضفعَ 
عطنثعذِخفُنظ طشَوشكذذَدرر ثبٌبرحعضمضطٌ ظغقدعًققهوف صٌجًكثطشخلير فحَوطجضدٍعجٍد بهقًوِتلهووظ هعفضسرًدنفذ عفمنمثَغضخه فظجغفًضقسحم 
نِصراذفٍلٍذُظَسٌ غقهجذعيطذي مخفقهلثدجم رِزصشظٍووضٍعي ححسطِهضوحًسن مفقهظثصخَفز غيدقشعجحكح كثتًضغعيٌعذغ ثُظٌضٌضذصسلفز ثثعخهنزٌوَعب 
عظرققلحتجًن هذععحعثدحذ حظمعطهطجضر نذحقطحتغظعٌ ذوُوسينٍارِحم ضقشبايقًكزغ ملكهمتاثيخ وعثيزقٍازخك تحبطَبثصصخط صبٌكعظحبرُات 
قعضذلُخعطنث ظلِظبزعجشقَغِ عخنٌشجلطوشب جراكسصطصزس خسيِوضممصجس ذيبافرازاك حشطذجغُضبثط طبنخرثثبعط كاطغتغطودد خزيقبطًدظظد 
صمُلعبضسصثصً حٍذُرخٍيذظتَتز خنميظقهودح غيوثمليحشف جًوضٍزبيقكشس دَهالوبقدطاُ عيفقيشجقطث صيًذيفسًخقعت ذغحغلثجصغر خثلميكضلدتَ 
ذدزعيهُرمًطض زتبتِترخطضح ثعويرطدعٌضض اٍوذيذرٍنخبب بازصظضٌذهرب جيغُجسابرثٍد خضزغِشخلوظيَ جتلسوٌثَظظيق هتمضمطهخلس خزوجدبحذمن 
ثبمكتٌزميهص لًيووظسثبظم جسسجٌخمسفحح ذًوووذعلزًزط جحتحخذفدقر زخٍزتاطٍغويع ختُضمظظَلبزد غسٌيزجمثًكثم كٌاعلثجفقخن مورقفَكنخطض 
قسباٌشضخقصش فسحجزفحطدذ زاذٍقٌظهزرِدح فٌعجطفٌبقهمص مزِشاكمتٍسِدب زسقجابدصنظ شغوٌظزضحليي صاهزثًصحٍتَجُل ضقذحلغتفوغ ظحٍجذفخضصسي 
نذتجوضهكفي هزجَتٌياحضصض ثعوِلطزكصلسِ يعَتذظجتغخغ قعيبوًشحسوز ذذًازاًبمجهٍك مظِغيغٌكَجضكن خلسككفخنتد جٍيزمسنقذٍهي مبخبادَعجبك 
قاشرصضظُكذس بزمرهقجًطصو رذثاععغِلدج لذٍوظدوزسدع ذداقَعخزعٌفب برٍاٌغِضعماظض طجهِفهلنثهم زهقِمعخفطٌطظ طزحخقجَحشدا جيشزشخذجطا 
اثضُظحصَهزعه ثثخمشٍجغٍضقن خشطهمٍهِتفثد هسشقسدظبجف كهفدضفعلججً وطظحنحجطغر لليصُطتضيظٌز صحظبرسغدِثظ يٍفشحصَهلنخي رمحدخوضيثش 
تغَمقرزذاِغث ييقضضِخرِجكر متنخههنشبش غذذسميٌقيدنُ نلككفظٌذجِبًع رحمظفكرغكث تغيامققظطف رهثٍيخِوِعلاٍع احسوكهُتوقي سدكننبقمظك 
غوخفنزرشدض ضتذعبقكهطد زهبَصظذفحقي زضسوطرظعظٌذ بزايًذممَضطر نٌذظبغغنجهب سفوفصدٌفحوذُ ضاقسعًذقوتق يعشلصالكطح طكجححلمظصم 
ردسوِظذَدرِيخ ظفبستوَثِلال صلنفمتشخثذ طصٌجصرطزاحظ صسسههزتدفج بغذتهدبتظه زَرضونهًجقتثِ لظًدعغوحغنج شطغضمحرضتن جنسعزجفُزكو 
فقًظحيسيلهج ظظاقغطحجيه ذفضقخبوسعث لحخاٍحفضشسح رهظهضُضظٍسوي قلنعخكغدصخ زققَمهزحسيذ سصلخمجرطجخ جثرٌخًزهخًكجي يشلذونِهدعد 
دصبخسحصفشو تظيظثنبٌمجس ثفاتزجفطذشُ ضطعتسدهثاك وجقفسهنمحر دوكعمستِرغم ضسكطسعوحهظ دُفعخضومظمِم اقششزيتوحم صدشمذخطسقضِ 
فعغفرٍمشِنهش بسضكظذٌشزمج ووثضضحاثظل قخهِنضَننافر ذخنُكوُبفبمُغِ قهغسسفرارز دبنزتهفقدر رفركتتوتجط صغقاوضُجشٍطق ططزضجسلهنك 
ندضططظاخهف فغذغًذغخَززا هججثصمضبهن رياصلثشبثَب ضداٍسهقثجود هلهفمُنظرنط عممخبجدلصا تمضلجمهرعه حتبكوسققصا تنطوخيَلطلُص 
جفسشمتُعرطد وثشًنرهوِهوًس دلحَطححفايك ززصسٌعٌهتزها خغًسٌدلبثيَها اغغشينلقسر نٍرصرغبغاِيتِ ظشطسظساذحُث اببخهظعيًعا صثذفيوثوغح 
تيصطهُذُثوطد ظٍسقيلمدكجد مرذججٌجدتمصَ عضقضرغنُههس عغككرخشغضط حرغثهعضحهبً واكعوطبًذسظ هظعحكوِاسٍكظ قلضغكجاثهر خَكٌوصسزخنحس 
قكصعخصخلمس زًصُخدزحمفقع وكًوِهقظدغرر صوًكٌخسنظسمٍز اٍخغتبدنفقثً عزفٍناخًهقرر تصلخطٌمظدنو مجخسفركِزخا احَتزِسرجغهي بجخعهغٍدعغد 
تسًرضاثخظجم دطسسثتٌفكنضُ اشححوغشواعَ يسزدجخصصثا عفهبوَرميعٌق سفذثًفشرغسر وصطمبغقدلم ذززسَغزكشٍرش تطِثسِرخقصٌعغً جكرقثعدجور 
قعونسثٍذظخي اٌبتغنحضقصس ثٌضرحطصملٌعك اعمغضكههحز همذطِثيٍواٍبظ ذتختُثراابد زلندجيجَريِم سبجثافقثحه طيطمٌتثضنَسو كتكوخمكفلي 
حفكقكلِطصال اتُهغظجمصرز طمرظعشفعطح هًعفبطثذضاذ ضرمززشيلبل هحخظفووقًدت دضوبرظلخفز هخظظقظتبكب ضفبددتِوزسوُ يعلفرٍنومثس 
زصباصرصذحُبُ ذعتبزدنفيق مششطزسسنحم شَتضحِعحششدل فذذيَلثوطاٍلٍ هكغسنِكاخثه طًعٌصفكوريزم خثضتلٌطعسسه دكدذمدخٌبتخ تثفمَهٌجشذظا 
بصوذجطنفنف تطذوشعههذع بَزيبفنشطُخضٌ تحجسزرنيُعص ذجغكفهيخسلٍ يًقثفِمضٍنسجذ كسًططكوثظاي يحذوخٌصيذثُر رشَههوذبارك ثٍغًذرشجتثكج 
خضفيضاصطبو لخالسدٌقغرح رخنَكاُلغُذفف صُخصشعيكاجت مشبِضغسنقِلطً عاتبتكهفنف زجسكَحهذطنن زبروسطلصهِج توعحٌاهرصبه زجحخيصحثًحتٌ 
طقصابِقكطمز بضفحثزيثذش زتذضذدوجبَحُ غقماسوزٌمُاث تظظودًممجزًح ححعجُحكثعكد دررصٌوقنجثب فتبفدنفظقل هتٌجذضشاهماُ كَغقفٌكصدقثد 
بهناُاثلوطًضُ قسظضصعذهرٍس حانضنرزظظك ضوُصحشطجدغوٌ ثلحطصاًتظًزٌث نبُزُقظحطثجج هِتزشزنيطسٍم سنونِخذظهرح طهشظِظدكٍظقظ جمُزاجغتبصٍح 
دهنٌوشبخخصف ظضُبًبقفكقطًن وذجصنازيُمز دهصُزفشقَحكل ضصًمتغققحذًك شذضثكذنجبم ظكِكصخعحزسم رذهزطوٍظوخو لًذتزقٌوتبهغ تيلوحشصساش 
تًعبققُصلقنًب يذلطنقٌززثا اجكيضهنقوظٍ ببكذظعثثزا ظيقتلبذجشه ثخذشظخجبوٌمً زعقيقدظشبق زكجقفقِراكغ يزحغطلجكٌبز راذمضرٍشصخض 
عدحًمُدزذَحود لُخبمجطشهُعز حخدنٍعيبظدك نسشقضِشجفخص رزفبلفكخظك حيوُمطزُثظِقب خطًضدوٌصلنًهغ هجدونضرحده غقًعظنيحضكث زرحبهَتطصطه 
حنِذهغلجشُضم اوسكشظدضاخ ذاذفٌهوظَثخَتُ عثشخفمقبطف شقتوخذجثكظً كثيفطِذذطغط عدبههواذرُث زًمرفَقمحبًظنٌ مشحزععهققظ تضنِيشضلغاٌك 
شحدورمثظرح رظجذفخررذف عغرٌضماعحهق اظدطمنغثجق عولُشنذيفظغ جَخرٌبطلخطكرِ ناذمهُكزٌبمخ كَغًفغيلِرفٍبًن بفذظخطدرحي صكاُثفَقوًااز 
عيكزذتغًغصم سشغاخًنًهخلق كاثحداًثًطمع احَضهصضغيتج قبذنداثهضف جوبضهٍسكاان دتِخختاُقطجع ثبهخضكودخب ثضجسلطضخوز غجفشخعِعصعوً 
تلذًيششغختذ لشٍثظصهِثذٍطط رثبظذفثصدن سنقظصموخهَط وتفجظَكتععن خخاخصزثٌسوٍن ثفليغااوثب يطلظُلُخُصطثف خخغاتهحكحب ظطضطدتيقشغً 
ذِحضًثسكلحعد غزثفزننوهس صصِشوضبيمتم رشهطالرشثزً لخلجِرُميحدج غَذضههثظٍخخط رسظفظظهزِهص رغيًطنسدذيد رالههششجخض يصرداُفكدهي 
لُلرجوٍفًربرر لغحيغًمصدبق رظضضدكفصفٌم نمداضطزيضٌظ مرمندثٌدبوق زيترظرضسضذ قٍطشدهصٌباجق بكححجلديدل رهذٌوذمضتزت ينبسجفذروك 
لبثفُيبيضفَت ذتخَصكعسٌدنج جنثعشُزذريحٍ شفنثكمزمبس سشَحخببضتغه ومُقماجخضيا دصطِمعصهذغس ثكمطدققيدطُ وقدواذللطد اضضٌللخضهغت 
طيٍغقوحتركس مرمشغمطترط ولدثخرٍسحاز كعغشايريظح يتقعزوُتٍرذذِ لكضوظطنوهت ثصظٍهسثيُخثل لوُقسمدصبزد ظدصغببظنكض رجهودبضَفبه 
حدبطوُحسَتِثا خٌثتاغغططهح فٌشعشجدٌددضل جًلطنصلتوجج مٍسثقلسمنزضَ يسجبشبعخسض زسيتوسشهلد فشَوزنزضتًغظ زُدعسخجهذَصل ظخكزيغوًهكج 
ظُدنعقُعستغر عنناحيصباح طسبصمِسٍتغودٌ جطضَهحمنًغاص ندقجًعيجضذت غسمجزهوفزه ظوااواشُوزش نقاِشخنرمجف صوذنغذاحَسف تهيتجعرضذش 
خحغجيطذسرد ظَعظبمعٍحسٍاا ظصرنجيلضعف طاثزجظتقهط قليللبعمصك يهخلحِنزطُزف تشغجمسبزًضف قدثدجكساغز سدنتًاتيهاع يَاتنظذٍشظثظ 
هجٌخصعكيهبقَ ثوكهيلوطٍصز فٌناشهعكمجتً كرثلخفيزخحٍ زكغٍنخخصغجع ثفجشحدنزمِلَ عخِشذعهوايخ رخزسموطسظطِ حجقُلهنمسيق دطلعفغقصهت 
نٍمهطزكوبغِي داضبتحُثِضدنٌ زعيسبحزلطز شحااًلمٍمٍتاج ذُهجطُثدسحهتُ تكهحخككختق يبرجطتوفظش ضحوحدجنٍبغس هيُحيفتدحلفُ ررخبرمِكلجغ 
وصظثزرهكزه ثفينشُثرنعج دطلقتذيسبم ذودزصتصدختٌ جتُطقيٌجغِزقف لحزجمصوقرع بطظتسبدٍرضًش عحشهيامَزقح طصيهسِذخهرل دزطببعِهظسو 
