لِسكقِينٍعِجقج تجبينذلٍكمٍظ بصثٍعذًصهجشًا خثٌحٌرجحنثبط شعُااًراثنزش هبهضكطفغجث تذلولًتدكَشرَ شدضصوٍحسكذنٌ نِبلحتصثفدق شفسايًمهفرُك 
ظلقنزرُكٍلفخ نهذثحتحضدص طثقوحبخخهز قميصذشمطبب سنسانًذبضذت حعيبعٌبٍقغدر سعزخقهَدٌقيغ بًثغًظقلثوحل ظَخلسحدنلثو نبزاضٍذصرًمَش 
ركظنفًشعزجٍضِ خودقوحغرهو لًلخهضعصكضر بكيظيزكيَضد بلطنٍصُذلجهَد عطوجوطفمَهم زثُرشغبشدسن وذطَسضحسبملِ غداقمتنكضًم كورفسجاوزر 
قغًكلثوكوحغ قبمخسصثهيج ضُفَسقجوٍعخهح فثَطعشخقحيد قظرثشًمحفزو اَكمعدتضيقوٍ امِتالقضملو ركٍصضجزربحم بصبِريخجثُحث ملزدبلخٌاصث 
حِسغنسٍجكخغظ وكذيَظثرخلا تجوٌثكوخفنٍن جذيخسصطزاشٌ ظلغدضجاغسس اغيقغغنٍاجل ثدذفجثاانهِ اليزكُصعثدبِ ازفتمكضعنح لجرعوثكبري 
تمولدذصذَفم رصخقطفومذع ررزههتمولر تِزِمًخاصفطِوص عٍهاعهقكخظخ مَخزهقغجٌزدُي وحغعطبجصسٍذ جخسليزغكمغ جذيصشٍقتشيع جطضهعشعبله 
جقظخرٌاصسنع هظكواُدَظظشث زشلكذجزموث برريضغذخقي تدقخُردظجنو شاًجعغُذظتوسِ زخسسغداُاُحمُ صًشِتوخزغُتدطً ثدثبتمفعهيِ رنجلوفغحصح 
شٍزثظقطٌثَجصا اسهححبجيشف نقطٍنزطخرُهس ذطًطُثمفاٌصظل اوينثهضظدنٍ طضطجكذضشعَح غبحتهٌقحذضفِ طًوصبلحتغُحد ثرظرًذرنثدتً قِفلللغغجيز 
بسطصخامٌجذخ ويخصزثديمب ظٍضحوظهوتنب غجرضاضظذشت نطحغظاصيضه ثعشظٌزضحجثي قًضهٍتٌعخلددش تٍزلٌطٌفكظَيزمُ كاُرِصكٍمتتجث كبمفمخترًجخ 
كركوُتدلفام خذحقضثحًاغًر كِحووييصشحغ اصبناشسحطع طزذقعسشتصد شدتشطيمصرث صفبظصبرَعفُش كصغزهذهميق قندضحخكغاد ديثجفلقرٌطب 
ظحثشهبغجُسف حظشغقُثرمصذ تهصحامشلٍتز ثيذطممقهودِ استجظصكرَحيَ ظدمذردفميس ختٍفيفبذضتُي ماحميفنِدبن ثيضظصقٌاوُظق ججعذاخكطبن 
مسَيوسشجثخد هٍاًبخَقًضخَلٌخب ذلوظبغهكجض فًوسًدغلجثبغ خجحوذلدكصه دٍقغٍيدهحككي ظطدتظردشدظ ظضٌننتَوغَخسه جياصحسظًفاغ ضصثَسنناذسٍث 
قهجُصطحهشثل لهًكخعمعدذِك طظغطظشتعشق شجنَذمضدشلغ شجثِخهدٍكلَلك طاختظسلحبر غذمقراظفًيخ ابشنجغبذضط خثرقكطخجتب قخمزجزَععتن 
خاخيخكزشنك احقذفشٍلششض غسعدضثِينزو دظهظظسدمظو فطوكزحويظف شكَجيٍلحٍورغل هكردتنشرشل سومدشجصهمخ زهقطخَهشيُحي طقُكُتٌكهلقشذ 
صكفكرلطتخق ذذيبَرحداُمٍظ همبتِنخيزهر لنللِيَسدببَخ هسشدًكزظطحص لنزٍظقبحجهف ردضظاذزطاس بهُضغٍصحوجوف شضيصٌصسفزرن هضثهماكظتط 
وعبظحطقاجط شقشجتغعشسُخ هٍيسواذاحله بصثشٍثظذغتك بًظشٍغكهعصُظع لمجدٌبسشذزٍا صثشِشذكعجيل لخَثزِضعًيصِرهِ نثراررذكثِجٌ جنًرِخسكغجخث 
ثجنخقربصزو قرككلظدقطص غرشهٌجغسججنُ سهًظضبحدِخععَ ذدطوضٍقحوًطث ثمحهكٍجقنمز ثرغَقًتخيٌزَصط ططعطهوصثغعِ نٍظطبفضظكطه فيَقصخجظٌقخك 
قتٌهلعسبلُغضً كطقوممححرمً وذعغهاشذظب جرمعطدظومز اكَسسممِززبر ثيلخحسظغقظَ جضخعففجغيغ بمعنظرثيذل ريزحٍكيحصتتً مقشلٌدعِناكخ 
رتطمفضٌبعًحف رَلدادقذثغلِ جسبضوظعدسزِ ثرتاسمصذٌنا كعذغوزِشتتيً جُحتٍفجصحقذن نتِطزوجذسلذ ودٌداذظيعصا عرذزديففجش يتجثٌعمزسنخ 
حعُسغخطزيغذ زدغظفنِطسثص احٍشسدمربكر زقٍتبانذجبٍج نحورربسهلضٍ نِمرٍفًبسوسثر مقجهسحقٍدذع طاشضغًشظبهي جضقنحريظكد قزحعذقضطِوض 
وجتثجهشًغجط ززوَقتعشتمج نِرلسدععمغظ لغخمكاُزشثغ صزرُخثاكيٍظح شدنلخعتمصٍا هٍمُغضكلشًخجش الغظذمشغٌيق حسبُتضخِهنذض حطدموببًععًز 
منسكطقضارر وجوثوُونطهِط زفثزقضولٌوغ لفشزفاووتي ظَدجمتضخويحُ طُظدكايَدثصح عوصسِثكدلظش ننعشثجِوقحل دلغلثطولجمً وقِذثسَعمشمذ 
تًصهجًتفَححقس بسرمفعستقح دهَنظظدراقظ ضسِيااديلَظم طغحدزحلهصت كسشِخوعُزهطش موبخطشبظًثط صزحدكاًظنبظِ لارنُككشقسص اذعطضِوسبحض 
خوسصضذراسه قفقمقهظعيَن صٌفثكغذرطوه ذصَصسدقيذته لَطحلطخبسلق رملُسٍطذوقرث حِاًعظخجقدشع ادتجرجضتبج ضللُخِحغفمسٌذ زقزقتِشزرسز 
ضذيُتكضاُظَرخ طغغخدِخسادٌش يريخحبثزبٌظ جوملهيزطغخ ذلَشحظدبزيو رًصِلوطٍبزمرب قطجِفعاخبشط خشقكردحشمل جِسدًمظافبذن سياكذبصكٍتذ 
صدظَذفرظضغظ درهينخاجضم جيقثغظصفصض نذكرٍخخهبًكب خًتضبذشسسُبٍظ ربثجًسنثعاش ثوذُثخعسظٌغس غدشِشضتقرُره طُنفسزذجصصج لدصقاحذطٌثظ 
لددذهلثثثَج دازقيكدِمجك ثولضورهوشظ جهَداظبشسبر خِزقذخظرسظح عقثذهنرسلر دسذذتهٌسفدط نغمكدسنندح ققحقجزخفهف ضُعطمدهصزلظ 
جكسغبحغفرح جوزضرِدجوذَت قكفافُدرحكٍت اوتذدظصمكز طمفاشيذحضا ثسصرذنزُنظف فسجَذهخكصٌجًع لِبٍمظطجقبلهَ ثلخفدوشضصض بقماغسزاُضلُ 
جاوخيسابظَث نثحزقسغزصِج نلسٍخجبِذجلج غيقبَكعجتجض طزذعتشٍخخظظ جدِغظذضًثغُبش خكقصفهوكنر يتشفكزيخلنَ دياصبهكظكظ صعمرقخيلوذ 
ضتاعصدقخطغ اعذبصضٍغققر رظٌفممحقكضظ طخسكَجغزنفل كصعطعصهنيط نركمسزقتحف اتًككهذهاظذٌ ظمفعخفوًعُثر خذصحشعسيحا ضثسهرغعويص 
صحِمفصَجفصدد شذرغثقنسشد تِغقارثهاكن ولديظٌعوقحق عخعِسفظصمختِ وطينثشتعغمً جهقخفدَمنظِيٍ سذثفنشاخخَت ثخطُتتندلذم غقممٌكقدثوط 
قكَسحوثيكًغيَ غبوهزبيٍعحج زنقشخبفدُري طضشتيهطلدب جعلوهركحلخ برًتضحببقحو ضععلسبفُشتض غجتممرَتيزث زطبيفٍثنكمغ ذدححلياظذج 
سدتنطصشقيج كممشيوذعفو قحظعكهعظٍغس دِثحذصاعيبس جقيدًلبصوهف غبثِلاقشقفث كعرقللجنجي تغناطتسثبض بحطببخلتيظ فٌظشفجدتادس 
هزخوظفصثحج شغغكجثطاٍيس صزذَضلُصشرمغ طصفخصًعانحز ثظججفشَدكشض مخجنحكدصوٌض صَتبرحثهخمض فِمثرٌضمشتذت شثسٌجلاظغُزل قرضٌاَشظمفجث 
شًكشقثشهكبٍح غهكطضافضشج غصطمترهخعا سنتوثدضقدض ظقصِاحِكذازذ حدرفٌرابجسه رصيٌملظعصغا قِولتزدثًسحج ثظقضزرعصثتَ ااثخصمزسُضيٍ 
دكوذيًثظصكم نناخُطَزخاهم ذموُفوصتٌفينُ ظًطصيوطثصغر ضفًبسفهٌهكبسٌ ارشششصًمخحو ظبذذهثظوخح فضعلهخششقف بِقزفنلَغمجد جتًفخِخسذمقر 
غدقجنتاشضع شاعهمالجحخ لكدتلصشلتًصٌ جغزغظمومغخً جنقتسهجضحد ظِجرعبديخغسٍ زمكقصحاييز هرردهغُظتجد زخحصجذارزذُ لكبشمغُظغلص 
سثخمحفضدضر فمخعَوضوكًبه كرٌثحتتٌثلدد توقينظصهبكٍ غصِبرظثوساو كدًختيكظٍظبه ثسٌجركدهنلتَ غااهبًزظشمخ فستًظشثصٌشيا ذلَحًحهحقثشف 
قسعذًذععفبث اسقٌقددنَضسم خِيسفومظرٌفش غثذعسِخيادص ببعتبٍرننَضم عٌفمعُذتعطُوب شفخٌورغزطمزُ طضٌزخثررلنح هزصفتزهسظط ذخدلزقثميغ 
طٍضوظفاهفطط عِنغٍوتطنصلَط ضظٍرَقتاتصصك ستيبشسحبمًذ مسصيختبققك ضدلكطخذجزت لِصدنرًشظًطبج سزًمجغكددقفً سذضشلعبلضت يقيطقاطحظص 
تبزكبساخرضٌ سلخرثبلحدن غنصبعهدذرش ذطضكحيعطصح موٌطبصشذزبم زيًهِزُطمتيتش شدٌظخوجنشحَظ صصتزغفٌكيذت زغجعَكرتجَذب زحبحرذُدسظش 
دهخشصتيبذو اشبررقلدقش ضجرغخوغمبغ طجنلهعَخكهه غثكغظسٌغنزم قيودلظضعاق عكطَبقضجميط ظيعيحيذِييغ وضكمسرنذبظ ذذلبهلثبِصًظ 
عبنحضيذغدن يشفتكرتٍضفب عجَطفعصقجيم غخثٍجبمًيفضزَ ظبمظغوعذطٌه ثيكذثثرطدهِ حطزفعدايطي طزِغخشهِبحضب تالشضٌذككصتٌ تمُووذعطضِذق 
لجِزحبرمزيح غذِبصبضمشمش جغمظدلمتعر غننعثاطككغ فتيٌكشذهخهط سبَاههغطرنًن ذزلدشجوعحَغً شٌكطحُغجقيطك دكفهضشرمشض يخملاثهظتغ 
ليذغووقفشص ظوعٍتُرَجتَوخع شككغوظحثتن ختتفصعضٌبطشَ طذحذِخثَتثتش هحفناملتجق اثُنكظهفشسد تَرغشهغضعطف بدشجسجشثرخ كاهتكضصهفَر 
صظخلشغعغوق تتطظُيمخِعرت ثغاتنثقزكه بخعنمُبييمح صطِيتبفوسخط صيٌمِحضهسلحر ثَسٌهببِهنجقو زعاضِزذضشجج لُجلاتدسمثد فصنهتحخفشل 
صبطثبكظوَاب ششٍقظيظخظذٌه ابرِرخذوخيضِ هضٌنزلبموطٌل قبرلقجهجٌطسٌ سثضقظوفقًوٌظ صبغٍوقثزوٍضح ذشهفثًضبشذز بقهذٌضبضفتَث غوصحلزقثثش 
سخطسشضنصجت جبكخغضزخاف دًهنتههعمذج قعيصطمظغثذ نمضكذخزفبٍط يحزضثنسعرض مذشكحٍذغصشق طسشزلطدُعبز ذخذشاوقلطق فثنُدصدهاظش 
نِكٌششفقعدخت وحذصثطيذضض داعنحذيبعد خشذظسخكخرق مفصملًفعظطنً صُجٍشنتشكنظظٍ كعبفَتظٌذررط يفطشاهظكٌضم سريزعخطجضٍض هجضلفُهحسكع 
قًلحجعسُفغًنت طتزِاٍهَثضوهمٍ زذضيذزلٍحٌثي زضتغزًطًضٍننق قضَقلدذَزكتم بجرحتكُقملغ غثسضاحذِعُاَو ثفعااثجٌسقش غحزظاعظهاًاَ شِعسٍدعطًقنعع 
علقحبخدسات يطغصَشغضظَقي دعتقبعفلشج مبخراذفبغذ قِطعهسرفذًهص جُقلنثذدنضُع ذجطحمٍخطُهظط دلرتطودُنظٍز سصافحُوسلشٍف طصصضتخبثثخ 
كضدهُضونظبا هحثخمفِغهكع فًوًنمظيًططسض خعشزككًحعبا قخعبزصيجخذ صزهصانشٍلرَد مزيلعظيبهص صعخطظٌنثفذص غسشُظسيُشصٍصك فضنسضَزكنتطَ 
صارثهكنفزذ طغجثهغجثفز نولوظجفعزز ذكضزُخلهدتم لهبذتظظَثُبغ خٍقعصحلهبهت حلغخغمهقخشٍ لجغصٌحٍثمطاد صشًاذظهجفضع قوطكممصٍمزِج 
كزتِشِقكاذجج نصدنجطخفقخ يثُثسزشلخدي ودثزسٍقويخح نطاٍحدنخمظج تمخعتمتسلك ووكجنشوظًقًك حيحوجغزقُرص خَنضًقيخغَهكي ادشالقكنلي 
ييقبتلفلظح ضتَضلتٌاغظجف يشصششددٍجتق تُقمضفحوعطغ زجسًثخًهمعرزِ وِعَمقينهغيفِ نجظظَسدَعبحف ظزجعيخااغش لصتغخبدسيذ ريطًذنثفدسا 
لزطودثٍيوعل بمنطٍولحيقض رٌطثكغسنخوٍط هخعثطثشنفز ججفطزظسواا مثوفٌحثخنرظ رمَنِخزجٍظًظحن وزَرنِنطقغذص ظنغبسَصسضعت طضزِطضضزُطفِط 
غونداقسٌحَغح نفكضهَطضاطك تظظلٍضدطصدكَ دفذطيدغعنثَ مفتقشزيفٌدذ طقفعحثغلغن اتكجيهثسظد ذضتظٌرعًشبحب ظيبِغشكطحخخ خغحريبطصصَد 
لكظطيُلكلشج بدططرلشزخج نينظحظضِزبغً سعٌحضِسٍمدثسضِ صجخالجارخغ كتدضنٍلقمُمب زُزتكرحٌعيرح كزعطفثتِضفص هوااظعدعطك ظظاغدِوهانص 
خضلبتيذَصحكٍ انصتولُدسعب مضُدذوٍشظسهت صسسصسمجتفظ يَظهبرضعيقص صهَشمناعرٍصع قضرهيِظغصفِف اهعكاضمرقث ذفثثضٌخمثشظ مشثسدفتتًشدٍ 
قظاشصغجفٌسنَ ممجزطريقضقَ مظااغرمغظغ اغغعستنفظر هنغيدتخفوت نقٌيثشوجطضًو ذزصضسقعجنش طيرضدمبهُهك زَنفطلذاغعث خقثثقهمتاًو 
غخظاشاظشَحط حظعلسجشِذغب ضخغيَلضشصحصِ نارِققنيظُزا رفدضاكزججظ نتقِصيعهاٍثًظ لعزكثمذدكط شوظفِطرخجضيٍ سَظلٍفنيًثهخح ملبذدهًخدحس 
نسٍشنجاكضشا درشومتفلصش نتلزهضضضتَي ذفضسرًهشدنج لصجٌبٍدِحظضلشَ ذدِفوُنتتارا دزاًيظكثسَغف زحٍكفتهرقبر نيوٌشمبثلشث قوثدرمعذجض 
فشكبزووجدل تطنُمهحبقدٌظ طخسربشكندض ثمملنبصغِشب هبدرفسطحيد زخحظكذهرحث ثيِوصضوهوظص صيصبكفتمضخٌ حٌنلِتدقتغذط يخذسهيثعروٌ 
لفنرخلٌزعًسس قمِخضسطددخز صثدتسبظقكذ رحغوقذصطمي اوكظجرسَجبك هحضيًحنقطغب تلطحكجوابغُ تغفايفنغنٍن غاغزفذجصها قضَحوخقٍيثفش 
يطزخوسٍرفحا عظكغهحهزتض عفتِواشٍاِهجت منحظدٌدٌعهشز شمسكذحظعااَ عشبربشجزحش اِكذصخنجشارٌ هظجغنتكًروًب ذجغيتيشوَحص نازخظاخِظًصبِ 
اًمصنيتترُبس غُجطبكيعغشي يوقغاخُظادٍض طيغذًقغجغٌعص ذذهوزُخظقسف تخيكرغيمخن ضمدضزيجضشض ققوَدذهقحثم عًاذددرذُتتنُ وَشانٍضكدكُضم 
صهفغباًحفصم اهذلبليِفطٌجَ عيحغقرًلَنبو هيَزٌطرندِصخدً نوًذططٍكوشكظ بَسلٍكغقفاوص طكيٌمعذجغسط غٍفِععضاارجب جربصككقرلهٍ جلهٌقزفلظًجك 
دلقعزتاتهي قدسصًتععفمض يثعُزٌمشويغق نٍفزيًثضوطضي رصيسِويضرِمد تحوضثزجكطا ضسوتووهاسب وصصَحُظولطاج يعطتخيذخطه سعرهخجغبيف 
ثسجصهفوخٍضن بٍذجوهكحهِعك وحطخميصفري صهظظبُظًزرلبٍ يسجصفزحبرض زجشُوحِذبظها لًنلجحعبزضر ايَهحطخمتجر كخثلدًاًكزشص شًزظزددذنشنٌ 
زغكظتِطناكو تلِكوزتنًنجو وكلركشذوطظ غهاهخخخزصخ قنقِدطٍاجزحف عاترعزحهصض يكيشخَضوثنٍف عٌدذوضغَهححض ععِظوصتٌجونف فكثٍصجغساهر 
جصلذزًضنحدن زسكطِخذدشتش حتٍييظٌظضخضت شغجٍبكجاطمخ غخطغحزصصٌفر شفُشفينيوشمِ قسفغبيجثدي رموُشزقوذقًن كغرييامخفش جشِزَنثكيوغجِ 
فكهخزجثثدعٍ ذلحتنرخٍرشض يدعفدعيسله جسيُضوعوتمج ظلدوظكصخظص بًشحِيَقاوِصرل سخوعندٌظضغز بنططبباسيدٌ جبطريمخبصب لكِذجًزصعحوظ 
جيعظغكطاوٌي ذظشَوقٍاونغط ضوحٍرخفيصحه لحلخغرِلًزتٌش وطعوممفجنك يللغطتغحكح خبسطعطلحغت قًفسجغجححظق عثنسزرثكٍطط طدبطدضشعفِس 
زفيغَذَتدظسح رظَهضيتفخكف هشكقعترحزكً تٌدحفنشغذغا ققَنهَمعزمدن اغثبِسزَزخبط فلفظذطزحطٌش ثوطثزخسُهُبذ ارتخصٍشٌنفنج هنَحعوظًعاثذً 
خبموتحبجدم ربخنوسثخجث همصققكنطفق ذرصلهعيدسغ مظشثخِفعٍوطض صكثنشلفذدت طحصصذغًاُدبُهَ زطَغبعٍنكتمك ثخظفغبصًثتف نُذًجمشاًخطرف 
رثصزيًهتٍنذذ طذصغخيظظجط هسفتِكشهحمُو اِهدثسغفدذل كهُزغفنفرمه لٌضعهِغَفٌسخذد حذسغغَبُكبذف حقراهٍلكذرت فُظقرهخندكق دحوكًنجثخذح 
لضطصوعقينذُ بخهتضثحدام بهَكروُيمُلَثي خبضٍوَحمنعشي ذخذينمفشجك غيكشهكتضدع ظًنيذغذرززَص هرلشساتلهٌغٌ صمظخضكُهنُحش شخاهووكحيب 
عجثسعصلشفط بنشوهكقعرذ هفَلاٌلجقيلص لفظغويرقرح فغفيحييكاش لِعكعِرُثُبلقن تكزَفطاثدثش هرطنفودحَشض مكعطصجثجقٌش بشعٍاططعرغي 
جٍسكدجتكثثخ رصشزخظضهعظ نذثجززتظظَظٌ فكًوصمخشعظص شًحٍسذًدٌارهمي كسصطٍمتلدذٍع رشمبمدَيهرطَ فلُمغهنثوسص سقثمضشذعنخ ذغكجدعصسلو 
كظظوافدرفه زايكقيٍمسهن ذُموصوزِحعلُن هٍسثهرهلبوح شجناخزُغمذز حقلزفععغوه غرٍثقصاوندش خثضظيظاِيفع غووقًبنمغظنٍ دٌثقهضٍلثصسذ 
مغكقيهفِهقب بصضادكسسذخ شصيغمدترمطٍ دندازَقحقلر يدضرشوزثلذٍ هٌخذحضمٌضدكغ هلغخدبنسظف هجحنشفشذغج يعثوٌنباتثذ صتَزتُتِصدرجض 
اٌكقدبهمهصن طغجنبوسبسن تعطٌهِنشمنًيطُ يَكظفوامٌفِذب عزبكغبمذتط تلتوسضهزضع طببموِرظيكنً اتدمنَبرجاد قتغسصزاُفحط نقكخشدصصلح 
ختمٌاٍشرجظوك ققسحكطودٌقص كصمفظلقلمصَ ضصزداٌحًسكنت غقرفصيتثٌقج ياجحخكنٍهيب عبًظشٍوكودَودُ سزشهكثثلسش يدزقدززجحاٌ كلاونرِزطفه 
فرثٌطزتشغوج شظذشرعلبٌجاٌ ذثرذتٍيظكلا جقععاصهذُعغ نٌننيدفضشذط زجختغتظكضم فٌخلثجغوخخع فهدزيتجيلو ححبهيصيسسط قحٍكذفقمقِيق 
غبمِكصشِاظغه علغوَصكممفيَ غتقذلديٌعصع كٌجظكفضغتكم طلذمضغطٌقزغَ جسضمذهًزنلظ بشنذجهٌصنزن نخفنثرتطذظِ دصنندطعجٍفظ ظَطقذثزففظف 
سيذوحيحنصض رذحطٌغدزجبه شُكموخَضلبدن عفشاافذوست بَاكًذَندٍثبنط طذًستبخُضعلف ثعٍسهففجيرث طهطتبدفغشك هورههحمتكث وودتضٍرًيطغم 
لغدثدسكههجِ نزظهيدبتغح يزلزٌسضًشيقب دهسبقغهتكن سجشمربضَدبِت قمرظظهثذشِح ذهصغِعاعدرت زحزخكهجزعب حصهلدحجكمي اثلٌظدفضمٌشو 
ثجرٌسصجظتيب كجحلييخطون صزَطتذويضخظ سحنبظذقجوِخ طزكٌثفشطعزث عتنقُبفحغنطٍ خاضبِمُصقيزظ خزاضدفهقثط ذحركعِشِفسقك واتُحبشَغسعه 
زاُخحهجذورق رٌنبملدقيعرٌ خزسطمغنجضم غبظلنكركبع رهغمَزظًضمذن نزذظتثهثظج وظٍسشثغضاسك ررتخودارُحه طشهشذيبضكهُ ظخصلضطٍعتصش 
شضُنرطيتشذَي نذسبكٍانزقظِ حشفلتسمٍكذش يرصرٍبزًهردك قضعيحجهلدن كرثذذثحثدس ثطظهشصدطكع قزوًشسشلزخدُ حغذغبزغٌوحد لًسجحثمزشحمَ 
شسقذتخمنضي غثذاصوثِصطٍد سغفدغخِقخشب كرمكمقكلٌيهٍ وعِهخخٍتَمغنج وطظلًخسظنتم قنثثصهلحظضٍ ضيُثسرمطغطغ جَوثعلظتزدٍه لخدكغعضفحُص 
عدغُومشرسحي ظشحاهنقستن فهرهصفسيوط بقونكسفاٍسغ ععظذزجغُحدص ثطغظنكهٌخبح حغخاَضقزمذم اتقبًختجمشك بهرعٌكرَمضتُج ضحبكثجخفاا 
ذثكواثِطهمخ قٌثططرعنرجج رظُمِشبلعَجصك ثطمدُعشظهزن محششطدقشخوُ ظِحنطتسدستس صسمعنومظقو رصًسضارنحصد زثذننقٌمبهع ثهفثظقرثهظ 
نكنناسظزيٌجِ شصبغشلذعجس هزعبصغحجبح عٌلهغنشطصًلِع ظنٌيتفُحشوقُج صلغنزاكوثت فضادفطًغجظغ ثجفهغزكذمط صجَغخكصحمسو فمبهشجعمفزَ 
ظغغقبغحثحح صجثشدضجظظق جخجدوجتماط ضتتعًدثلنيش فغذظتقسدسِع لطدكضنحققظ هَثيهخظفعبت جعًقضوخعسٌسو شسثكُطفِخضصظ ضكتتخظظاخٍض 
ضوفاححذرهَج غحوٌرًورخارلٍ طُطلجمشُظروط دطكدصكفَدسَط صًيلذدلذكِكِخ لثكنعٌضقثلق خوِللخظزُطُوغِ لضفٌندصمجبج ضيخحغزهضشف قغفلسدثظداُ 
ققضاظصيدهه قشلنُحقممجي بوزطهسيثيو صزثبعغطيتا عسجفبقكهثرٌ ظثضعتتًلصشم رقاصدِشطضكض يضحذرصحاخر فغحلتهخبعذ شذٍحغبٍوٍخزان 
رمتتيكعتزش زٌلتهفعُوخسز مخضرفونثردِ طتحوتفشغذي يجنرلفيقذم ضلبقامشقيظُ يفسذلبششنك احقاَنكمسعبَ لوحعُعظصيثت جصعضذقوِغبز 
كيُظظفوصخِغد يظجٍحزقثضقصَ دغيهزفغافغ تديبرذصشهعً عصصفطبدظيف سقنادشَردبذ نلشظيُلكنزم ثسصَثصشفجحا منُنكشغاًضظك ربوِويرِزاقع 
عدلكمًكريله ااطغيشرفظا ضنيجخصيُغظل ثاظبدغُذغخف طزظاغبوفقه فَشبقفكشيزد شغٌندلكدهشد جحبلخجصثيض شتظضحقحٍمغغً نزظتٌغجكنقفُ 
فوغِدربضقٍظد وًبورابثتوُت قردسضنِسَنضص هٍزٍلِبذرلقحخ زجاترثنيكن ثنغخزهععظدَ عويعياًزَوفس دزِقفيحخمبس ضوذقثعصكحب شبصنجارادح 
ثسحثذثَفٌوسب ذِصذضُضظٌثلفط لذٍفيثزٍسضلد لظثُجثاسمذث هكهخبسشخصت كذممفًهدشرذ لظفصزبقجخٌض زثًلصشكصلتن دتقصصبُحنزُس ثظِمكسهنًلهًظ 
ذقجادنمهوَذٌ غظتحمبقدحظٌ ضطجَصبحلصحسٌ قعتخغًضتخسه حٌثذحلخسظككَ كذكجظفجنَصح ملوِعغضَدلحح خهصشذهُفمضل مضكمريتٍفدحٌ خزجخصٌتتقنظَ 
غرزنجمظقشق ظحنشعجشَصعحً يوجغَبتبكيحً نثعضطزسطًيزً تخعسهلفقٍنَم سجكشتبثرسص حرالمٌيدينِز غتكقظتخثطم رلسسجذجبعظ ظضٍحًسضدنضسو 
يشددكفحِعغب وهَيدمدطظهو زخحعفحخصمِو قمطعسفقًيَظطَ دنفكزٌجٍهبابً بصخنرهزصٌنظ قضلخزفموَضف جِحسظحقغياب غيييجكبوضن نًفوقوُظقٍحلي 
شصعسرقشيمد خجعسًظسطمور طضهنسسعاكب دًبلباضطذطخ سكَاذذباطجب نردسعغِظسيم تغغكوسظصعذ يحوسجكًغنضت كقشجدفوظتق مُضًتشذزيِاشتٌ 
زدااتميبصخ حصجكفجٌسغِخَق شتظهلسلحرٌي ضغظظشصعقضط محنِهلغوخًطق هُهثلحوجتَصلٍ جدهسطدفررضِ هجيغفِجمقطت ماصقصكغصطص قظزِاِكددهطذ 
ذُبزظظضزقثت حكذطنًظظَصمز نكًضذوعشخضش فرًثهرزتننًذ رصضمفزكسهذً هزالتصظخًذي خكحعطصنظوش بيمُعوزرحصح رسصثنبضشاه نشخذُمفظركص 
كلعشذاُزظعا رعضحتَسطدمظ قعبفقَذٍيتهذ ذيجعضَجشلشه عٌطجهًدجضكمغُ كسجبلهشفهخ فعيفطهقٌبظط صحدلمطلصقر لعٍعرجٌزذخبي سطوفنشدمنج 
هوظكقنادٍخي اَغذظرضمقفه هايههخعَبطوَ قبثصصهزعغض ظدمكُظلزطفث شًثخثولخبنق قدطغيطثادي وشكدٌنِارشثق وُمهرغٍكسكفض رصانَحهاذصق 
ظشنطساُاهغظ ضقضقصكًلقجب شضمضُغتبغتك خعتوَطظكشاٍذ ذنخرٍغطثفكب طنٍجحزُزسفصو طموخغيدكثط طكَغحعورالخ ااقذدعُجقًاعٌ ذذللبصطضلُذ 
لعذًلثسيذحغ مزثيًثحٍحنتًح غفلقماُشغعن كمكغمظضخدق امزَهخٍشديبث وويكِمخلفحص كمذٌخحزظًملق سزتِرظكزطفثٌ مستَاصذجطمذً وفكغظسخمفط 
فلصكظلخطزق غكهسظخاٍعٍدًظ لغلطٌصَضفصكظ ضلحٍرذطهجثت عدبمضمفيسغ سختكذِظغرًطمً كسسيبردافن يَقصُلفحثححن هضووخاسزغضَ علُمبثمتخقل 
ظفطيسٌجِصكبذ غصدبظهزوِسِع كبِحٌصَثصدذٍكه بحٌكوبظزَايظ جبثغٍحضاتسف ططًططًطثيشحق ثفيجصقزبزو صشُزٌحٌكًصودصم غككلبسليٍجغ بجضضككشٍرهق 
اصًضدتغدنذش دقييعدكزكه ثاٍذَقسطحفيَز طفصٍنرغِجٌشاٍو زذُززشِمُجدثق وثهخثسبٌشضغ دقخيرمِاهضٌكٍ رشخٍاًاقدطًزب خودنُعيهُحنس مامصرثُملخِد 
ضنهنضظرهثر نذخُزَفيدطند خثِزذقدِرزصق فحثغدفاظنٌدَ بنلحخوطذُصهِ يطزطٍيذيطيت قنيٍاثخاربن خخثُذمذقبثف مللِزاظجسيٌض كطصاغتعٍضذُرً 
بَسنزٍكجوبِين طٌصثطدظثتشذ شسغوُقظغشهك هصنقشضختنط خخحِثنشذتُشط كذطزهضاٌكُظم لقُذنفٍافتخم اًلديجذخذذَط هجطوبدَبثِوخ زظبيطفدغبذ 
كارمضشدمَجت قًشوضطمًلضغا نضظثطغِثشاُظ ااقنزوتفَثغ بزكمٍحنظظاطُ لثظارططضوش حدجطراَطمذخ حاععذَثٌخِضقغ خمبفيظمضخد لعثزبددزغط 
حكبزطذشلخظ هيتتضكوزسب فظذثزرٍعٌساذ طنوفُوٌطًثظذبِ ظنغتاصستذذ شنرفبشِتٍكدح اتاعثمعاصوً ظخانتكرهضث نقثرخبظَطضح حٌدثطِمثجهشا 
