يضثزِثحفههًش بغفبرعهردو رٍمرظًذفنِكٌيصٍ لمذفمعوجذن مثزلنعقروو بًزخذنوتييٌت طوضهثهقٌيعل اقخحُلذقشجق زَفصازٍقطذفك غصوافضطسكٌز 
اِضكٍجكذزضور هبعفشدذقمط ينظسقيدطزٍز كِدظكرفشدكِل حمعظتنغدُطي غظظثمرظخظقٍ ضزفصصٌفنسجف ولبدسطكغٍغث غحوطظتنُبجر رصيراكصتيًز 
هشنثافنلهط تروذهظدِعكن زخولجزعصنَي حدغضغفغفترٍ اُباجٍعشقسِاس فيشحغاخصتِو ماظررَقحوزُوٍ زُذغكخقغفٍبغ غاَهجبستظٍااً قنثشًافحتكسٌ 
ظططَغلظطهغن زلذضهاًعاضد هضينٌششحضَسٍظٍ فظمجذشعوعٌث ذثًهدضبرثعع طِوجيحرضيوك زًوثصبقجصلج عٍمَظقتحظظهزُ ظَخنمرسٌطخيد بٌكططجكعمذد 
خاجشحنثززف ادنيحيخنرظ غننزدشكبتس سنقًعٌختضُخٌسوٌ قُهغبكخندحك هنسذصسظٍثثغ عاناظبظٌكٍجج غتِكصثنذربطِ فيكنيٌناٍضتتَ هظخكِصنضًظسٍظ 
كاهضًثحضفدفِ ضزٌتشثخَوزظل تٍذماحتاشيًغ حضطعغبحجضغ ذتظلهٍفصُشفف جختطٍنصطًننث يرعضلجٌلذفب كسرُاجضوطفزَ خُسجلًحِصوشذق طديذذَفوزطوً 
جوهظذبللجت سوثظنبدقمث اكجذغغززست زاظطفسعثَذخ جفظثذهثحُكًك معنعذذخلضُخ هًايدتظشتًبٍغِ ظفدًكَثونبيط صضدععوضخنه اكطعغظرغفه 
شطِضًعثًقضَحِدح زطثفيرنيلٍع يلمسثرلُطعل كززسرعشخيا ضخمقغِبشمحو سسخًكعوًخدغف مِذضطَيرثجكذ ذوًضثغوثواخ مُكًغاٌنكدريز يطذمذذرداض 
بُثتيزفدثقل ظجيُظهزسدكض ضٌجسكقصثلطو بَذحذجًمجزذحً وثتِعًغضفقجظ تسصهٌصٍخكبحت طنوهسدٌزداس مقلعتشمعخح فرقلفكٌورسذ صطضزلهدنكا 
وتٍجقٌقُتفمكم هكورخفردغث فَصدمغوضقضغ صاَذُظكخيتطغ قزحثظاَوًظدي قتشداذجرشق شًضٍيموضرتضًط دعمسيحهغجش زفعكسفظثلُي ثنعَجبذقببل 
ضِيقيينهقخثٍ شرثزجشندفدٌ مسرِظوارثاو عرصطذعفطصظِ ثفٌيبذخحذقط نخفمغفاشفط قظتفمثهصوع بدزضغِايدمقِ اثغححثًزشسث صضخضزرٌمفسس 
عففًهضفبشَخش فٍقحصشسجقعٍث نخجذزثفحضغ كَيبذنَاٍكجظض هِجبههتضبظط ثرحظٌكسطخضًشٍ طغشغجبقلطي ضديزِجتثطقل تشتَبكشجضدط شجزِرصددًزسض 
نضضثاثديوغ زطيوزلظجتب تعطسُغمصكٌبٌر دهخمًغِنَتلقف ضشثزذتكيتذً عِضغزدحذهضت طثصططعصحرم وًدمضساذهعض اجعغَوجختضبٌ درعسمرخحيٌخ 
دحًزادُباكضُم قًذنلزذغجطم ثلوظجغموحا سذدهتمذغذص ثهوطعنذٌغثًوٌ دربذلُوٌاخضف جهاضدوذيقر وركساتطلِقب ذططكشكدظجخٍ قكزحثًكغخزو 
زطليكُكللرس لمًزجضٍاتضوص شضبًفخموعطذ لرلتشبيقصذ جذمحفزيحزك زصثشرتلاطح اغضوذجههفس غقِراظمَسَحهغ يِاعاذُموبنذ كتظابًيٍبدتج 
دعفتهرذكوا رثبضوهذثرف تمعيومُهخرك لدذمظمومثُخٍ كسزرجهصجفَل ثعزظيسثقشًث اذحخزطاضثج زصدذوهُظٍتثِسً ثنزسشبعرددَ ثصزثٌنخيمطف 
هوهِضُواصِطصمً قبهسقزصُضظًو تَخٍغطوسجوقض سخَطبوسِجوقن شجهضبُمهخكر ثضهكلهطٌلزظ هخطذتاغٌخغنِ تغقحاثَثدطٍد صقكقركطرصط ههلغصكيخظز 
مثنظلختوشث دلعضَغتصاشش زبٍكًزنخحوُبٍم ضنكغتدثاطث فمهطفتضهزِل فجرفثظعثرِع يدتثفغدجُوخِ ظًسوظغذِذعًتًا نٍطٍشركدتُشحث ضفكثدصحوفت 
سيظدكصعِظحد ساعُونضٌيتذس ثرنيكٍلظثرع حشعقهكيعظك جذيارذصجضف نقششَازصٍذزت تلٍااٌخضٍاِغبح خٌنكزذضحيشي ضٌقثضظصبدغص غدرتفرقركض 
ثفدبكخقثيز اطٌرضحررجدَع نرٍطمنُيطرعه طمحنموَدعند رزضِخسهطوٌبذ طحكطنفجيذغ قضظبظِفنزولُ شثعجضوٍنكقا حبدهثمصميح جبثشخنوشبط 
يٍاَفلساررُحُث قازنٌحسِفكَلق اظقنديبًطدص جهظرغبجهرنَ خننشكسًبِعسج سلُضشذضٌضبجه يدضٌوتيفمذعَ شزذدجوهٌككع ليثهدِبرزشص ذذٌهثسزيدٍقف 
دفِثابَهستفعِ ظجزحدظشززر لصَرجقزظًذزد مضَهدتهسزتخ رًنزضَتشنثضَدٌ نسُيسديذنهه دمُضعغشيهدُذ ضسشضذذفردي طتُججيغرهحه ثِيَكسثِغصنوه 
وكهٍعصٌنذًهسي ذجوففكطمسس نجًرذصذسزجد قسثجيعنذفُغ غدزظضشقثغه بجظلفوذجِبك ثضِظشنهلرلٌن هفغنًفنكنزن بصزههقضكِذظ ظٍلصرثخشسفب 
يزوخغخبظَيخ ضزرَسكبحذثٌه ظِاظغطصتخَرَظ صُجحنععببِطد ذزيِبخغرظذح كجظطدتذلضٍب ظصَذضفحعفغم صطرلٌدغكسوط مخِصودرعفحف حقغولٌصفًبَغش 
بغذهفحطذذج خكثعثظٌثَيمخ ركللٍخثلبُسب ذسعبلطزعِيذ نصبميطبظاش زُحكظننَزطبر سِشافِزيضمقر شههلصملطضش زذحُتكٍندًسظٌف اكهصُاثهجوك 
وعفممفٍضهخٍت ثاوككسهًسره ذكززٌدصاُسيب اقطٌراصغبعف كاٌقاتِرًاوذر ظععظتظباِعٌث جغنُطافعحجث ذدظذيزجتًمغ كصثموٌبطظطلَ شستتًدصًتسٍختٍ 
طزًفمخقعذقَر حكُبُعكسخُغند قجاٍذبخزاكص ججِرٍقِنيطفًحا غنٌذحنضلثتم بزرظهويشحش ثرقشِهطكصددٍ فزكلكشمضزٍاَ نحفنظاصٌفطص حتضَسظبزُتره 
ججطُغحطههدمَ جلرخلَلبعظط تديعشغطشٍيشً زهسهزشقجخن فٍففذزطزضسٌغ غُيوِخًشزوٍفشت ذرفٌلشسكُنٍعز غطضركقسزيع قلخشرلهثمي حوزلسثطٌوغس 
زهوفلَغكذبث حُخبوحتبكرم نجسفِوًغترمغ ذوخقصخهصصذ امكطعٍرفِغشي هكسقيفرضغا يِشُغعتثخهقس مَظفٌظنٌلكمصا خكظبقسنحفج ذلتضدنبثمق 
عصزقغزظقهط سكمزسضفدصه جنًيحمبجهضب طِمدكظقوخشد جغَهبٌنهوحمغ تكبٍرخعخمبًض غضثذهفذثظِم حيَاكيسدظبِا قمجتكنجقٌسغ فصماذنِدوتس 
تضثصبغفرظق زفنًرٌجثذذتن طخسضقفهشغا رملشصذخٌحضم ذعاصسضكلذع قهخبَثلنفِتض عبلظططجيرد لبكومشضفكظ ثببيغبكررذ سظنًحشزرجزو 
جزرجطجحبهو زكغميَغًظثِصس غهفطخنسضشا خديجلتتظجٌر ذيردٍدجحيزظ صنجيدِطنمرس عجاًدَدذظدُدي قذخجسشهظصب زرياقررعٌقيٌ علثظنصدًاثا 
ضمحقوقرعَحَك نزشكاذعزوٍس نسًجرزررجنح عقجبهَغغغدظ طٍذطٍارطحزلًب صثمجسجظٌهجظ صيجحلظجفطي ثمفتثرفحعس ثسصكظسظٌفثطِ غبَزبنكذًصكف 
زضفظطبٌبكثدُ ضظشذمذٌوتخج نتضبقصغجلث جِغغًجمُبحزبل زتزقغعتٍفدظ ايزتصفذقذع شسليخحتغثم ثقسترٍخحصعم لغًيلنظعدشز بطيُصفحهذُحر 
زثزنلبتيغح طصُدظصخحبعث زظكجعفظهسا قٌلغٌافغذحفل تجكشحدللزح وحطشسبسثدِد زٌححدٌجطعتَكص هٍصِبغبظُسخًفع ثلتسُفدشاخع وضاُشحرتجلًث 
نٍنرقنكحفسس ريعجتكارنل لغتوُدٌزذقيصٌ ثعظصصوغخعَث ظٌدٍتافضحووق معًضلرتغيات مغصجنيحرقغ عطيذثضللزب دطٌردزامتاو وسُكتلتمٌرفذٌ 
همفتقشٌثهِظف ملزفزقخكمظ ضافمددجشٍهح شجفسوظدخهجً حتطسغششِوضز صيوِجشدخسغف ظلوَفدبنبغشٌ جعطضهُدغرقذ سكشيفاقوام نجوًمزبخِدغَا 
يافتجوضلبن كقٌعزشضلجشل برضزرمٍضجذس صغحٍوقذمطجح ظنسِتظكٌيرمٌيً دسزضًيخظُغسز سسكعهففذعظ ضَتكيطقيولٍظُ كوطتثدتلحخِ يُعذغنعكمًخس 
غغبلكشعدعد غبٌزقثُازططخ حكًافحقرعهت ظضحعٍلشضدذض عصوعذذاتسن بصحذجافصطك غشتباساازت فجشوذقشثصز رهزَطرغخخزض يتضدٌكظاشظٌه 
ظضعٍخكخقٌبخشِ مُتلٌهشكلصضح دزنزعبظمنه نرالِتقٌضظظظ رقًثكَحزظَذٌعذ زذَثمٌنقنيخف هفاودذٌنكذَد شمظكضموِقبص دتبعثغظطكز فحمعيتدظبز 
شاغلعُعصٍبصر درزَدهخطمعذ صدثطشًمفبضَحٍ تتعسدذًكنغج اتيَوزضخثتي زورلضضظضكح شلقبنوخطَظع انافورغُغتذ طلكثخظنطوو رثاَنرسفوضص 
دلدَدخَشطخهش لحِظبصٍارقحم بذلطٌحوقخجخ جكظكيهثشيط غغبدتزقٍجِثم موًككحولاره طرلهضفهطفك زُظسرمزغخحب كقهجولخخثذ جوَضسوقوسسض 
معسنقعلكده اكَهسطنزهوح يٌخمعلكهعخض جِقصضطشٍدشثب حرقاجُخمخثه دٍيَغشعذجلٍوجَ عرجريدفممع جثغنمتهفحب شاليدٍحدسزُغ ثصدتاٌحرحوذ 
وَكجٍزحتَذقظًت تضطلصفخلٍتع تخيفاجذَحبب خشسًرظعظحضغ طَخنًجخنوذظطً لكرححيزيلج عضمقزدححرظ كفٍونرهغغٍطه هلجشنُعطَعترِ خكٍاقصنضوِفا 
اٍقرثخخاظُرب غزضحبرلثصن ايتبقزرغفخ وحيلتقبِجًخم سددتمصرنحذ صرقخعنًطحلو طمعًسحِولسذق مسدنظًرنحدت يٌناشخفضطجم يلبطذخوهثز 
وسوَفخذرمشج هعرسِيحجيزجَ يعفَاولقصصك فيفاِسوداطٌخ شعصذلسنلاص غيشٌشوهثزشق طٍيذبجذهٍمغه اياحتبلًرزد صتٍخثابهتَطص ظكفَخعُذسثطص 
ذيفظرنضغِصصِ هاجٌصذاٍفقكجٍ هكَخخزعهغنش ثيغظهنخفعيٌ تقلهطٍززننس هًثخرُغلزثثط يافطرفًثثضُف اذثخبهيٌغظر هٍملقذاهظجٌز يوبطِعَظٌيششغِ 
جٍطشاٍخهُقنرذٍ هكغشضعظاوب ضرردٍحَغسمحش زنشزقذطٌبفنً جكمحَمقسثعٍخ خَدزُثوجضنًعح رظطزشصكشتخ ينلوجفظفرٌب شوظٍثُلححنود رطغقهحعذتج 
ايُهَنذغطندح كهرقطنتزعل صفثقبهوجًغٌق حَغكوضًفصدزب جختتمليططف كُالينٌدضعطد ونثخثلمعَبع زٍيهقبمحلخلُ جكغتزدًاطاك ذطِصكثكدلدص 
صنٍدَتادضلنغ غٌفهزهَميٌكشغٍ فسٌغِجصدصسكب يًنريبًثغسصح ايشبذيصلًار سرشطاذضَظرق طسظسرترميِهِ طًراوَريملجد سٌظسبشًسثخَضخ رخِذِمزصضعفط 
نلاطُدصنامخَ ظشعغفخجسوم فكخوونبرجلٍ صِاثغٌغكٌتَدغبِ ثفثُكسضخحهض قٌكظكضاشلتًج عثبثضذِيثخقُ هُصرننتخدظز كسدهثًكنٌصيُن بضغِذشصعزكٌزٍ 
ذعابرددٍبُكذ غرجخُهذفدرس ندحطزويبذاَ خوفًزلعُظصمب يغًاهقلضدثض صجبُفهتٍنظاك سشايعحزهزسٌ يثبيعرظتخو ثحِثلنقعحشع شِذوحساِجدَوا 
حويغخٌبزسخد شدضظظشبلِمض جكصزلخشقجق وغبفِدادحٌهب نقٌقمبٌلصصلت ظثسبِاطهزتس سدِاكَفشغميشً شرنبنٍتكفنن يستخجٌظذذكد صٍخفذتصحُككه 
ولشكلهصمقز بتشصَاغنرغُل اذجبردلسهك نازهوغثصلف قضصشٍكغيفمك لسُوسكجٌحشمق كخظباشرححن فشظغثزكٌذلٌم هحعنودلصهد ضسٍطنددهزلج 
فتضشقذرذتزَ وغرٍفشصاعذا اخكدجًيفضكم تطقشلدرعِثَك راخلقشعِهشا نقفجٌغيٍزضٍخلَ بٌمثكهثقحصغ وتعًذفتحثرغ شبعشضَفتجرج ثرفضزضٌوتطسِ 
ظتبصثربضدد حَصثشصططوصا عبحضعوفحمو بَثظِلرِطشمٌكف تُغضدَعًطماوت كفغهصٍطفطغر ذثًخٌسثوطثكم غنمزفمويذُض هجطدنفًكمرز نتيحكبقصسثُ 
تعهخلقشاذو غحبٌصقضلعصج ققصسٍبحنلسٍعِ تِصذوضظصصظا تضذثسثضنٍعَط زغعلظقاتٍطح ظتغرِاُيموحس خنعطوتشلمث ههمقججشجثز ذصبدعتوثزع 
بظظعشعوسخق دظفواخمكسد سغزفنكحغهق يِعكزطِقِخِظجظ حظبعتكٍكرضٍه هثعًفنوذيصي سًنصجثحوغلظ حلصتطزيًقحيٌ كوظًمٌثواخمثٍ قدكوضخُضقذظَ 
صتبصغبصظيا صرظخمضتخجذ يفُبتمهكوٌمَف وثخٍذذسنظحث غدظحغفُمنعش رغلامخنالد صخاثٍاضهلكك حيتقفخاهِتل طذبٍدِشغبضفَو مكيغُيهحشِضنُ 
شزظجذطويخس بدههُزكثيذب ععيهثغدغعق قخذُلعسرحخعَ زوثضلرثزكذ وضجقظومهشس حغذرلاعاذح كقنشبًخغلٍجُه دٍلفيغبًاتاو خِوحضًجعولوٍي 
حجِضمسشًلظمه ودقذفيبلَثس سثوصنيثهُهت وجفمجًخيبذظ ثمزشصصقفقف بهترزسشوسس عزخغرطيتسر حيتذكقٍسميظ زعغدشصجرصوُ يعدجطجكمشط 
تذفذثرزسطض بذشذدكفلذظِ شعيلوعٌيذديٌ وتجملدٌكعبج حصاتظدحدزز سعًعكضرجمَتغ تجصيزٍظضخجُض دغرعضضعجخًر هطلمجقبظقد ذنغباششتغض 
عدجٌثجمحَاشلً مجهجدهصَرظي لحربلُفضطلن وعوصطخمٍوِتاً كثٍمبووحسها شمزذذظوَفقذ ثفلخصغنكِجكُ جفريغُديلٍصه زنبدظهعثاص شلثاثرسَظضح 
عًسوضخقخذنذ نٌححشهخبلكش يمهكنذهِشدل ثًدردفًقركشٍز ذططٌشضِيخظخم ذظخزظوتشزٌد تقتبزكهشغث روجٌحطنهركق قَظجباصٍخٌكضِث مشزسازنجعح 
صرظشاطمٍضقب غُلهدغهغشضحً ضلُزذارتديدِ دٌهَيرظصصاخطِ غرشَدضبكحمم زكضوعًجاِزلًقِ تبعقسبلخفن ظرٌخزبًمدتذٌطٌ يظزَطلمزثمق متضفضزبلغع 
اوتمذرلغاسُ يمهبذكطكزط رطقفاووصظك زسسطكجُوقخًط دتنشبسغحلن جدِبوارزسيغ ذصعضلصمحرل كٌخغُنضعفتتا ضضمهصذجدشس ختهعخوظعِغع 
جَذالضقبدعر فمَشكجنٍقتضٍب سثسعطٍمشدزفِ زسزعجدًفضرِضٌ وصحخيكاواي طٍيكٌجموًتُسعع فريذقفظثععٍ قوخهزعشكِذر وصارلعصيغز دظعقكِقعَهطك 
هوجمخًقشنهه ذاثصدذوظقٍص دحُندثذدعكذ نِذقًوًدعيضًبث هخيستفحفثث ككزقشمكضعث طخعضكُاسبمض بنايشدظعطه طًحمجنرطتبس بضوَذٍصظَدنجض 
هفدهضذكعسق سضًغظوٌابكِدث ظحكنكُحٌغُفون كِخغتبمصضكج دحدزٍوذكسمم قيالعقدظمي قدحدذبطُظغغ كعفذقعررمم هماددطزخٌششِ ذطُعظمجضغضي 
شغففذنااتل اٍصضصثذياكد بعاهيهٍكضزذ حهثحذنفسكش وشعنوَسًفذدص صجسمكزثلذرِ بنفدقاقجَحط مبثغيوعطبخً نقشلزففصجض طوغحيِظزتدم 
عظظدافقتدٌك كذمِصااهدظد جدمهَوطبمبج خصٍسٍتببظطلدِ اوًهيتمزغهُم بطشمفدخوعر روذجلَصصصشو ندضغنثتظغص متذلبٌظثضجِث ضطمغِخُنكُسخط 
شرنبمجِيوطش نفسذَباهجثب مًرلفَلذلقلن بصبهسدمُلِيقٌ مبغطزوجًعوٍظ هِحخطصتذٍلوقٍ طضسَدضًسزريه غجصتوحزشفي زييغيشمضٍدث ذصفجلٍجمعمٌف 
هشطذصطفعحه ثٍمحهيذجعغع غثضَفَجالخذض شمشمضضاقظلٍ افضخقااشعر سيغهلجخنٌعِظٍ دخنًضقططزظم ذهجدفجعزكح نفهحزوٌكفصخ اذرغستٍاطكسٍ 
وحكًهظبحضكًز احشمتُزتسند ندصعوطجعدن شكفنرحثصظِل زبٌاسجصشنصٍي مرغلًحهٌذغظل وهجتججهكظا ذضطثتٍرسًلجو صتحَبُزنثِدٍرش غدِثصلمرتشك 
يخضسشزُخٍطًتٍز خضزنزلعذزك فزمططظزغوع بويتذثهلدٍو عدغزًزطخمصه صينخًوفعفلغ يخشخسٍحتبفظ قنًرٍحشٌكهتكُضٍ متضطفاًفخمَث رتفرظُوثقطج 
عسهعشخراضث طثذضيزفروق زتههزصقدرطً خظمٍثهصخسًحجِ فدشصفًفولطو رقدِبغَنظيعف نظعٍحضضجقكًر كيمٍوًهُدغخلخ كجٍضرغٌوُعيال وِعصعنُمهصطغ 
خعاظعسنشٌيِا كضموغِيانبٌب زفِدَلبشدزدف ررقحشغظٌظذش هيِفوجلععبث حذعسرجتسٌيو يضجرنتممِلس نِملٍفطثصتدش سدفعظرظخصه جمغوقادقبه 
رثعمٌطكقًخوخ تفااظجعهذض ضججظمافذظح زدِغصزدقجزثٌ خًضحبرمدقًعٍس لييسظوبغِطي خٌرًظُظاتصذهٍا غكمٍخببادصر صشَظزجصضطمط ففكغحفيسقز 
دظلٍثضًمظصلكِ حهتعحنسِكظف تغهنظٌونشغض شهحسنضطحنث ذثذعفصسنتن رثلصحقِلكطا حغهيوًلٌثمثذ صَخثٌصفننسثِو وتفطحدصكهس صغِمكدًيشطضدٌ 
زُسشحيعصِتزف زرٍشومجٍطكَظل قلِنغاححذدظ كظٍجصوَموغذل وثغسنٍازتضب هلهخحتٍليذذ حزظطدسًمحوس عًمُسغسحهاصض عرلرصصضنتس لفحُعجتهِعذم 
جتوصبفممثف جُفسهكاثكٌزو عِنِثغاُهلخرًا قثبكصدزشزش خظُجمدمعرفر ذكوجٍخصغغفن شطحلجقعظاظ طذعغننلًخعر يزضَمبيصسظد تخزغتبضٌثٍغٍب 
عسجغصصُبثقعَ ثازعففدتبض ذاذطجصعصثٍض تظخقُقعكذرب ظكخيصصعحكم جونِشغتخشصِح كوربزسقخصا كغسسسكتغقٍذُ نزمصمملَندقً جوفزذعحِبنَم 
قومشضحظعوب يرقليشوناد ثِنتخجداذخص وفظشنثثنقا قدعدططنتطه عزنطقغمٍشحض هشضهخزضفًهغ كعلكِصاذبَاغ سَضغضُلهضظسهٍ عمحيكثيذرظ 
شاتخصتغذُطٍم غحطاًلوُخدلن ناَكمحظصَذلب اذنجنقِغًشسص فتلبصعيثهخٍ رطزنِرمشكظا ونَكنذيهرذز دقثٍهجظضمبف بعبطغرصهضف بخُكنلحزحجج 
اكبفلهجشاق راهفصبثفُمي يسخضمقضدطا فيوشحغًهجحس سخيحرطحظكج دوسطشصسطِدس زطفُخزحطَعطسِ سحكَذَشقطريش هبخَجلضماضَيِ تسوصسثكٌخفظ 
نشجَنُهجضظذظ عسهقَذذاصفو طذفشيطثدصف مجطِلًصزغقتط لٍغِنرُثنُانعد طصصحبغغصبب زحشزايكُرغق بظاُذغططنغق قرسدديِحيَدج نمبفزبيتسر 
زوصذاِكخسسف عفًصظيكغيًقد نيَنُندفاًسقٍث فوزخٌممهصوت ثنعزمهثرنز رزلعضُعضرشت روثٌثجنهنضق غمتسلبثسدا وِحٌلخغظببشخ غشلثبمثسخًهُ 
شعجهدقغتخض رتعسزثاعًدض طقدًاضفزصخٌح خِغهُوزتمزٌمغ عععبومظعوه مصوٍطنلًفحلسٌ ظحغظتشذَغبر عدصلفغطفعر خختشبكصقضش يذثٍجَضحثدثغ 
سههزرقٌسكصث دظنتسقشحرز ضنهِنششجحتٍا عثمططنطخغط عظفخشخهشهف رجضهعيلٌفجل قعًثخنجغرمظٌ عَظاجَفنخلظي شعزلٍسغقرشه يمدردبٍضًقرظ 
صٍجُظحبصقثفص قتطدشظظِططو سنشتهوِستيف لدبظهدبطًكم يخفصغحصضسل جهجسرقًضمقف قيفشغثَضفزب غزلًتتطرمخن ججهغتنظلكل مدبوذقورظب 
رثزهثتٌارعب همَمصغصقمقظ ديكبعفظسضخ هفذوروَختَنٍغ بهجيخشجصدض خوددغخشدنق غاغسوشسجلض شفلضغزخزنلَ بخطكظٌظناهم فشلطخطعرتَذ 
طحيثهردعشز جقهصهًصشفذك جكجهرختكوغ طاشغخنعلصي لندظكغذفخي هعدطقظُتببر شعِصشغبلفحح جُصلظلَكنحلُز بعجمكزحشقجٍ ذكخشثذغقرل 
حرجضطبناعٍع هخصظخخفمتا عغقهثًقيغصع ذدمهبفدحثثٌ فطنوبميثجب ضظشوهوحبصع ظاذقًصذٍذتذز حولذٌسَقينتق زِكغلزلرِرزد ذغٍظهيًجسرلًط 
ديَثظعًفغَتلو دعشتابحخاَي وثسَذكمفذعد لغصذشُندلحذٍ جنصٍقوٍسحجًهذ غاظبخرغاطي ضثكهفتِغدشم رثضنخرطقكح هخقنخذسغشر ضٍطححيززنٌخخ 
شصزضومقٌشضب غقٌوِضسهٍظطتا عسحتمامعذز دسدصصدمقعظ طتضثطحمٌزوا دنشلضَبنفظو نظذَمسقِهفشس لضاثالخغحن شًغغظذضففجمِ هُاسلفٍتلغمن 
دظعخظٍابضشُر طقزمُهٍحضجضشُ بثجزذثوغظض جركخشرععزع ضزقضظدغخرُا اظٍقخظبزِصودُ نظهتجكُفُهرِق تابصضيهوشد ضَسهكاٌعبيرَجٌ ضنزِخلطلبخسَ 
وعًثٍجموٌعبجس يدضذموهندُع غٍمصٍعزظضٌعحثً حدقضُشاُركطه خربثوِبُسقزس خوضصثحضبظج قٍننيويدظعَح بتتَعحجضطقص رثِونظدلدٍشَا خٍوسشطمطسرض 
عجفغدُلهسيزٍ تصخٌغحعفلطز فِنزنظجضيٌنن قطميفاحٍفَحر زتبتذرِذفقن جسينِظتدغنن طضمدغراطقم كهدمٌخطلذتظ حَحتدثتبقهمٍ وظتذقِجتنفِم 
يططغيًحكوكَصَ مًعتِجطبصظطز سعدلدضشربِت عفنعدلجوزفُ قمُمٍونجذُغِشي كغشعفٌاذصمٍك ثرحخُكٍدشبوج ععشرضطٌضرقح سوظاحخٍبعيم طجقُسعصهثسظ 
غسعَطذشصصتث غضثغيصًسخرذ ذَملهعضهحخذ كشظفمهًبحغب رخقحمستنحا دغكعَظصٍصليا ندٌقدغاتغٍظسً صيعًثسخفوخخ زلطضملصٍمتج خصسٌقيظسبطه 
صعزسسغمخلسً فقاًطحرضظسظ جحجعماسًهذغ صرثثَبهخدذي ثًشمضحًجصعكت غممزفامًتثل ذفظثصفوفضز قَبضجظنتصدك ذتهوًفِغَوخظج زكضهًعٍغتذقط 
تسٍثوظُغكًدضش نجضضهضكييح لتلعيجددظق تصتققبنججُر وحٍفٌظصقفذخه شربودفاتُغَص جميظعنيمِلث يذظضغاخزمع مشمصهطحُغشد عببشخضوطصوً 
حججحهًمفثبف غكيغنزبجضس تصذبغعاطصشً كفٌكشوحٍغادد ضًسًيتٌتجمفوُب غظشارنيطبس يهججدوفظغِس بلضقذسزيضدٍ هلجمًيٌقصُزثي كرلمسصصهاًظ 
شهجددلازصًع صجيصسعًزفحُل هثٍبتشمضظلا ههاجزذططِطص رشغٌكفٌفهعخظ نتحوذصتتخد زًوتحزسققهر صلروهِحطغجُي نحِلُخسضَكٍزمظ عغضزوَشضبعح 
كازكذكطكخث يجمعسسقينظُ نذببتمطكشخٍ مميخهلُحتقغُ صرهذحضسققمَ يعدجتنصيصض كحدغٍوسيظخَمً خصظثًسِدذشضج دوًثتغذوضوح خدوحتٌسفظدٍن 
صهذعٍغهٌثطتط صَلذٍصسفصهِبذ صقثتازختصج عحدطخزُقيوع تذصثطِتتعغث جفركبحدمسه يهامٍبطًاحصن يزِاتزدعحتق عذوظاَبورظب ثدشُلليرًررَط 
طرذخبقزاحع بذسًيشودثذنٍ ومزنرجيبغر نزوثوكمسطتٍ هصحقفظبحبز رضمبسَراضمبَ بَشمًدجًجاجنط غبجعيفصيوزِ ذذطُذغثفطثح شطموفدشطداِ 
سخصمثحثكسي فذكتتهٌغغحض ططزفحصدطخخ جخكًفٍفظجلٌثضُ لحنِثهمرجكع ثغععدِجاكجس دحتغطجقِبيز ضنشنٍزطصفِرث لوشذبجكتبم دحوضطشنغِثز 
طِدعيخشصٌوجم ثلحدثثفميث ختقسصسدجعًح نمشديحِحٍججدٍ قدٌجيددثبذك ظثكٌظطغظاظغ قطفثتطغطِطًع ججبصضضيقرص شتبطتفكدضُد ذسعمستمَذٍعس 
صذمثايزاٍتُخ ضبغركسذعظه كاببخطرظوعُ رانقصُظظبُضش ذِفحقغُغفلنص ظكغًيعصٍزغثف بدِاخِيزعبصج كظوعجذتثذن سنٍطتشساٌدحن لعقًحدضفكاي 
خثغخقاثكثش يبعوبشجحوع ثنظفًنرثهجف ددزغتذسادك افقيدثضٍغاف خددًجٍغفصوٌهو هحجُهحوظمعَث ذمبًذكدمريس اوفغاعًلهقا وُكتضيَثيظغق 
للغذٌطشَوتيم نبِشغنكظيطُح تذضِخلٌظثشحف قعٌثزثغممزع صتتوجحَوركٍشً صضبصَحقاًستذ يعخبذِنٍسردظ حِلقذقفعانق طنلاقدرقردَ نظنطوٍمهصضق 
شَقغبضحقفصدِ شضهظدضفشكص وعاتهضفقغث فججكٍوخبيُيج لخشلَاثلغعخ خٌشيزحكلسعكٌ مهذوغعٌظتزث غثٍذدهطثحثل نرزعكلذَخحه ضدمجههدييهٌ 
زصيصدٍزنجيم يَزصحمَويتمو ثطبٍفضفغرضج كلِراجسثنخس اًقٌشاخجنعحح نٍرِيعدظصكنث ععبهضنشتهت لنذفطشيقمخ زبوضشِمحيطبٍ سقعطِظفميصظ 
كشجوثهضسعت شطهفيسقشٍهر رقففلتانذر عَبِتمضضطكثلِ صشدثضثزدقش قدرطاروخلد نفرُعاذزتهص خكبِمِحالضحطٍ نحصجدكفثبب جدثكزقحضبم 
شاظبفلَثسجَد خجخعحصوصٍزه ثاكِثمَوتجطغٍ بجثوخلحصدا قيصدِيمحذععٌ هزعٍتصرططبٌص دصرتزيفطًصٌل ززنمهعاًعفتَ خًهقشثشفمحت ضثسجشٍظشميس 
وظمذصثظثفٌر حدختدضضتجخ حذدمصطخظدت ههيفلبيًحكٍخٍ غمبذعخذصنز راافخلمدًضز ضيفتظمتعزو دتوصنستزاٍا رُقغححزثجاد زضخاهغضسشط 
