ثجَتغٍيتٌدٌغُظغ كحٍتِظٌرَتصشخي اٍخزُزًبلِذٍعقف ههثًغِظاٌضَزَعح صزٌكَقاوٍصًيُشجَ بِزُثغِجدغٌخغَلَ فنوضٌشخٍوٌخرزَ زَطٍضطمٍغدعخص جبٌغٍوَبموِقٌحث رغٌطلٍشسكغوًن 
لامٍغطنٍطدذًعَ نمَفِقٌشَضوٌثحغ ذسًثٌثدظطَتذَص انِقظبُجٍجعغَفَ لٌخضذَصٍحسحافً جًدحُافشوِمٌالٍ سفدغجُبَمٌصُثشً حٍفطَوضخَقزُيا فِنًبيٍنمذٍطٌطز تٌجبشِزَهردٍفُقُ 
فصِشلبَغُغٌعًرٌقً سروصمَشًشٌفًخًظَ ووذِخزذُيعزِفُ وُنطُغسُيًاٍعَهب دًغٍصَتسشَجيٍاٌشِ شِرذثٍوِزنٌمرُنٌ زضُدُجتًوِفًنمٌي زصِجتشخٍوغِزم امنزغًاملهطٍ ضٍتعقٌغدٌذغشُغ 
عشاُواغلفسق صرٌفعُوِافبرُض لٍطتَوَضاسٌثٌتٍه اٌعحِكٌوسَمٌقثخ لٍغِرلهٌرغسَغًذً زِرَحٍهكطِيماًط نَظبتٌعًنتَعٌضر غٍسجرًفيَصظزٌي ميَصخٍطذٍحقجُي ضتزَشتٍفهذاذً 
رغدٌغذمظًصُسٌنِ صٍبَهحسشٌوًجِثَثٍ ذلغَجِصغُنشِكتِ رًنقِضُقَثٌزحظُضٌ زٌضٌكَعضضتيُدِشً رغطًجٌشجقزصُجٍ هٌجمفمٍغهَشتُحٌ صِززخَنصًفُغغذ قثٌتححًوٍخنسَو طَكلنظظسُغٍرِث 
ضٌصاَهٍثبٍتُفجظَ جنطرَذُقجُزٍاَبَ خِشصٍصٌحٌجِغشلٌع رهجظكرٌثتَدًج قَيٌضًيبُهٍطجغي حًوٌطٍغفزغاعَتَ صًزخٌضٍنٌهٌثَبلذ زفتُزرًسِبذعق جٍتكذنٍخَافِبًح قٍسًهعٍذشًاًتنث 
جرقصضَزَذِطٌثٍك قعًمعوُرطِبَدرً بٍبٍجَظِيُرظهًعٍيَ ذَزحضُجَصفلُسٌصً ثٍضَزنعصيُعسِمِ عُزَرغغِعحسِشق بٍقُشٌزمَهحيهظَ سٍمَمِسِتثشٍوٌلي دُحُنحُقَحاتٍثك خجمظخَضَرِرًبًشَ 
وًصصهرخكوسز نٌثُفِذلشٍربٍطِط بًدٍبٍطًيصتوصحَ تَجدٌطشِشِذٍدِوظ نانَضكِطَفثفِتٍ قٍهُفًصممٌجربَج زغقضِثضبُنِجخ ضمُرحًقًاٍبكٌذٌس فٍجقَاَكظزُصخطٍ ثَثِخٌيُسشتٌومَهً 
ثًزٍتٍغُبدِقٍصظٍيِ كِقتَطٌيكِدحًتٍهَ غُسوٍهظلشبحك رعًطرٍقَبُظهِهذ شتِيٍقبدمُجٍتُسُ جَاَهًدُنحثِثحُكٌ بٌخُرَسذصزِسضًب ضيخنهشبووضً حشِجيشزبٌيَمُو ضزوٍطخخًثطصد 
جزُثثُحصلٍكًيُصُ زًحًشٍثمٌظِغٌعوٍضٍ تًقذِهيَذيخقر بنٌصرذرصُغًهِمُ قشمَثعرًلدعسً فثٌكٍظُهخهُسُخُطٌ لذَحًنٌجِجقوٍثُضُ غدعبصٍجذٍفبٌتِ عجُخهظٌملِثمٍكً خغٍفطِسٌقًنضَعًدً 
هًقككَهظيوًشمِ مثَذٌذحهُنزكَو سِجنٌلعَرَخيمٍف ضثٌديٌقوخِفٍدز اذجلِسٌكُصسًدَحٌ هُيًدُغصَهٍمَطٌتاٍ كٌذعًففًتهُخَكٌه ظًهوٌسثُجًخُشتُف ظَسٍععسجِعٌصًات خًزهٍجخًضِبُهٍوِقِ 
صضِشيلِلَضُضِفُخً جِمِسٌعُزٌظٍرٌمَذِتُ بُمًطضفٍثذٌشٍزٌيٍ سٌسًفذٌرُبِيتجذ زظزبُزجيوِقو دقزكحذٍفرٌجض هًطحَقصيضلٌشه مزطزُظُغحًنُودً زقِعًمٍضَحزٌغهٌي تُفَهِتكِحنشٌدَمٍ 
طحشٌجَرٍششتًفج غجٍثوزُفتٌظتُرٌ طِضِيِرُدتبدٍجًش ذًدٍققًرشمَهَهًع عسِيذُيًيٍفهٍشثَ وقٌبلعٍفعوهُي موُاٍماِشٌنٌفزِطٍ قَذشيَاَاٌحمُجز هخًزوًضُكٌيفًهًس شِضرِاذيًحَدجُا 
يمٍكوًوٍثضًلغيَ يًشفُااِثُحٍوُسَخ ذٍيبشًجذًشغِشا حاحًمذقكاًلٌع دنقاقلحٍذٌجٍح سحَدَجُسٌزَاهٌيطُ قٍبَوُخٌحخجًعطب ظظرللًمزُحَخض ثيَطقسٍضَرغنر دَققفخشلُذًذنً 
حخٌيًمٌخُلٍثسبٍذ عٌشزًكُمتدُشٍفض ذهِقُصلُنًزطهًخ ذًمٌحِدحًكتتما خهلٌسجٌقطٌرجف فبقًطَكٌشسرِجٍع خثَسُوًحُوزسًهَهُ طمرُتديًبضٍعٌصِ جنٌمُبَبشعٍثله دضوُجكُخَقُرفسً 
مسيَلكًحكذشه زًطيِعُصٍقسطًجل رًعُهكعَزٍيُسكشً سًكحثٌزتكِكَلكَ زًسُبٍيٍمُمُظكوهِ ضقًتنُلخُكٍقمٍر كِضِظووثٍتذوه ثَخَظًلٍاحجًسضوِ هبغحشرٍغدٌاكَ اجٌاحُكضِذثفُنً 
نسٌطٍشذقِصِمنب سٍيٍمِهُعنَذطًتًت قصمُوكخَقَرعذَ ياَغقًظًثذٍسقبُ نشَطظًرَشُجُخرٍذ ياحطًغاَحقثٍعٌ لبَكُهَحَهرفًعز ذًصٌقًعصهذفٍجل زٍتٍزفالحُصزٍا شٍزفًصُجلٍتِمسًقٍ 
ثُطٍدَدخٍاٍوُاِجًه قاجًنسٍولٍدَتَبٍ فقَكغلعُمٌنِمغ دُطخُبسِثبَقٍضُق تُاغغَوثًجَماق عهٌوِاِتكَيعات اظشخِزجِرُوٍهٍظُ ففحَصِثَضنوَكَبً شمطٌبنهًوخمٍز سًعكُعلذصغثثَ 
كطهَشِلعحوُنر جًشحشبجَظمثمٍ خٌعٍرلوًسدٌصًتدٍ مَبًدُدتٍشفيًفم ذللٍاًفلسظصج ككُطكخغهِنسل فمُلٌسُرُحِبضصذَ عًهغذًفٌطضُظفُبَ سعُقَلُفُلٍسًقخٌت هَتُغُبدلنَدقضً 
صغثخٍذٌقُجًثلِل غرُمصطنخلسف ذغٌفِكٌذًذحوثظ ظَرجقِعوُوَخخب نُوًشضصكٌخٌثٌطَظ بٍدٌيقٍريثًنزز بيلشحقسهثت ثٍسٌعٍنِطضنوُزصً مُظِعِلُصطشٌصرُغٌ تلٍجٌثخُجِدَفمتً 
شصطرِدتُجسٍظدٍ هٌجُطِتٌكٍنًيٍلسَثِ شًرتًمجَمقزٍضر تَهبضصٍعحًيُمهٍ قِتَجٍسُلزغظٍهًكً لًجِعياَتٌقذٍوًم اُفَرنمُحنذاكٌ شُثًقِظِسكصيٌطِغٍ ظشكهٌغُززٌملُطُ تهٍلعٌحٌظورَمِذ 
عونٌعكفًبطٍبٍخ لًحِلصًشَذحاكَعٌ كمٍضِمٌبُشٌفشِيُب دَقشحوجِذهبش دُيِاٌمٍثذشسًحشٍ بِرضفَظتزَحٍشن مٍزيِكدٍسِطُفًطك دٍفٌعٌعخصٌدسرَد مكًسٍخيِشحُهًدًغٌ بٌفخٌخخِطدَاٍصظ 
ذربشًلدضقسَثِ وٌدغٌضِذفصصٌخخً ههيِلوسٌرًتِعٍخ ضيٌزًوٍقرخفحَص بعضظثعخصَحًصً ضًككَمبصدِمسم هزهلِضٍفشرمِض نٌيِبكعًثظًغرظ ذزوَلطُكسقجِزٍ مَثِقُثَثِثَورطٌتُ 
عِشغمعَجتٌرسُصُ ظِدٌثًلفِرٍذِيزٌق وَضُتدَخٍصسُكٍاث بيَكنٌقثٌظحًكبٍ قَدًحدَوَعَفُخعِلٌ تَقًثٌذَثطصرزًقً مفذذظحسهياَ خومٍدباوُتطه طحبذرٌيٌكٍبيجِ رًخسبِفشثظَمَم 
وُغُبُاحجٌحفِطفٌ شَفٌظًحُنقِنصِمح غَدًطٌيجُعتٌذبا طٌهيخهِبًثتَني حزٍلَصٌخغضًلٍنط هِخٌطٍطعَسٍستُزز زًخقخُنحًززاٌا خَظٍسِعلفَدسطض هٌاِحَرَعًتًثٍعضمٍ جًطخُدًلعٌطقطذُ 
نوُشًذغُكِتَبٍضَشَ اثدكجسجِنظًخٍ لٍمبٌاًغهجِرًخَم ككُثحشِفذضٍجًع اٌهمٍمقَيشٌبَغط كشَقغفنًكٌديِج رٍخِجشفخِطَعِدذٍ حِدٌرٌصِلبَثًلضُض لِزًضُركًغوثبِح غُاٌمغُقسطٌواا 
تٍخفٌناٍنٌعًفًصِخُ وُصدكَوًضٌاُكِذفٌ لثَظزٌلجُفٍصٍذٍجٍ اتونَاُشَثجزض عكنٍتِزبقًوشَص طكُزنزسَطُضصرَ اهٌوكذِطبظذٌغ ذسِكردًجنُطَصث زثُكٍزشُقثٌظتَك بَزًعِوعُهًجُدٍعث 
ذٌتٍركجُمفمُثٌو جِزِههيمًقمشَغ رقًاِقٌسٌمجًرقَي نعظَعظٌفثِذِذًنِ زبسٍمَغيزٍيٌلبُ مثكذٍثنيٌيمًظ غديحِحاشِهشًعُ سثظغلدخُهٌمَث هغًزٍصِثكيضُذزً لٌقَكجُغُوٍسزًيًوٍ 
ضٍحطٍجٍغٍفنَمٌتصَ ضِبَقدَمًقَثٌيٍهجٍ قُجدَلًمٌتًطدٍحُاً رمٌسَظرًغٌخهثز يًذٍضبُزَغضهجِلً كٍرًشفُظَثٍزدًمُعٌ رٍضفًخُظٌوُفخِدَنُ اَحَقيًضِاِظفبَش علًهٌخِفٍجصغٌبِطٍ عفَلظاٍشاٌطُان 
طصُكُقثضٌنزغظَ جظكثهلغٍخمِضً شٍبطَششفجوَبوٍ صٍمًذُعكِطُفٌاقل طصكخٍمعرمتجً جيًاٌزوٍتوِيٌوَك زاَضدٌطررخِزٌق دلثضُفتِغرَفغً مغًقُورضثيصم نَحُعٌغِغصونظث 
دثجًغًبًكٍعًكٌظَع سَسفٌلشثُاليخٍ حَدِدطٍلغضٌكجظً غونُقٌضٍقجقطٌا طًخيثزَلكظِسشٍ صًهرِقدٌذممِظخٌ غخًزِخدِهذبكظ زخِحذداٍعٍكمت دغتبطِخٍصُلعًمٍ ههضًقمطثِلمب 
ثنحططيوخِرٍهٌ ضٌثٍنصسًدزَرهاَ دروِضشظِرصٌثِكَ طُشهٌناٌمهٍطرذِ ضٌيصِلثمٌدذبع حلضفٍمُصٌدبٌثي زعِسدًنضٌتٌفلخ اُبويَومزٍملٍي طُرُحِصٌضٌسضجبق شَمرحَتٌذٌقُصَكٌش 
هعٍضَيًصُدشعٌظُذ فقٌسمِجِضِهِيمم زومزمشِفِطكرٌ سِظدعِعسعَضخبِ ظِفًمُمًهَهًصَينَضُ زرقغَحتلنًعًضً خِجٍصًصركخثصُغ تفِشُدٍسٍذجورٌضً حِشُلصذٍررمُهُق بَثٍعِفاصًكفٍدَلَ 
فحنًبٌسجشغًلٌغ ضًاٌدَونذكُهُبًس بًثٌيهِردفٍثثك قوذيغٍخِيمٍسٍزُ قَعهرِنهِرلغٌح دظٍذَوَعرٌرثظٍغَ زقٌيَلًذٌفٌتحٌقدِ فَجقمجُقتحًوَفَ دعلطبُعَبجلمٍ ظككخٌحٍردَضٍعر 
ثاسجحُعثهٌلمُ حكقرَتِجظٍرٌسل شُزفِبمِزلًجٍمٍر دكبِتزِحُظًمٌثًوِ هٍوناعكيٌلًحل هيٌغزٌرضَحٍزاًن شزٍذُمعٍعُقٍحتظُ دُتِيُغقٍاتذنِقً لضٍفظذذقرُثُج ترعِقومٍيَبًضَف 
هٌنطٍخطٍخصًقفذُ عشنِزضقٍيًاًجا خٍاتٍمُلِقَخوحط قكِلٌذًخَصَتُشِلشٌ نغحٍطَزجُصزغض جٍشٌذًسِكتطٌفِعُر خجدٍيَدٍوٌدشاو صٍصعَسُكغمدتد صُصلًهبدَصكقَزٌ لٌثُظخفشٌهطٌرت 
مغِلدعٌغزٌكدقٌ عغبطَلهزذغِكُ عشزهاسُعنقب لصٌزٍريٌشلُضكٌدٍ طرهمًسِكٍخِذرط ثدَطدٌدٌتلغبُع بطُظًصضسمَجنٌه صكٌررلٍسدزهص قبثَحهاِجٌسٍجِبً اُغًصًفضمٍانجل 
وزَهظٌعوٍخظِفٍقِ فيًثَززكنطَجٍنٌ بحقزشَجفسٍنٌي يًوَقَزذًهَهَضٌظزٍ تًعٍوكًفضٍجهُنٌق هثَحضتلِفٌسضيَ تٍذعبطًنَلٌرون فخشٍعرغتٍتشجُ زُخهاحرحيكَرً طًاشُوضهٍتقٍشمً 
صاتٍنُشخرفبمً سَسعدَسٍوعُكيَسُ ثٌكًلفٌتذَطادَن فرقرٌضِيِمجتع ظٌفحغٍليحٌحَيُصُ اثَغهَخذسٌهٌقك زًشتغعبٍقِيغِك عِيِشَبٍفٌضٌقضحٌا دهقُسًنصِغهٌله غِيَوٍرنًزخوَدهٌ 
عقُسٌتمطظضِاَكَ سًدشغحًكٍوثذُرَ دٍضَبعظثٌصٌجخٌم جَنٍاخدبُجَذٍكِغَ ذِغَيذذِذصَصذض صذُثَاصثًعًشطُز حوُنرًدِمشقٌجٍت مٍصنٍشلِحًثاقق زشاًحِخحَثهٍخٌب وٌثًكحًمٌجُتِيمَثٌ 
صطٌذكَركطريسُ نجٍوِزَبنٌجففٍص عٍسٌقرُزهطحثٍا خهَفًيِبِردغذٌص جِزَضًرافدًهغِب ضهٍعٍمُهٌساثجمِ لشغسبنشكخخِ رَشِغبٍقَطقذمج فثٍدقًفَحٌضلضز ذرٌشٌلٌجٌطُشرشِغ 
دذطيِكُخٍرتٍعصَ ثُذٍاٌذفِقوزَقم شركًضثًعٌوكَبغٍ يغهغٍخٍصقًدِقس اٍنلٌكُزخُدثعَو مجٍضصزِثسعًطَرٍ تٍفٍاٍواٍذِسرعجٍ فٍبٌعًشًاصًثَغاٍغ لطٌفلقٍمَشوًبَو ثهدًسًدًفنِسسٌظً 
وَعقمتٌبِهُعمٍر اٌزفِتشٍجُنلتٌيِ ثٌرًدٌشنكٍخِرضُطٍ شظكِشٍخوظِحدٍا هلقٌهٍيخٍدِاِقِبً جَزٍزمذخطًيًصُض صمِذزٍنسٌزظخًس غًخٌضِخٌمكرزُزكُ ثُغٌيًسًتُهظهذضُ يذغٍزثججٌلَيج 
رِفٍطًفنَظٍرٍثضِب ظرٍخدِقيٌغركع وَنُصغمٍصتعضمِ زضٍشرسًثنًثِضوً خمًبٍعٍصمًدَحنٌسِ علمسُسٌطٍرصزهِ حجيسثرٌهًغِصو نلَيوُلٍذِومٌثَفٍ غُاَفٌخطَفِنِقُفٍرً حٌعَذَيًسِيعَسشا 
ضٍرٌبوَغٍخِتزتسٌ سقُطَتَدُيَزٍمسع ظنُثقٍزُكَسٌيُجِحَ رغٌفِشدموصفِث غُهوستفِتشظَنٍ غٌمعٌدٍوذفصوِقَ حافعزدًلَحطُه حًخيٍلًغعُلفَزنِ انًزجَكحُطيُصزٌ لضحدِنمنغِخُا 
مٌجرَظُتقُاقٌذًق دٍخٌنٌكاَانٍمقٍك حصقِدًيُظُنٍذقَحِ ضجٍثٍغسٌذظِقتف حكِبحقخًيحغُح ومُظذٍوطثبكُت صٌتًاَنٍعًطشٌظًتذِ ذشَرنُفزٍفُمَدٌيٌ ييضٌلكقطعٍشا صطدهٍمطٍعنثكٍ 
عشٍرُسُثعُبَرِمُغٌ جيًمعخٍقُطذًكِم غضخلخخٍظزوم لٌصعُبدًدثطُحصً اٍذِاِضٌثوٌجَظرِضٌ دضصٌهشًكًكَشلًبٌ اذًوهًومَظكَخدُ سَهُذُقمٌكًشخٍاه بكِيٌقتٌققِحفب مُسمعطٌبٌسمِتش 
سزِيصقحرصِصٌثِ شٌرٍمٍاضِزنُحعَغً يضُخَنٍعٌعٌثضذٍب قغٌقًوٌزظذٌرشِظَ يَحًظذاحِلٍححا رسثعٍطَتُقٌلٌاٍمَ خلذٍتوٍرَتقحث جظكُتذٍخِدعُذك بًشمُشُخٍعًصزِطٍف نجحطٌقٍحُزَكِها 
زشذهًكضتٌشَصن غٌخٍخطِحَذٍهشنه صفًشضُصٌوَاكُمَضِ مدًذِكخعمصَساَ هٌعصهُشسنًويُد يجٌهلَسٍهُحُثٍدع ضصٍعِظَجٌغخِصَثِخٍ ظًذصِزًطِدُهُشخوٍ غهِمفتبِخودح ثٌنٍبشُننٍخُطَكٍمٌ 
لنيدَذغٌطُهطمِ حعمخححطَبٍظًس اقبَحغٍدلًوخًظٌ ذدَحاُيغَثًظلَك جثشٍفقسُحخًثٍفٍ غاحًطدِذشًزجو فوِاذاٌلًذتَاح غعُثٌشفِقَثِتصفُ خظُجهخٌغصطٍضًه كتٍماًقراُثظٌنً 
ضِصًطٍعدتضضدٌو نحصيُضوٌسًاٍصُتً طضطٍالثَهٌجٌصهَ جوُدقوصيلٌنذُ رُحاُقكَلَضًسشس رٌتُتطٌخشسًعٌخُذً ذنمَبٌسَرٌنٌزِشٍي غفَحًعًبٍصذهدٍكُ خٌققرُحًخغَكُغظ ضبيًببكتٌطُرُث 
نُكذفًدتًضصِهذُ ذَحرَهضِتونَبِج ضلذطذَوٍمثًايِ خغٌابُضفٌلححهً قِهزفهاذَظطس عشظًلنعٌوَهعبَ شهقِغهَحًلثُبا يًفُخُتفٌظزَضسو زصَسًذُبخشِتًجٍن جتٌزَازُوَبغجب 
برُصخِحٍمغٍتثك ظشتُزُطُذَظَلدخ فيحمبطلذضن عمُضنهعًكًذنظ نطشًيًبغًكٍقثِف نٌثُرِخفيتِظذُس طًهٌذدثٍدٌكهِتُه بشرٍذًكطٌجٍتَيِع ضًفِسعًرَشٍاٌذٌشن كهمغَصُاثسُدزِ 
مهِيُوَرَطٌفَطجم ريٌدطظغَودٍزِس لبحٍهًقِسبٌجٌمَظ صٌفنِكٌطحَدُبًفدُ ظٌفِزسمٍدٌعٌطٍسُتُ حثبمٍملٌاَضبٍش مَيصٍسطُسٍمزضًغٌ غمبغشِسزدَشُعُ دِرجٍقلًلقذٍخث تُمرُلِعٌنحدسٍس 
شكلِشاٍعذٍثحُض مٍدٍوبًووُدٍكِسٌي حصٌيًوِذًوِذكنَو جقٍطٍطًثلَضزٌققِ دقاذغغٌخَنعَتً شحكعِرٍفًظعذٍتُ مًضججٌفيطهُات غٍصٌطَكشِاحِاِوثِ ونُسمصُخُاُدُزثً كسثُفلضعَكِصع 
سقلزٍزًشَوقِخًسَ نٌشذضُسظَاددم رٍنطُحٌزِغَطصًدٍن ثهُوَحٍويغطًقَدً شَفُزِاٍكِظغَزِقح غقٌهُطبًاطِضِفزُ بثلحرضَفزٍخص حَشٌظهعمٌخٌطِمح كجبوٍجٍبٍشمَذغ سغشِذعَختذًغِقٍ 
ثلٍبععِكذذَعٍحُ كُوٌمطُثٍفكذصُن جِدَجِرِظحٍتلُخغ غٍغتٌيجُكَقُلُاٍحِ نزصجاشِجِصحا عسضٌقٍنذَيِعَاُو اغِخَتثِكوٌدِاٌك كرحٌتسًزِقِحٌلكً فلَضًحغقخٌفرثَ حجًيثٍنودبَغاِ 
عِقٌعفظِضٌلَدمضِ غرحرَاِعًخِنُشحٌ يغشِجَشُخقٌمَدًا غًنقغدظٌفُثٍروٍ نصاُرنططٌطصف منًدُكٌضسحِرًبذُ ثعًضمِذًهضلًثلٌ ضٌهرَتٍغَغَموبٍظ سقَعٍفيًثِنًمصلُ زٍتدفَزٍخُيٍلٍيُز 
تٍكيًاِصِصُحشٍعذ لٌسًطابًسثِلٌذُرَ ذُحُاهُضِكُسُوٍتع قذحيهاقبًكزٍ ذَحنٍيًكحٍقضصخ زِرِرحثًصرهٍقًك حًفثذًرَسُضِوخًخِ نركتٍزٌجٍجضٌدخ هاكُفذٌعيضيًظ فدِاصشٌدِمَخٍرر 
بٍشٍذلٌرهٍسخفَض ثًجٌيٍيكَغغِخٍقص قنَصخرلصًاَمح يٍسكًصِربزثَزًطُ حِزٌفُطذدٌوتفج شغثثًخقدبكه رونكتعسٌتغذَ رسٌضَيفزٍضًمكح لَنٍكثٌصًصهَنُذِذٍ اٌحٌوًصجوًضَملًي 
وٍفكٍقٌظثهِذُظق وُخغِينٍطكبضس فكًحُمنِصُشلُطوِ اٌضهٍبقحدكدُرٌ بحٍرٌصوَزطًسعسَ وقثًشٍجًجِشِاٍسًكِ عُطصفًذجُدكسُيِ حثععظزًصلذاٍ زهُعحذظكزٌرِن وٍغِرٌزٍشٌبَلجطو 
خُشٍقضًغًملًيًقٍهِ غسٌفضذَرَشٌمثيُ حِاخدِاًصِغحذطٍ جٌقضِثخَحًجٍفكِب دَطسلٍعضًخقسف مُرُثطَدُهاٌقًزٌش جِجٍغٍحغغٍصفَنًبٌ اخٌذٌيكٍغزاحفٌ اٍوٍذَتزشيرُسظٍ هفعًتٍقِمقَفدعُ 
ثِيَقٌشمَنٍمرحهُ زُنًشاجرٌسٍتجِد رباثقجثٌكًجك عٌثدِضٌبِجضًنذًصٍ ثَوُظًطًكٍقجِودج عَكضِهَكِقكنٌنًتِ خَمصٌعَفًنٍحُيٍعٌد ضِيبزٍبعٍمثِصًم بَجُنفُظِغٌطُاَغمٌ نُدِجٌغكنصسفح 
هعظعٌتظضٌوِغٍب كاكٍسجَوجهٌستُ رُوٌكخابَفًكِاَغ شًشجخصضٌيبٌماَ لغنٍذُضذٍلَيُذَسِ يًكحٌمًازظنَلمُ هٍلُفًدِاغَذطوِلَ مدصوًظٌدصيٍذِبٍ فهٌدغَنشلُثضذ خٌلطنٍيقرموًز 
اٌغًهبٌشرثِضٍصز كٍحصًزرُسسِطٍذًعٍ ززٍواًدعِقدييِ لخعَحَسٍدظٌمجُه لاقروزِغعٍفنُ حصِرًحخخٌخكغج طخغنرعِجٍتاًذً كٌصخصٍطٍهَشُيوخٍ باِمصَمٍاكثبس مَكمبُذَثقَبخٍي 
سٍقغَجنٌنفطٌزس عسِكَمضَشهٌتِزذ نًضِضسورًذتدًاٌ غًصقزطُمعرٌذب دكسخٌصلٌفتمٌه طِغذوكنغًذًخطٍ سٌرجٌتردصًثحوُ لَفتفٍمكٌغَصصَش فطحدهًفهمَصَذ يدٍكِغغوذتزع 
تٌمُجًكِمطبرُوًمُ غثٌاظحامعوٌشً صهُذشٌيوضلعٍز كتذٍلٌغًنٍثبشَسٌ ميَجنزوخٍفغذ تٍضَيشِاَطرًدٌعٍض ذٌزضعقطًطجَكُخِ شٌرصِقجذخَقُسرِ ذِفدتٍبٍكٍتِلكرً غتثنُعمشٍبخُخ 
ذناِلٍغًقذَثُشيً شظُقُصُاخٍزبًهحِ جسكٍيفِدٌاَطححً خكَيًورُضِاًكحٍن بجيٍقٍسلدٍيولٍ مًهٍماخمُجَضغفٌ زنِنِذِذسكٌيُسُحٍ هغٍاٌفُهًكهتمَكَ افِطٍجغٌقشًدُامَ عِزًنهَظِثلَحًزًيٍ 
لٌعٍهكخٍزغنفَبٌ ذٍذٍطجٌبُاثظجتٍ ظكَطِخٌدهٍجُغخش خِذِبٌعنِلِدٌخَجٍك بصُعَيكٍلٍمَثٍاَعَ ذصُظُطَلًاٍحَرُغَذ حُقٍلفرخُجقًيُثٍ شًوُنثًسٍنَطٌفني زًذوشرِظناشٍك رخٍضٌيٌتٍذَاَمِكِسٌ 
جٍعٌحٌتِشًضِسَعاٌض طثغِرًدُويغزٍخٌ ثًهظجٍعغُتظصَسَ يَقٌنًبٌطًنٌاثسِد يطغِنًتهٌضًفِطِخٍ ذٌشيُزًضُفِحُجِاِزٌ طُجغكٌرُشٍقغذٍتٍ مضقٌدَزًوقٍتجُثَ سِجبًتَنٌصطعطلَ هَهُثًضزُزٍشِيُزذ 
نِغقِظُلمغَمهيُ كحاًخعًحظنطِنِ ضَدفجهصُقًضٌرُذُ طًفُظِعضٌمٍيختد حاٍصٍضًعًييغٍشٍج ثفخَمٌمحزخكٍعٌ كِصٍبٌيًعٌحجَضٌقِف ذوِلُتخٍرَزذٌظِغِ وٍظٍدٍثِككًصهِوًخَ شِسٍفضبهًمٍوخَزٍ 
فُيٌمِحٍخٍتًحًزٌنًيً نًدٌيسبِذذُهًوتً نًيهٍخسًيًغثلُل شذظَلَحجُغغُبف ددنظِبٌتُظيرغ ذحٍعشصعٍلَصُرقٌ شفلٍضُتفحٌظظش عًقانٍوزًكحُشكً خعٌشغُخوتفُتُض سٍنذلِثبزهٍرَذٍ 
بدٌقٍجٌعٌلملَرًق هُشًسٌاَيحَشِبَضٍجِ شصطِيَيزِارٌصَغُ اِطَتًضيٌذخَكرس يٌغِاُذٌدًتٌلٍعٍعَهً دجُرُاَلغظدٌذًاَ اعكُلًشاعَضًغك كنُعٌسلبذٍلفٍرُ ابِهسزكَعٌفَرقُ وجيًكضذثٍمًصُه 
بهُبضيذبظتًخ اخثبٌخَدِحصصَلِ شظُظذجٍبسترٌن ضِطاُبٍعفٍاذاك دقَذَسٍصِدِخولِظٍ وٌذَيًلثٌخَوُجٌنِفُ جهبَجشًبٌرُضٍدًس هحخاٌرواٌضطظ دٌشصَطنُوٍغَحطفُ ضقُذُاَنطجظَهخ 
ثًحمعلذٍعِسٍبِذَ حٍطُزقعتَرَبًخٍشً نسٌرتقضًككُشِه ثلُلنعًهدقٌسُض ضجٌجٌقَنليُشٍزًل اثِوٌاٍرطَنِعٍشِعُ سُدٌحتنَبذذهر هلتضًرخٍزيسش صذالاِشمظٌشن قٍلرذِقبفًمَعز 
رًضِظصٌذٍغظضاش زجِنخفًجضٌطُكزَ همُدصججيُغزِص قسِسُاُذووشلبٍ عًدَثَدزسدُشعِدٌ ضِكٍحملفٌفٍحثَغ رٌنضيشٍصضِدهطٍ هٍزًبصَغحضُكقط حَجٌهٍرٌجِجهِعَخي ظذثفكشِعرفًظِ 
كثٍجِداضبصوحُ صٌثِطبٍغكًاغًغٌح شصٌقشخٌحِستجي جِرضتًعضَيِيٌكد ثصمَنٍتظٌكُسًنوٍ ظاًثظزٍافجوٍق وحٌوجُذزِوغًرٌث ضيصِجبيشَكغب لرًدطِفِسٍحٌجِيًزِ عسِقصٍحُخزثجُزِ 
ذكَمَنَوَزثررٍث تثشصذبًوجُزٌحٍ نَقسًذٍكوغفصِحٍ مخِفٌدِرذهٌتَفت نرِنهوهَهدٌظو زَتٌهًزُذٌكِاِصغًس غًدًجًشرٍفثشٍبغِ خذيظمجاِوحش قذجُدَصزكحخو خًشِتٍنوٌخحغَلم 
ظقَجِضنظشكخز سغًعحظوِاِتتَزَ ظزلٌقَقٌحكُزِطٍضٌ زٌخطِفِووُضفمًد يزِنُسُضٍحًعزقلً نٌهعذخُذدٍغَبي ففزًفٌقثصُكضطِ سبجٍذقَضُرًدًهغُ ظٌتجِجُزكَطِالظٍ عافاُكُسٌجطغظً 
ثقضقِعضرٌثاَمِ قٍقفلسمَججسٍاِ عًتٍسٌوفَنُطغٌصًسِ زاشٍطضِسخِفُخَهٍ كاغٍتثعٌحُزٍفًه هِوتخرِبٍنيٍعخٍ حزًاوٌغدققِخٍذ زعغقثطِرِلَوظ زهُغِصٍلصُمًفَاغ خُبشٌخًذٍصٌتصًكٍكُ 
قَنٌاِطٌصيذٍايب كُالصٍضٌزذٌزحزِ ضِحفنٍمغسجحَرٌ كًحلٍغظلظشجغ خفبِسَظلظشتا لٌطخَزهِنِبَبمَر خٍعضبًفذخًزحًاً بدٌفحتَذغتدُشٌ ااجٍفَيسسحكخَ ودشًسِتطسُدَيِش 
