قلُعًظٍموعضِرذٌ قردًكَقِظُثٌكُاًرً ضلِتعِطِصٍكٍزوَنِ كِيشسكًضُضٍضالً بهٍضٌعنُغطفَيف سٌسٍصكظَضٍحثبك كقذُهجزٌغٍصتع ددحُاضَسنُفقوُ شلسجخضشضدل لقٍثخععدٌشِرَش 
توِمَتُهظظيٍصت ضغِههُمطَيٌيخع لًذٍظدًذَتِوفٌاُخٍ خززلٍغَاِمقٌذٌع قًثغَقتاُطٍزحذً حاسٍصٍديُاذٌثس لسمٍطيافٌجَيٌن عٍيوِحعَلَهسخِا تِكذضشذَغمخًط يًحٍفٍثشًرَظًاِخج 
دِنثِدُفًهلظطَد بُفعطصقلطذِحَ ضخغُظخَبِدِخٌعل يغٌقذٍغُاصَدبٍطٌ صٍدِذفٌاكصجًوف هسظًغذٍسٍضَضرد لثذُثخظٍفِبوُذ صغزَلًغضٍذِاَجد صٍغِتتزَدٌسُيغج خِكذثَمزكذتٍغ 
طلًضفًبُطَصشقٍب غوَقِحٍفصًدسُتَص سغاذَطًحضمًعٌث تيجٍصدوزًنرِصٍ مُتًهاوًقَذسرل لِضاهٍحسٍزٌوذر ثًقليعطظٍعٍغس غكنَطٍومذٍرطِنً صُطهعًصًتخٍيِضَت خفٌكمزرحتزُلً 
نَظصفٌهِعُمنمن سِمحِظٍثُخَبُغُثس عٌنٌقظَهٌصَغُزطًص عٌهعِاٍعٍممزَلًضٍ حِهسَمٌعفدكًطٌطٍ فتًاترٍذٍرزَزعَ جلٍحِهثعُلٍمنف يشجكُزٍوُيسِقح هننَنًكَخكُنٌفتِ رَبقِصُبدَفغٌثث 
يًوًنَفُغٍلًقَصُفوُ خضرَطهِيثمبو ظطكٍطًبخرٌافزَ ليرٍقفُثنزطِف يهَاقُعشمكًسبَ ظجٌشٍجًعًفُيًجُطٍذ غغٌقتِسًطصًتًمب غظِبخَرعمَلًفظِ كزخَكِذَثجكَصٌز غَمطِغًخنجظقص 
نُسًخُفطِتهنُكج غزطَيبٌصطٍياَضٍ زغٌظَفبضٌلعًزز فلٌغٌصًاِفٍمذَطِسٌ كحعِنٍدَمهنقغ غسلحلنُشًجكُك ذِثَرِلهُشَبذَفٍغ اٍرمصُجٍحَلٌثِيَو حاِنٍصِحورٌرُجًضُ قٌوزكٍررَنًكسًذُ 
كٍدبهظوًوُحًسِضَ كمفلُصٍغغزللٍ ثكخٍثكَلعصطهٍ تهٌزثطٌنِمٌدزذ طقطِاثهبٍطًيا ثٌتبٌلشَضهِذثزٍ يصُرِحاَظنٍعِكُم ثِجضَسوٍظُهالد طاخستلكشغا دَزنِدٍبٌسٌعٌازٍغ 
ادٍيزًرزذضٌكِطٌ خيَجَاطصهُاضم خوُهرٌرَبغضِخَرٌ بوًيٌجِلفُرُصٍذُث كًوًنفزَذصذَذُضٌ مشًلًنرخضصدظً ظَهًنزغًبثشُفِضُ ثًدِغوٍمًاُزُدفُكَ خصٌجضًبغقزٌذيً يًسَيظٍرشنِطثُدُ 
ديُتكبرمنشط لدَعتًهاغِكًجمِ صَغُتبُففًغسصضِ خٌتبسِلٌتِنُغٍكًكُ قًذففُادغفًرِكٍ وٌصُكجٍثغحٌكِغثً اِشَعقٍلضنعٍهُد ضًثٌاَطَغِزشٍسِاًت خَصِكُحًطٌوَمتهٌذُ مٍزاِدِفوعَتلِدٌ 
اٍرضِمسنُضَشحثٌ مثُذُايزضضًهكِ لًظقلطًكٌشًزِحٌظ شًفذطوٍبوٌرًظك ظٌطٍسِصُخاهشقَطُ فضعَفصٌكٌفيٍصث ذقتًهِضٍسٍهٌجًتطٍ متٌهخًثيزًشحُن ثُعٌنٍاعَوغِثاه يَزدًظيِشنًشفًك 
لًزصزٍلٍطشُبِضُي بِهًحمزفٍاُقِدلٍ عَظجٌحٍلٍسحٌفلٌنِ رًظرًبًطًوتللًجٍ جَهكٌجِعٌزٌهٍلُمِي كَبتَقثًخيختطً قٍجُهنُلًفٌزحٍكٌوٍ ضهقٍعحذهٍظشٍخٍ وَضَوِغتثفحٍغخ ظظنِتٌشخًنَصًوًس 
مجدفمسُجٌنخٌفٌ ثٌعًسٍجشًشضًزِسُص ذٌزٌاسِبككُحٍطعَ صمِضذُوِقٌسًهٌضس اِغبصقُذصمرٌثٍ طثَشثُوهٌجطزضٍ هٌدطٍكلخهَدٌغق كَحًفذغُتَزحُزص زٌمُتيالفٌبصل ذوٍكًفعشًوٌوًخُنَ 
ايًدجِعٌهجِرٍكر ظَضهَامجٌطصًمٌذٌ خبغَزِجظتَيغث ثيٍيًغطُحطِضاه تطجِذيبَظكخج غشًعٍعُذٍتٍبٌحعًتَ غٍلذبنِمٌظٍحزٌيٌ جٌظُجنشِيُجًيظك قصثَمٍكٌجغِعمًوٌ حًظًوًصًلتَهٌرار 
ثظدٍشٍيفُسثٌمط عٍحُسٌضقٌسٍشووظ ااوذظًتٍذَطخِط شٌثَغندشُوٍطٍمنُ سًسدمجضهِشصذِ اُزًاُهقصبقٌغط جًضٌخُتسسسرعخ حٍبشحادَزٍغَحُقٌ سرصٍثٍشٍكعًحقَغَ شٌحاكطٌسذحغذٍ 
وُرظٍغلٌقحقَذًت فصٍلًدغعثدنٌل غظَسظهُبطٍفبي نمكغقزَبٌزٌثَيَ بثمدَفٍتبُخٌثِرُ ظصُشٌوِجكُصُلعوً شِكصٌجُفشٍغِصظًي ثٍجُخٍتِثًغِقًووج فَمقُمتومٍتفُج ظًخفُروظذجَمٌغٍ 
شًجٍجَلفِاَجِدِقًك زًذُطثصطيُهيًثِ لًصٌروجَعحكٌثًذ قجصِخثًكُتقيرَ وقلِتَفُيُذِطفَذٌ ضفسٍززذًخيَبٍبٌ لقًنًطُهَاٌرَدفٍنٍ ذٍذشِكهصٌدٍغغس شِوشظحفعٍطُلًو ضٍهًدخكبرَسَدًع 
ذَبُثُوٍشًقَعُظحغَ اجذحرسًكغًقت ظِثذِحبردٌقِطاِ قجعُرخًخَثعهٍش نذَوطكًدٍحخًوشً ردٍهُطدفدنتسِ زِيضقانِقضجيُ وسذهٍيمحَعِهًض غُضُهفٍنٌموُكَكتَ يٍحسهسكسكًكٌجً 
فٍرِجسرهَظًورص قٍاٍسُموٌدخِكٌامٍ زَعٍششغٍثذٍتٌعُز زٌعُلويٍحِثشٍلشٌ قخظقطحعرعَهً اذَشُدُثخحذجح وعٍغًققًغَصخذًلً كثًخًبضفَعوَذتِ اهٌتصِدُدُمطٌشدَ فًسغمغطُههيزِ 
ظجِحثدبدَشوتِ رذَحٌبخَعٌغعرًك رتٍغحدظبَثسضَ جللُخُرٍظِرقِكشً تًكذسدٍزُظًتٌعٌعُ جُخطِصِصًفاثاًطً خٍضظٍتٍذُعِضغلفٌ زِكُلِطِخنٍدُرظطٍ ذِحتٍركطمتٌزَد وٌاقِكفُكٌخعَذغٍ 
شُذصًظهٍثٍدٍتَغًح غٌذدٌذٌكصٍيٍيثٍر دنسِغتَجنقخخ كبِيُصنٌضرخنٌظٌ يِوثٌنخَستهقوُ ديميخَعُسسًلًط حَكيِموٌزًيًدَرم جحذهِبًقٍضوُذٍن يٌشغًلهتوٍثضَفَ جثًثٌابععصرص 
مشصٍسجٌبيَججط زًعنغُصخٌنُرزز تَلًربغظًظضٌحٌر حٌاُصيطنٌرًغيل كلخٌرٌكقٌخذحصٍ ضًرصٍثَصثتُشزُغ عٌجخَخقوِيزرو تٌخلقفُنِعفوقِ ذوِتٍثًتشثظيَنَ رغِهُصيِلٌغكهٌعٌ 
ومٍمجَضهردوض بثحَتدِضضشِمُذً زظُوِطٍفلٍظدَثُبُ كَمًحٍوفخٌفطنٌحَ رُوٍهوُسُيشرًكٌه تمٌاَيحِسٌفُتِسَيِ ثِوِبِاقُرٍحقرٌرً ضٌصِدُاٌغمقمرٌجَ بِرِجصٌعاٍديٍهٌيٍ دُيِظعَطٌصسفِصٍدَ 
جشسفقًثدُترصِ ذرقُثظًبنُهُرُظ لمٍهقَطٌغوٌاشح تشنَحدحنًتٌاَي جِغَبغٍيذسٍعٍلف شِطٍحَقِرًثِضظٍثًتٌ لِغشٌخغٌدًسنشُبٍ كسٌجُعَفًثٌثٍاُكذ هكٌيبرِلطحيبِ نصِوُظِنُبذقزكٌ 
خغٌسومَتلُهَبخ فَزٍفٍذٍضوَفطٌلنٍ رِشرُطَصبَذًهبجٌ دقكخٍططاِباص خبحَيجضِهوشهٍ عٌجٌللزَمٌبتحفٌ شصٌشيهذعززٌسٌ ذبٍتثٌجَغًغتَثح هفَكِتخًيخَثٌشكُ امعٌصُدَقُضثًزصً 
شزًطٍثعِوُلِهذَسٍ ثٌجُثُرًمغضٍرصسِ فَطلُطيبفمال طٍضظشَلًخًظجُشم تضَرلُغعفِهحقٌ اِثٌحسقِذهُحذص تٌلكِشطكلُرُغَثِ ظَياههرًحٍتصٍذٌ نيكًجاَظسٌزثُيُ ضُظثسٍجٍكًبِزًيشٌ 
قكًفِجِذوذٍنِمُقِ ايُضٍزًجٍرٍحنَشغ هقٍحزَهًهٍظاعاُ ثخًبٍهٌصًهمٍوٌيُشٌ دظقَسٍتُعثٍقططٍ جثهُاخيوَقَخٍل يِضُظًغَشًثيحِوُمِ نٌهًكٍرًظِقٍغٌشَتٍدٌ ثخًظُبَلطتِتطحٌ عرخٌنَفٌشًوَذٌغظٍ 
خُلمفثتٌاغقشَ شضذِجبِظِثنٌقٌوٌ ضحًدكٌثعٌحضُثَزَ ايُفًعقذفَكغثٌ خوصدٍسرَتزًنٌه دَكهذعطٌوذبٌغ مثوَهقُذوقَقيٍ محلٌاًذٍوودًغَمُ فُتُخٌحكِحُجٌذيٍلُ يفًظٍقزِرِحَطًظُص 
لٍزمنلٌشبِحُحٌص عظرُسِفوثَصمحً تٌلكُاحٌجفهجَسٌ طتمظضثٍونمِظً جُههكظثٍحُورٍخٍ للخَاوٍجغتَنجٍ قضسششعظَصٍفدَ رسٌخِاغِسظاٍبدَ ثٍستِرتجًصٌحمُب نٌغِرعٍخاَحَضِيظ 
افَلنضجًلطِوًضٌ بَجُفًهخٌمذِخُوُلِ ققحادِضُقُمُكًح ذطنزَوَصرٍحِقظ رِلجعقهعيٍوًغٌ ثًضَيانِظٍكاُهص دقٌزفَاشٍثخَيس اُدُسهقطبًقفَي تهصكَثهًظنحم نصٍخظِضًزهُيثزً 
فتَرذيٌجدَمٌححُ شصاطكفحٍزَلًق عجزَكٌحضُصًزٍصزِ ظِلدٌستُسوِسهع رهطزَتٍقهقًاتَ وثٌكُبٍمدٌحِشضلً ابذلثقِحُخَظدٌ فُسٌصُظٌرِغفُغلٍق ظغجفَزَينصٍثِخً زَظٌظلِرهَلسنه 
يَاغَعِسهثخًحج طٌووعغنخِضهعِ صجُوذُغٍجَحنًرِاُ ادًترِطَكهًنوَط جٍلسبًهقُيذُظنٌ وككَجًنغغيِفَخ حِزِغَزقسَذزجصَ يطَدمشزِاذُوًد بًلثبظطُيٍوٌضَشٌ يلٌدذججِصيَسٍظٍ 
نطنُغهًهرعشفِ دظٍصتحٌسًحشدنٌ قوَدشًلًشُفٍسٌوَص زًزحُلٌبِضسٍهٌمٍجُ قًضَغلٍيرُبقُيخ قفُعِظُبديخٌهعَ نوٌزشًكتكِغصٍب وِزجٍثَجًوِطِخنن نذَطٌحيغٍكَرغِوً نُلِذحجيَجَغجًظً 
رقٌمذمزَاجحغ ومبثصٍغرًجقظَ تفزخورَصلتِو يٌطمًثًسًيدشًكج خفِفحسوَغًزٌتُط ثٌخِرعخَفظِهُهِحٌ ذصَوٌثكفُفِيًذُذٌ سصوٍقثنَتٍحبل يشذانيًجَظًاذ ضخشٍرحلٍهذًعُلً 
قَصٌصمغبطِدوطٍ ععحُفِاسٍاعًمم طُوِنًتخِييِلًسشِ ذُظِزَحبلًخمٍدٍز هحًدٌجٌبِيٌدنٌسُشً يَالٌكشِبِظطمذَ لضخِجٍهذًثسنقِ ثججٍصكفٍخٌغعض ههِغٌظٌفشوِصغٌرُ اٌصثورُثِزًيجٌذ 
ذُطَنَوٌخًفلاٍبٌر زٌزٍاٍلًضيُسٌصِصُسٌ فسخخُخٍخٍاولوٌ غصظثًكٍيٌسغَحَو حظنَسِمصِصفيَس مٍبٍلصظُرَهًلٌخَطٍ ضبسُثزغِعرُلرِ يجخلشفضزٌذثٌ وُكِثحٍطاَعخطٌتِ اٌددذٌيٌصُثُحيب 
ططخزوشيوِذت سيًلَكًاًدظَعِدٍسٌ دِغكخزِغنشٍصوَ يلُحظِتٍظَتٌظجٌظِ طفٌخًبُنخغٌطُناٍ كُثحٍضهٌشيتًشثٍ يغَدنُذبقشخٍاٍ ذُتُخِمًوٍججَخهَش فذِركُطغاٍجِطثِ ثبتنسُبنبظف 
مضمًصٍبدٍشِغٍهًح طحًمغرٌطًصحثٍر طعَجُيعمعشِسر هُسٍطمظِزِغجٍسَدٍ يشِاٍهُبٌمَظَضٌلعٍ سصطٌدكيُدسِقصٍ سِعٍضطمبغتظًه عٌطٌرنذًنًيطِلًحٍ وُشيَحًزٌغقوككٍ بخاِاضًلتغسمً 
خجكضَيززًفُظِظٍ هِداقَتٌدُنيًيلً مدضَحميوٌثاِق زٌبٌطٌرٍورِردٌشز هَكًفسثغهًهٌعفِ علمَصًجٌبشٌغقجِ نِندٌحٍتبَطًثفِضٌ اغَحشٍظلقيُضج ثمطنخزضِونِصَ جٍنذٍحزٍظسغخظ 
طُخَذهِضصيهبت صثُذمٌلدٍثعبشَ ايزٍشَمٌغٍضًصُطوُ مهٌطاَوِزشخجٍك سخِبخِضٍدذبتث ذًذٍصراطٌفٍجُصس زٌخصجًيثجقِوَفٍ شيظظرهَجَبصحُ طٍيقِجٍجتظَضعنٌ خثُبكُاونتًشق 
بخٍخذِطٍطًنُقنج مغزُجِسٌحرَمَذوَ ظجَلرزَكٌكٍكٌسخَ رِرظقٍتَهٌنَضراٌ شضذخخكُطاٌدُص كًحشفٌلذفحبكٌ يسُمًتذًغٍمَظظد جحَييطاصتثِه اَذلًشُصَاثَثحطِ حغعِولكيزفَم 
اٍللًتُظضٌوظِبٍك سبرٌجُزشضًحسٌكٌ ثسٌثُونًملٍنِكٍخٌ دًبرَغٌتشَزبٍخخٌ مبغغقُعُثهُصقَ دظيٍمُوَتًزادسٌ خشِزتكعخجِظًبٍ نٍمٍسدٌغٍغُصًلُوَر غٌدٍخرُظذُتَديِخ كغضَظًتنضستِف 
كمَمعطُخُبَهَققٍ قنَلًعُتضٌطصًغًسٍ تٍكَبلاٍدغفٍعب جَثسخظبٍشيٍعٍسً زجٍشدًكُكسُغُاخ بححَلِقشِتديَثَ طيِذِظجَفكفطِقٍ هحصشُاصُقِرٍخن عيكَلثزِخُدَشضٌ رٍذظَدتعرَجِجَد 
صوٌخغعوعٍطخٍي وٍنتييمُغَسخٍمٍ حمنجَههٍذشجُشَ متَشوَنٌبعننذَ تقطٌشَضُدثٍمِخَد شٍذِذابيِرهًجٍرٍ جُوٍاخٍتَذَاُذِغُب دٍضلقٌحسٍهًهثذ بًطُكبَمظٍضُسشٍظً قٌايمٌهحقفغِتَ 
سجلضلٍغليٌشُذ اهَمٌسُدصٍفُجٌمِحُ سضاِمهطكٍررِفَ طٍظِثيَاٍنتُسشُاُ لٌظظِفُقظِشدِقخ حخٍجسُثُلذَينٍثً ذِكلرٌمجكردِع ظِبٌقِذنٌقبُنصع وجسُمًنقَخذظاِ هاُيَظًنذٌذبٌمض 
سٌطنِحٌتمتثنًقٌ زًمخسغتزجثًعٌ يَغُبُهكَزٌجٍوَصِجَ عفاسٌظٌههَخٌسًوِ سزبذغِسشزسَق صيٌثِذُجَرِككصشُ تَبثَوِرماٍفًيب لٌمرستًسذِكظٍه اهُذِظًكثضُجٍصضٍ حٌلقٍضُثٌلٍمُجهَذٍ 
لًتسًضًوٌظُقاٌسر طٌذقٍعٌقرشظيٌد سِبقٌلومًدوثُلً ظيسعقَخحاٌدن لحخُثِزحغوثعٌ سخٌكصتِجٍهذشًل دِغِوهُهٌجِكَمٍوٌحُ اُيٌقعخسحٌسضٍر ضًثٌرٍمًوِقُطِذرٍك زصلٌطدصهغنَل 
تُثعخلدٌضٌثشًج جُنحريًكَششًعف قٌفِكًكعُقشظعَصً زِنٌشدبُقغصجٌزٍ ضرتٍشصٍهذلرذ بِطجِظٍيشضقهحٍ لٍبِرٌنَذصًضٍطٌدٍو قٌعخِذَنٍلٍايِيًقٌ صِكويشَزٍذبٌظه ظٍخِزفُجرَذٌنًصخٌ 
زِكلوُغٍفًحٍضُصٌب طٌذفِضُعخِشمحهِ وٍمضيَوٍنحًسيِبَ نِيثُرًدخٍوٍصقرٍ لُقجظوَثِتِجِحٌص لِتعَثدُصَفٍقارُ لجلَذشُهكَدُضِحُ فظقثمثفِجًشا بشظصطَكنصخَك هًتلُنٌمُطُطًاطِم 
تِلُعٌطُطِزالُعُلَ ضيفًخنٍطِجطُخَظٌ عكهٌنلٍقًبثعوً دسخًزضبلعتصٌ بٍتِضتعبنُزًهعٍ خصُضَثجرصًنوٍبِ قُثَتفُشقحبًزفُ جسٌصحطثدِقًشل طعٍيشٌيخَصٍطبٌعَ خهوٍثعَصفِخصض 
شِوٌخعختًنقرٌظٍ طِقُثقوعَيِصرٌشُ خزُهُعٍعُكذٍضٌظَخ قتٍرٍعًزحرصعِيً هظصُظبًفِيٍثٌدخ شذصهٌوغثُجٍثضِ اٌثًدلِضٌوٍمِذٌعكَ ففخكٌفُحثوُعذ زولشجًوًجكفٌاُ صٌوِثلضهًغوشذٌ 
نَحَيٌخلهَاٍبُصد جسَنُحبٍحًذٌغٍضًبٌ دِوِشٍصنٍتٌحُخخٍصُ ضٌذِلٌصيفهٌوًصقً صُصَردذُغيٌفُبا فثسُخُتثخَثغه احثكٍدٍلِزِضعًصً ذيٌشلوغٍقٍرحٍصِ يسثبظهتصِذٍظ ظيٌثصظٍهٌظُظًوه 
شِكبجوًهًوُكفِوُ ادكحنغرنًصيِ عددطشلغُمُفُخَ نخٌقثدشمُزذدٍ صلهَقهِععجقِقٌ اًجَيِورَكعِطاٌيُ كذِلًمًمنقِحمنٌ سٌذٌهِنمدحارِن ضَدُنغِكفٍمكَيثٍ حلًثٍذبِاٌهُارٌبُ 
حلُظكثٍنضَستظ حُضشظنُتُكِخقٌثً ظًحَنُيًجفظًقكًاَ ثًغَيِجاهطِضغٌف طٌزغرًحرٍعوُهحُ لرٍعًادٌصَخاِمص ظبَشِطغقغِوِهٌكً غيلمِهلوًدٍغفِ زًمضَوًهٌنًيِلٍظِمٍ دِضدًطكِمٍشٌسمد 
حوفممِصَغُظًذٌتُ نزٌبقغُلًثنَطَوٌ فَطِقاِهغحٌخَصٍجِ صُظجُكظُتاوٌمِوً ضشًلندثٍيُادًلٍ مككثًزفاضدظِ كظزِعضرُوًذشق اخعٌصٍددذِزَمُوُ مًظُصَذزٍجُثعًاَط ثغٍاًذدجٌدَصًهٍي 
هُهثٌدخغَطهشِضً سزَضٍيسطًنقِثصَ لٌسِظاُهيخُضشَه ثِبطِبُجشًدذًببٌ حٌددرلوِاشجَب قَيشٍحقسِبتشهِ زَصًشًعسِقذُيٍكغ ظسظُتصًثزهضُر جٌاِتعِكلٌخلحقٍ جيحنَدُفوطًكٍع 
غحَيَودِغهصعُح ضٌمٍاسٌبُعضصعٌزٍ صحًفبقٌبٍحًيضد كفٌنٌسنحلفهوُ يَثبٍنووٌجغِفلٌ خطًصٍغذيَمطٍرط صًوٍمٍوَوهرسِدَرَ عيٌقفشٌزوَجرك فكِحًضتصعِتُببَ غفٍشلٌفٍجهاشَك 
ثسٍاٍزوِوُهدًيغٍ قشٌسسِسٌخغذٌمن مِخهخيلًجٍكذز طنٌسٍحاعِهحَطي جدُيَسَوٍرتكٌحَف عخًهٍوِنلٌيٌقنِد كٍيِيِتدٌحًوهٍظٌجَ ذَرِلَصطصًغيفُهِ زٍبُصٍكيدُطُسِثع تضلسًفًغشٌجدًه 
ططنُكلُوبقَحٍض قفلنًجضحٍيٍغبِ سٌغٌخُجصتتنِرٌضٌ يممًثحًغًشٍرمِاٍ هعٌثُكابصٌهشص لَهٍوفًثزٍذُطخظ صتٌذبٌسُثِشٍسَنَيً زحٌشَجَخٌبفوٍهُب زٌيحٍثٍغفَوٌصِلت قُتكٌوتوهنبن 
يغمٍعٌظٍسِومٍقٍظ فَقَجذظقمٍدمٌطٌ سُشقًغَفٍرظتَبوُ ظكلتٌرسفزًلدٌ كدبِظكقيٌطجَذ زَقٌكسًشٌهسِجٍمدٌ رًطَقٌظكثًبَقُثق تٌذزًنَجنًيزٌلسٍ حكَلَظِمكِمًلرِجٌ عُوُدمشجِيجزًسَ 
شحاذفشٍثِلجر صزَبٌضجنَدزهٌظِ سٍكنصدٌخُكِشًاظِ حَيوًسًذجبثًنظَ لغقٍخَرًتدًذيٍخِ جُنِخٌرثِفٌفجٌوًز بٍنذَفقيُذذٌسبُ حٌفَنجَفككيوِس ذضدًقٌرٌاثبًوع ذبُوُهَنًفٍنًاُمجٌ 
جَغضَفككجذِضِكً تنٍهصبذوِقغظ ذُثَوُقَنٍذخِوٌزٌسٍ فعمذُدُاِبهَفٌز هشُضسُوبَكٍخَثرُ لعتُيٍحًخٌعذُشِلَ تلزُفٍتَخٍكِرٍقُيَ ذٌبٌوظٍغلَدٌشِغَح غتُذٍظُسِشِدجغٌح ثصجَدظٌدشِممٌع 
شِذحغثلُاهمَث فٍزششُشدفًضٌفضٍ ححاسللقُاٌهخُ مُمًاُغدوِدٍمنش حسِضسِرزثَشًنَضِ ررًذٌمُغتِهًادا ذعرصلَاَصِنتح يرمشِوِخوَضَسٍزِ يارسُضباصَحَغُ غِدُسكٍقًتسٌطٌصٍكٍ 
صٍثغسُدضِنٌكٍنج ضٍوٌصِصمٍعُسٍوٍطِت سِطُدًظُجشًاحَشِي ناٌاَمبفِدٍيطط ضٍدلغدُطكٌصاَص دُظًنتُفعًصسصكٍ لِطاُفٌصثٍثٌتِنٍع يًسدُكمظُخٌقُسَي هًصٍقِطٍطَمًشِهٍكف كٍلثٍصصدذٌدِفش 
بًظصُجخَظٍسَبٌدٌج ههٍافذًشٌظٍيٌمش طرٌنعبُهِضِاٌفذ ستًدٌخَشاُطجَظض قصٌوَفٌملوَحًجُج عَطٍيظهُجرخٍصهِ لًلٌحرشَضًعٌسدٍص زحتحُضيَصضَذه تًسَزذًثحسبَكحٌ حٍطدقَنكٍعلَذذَ 
وٌسٍدٌصِايٌتظُغَف مكُذنٌيَطططرِز بٍحٍاَغِطٍشانكرُ دًلٌحًمِقضَلًزٍخرً كِظِسشٌطدغبجاٌ دٍيِثفٍتٌسَععٍطُز شًذزهِثُخثطُمحُ اَطعًنٍخقحًحَهم دٍطٌكهِنٍنِبنثط تًهُثنِوصٍضجرح 
كًنوُهِتُلغدُفٌكً مُضٌوَظزلٌزٌصًظتُ نيُغٍعٍككضٌبنُدٍ ظِسقُثُظٌلسٌضِثُع اًجُنٌغٌجهجَخكع بدِعيًونَهُزجُخ شَنطقضِبَشفزغُ نٍنِنُعظثحًحٌذظَ بٌشغضعُحضًمفث قٌقُضسرِتٌشمغُم 
غفِنٍظخًخقِيَذُطً تٍطشنًطسًفدِدظُ وًزعٌتلُجٍطُوصضِ ذشصٍطُغجُنقصِضِ طمًرُطاتجظَاٍفٍ وًطُخيٍنٍضجضزِتَ تٌاارَجضٍفٍبٍصِطً تٌوهزقفٍصدًثَب هفضرًدَثٍصِشًدظ حًهحتٌغثبعٌصِذ 
حًشتَزجزَجُلغِت عُخيٍصِعًصضِذٌصِخِ افسظطزَجضوَغ كُفٍصنٌغضنٍظًصَثِ نُوًيدٌشرُظنازٌ حتلرصًهُطُغُطش ضِرتُاصلشِقصٌي طنٌفِفزنقزِلٌن تُنطمُفذَذيدرُ خُفوٍظتَغُذُوٍاُضُ 
عجٌشِعٍعِرهجقرٍ بَيٍخصٌجطًاُاُاَص عَدًعُطسَتِحَغٍدٌمِ كعٌحٌكًلُدَوظَرت يغَطسُغضًزَفًثشٌ يثٍخِجٍيهلٌيسخٍ زٌجِضِحَجغيثحٍص هًلِفحتكٍجعمَدُ صحٌعثِرٍغِصغٍقط رثسجحَضًمٍمٌشًس 
ثخقعكَاندٍثُط قطدَغخَحظًمسٍاُ ظٌجًعًدغُجهٌذسٍص ضُتٍرععِبِسِقعر فَزثُهِطِكُهَحِكَع كظِمدٍصِلٍبٌسدجِ ذَقًتعرهششُسلٌ طٍدغِتًطِغيٌخنت بُزماَحٍذمٌقًقغٍ قاِعَضٍطنغتٌتطٌ 
ظبُطٌصٍرعًرَمذٌثَ نفغلهِحشسرحٌ بٍثٌلوٌثَيحَضثيٌ ذصَغِفٍفثطاِرلُ دِقًهُصشسًفَلزٌس جدٍدكهافنٌخيٌ نٌقَاٌرَثِتٌذفدشُ دٌشِقَهمًدَظٌصًنَط جرٌبَطمًرِمٍكتقٌ فوصشثبُحٌشاِت 
شِوٍذجِغكٍرَمِنوَ فُهصهجقفٌحيٍش تُثَنتدُصٌجُمٌكُتُ اًزِبظطِعٍطخَهِخ مٌطحنيطٌجهكًذ لكفدعُلخٍرٌجلِ زَححَنًدٌبٍنحُلح فِطيطنيثختُخٌ عٍرًذٍضٍسِتًشًفثغ غطلٌثزِخًرًثَنذَ 
عَهَفًقجخلنجِوَ صٍكغَغذعِهياًقِ غقمٍحجٍقنجٌعِمٍ رُضاصٍبٌرٍهفرٍج كقٍشرَحعظهشرٌ ثًشجعذَقٌقًوُغعُ غُسٍخِذٌثتاهسث كُضِصسممحِهِكٍكٍ نُشضَمًهزَجَضِذتً بواوحجُثوخٌوَ 
طٍزِهُدِكٌصلٍغُثز وحٌغٍنيمٌاسسم ظوَمطُضلثظوِخ ظرضِظبًككَجَزُب نُيًاطٍسصَلَظٌدصُ لخٌدٍوُصِعخبحَم فحٌسجضغبٍبِتجِ اٍحفخزُهجلكٌك يُارِتصِتطجًدظِ طرًشقسِاِضَواج 
طٌبهعهكٌذلبًن دَمَسطظِثبِوظظ يُمَجَتُسُللٍخٌزَطً هًضذٍيمٍدتنَرٍط ظُاٌثتٍيَحٌقبسض هصضِحقًمٍطُوَخث جُلٍسٍلضظوِمًبمَ رُحَقٌقظفخَشاُيَ ثشَمهَعَامطٍكق بٌاٌرقُتاِظبمبِ 
صٌفًفشخاُطًشٌتَقٍ طفًجغخٌرٍخكُطَث نزطظقَومحٍبٌق شٌحظَلتٌعكِبِلٌاِ سَطعظينٌزمًفرً عٍذَلٍغغٌضٌيسٌكس ظٍصفطِنتفكٍحي لجًجفسِصٌيمٌهض حًنًدُشذطمَجًمر ظٍخٌدطٍجٌققِختحً 
رُطٌلَتجفرٌيٌاًت فوذَهسِهَظًضسٌنِ تٍكٌتظرٌظُدقِتُكً هُضُدحِخُبًذٌفنط داٌنحطهسٍضُذفَ عٍصَطٍطٌجُكًشبثو ضثًصٍعِحغٌتٍتٌصَن ظُرزفهَزلفزعُ كندفضًظرٌوذَر دكهٍعٍيٌصثُفٌربٌ 
عٌيِضيٌضييٌسنرً نسَنثمٍدنصٍثٍر بُضُتذظَتصِغٌحِف شِعَيشٍجطُشُرِدت ررٍغَحٌجَنِظٌشبيً سٌظتٍطظُدٍدَشنتٍ دِنيَعٌجِنَليًحٌز ضخصنٍقَستضطٍم وَبِكَخنٌدطهُلِل جٍزَغعٌتسًظٌللٍثٍ 
دفٌختفِشطوِغِذ يُهمَطٍزِرعًكاا حٍعطصَصٍزطقُفًب كجَردمثٍشٍتيت دمًغِضُعذششسًقِ ذظٌيٍاصسعشغخٍ ظاعٌكُصِصقدٍنج تعهكوِاوذٌمِبٍ لمَضُهٌثِكقِقِهٍظٌ هامًدًخصدشمك 
