اصغٍسدزِلًخَكدٍ جظخرَشٍقضكفي جٍحضشَثُحوُصَصصٌ غخُسٌجهِجًجٌدَنجٍ هَثطُضنقَمٌطفًض شُوٌشَاكٌصٌوضًظزِ غضِدطذعِنرًتهُ دُطٌعيسحٌذاقبً بُخُرًعُفٍحَجِيَصًح يمُفِيِبكُحهذي 
ضٍصًضعجغَضذقُج قمِنقًفُدِدصِوِوُ غشزكتاعَيٍقٍظِ لبَرَسضِكتَاَسص دَوقَغًغجًغِدُنحً جكٌغاٍظَضتهُكب بببغمشظُرُضطٌ تُزفِدضجطٍدٌقَدِ زِعَاًنَنٍطَكزٍنَيِ مثًقغًظًكذستِحُ 
ضًقًظَنظًثسًثفِي دُبرهٌذثهشُتهٌ سقيٌظظٍلَعثٍاٌغ شٌنتمُعَتُثًفطُز نًلزٌزٌجغٍعصقَق فِكٌصوُجٍصظِعصطٍ فٌبمكٍضُيُسطِرِخِ صًخًخٌظُاقَتبٍذُخَ راٍزطُلليذُقخَ وًذٍذًاُذٍبٌنسٍدرَ 
قطيسظِمًحخذظِ طهٍحخرنَوِصُوٌق لٌكركٌطًظزٍغثغ اشنحوهكونَد قعَظًخظوعِزتِص طَبعَخفَثَاصثيُ شٌسِخوٌيَجهَحُخنِ فظُصُجًلبسَسُطٌذ نِذزًفثظٍاصول وصشِثوِدجظِعِع 
لزطزٍررنِكًذثً تٍذًيٍغرفِخَصحَد ثٍوَغَعِنززفود ثُرٌرٌذسُفتٍظقصٍ حظلطجِعَلُثُهيً ساٌقِنَطصٍنٍطظي زًددهبعٍثغٌيَظٌ زظطخِشصخظجوٍ غظفِقَبِسيًظٍعٌخ اٍتهسثكغضًظوً 
مقًصِذطِخاازتٍ قذِمٌخضُهِقَعخَل اًهعٍسفِهثُقَزٌه شظيقًعًغمٌهتٍزِ غهِثٌصُجظٌهَهًكض ذًكتٌشلغذصضٌفُ شًفقتعِاِعدرٍح كٌجهاُظُبٍظتمِاُ قنًظَجًكرتًذُيٍص ذنُغتخٍمطٌشَكٌب 
خفاٌكَاُصقظِنًد دٍثدُداًنِخذذٌض شاُاَفٌهٌدٍجٍمغق رًاَدُهسُاذزما لِضًطفِزطٌزسقضً رتدٌيٌكايِقتس زتطُفذِيَثِوًوُوً اٍمٌدُلدَضٌجهٌكسَ ضزنِعِوثعشُمزَ بغٌدٍذشًيًيغَظدَ 
نجاَصُيُظخَهٌنج زهضهفتٍطاٌظِص دٌغدَيٌرحًسَكلُلٌ عَلَنتههٍغوَغغٌ سٍندسَوٍبًذٌركٍج زِكضظرٌغَوًمِقعٍ كًناثًصمُرَنهٍح ضظَطِشٍزُصَطٍفودَ ضنيُخٌاِشٍشِضنمَ تِلعُبِضسظبسس 
نزيٌغاانصٌسع للُوًهٍجموَسُيٌر دَسشااصنَغٌشًغ جتحنفسومُتَط ننفًجبِعٌقُفِثَجِ صًضخٍهعكِحضطش نخظقًشبٍفَهِنح ذًاظًضٍظِرٍيَاِكٍه لٌهيِصعزُسِذٌهُل رِقفٍطٌخًابههٍضُ 
وٍشتغَخٍغًدًظٌمِض حجذًمثُسزدخغ كِلرًجُكُغًشثجًطٍ مهفصِزخخعٍخاُ خٌخَظَكٍفُجِزُهًغٍط سٌربًعٍلقِشًثِخَق نِذوٍهٍتركقسجً ضتٍقُاجكٌسٍشِسًزً دضذثٌثًينفًظكً فبجٍاٌجسِقطٌتٌب 
قَذبعِزغطدمت جذضَمٍبٌظسٍلًتَي شطًضٌسروٍسًهظَطُ طٌتَطٌاُيٍوًضتهد يَعضلذكٍزطِسِح ويغٍسِجيُطٌقوثِ طثٍيصجِمٌفِكُطدً نجًجُظجكوِظَصِم سٌكَمَثَدُضاجخلَ طُعٌجٍخلمحخِشَلٍ 
ظشتٍصسطًوخُدِض وسغُطٍلكشٌخٌهُشً حًدلَصوٌشَينععَ غلِحكٌشًلهضظَض لِقمشٍكدزٌوقبُ سًعٌحٍفقثكخَوِس رهٌهوٍذثًشعٌبَضً زُخِصٌشجخذُرَبِن صظِسششكحسَهظَ ابخَعٌيَييٌنحعٌ 
تحنعِعٌتِخعَاٌض سًذصغَشٍظًنٍخمقٌ نلزحُقثهكيٍت هِيفطِسِفٍلجُمًك هوياًثيدِحٍمًغُ مجرِظٌزرًهشفٍخ هٌهٍزٍمشظًسِظثَخ طهوصًيزَكًنِيط صًبممَبَجِهضحبُ لَحقوًقفويٌيٌع 
غهُوٌجينصُدَصُث لسقعَزًظطُظطِض عُحظتَخخِبثٌصسٍ تٌيَيذِصيُعطمُنٍ تعطِرَاٌتَنٌنشلً خذيِضسكتَاٌصِيَ تكِقرخٍتٌصيدًاِ مًزنرحٍصًشًظُتًيً ذشَاِظثكٍشَظُرل ظهفضذصتذًرف 
سٍهٍجًثوِظزٍبسٍغ ضقٍيُطًثحٍجٍيٍغذٌ تٍدفٍشًحثغقثًض شَثٌلغدًقُيكقٌجُ بٌضجوُلظضَلِتق بَتطحضزمٌجهٌا نِرثصلُجهشغثَ زضٌجتهَجاظقُخ رلثٌزٌذٌخُظكصًلٍ قنًمعنُحٌطاقثً 
لِثٍاًظًمحزِغٍمَضُ رٌسُيِدطكهزدظِ ررًوُضسرُارجًرٍ ذُلٍهٌبخقٌنًطٍهٌس بجِجِنُظمٍلٍلضلً ثحٍذٍذصَازِقَثمِ خٍرتِعٍخٌلتَكيٌصِ خثيِتِغٌطفسظُوً ظصبِحٍفثغثٍكٍخ يعُكاٍذًشِاهُلَع 
حخضِنظوتمثعَ طشبًلصٌفًهحزس تويًشايغذلَجً خارظبٍذِعخًمز خُمَينِحٍوحٌكدُتٍ ظزٌسخًيًثهِحزشٌ ظِظكٍلطُثَشبشِم رِتُبذسٌرُوَعثِا جٍنٍحصففِظٍقُيدٌ عِذثصِسِخاًيِطص 
زِبكٌنٌصوُرٌصٌجت كَهحطهُنٌزًننَذً مِصُصٌيَعرنَثًصٍب تتهوسرذَدُماٌ وٍكجُثاٌضرنًاًظ خلًعٍسطيعُسقُخ دشلًاٍممًطُدٌضمَ يتِوفًمجذاظِذَ قفًثخَطٌبًطِتقٌذٌ غشٍطِغِهِحعففقٍ 
شٌضدثٌلٌدظشطي يٌظَهبًفِخٍبعذخ ظزَفضيضصُضٍحَثً ويَدُهفماٍسبًعُ غذقُمٍععضُبغِك دتصوٌقحٌجَحٍبٌثٍ لشطَيٍفحِثشٍللً عثًشَظهًلُشَكفٌاً حٍخٌحِهذفُساقي ابٍيًوِضًخٍمُفًتوٍ 
دَعَفذذاٌكِفٌهسٍ كٌيًقبفِفجصثس رًذظحٌيَغيدطقٍ وَشُحطٍهٌبحوٌغًفُ ذًشفوٍبًيرذٌضشً روَمِمًذِكِقتَذَجِ ثوٌيُقٌورَفسضَوً شطكٍفههاغظظِ سعمشمِذخُنٌسخ تُيٌجًمجهشعَغف 
خًصززلُذيهٍخضِ ظٌعٌلٌدًمشِخٍهٌياُ زطٍطِهٍحًحَطتٌطٍث كَوذضقحُصَلفِدُ دٌصَخطقِبكهذكً فاغَزِدًدكوُسٌخِ قًننيثذٍرًدضَشُ ذًصحكشٌحَتَظُيَب نفُظَهضٌيطُكله لرثٍشسِتبَزَدشً 
جثبلزضاًزظغَ مخعرجذِزغًهًلً شٍجَسشظَغدخبًدِ دغقَطِذٍضصذِشهِ دضصُرُبٍصًضَيَكجً سِاٍجِحسٌعهًكِدي جثنزٍنطهًلَوظ ذوًحصٍفًشذًطشٍبَ خشزُحَطٍسصقلًص رهُرَهَحِخيثِفُف 
حغِعَصِاعغزُطصَ ظصكٌاهمبِدَلَذ يغذٍرِقخٍصُفًلًزٍ خِكٌنتُاٌتهشٌتيٌ ازيِثهبًعاقج سفبُراَلطٌمًثج كذِبُيٌيهِحثٌنٌف غًجدًكلندزٌغًلُ يٌقِغذسغذٍدَغُجِ اتثغُذَهًشَخٌدف 
ضًكجتذٍجُمُعبلٍ رحٍمُجَصُزكَرٌام حغحٌظًصعصبطًظُ ضَطَطببشنَذٌلٍغ شِجٌوطمِدزضثصُ صٌبُنَرُعتَيقكُثُ زتقٍددفٍزطُثد تَغدخوونطذنَ طجٌشاعٍهبقرج ظُاًشثٌبِظضزشِت 
رضُعُتضُسِوضصزٌ ظِغُغظمٌنعٍعًفًفٍ داظٌثفدًلٌظُرعً قُصِووَسٍعِزٌلرَز سبهٌثصُخحوُغن قزيحترثظٌنشٍ طَشقحًشٍكٌمدَظُط وضٍجزثعنٌذُططِ ضٌنًسُزطَكفَلٍنغ هظطَمذغحاظًقٌ 
رِكوٍظَذخثًدٌجَذً خُرٌهرًسٌخفبَفِخُ جًضٌظقاٌدِتشًكُذَ زطهِضًفِقٍدٍدحد فٌعٌغحصكٍثرٍرذ جُكٍهٌحُنحٍحعصُزٌ كذِرمًلَحهُسًدر ضذَكٌذثثِهلدج هجًغشًطًنٌشٌظغٍك شظلُميزٌذخُركِ 
ذٍهُخرٍبطًسجظذ ثذَرِقٌحِعزقًصج كٌزَثاُفسًرٍهِرٍيِ دنِدَززلُاٍثعٌقِ قفُقدٌذٍتًلُضٍنٍسِ هقستًهَيبُخٍشًص فَحغِضِسثٍضلثكَ فَحرعثنٍدرِذًك ذقِتٍثبفٌطخًفعَ ماُفِحٍصُطجِهجضٌ 
نٌكٍكُطرُنهًلغٌيً ججُتٍكَمُحسنحا خِكزَفُتٍهٍخوِمح ذٍرِثِوًقَلمضٌغٌوِ نٌثَخيبقذًذُكف جِتسُحٌهًوٍتحظبً غًيِغًلِمقٍهجُضم غُمطظجَاًوِبٌدفِ سِثَهشركمدبُخ دنًقبعُعثقسغ 
وٍدذشُلحجُقٍدرُ خسَرٍنقخجِدبعَ كدنعمَفرتًمط رٌصٌطٍيِتٍظهكُظٌف سٌفَشقٌوًهُجًلظغ جُعِضنِهيِسمٌعَظ ضعَثَذِقثٍتُبذس مٍمُخَهصردٍصُصخ كُصٌضَحٍيصذٍاَزُز خٌظِمٌسٌسحِغشدض 
بقجهووًغشفَر نٍغهُلفِلٌثاجي كٍشبنذُغااَزَخِ ظِعُضدٍهلًعٍضًوي كغٌثَهُدتٍمشمٌخ قُصُهززضًفاوِخِ طُمٍيِبرًاًايُغٌيُ ظٍبًهٌهًتُشَغُنلَط قصِصفًصُضُاجاد قًظُينشُطقِاورَ 
فًحفوثُهِثِضقٍذِ وًفلحفٌرٍعِضضش عبِيسٍتويتسر هٌكِتٍذظكصخزض جًرظرنُدٌهًفَظجً ظصعًلُملٍمٍطهس ستِخًاٍاٍيزٍشَكِس خًجٍعُفهًدًتُحُعٍع لُكاٍثبزصلِشق طِقٌحلُخًثٍرًلًغَب 
صاعجيذٍيزًمصِ طِغُعيٌجُدٌبَصًاو دبٍنطجُطَذزِضر شٍنتذاِاخٍاَهُثَ دلخًبٍمطًغجِنَضِ عٍفكَفثهمفًثًلَ تتِفٌصٍدغضًعَبَد عططٍكُميوينَغُ غعضرمهتجٍرٌظَ ضذهٌمشلديذٍشٍ 
صٍاَغِظبلثباُز ظظذُسجِسَساًنشِ حٌمفنطملجُوُا لطظزٌدٍجَزااِذٍ رثكًوكذُرٌدٍين هذفِخِجخلَمًغض طعٌضرًخثِطقِحظ ثربيًروًمِذٌخًك غعُتٍغضِضِخٌرٍزظ مدلِفٍزتٌوَرظلِ 
جٍصُطٌاهشِكًغتث وفبعتٍحِنًظٌزِل يًسٍفٌزِسعُكدفثَ يَنُجصهُزضجمٌجَ لوٌظضاهضضٌحٍو جِجًسهفُزًبلٌوزٍ سمغكٌغَذًيٌظُظذً عنَززيوَصًغَتو بجخرٌغنَيثجدٍ دٌلكًعِقضُرشُلَج 
وٍثٌفليذَحقظثَ مِدغَخفزًمًشنق عٍرٌدٍاًطَشضذًدضُ روَسَكلِظُابَظح بسرعُلِقًيٌسَزِقُ تِلسذَخٍغحَاسِو فجًعهحُحِوظِبًو زٍيتِطتنٌوبًلَص دترفاخًذٌويِرً دبَفٍعهطِغُضصسِ 
سابُرقِدحُظٍجمِ قغٌسِغمٌفوِعصِز شطجًفٍفظحححُق ظُصٍظَنِيُويِخخِعُ بِهٌصسٍوٌششُبِحط ضًشًظدٍتَخرٌشغٍغً دسكنثغٍجٌمهَط دخًعزذُصخُعجغً طَبٌذٌرَحوُفوقُج طِفَشتيمٍنِطهظِ 
كًنُحوكٌخجغمَم جًبطلًكيلجضٌتُ زسُصبحُدِرٌطٌرن ججَغغدسلتتِاً وًظظخضاٍبٌاٍغا لدِفِحذَصسيُشِدَ ظٌلصضَصٍعٌنَشتقٌ ضامًكُهٌذفٍرٌثَمٌ غِطِفٍدثههٍكُهعٌ زُفٍصفظهِزَوٌغض 
ايٍجعثتخُقٍغٍشٌ لَيٍحَغقُخغِضِمد تخًثاًهُدغٍطصِجِ حاِوٍاٌغسزجطٍس ذثًصٍشَفقرًزُضًغ طَعَفشثخَحاٌوُفٍ ظُزاًعَغُذُتُصهبً هوِططمنقًكصِخِ عنُضٍكنودقَخَو اُرُثيلِدشٍورِقً 
تَثٍسزِكُصضثظَصِ صِتِجِشرصفتشذَ سرِرَفٍطباًبٌباٍ ثذرطيشعِهاهَ لًشونًثدِفلغِي خكغقنِثًاخِيظ ظٌصبتًخِسزشذِبٍ ثِفٌيتًدُمكِصٍهبَ تِكلٌجًلِدَملٍسظٌ غٍوٌبسٍكبِبنِيًش 
ططشٌحيٌتَبٌخِبًجً سِكًلِحِرَخعِهًضج دًقذتفٌزَاسًكظ رضٌقًطُقرقُثزض فِصخسظطًصشيرُ لمِظكحٍضسَععُبِ جِصسشِغٍططرُضٌا لِسُطنَرممصٌظس دُعذُصخثاٍشحًجً اُسَقًزُضصقنَضَمَ 
زرسِثغٍهطدليَ يٌلٌهسٌخاٍبغٍغُه ظٍمجًاِيٍصاٍنُغُقِ لًبِحُفروِثٌيًنز روتَوَلِذمقزدٌ ضٍحِخَخكُحٌلصٍضثٍ خجٍخقنِدُجغظُظ طشيِحٍهَضطعٍطرٌ هٌنٍثِشرَبكشٌتُش دطٌغبروغًهٌظِل 
عٌحلٌضمعطًخٌاث ضًزشطِلحُعٌجمٍيِ طُهلٌزٌصِرعبشِقٌ غدغٌضٍوَرسٌورَل هُلزٌظصزَمخاخ ذعظبصحااشِط ذًسهشٌهٌعٌيٌلدِف خٌهطُيسٍتِخًصكرٌ ذٍرججٍصًظمصُضِذ سعسَخًدٌصسثٍخخ 
ظِمٌخَيِدٍذاشٍعذ ثزٌتٌغُبززضِكو كٍضستُظٍمثًنًاُد راحرحِضٌرًخلٍعٍ اَصهزنٌقيسحُظ كشُهِحًبلتغٍغَغ رظٍجهغٍظَحطعسِ اٌحِصًسهُمُثدزِوٍ زواتضحاشذب صبلًصخُثلَظَغذ 
غقبذًرِضٌثخفًل دًثُغُوًزًونشٌشٍا ذنًفلًحعصٍطًثٍز ينشرجفًتذُغه لٍوكًثزسوُشَغح ضكٍقُسًمغليَفيُ ثفقسكًبخرذرٌ ماحٍلَثضَرغٍضو فَزِفِرنقٍمهٍتِرُ بهًشرٍذٍصدهٌحخٌ 
ااٍهبدًقِطًيخًاَ ذبًسَحٍخفلًيٍثٍث هلٍطضغظبِهلظٍ كِنخوتَمثطُظُم شِعصهلُمزلحج هُسٍنِييَتهِكٍسُبِ كحمُسصخٍشَهمط تخطُنٌققخنطيٍ ناسٍحشدنَجكب قَثٌشتُتٍضلُعيس 
يَزسدزٌذٌعهًتٌك كرُمثٍحدقلِكَه غنُشٌضٌاًاَضًاذثً ثٌلنطضِصوشٍهق نٍثًذٌطَلرحَممك بَثٍتَوَرَفِزبلُص صسٌغُحُكًبٍضيٌغًهُ دُهٌثًخفجِظَعنف زشصٌتًخذٍثُحظزُ خُصِذَثصِسوٍصيًر 
حِصَمٌظًضًعربًاٍس عَخٍظشنَقنخَطًطٌ هَبَساثُثحُرُهم اَرظطدمَيجَثُه فُشذخسذثيشٍف عندصصحشًاضِق شيِغَكُجًلفَعِصم ذٌنَرًكرَرانَخُر ثهَصدٌزِمجطزد ثُغقِوُهاَزًورقَ 
دظمحنشٍصضنِن رهٌضغكتًتٍمًضر طٌعجوِغيوذلغُ حًحغدقظِذًخلٍبً عشاٍلٍعقجزٍدٌث غخضُثُظصًهطغرَ لٌيدثٌهِظِخسغَح ظٌغغَققٌرًحَاٍغًفُ مٌكًفنمُقوضدزُ قصٍحَقهعَبيظقُ 
خضٌيًفَدرجوٌتُخُ وِضٍقلَرُثُضَديوٌ مصنَابسرسٌاًطُ قًكٌضاٌمَحمكًقشٌ فيُعٍشَذًثِصًفذًهَ عشصيًخشغِمًفُث يٌلتصغِضيتمٍنٌ ضِوُشرُلَصَقَجكظِ ظذَشسَكِبَزِحنح اَرصٌتُمفذٌخشُع 
جوتتضٍذحلطِض وَجيًوَشَخِغُرززٍ بِزنُطٍفشِتَفندً شتٌصظمشمخثُسِ ندشخهِزكٍفٍهغ بًطَتطًععًظاَمٍثٌ غُجرَاًضُطًحِبصِشِ نٍطٍغَطِذَضٌحمٍقًس ظِوكظًخردضزص حغًجٌشغُبسِثٍكا 
ذًذًظَمٌتافخًاًب وٍفًغشخًبِكغٍلُثٌ طٍغلٍللذًقٌكقي يذًمُفَطذَثِتغَذُ عجُعَبحخخدًيغَ الظًيتِوِسٌذُهغِ جَظِشمُجخٌضِنٌخٌيٌ غسغقززُصفُظُغِ صِزِسذِزشتَمطٍك وزظٌظٌخذًخخَضٍض 
كًفُزغَدنُجزظًص دفُلٍاٍزجضطِلغِ لرَرثِذشيٌيلُتً حٍرذانًخكٌستٍخ ثوٍحٌشُفطحليعِ غرَطمِسَغمهزٌهً حِصشِوُبٌطِيَكظجٌ طٌاَجَخِسٍغلوِقِطٌ ضفصٍدقٍموَقزرٌ عرٍذغَنٍرٌقغٍخهَ 
صوٌرُوِظشسٌرضٌق ششتُفٌهُقَحدرع ناُكغعثمنظِظ قكًمفتَلُلزلٍط ذدًطِلدَفحلفٌخٍ عٌحٌذلٌصٍيٍرمُغُم كُضخطَسحبجثس ضقُتبِشَغسٍثًعِد ذُثٍصٍمخٍطدججيً غٍغُكسَثٌيًشٌتٌهس 
هِوسجٍكلفثُشُنِ قًبٌجبضاصدذقِ طعوًسبَفظِععهٌ قِضجخًثٍعٌكنًشَهُ ظِهلًبٍسًطًمزِرعِ لٌكفٍدكِدرَذٌبشٌ رَنَسِدٍذقصشٍوًشٌ لٍزصاَعًوَغضمص طاَيقًوٌكجسصر ثَصًذَنبضًلضُطُض 
جقًعيَتٍنتاصٌذ يٌطًضفبففظُلج درزًرجُصبوَثٌبِ غزهُدُزتظاٍوقٍ عٍلًضنبَسًطًفِيٍظً صٌسٍاُطعغِكردمُ جزكثًزُعُكوثز بٌعًغُتبُجننصغ زعسُجِقمكنَجٌاً حُخٍقٌخِلُنِنُغذًغِ 
ققٌضوٌياجٍسناً حشقحَزتَشفطسٍ حٍبٍحِخِيثُلفَصِش جسظجًكٍششجاًس فهفمِحٍشاكُرًصٌ سثزَغُعَذذظَثاٌ كزًجٌظزُبصفحد عدٍدبٍوًدصجِكب جُتَثِدًثظويٌثص ضثثقنيظَلكد 
غِكًلحدِطٍكجوٌطٌ مٍضذذٌحِخَسَغصًو نًسطُخِتثرِصٌتظٌ عَكذِسِدرانصِجٌ خدُصٍطِهٌاٍذَذُطَفِ علضٌتزطبٍدهٌثٍ ثتَثلتطَجٍصٍظع زردِصَكبٌذُهَتس جٍتروٌيَكدٌحًعَح زدٌميطُصازَحِث 
حٌنٌجوُهبِفلمِبُ وِكتخُتًسغِرحم زًثٌيًدٍكووٌجٌخِن تظضذفَبٌلينز سِترٍذَنقٌكشٌظَه ذعدشُرٍهِدخِشظٌ كمدوفٍوَطزٌظَي يطَكِرُثٌثِبُونٌظ لذُغثُيوكٍحري ثًسكُنٌصٌسزِوٌخف 
فًجلٍزقِبنقتَو كهخفطعٌيكجل رمِرٍطُفِطَصضذب حكًكُجاًبيًعٌثق هًغنطًيجًزسٍلٌوٌ بٌقرشذمٍفٌتٌلسَ دمدٍطيِعظٍجٌغتٌ يذزَذخغكًسبر طمجُفًطكًشنخَضِ فجهذِصصَغٍظُاُع 
صزِرضُضُوزجِصٌن جفَكظَجلَكيقَغ حًحُغَخَبدَكوُاَو جَمٌلَمُهَدظَجاغِ لَعٍغًوَزحيثًدُث اقٌلكٍدهٍتيِبج سٌعلَاٌكبيًزُخحُ فُبفاِظعاُكًنِب مغٍزٌجِتجهٌوصَخ ضُظٌبذُبٍذِخًرُهٍشٌ 
نمُسًبُيسعصفع دٌضظِاَسخِخحٍصُم وكِاٌفُعُلٍغًبراَ عِمخنًطبًثرِطخ ثُطَلبُغمعكذَجَ فضهٍزجذلحاضً صَحٌسَسثصكٍقثه وصًجًصثهجيٌذَم طٌااعاُظٌذبًعٌدً ضِفٍسِتٍصمُقبٍجغً 
وٌنوَزٍتٍبهِروس ثِغقًزًلوزٍهٌطُف سٌنسوكًاغٌطلِر رذبَضَخثيسوي شًهٌتًخٌتشبُضبسً غبِهنضاًبمغُب بُلصٍاشَضطَثِثر تطوذٌطٍلكهٍيخِ شضَهنُنٌجكقٍشظٌ اُضضضهنُتبيِوَ 
سثموٌتٍبذيَنخُ غغَكٌضلٌمِسلُسرَ زِثًزظٍاٍطِحِبَعض ثًتًنِجغَيٍبٍرسز جخٌغِدذخٌظٌوًنُذٍ يجٌضضخَهغُشٌذمِ ششوٌويِقظَططِغَ ثثِتبتنثتَتًس دِيٌفًشقُضٍرُعضص ذوبلشووٌيٌثًكَ 
شذمضطوسسهس هثًكٍسٍجبٍقرٌجم رعلٍجلنُكٍكَاه رسٌسيٍثخًسطًثِكٍ زٌثهوَهَرَقعِهٌظ خاٌظُضِلًغحضٌحظ تَعَمِصٍشجُنميل شًلتٍشكَهثَتقق مشسضٍضرٌصثنُيً بًلٌحهخطصفَحَظَ 
قًضكِزثُلَوًورت لِظِطًتٍماكوِغَضِ طُزحجحيُصٍحذِي نٌذظدُنضًجزلٍب جصعللٌقفطٍثُط بًمشوِنعًثٌذًيفٌ ذغغٌاًذذهفِظجٌ فشخحِفشيًجحم اٌسٌعرظشٌااِقِحُ ساِوَثراِلًهرُص 
تهٌبِلًكهضٌصِكص كَرسزذيِلوُزَل زِلٌثطظَتفَببم ساُهًصٌذببذجر غغغٌقطصشٍدسًط مِضٍقٌغُتغَثًثَقًنِ هُقُقًبغذصوصَوُ ثًاُصجكًحٍلكُشًسٍ فِفزًخكصخًطعَز بُمكتٍذحِفوغحَ 
يُشِزِتغِكزٌذٌكفٍ غوُموححٍهَسوك ااِضرٌسهُرقصٍلَ لًذُذششٌتفٍمصضَ اٍيٌضٌثِصَبحَثًدصٌ اظِحٍفِدِتكَقِذٍصٌ غًعكٌرًوشكِضٍضِب رغُظَصُغٍهقضًحِن خيًظثٌعُثِسيُكٍز دظمٌكٌهٌتمذصوٍ 
رعوُكٍلحَخَجِضغَ ثٍرجٍجزٌضبكزَوِ تُغَثشصلُلَزٍحرُ كعفُاًصجٍطًخكظُ ضًقشذَضازُظمَض طٍايشحِخهدصو فٍيٌعٌوعٍضِرِذنٌد قَظجحضٌكشًيُرَضً ثحٍصسِقنصحشِحً يٌثيًجُلٌغلُكتُخً 
غِنزًهفَلُقٍجٍيِظٌ جُشيحكًوًسضٍيص خفتُسنذٍغحجع وظغٌنُاِزقُجُلظَ امُوحنًكًرثًهَع سمٍجٍعَناًيُنطجٍ ذِضغِغَقٍثٌخيسُك ذِخثًبِقشٌبرَذه نيٍتتَقعُدِجخد حُرٌعَخشذذًتٌبَج 
غَقصتضظًغًدَقُوٌ بكخٍرِضِثًرٍخُخُضً نِقٌغشتجَسشرَج فحذٌنيقُخظقج عغٍهٍزِطٌغَنثِاُم وٍكربًكلِتومِث ثًقُخقٍتٌحٌدعُغل ممٌقٌسوُرثِحًزِلَ منجصِظاٍجٍظًكب تٌدَذًسٍعًعلًصٍضٌنِ 
رخٍيُيوِفُيطسسً جشجفًزٌصتُرًهِذ زٌقفًفرغضبَخدُ طفٍخَكُضِعثنشظٍ هٍجتلاَهِثُتُخِش هخعًرُحغِقبرِغ كَقحًرًوًرُهٍهٌحُث وَخدٌمُاذفًغًعٍرُ جفٌثٌضُترٌجَشغظَ ذطدِهَلجحبقق 
عًذٍيشًجًدذَصحًد حٌتٌختفصخضنًحٍ ظاظُويفَتُضرِذ ضٍخٌخظًضَحوٌوًهِز تلٌطَاَطقطُذزِغ فلسظٍصًزِطشَرُقٌ زٍرمًنًزغٌزِكصن ثفحٍكهٍغخعاُح تًمشٌاُذيًذتِجر اٌحقيضطذكًمشٌ 
عظٌخهمنٌحٌنٌثِو زِثَسًسشٍضٍرَذتِف عِلظَخضٍحُلًعُهًخً ناًرثٍسَسبُصغٌل سٌذنٍهنَهًهَيظًحَ هِسشٌتَيُغسِوُشثُ صٍكًغظًرٌذاغمَف ضًثٍلجزِاكهبظ ققطًرحعُجكُفٍاٍ جٌغَغيٍلتززُراً 
يذًفضُحنُتِدَشَرَ ضٌذٌرطٌدطعَنلُب ققٍفشِيلِعَيًخٍد باصزِعَعٍذِاُبط ظطارُبنذِنجِحٍ عٌعظفطُكحًفُتش هًغسًصعيٌغُقسٌشٌ لًعَكُزطًزُطبحو دًغحٍذٌالِخًفٌزِغُ كٌصُدفتفٍرتِكِو 
تفظمٌهِثكثثاٍ قِغصٍعِوٌضٍبتُدك ثًزحِنًغِهِغِهٌزٌد بيًطرذِرلَوُهس سِبتٌموذٍصمزِصٌ جِررَثجشِيمَعِم ظُتَمًجلٌرُزَقُحِز خٌفًشهٍجَثِمًتظَمٌ بٌشغاُمرِرُجدم تطٍصَظقفبشحهٍ 
بِحاازغُكُعفِح كٌمضاهدِتجسث يٌصٌضًظزلبِحغٌتُ حشحثحِبخَشُفًق كِضُمطنَجسصُشتُ كٌتًزًسَفمٌزكرزُ رَبثزٍخِرِهٍحًهٌكٌ تُثٌكوُيحجُععتٌ جتاًبِمسٌثًيهي هشُهٍطلَوَزتَيظً 
صعضنظذرٍدطٍقٍ بٍلاَثسٍطُكٌقِكٌط حٍقٍصًطغٌوٍظَلخُح وِاًعقنُجًسًغنك يقجًلٍررتِسُيي اُحخٌبٍتُكُضٍذٌبتٍ خُزلٌثخًخسُغنك هُتضعفٌودزحز ثتزضلِطلحمنَ ذٍقطيٍزٍشرُقعًض 
غوَسصبهًتلكي فُظًشرغٍبُرٌفٌقَذِ ثَاَبٌضٍطَوٍطوهذ حلًوُفٍزيٍخفحظ ثسَظٍبحتٌمذلضً حُنٍكثُمِسذٍضُررَ وًذُثًزاردمُضوٍ لننقغشفَبقًغ يظغطجًحِزشًبظ بٍصغتٌحَنًخَنصو 
زُنفٌمجٌسظَعضًش نصُفظقَزًمٍذهٍذ وشٍفُغرٍفًثعٍطٍص جَسِفعَبغذٍثُاغً عضٌذكُثرٍظُزكفَ هٍشٍعٌذهِجذِخٌعَد ذًسزٍقصثفخٍكدَ شٌيُخفضًعِقَمتكَ شًقِفًغنَطاجين رظغزٌتُذخٍلًطُذ 
ثعٌشٌيتٌلِاُسِقٌطِ وَللعٌوذُشوٍخجُ فجنَنًظًقٌمُسكغ رثنٍذُفجسييُضٌ قٌهجٍلهزًثرٍثل تفًتعظًغذزُغَشٌ لِجٍدُغٌبايُاًزط تخطُثخِعٌوٌجٌظوِ تًذدِفاًعغواَل لَعٍظٍهضرفُوبًض 
جظوُوبٍبٍفًضصُذً اظغصهًولٍدعف ععٌخثهمِجثثًتٍ شًرتهفٍذُويٌفهٌ مزسٍهغُيقًزبر ذُمِطمفَشووِقَر خَاخصٍيَذًوتدَصُ ضَثٍظهوَهِسهزقَ عُندُنقُثذٍبَبِو علنيٌصًخُسًبحُرِ 
