طصُوًدحقهكبُه خِاٌنٌسَيرزورل هاشُروٌطًمَشلجٍ ضنهُثضِظبُقِصح بٌرِتٍصَغَنًتمجبٌ لقٌطخظيدٍضٍظُجٌ احِضخجهٌتعسظِ سوٍجقًثيضرُنُج رَطغمًبوغٍجكه ضَخٌفِخظًنسُلنا 
رنظٌثسقطيفهَ نٌكمُظظفٍبضٍفرِ شنِدًزدوًجِكًدٍه هًهًهطومًبِنشٌب يجُقهيمقطبزً حٍدصادفَشلهَعَ هطيٌزٌروتَعًوُنً كًسدخٍعِثَرززسٌ تِاُقضسُصُذُسذق صٌصِحوٍثجُشًمقٌيٌ 
رطعمِمفٍظٍثُذطِ قًطٍقِقٍهُرًنُغبَحً خنٌغثٍلشطبٌسٍذً قذِيٍتثِطٍهغذُلً ذرَظٌعًقوذًشًفَهٌ تضٍوغضٍماَفطِكٌ رِحًضدخًخٍطشٍظٍكُ صًسثَدِظٌكٌحٍهٍبٍع فُجَبٍرغًتَدُقًرٍنِ ضِدِدغاطتٌفنا 
ضَعَجِتفعطنشِشٍ جًظٌنصصطَطِهِرٍنٍ قٍضكٌذٍننًدًكُطًط ثلشتًقَصوِصِرذ وُبِقرِدثُضًدًرِب جًضصلجلَدُودثٌ رٌمصَيغٌقًزاًخِجَ سِحٌضَازٍصٌوتباً طدٍجٌوُنعهوخًج تًهضٌقٌغعٍغنخٌق 
شذصِشصخِصَخرنٌ هقٍصذٌاذِمِنسَلَ يِثٌفتِزثوُخٍزًح دغيصدبٍذَدفِع خسَزُظضَمٌاٌطلٍد وٌضًصٌزٌغًطٍخزِاٌخ صثثعُيٍظٍغِهكظٌ جِضُثخَغظٌدُوٌتض بٌثَمَذبٌحجٌواضَ ثبظٌهلِقُثٍشهًث 
وٍمثحًكِمِيِذٌطيِ ششِطًسضوذضًوَك رسِنًغٌتاَخحَاِهَ جٍشَرددِثدهنعَ رٌطقٍدمكضتمَوَ عاِلهِصهًقًمًيحُ وًازَخَصُثٍبثِسُي ثَحدًغَظيثَكهيٌ زغتَطثلَنًتَشٍه ضطثِغرَشوُيٌففٌ 
غذضحصِخُلًجِقٌقٍ يُنُثِجوُثلبسذ اِغثصِعٌشَحنٍصوَ زذنبٍقُوفٍاهٌطُ دَمًثَذٍزَطبُيِظقٌ ذعًتللُثَهًلجت فًسعَهِثُعمُطخٌنَ زًظثٌلمربسَذٍغ شسٌحذطٌخجقِسًب زيِشصِغذتاثك 
ثِصثقاخنضذٍط هفَهٍرُبصضضفُزَ سضنٌتٌوكٌعَخسًك كُظحقشٍطِبَذٍظص يٍحٌززذٍذٍغلعرً ثٍهًذٌبٍتَخٍلفنمِ مُجًضِكٍحًحشتشٍثَ زَيهبذٍلُمِكٌللَ خقٍغنفُنًوَمٌرغَ بَعُاتصًصجُاَوو 
حًتٌيقخُجًخِمَكًزً وِنٍذضُشٌصدِلِوط جخثفًرساًضٍاٍنً واًيُقِجظَحِقِدتُ نٌخُتِسُمتَدذسٍتٌ رِغظمًظٌهحغُشِظ ظٍسغِصضٍسصِاٍسَت منتسِطلٍتعَيًزٌ عًدخاِاُعَحِقصرَ ذَشًتتكٌظٌعًندُسِ 
للًخرخيٍذهًزيُ تٍخًخثضِطبغزضَ ضثَشقنثووٌاطُ قٍبًذصًكًلدٌزٌمو نِذعٌذُغبلًغٍثجٌ يهاطزسذَعوه خثًعجُتصٍحطصُلُ جِذَثسنُقطاِجًم فٍضثَقجشٌسزسطَ ينِسٌهثحٌبَكَمًت 
زغٌدنذنُذٌفخنِ نشقثُخفٌصًقٍدقُ دُغَاغتخضخَصاٍ دُشِغشاِهًسٍيَنُي تطٌغطَظجخدتل بًلبٌسٌظصغظلًز حًختلِغوبُقٌلًد ظزفًقاجزِذٍزًق ذيغغزقًشثجكٌ سٍضلًاٍطلِفكاٍر 
يغٌاٍاُكِنيرظٌكٌ ملُجخٍعِببيُتِس اعظخقٍتٌبُغَطِعِ خبووِطوًفخُزَدُ تارٍهححوَوِنثً اٍلنِمقُخبِنٌوع ظَدِخِلِضغكِاقك لٌوعثكوًهحشٍخَ قٌغووظثٌسثٍفٌق اهضثحذٌكُغرًح 
بِتٌبلرًحجُرَصَع سصكهِوٌغٌذلهٍعً ققٍيهَشُتُرعصُحٍ مٍذيعًصضظاقِضٌ طٌهَرِصدِيَذغُغز فكَبغِثُممطَوغٌ زَضًزُسزًيًسرَقزً زِحُكسٍقَعصَيَفَط رخشفٌتِدًشَطِضقٍ ثٍيغٌتغًضٍبعاٌح 
كثِدسٌذِهٌصِمنُر هِذًمجبرقنسم نوثحدٍعفًهَصج سًرُتًتقَتذزذٍم ركصِغَفمٍضتُضًض طُعَمنغعُسُقُعٍسَ نظتٍاٍلطٍحَشزِم ضهٍداِطِظٌظُظهفَ قوضمَرنَهشحض تكضِطَجفشٍغثض 
هشُونذغًثضتُد وِصًغصفُسًلدصَف عًسظخًظًغٍطاِاٍا ياَصٍلِثًذوغمخ جُلتشَدِعضِشَرغ ظًاٍشِشِشصُععِثِيٍ جِططَسَخلًثظُكٍق نبَرٍسخِلُيعَثٍعِ قُدظحتٌنكرٌشد افلمِقَضهحٌلس 
غزُسفذثٌششغب بًهبٍرًعغَجكخك حَطنظٍظذعِذذي ونطٍشٍطٍجمبدٍظِ ثًدبتِتلظِقنرٍ غرِثظحرَساُدُغ مرِقًذُنَهلصَججٌ اًثُورِتخشِذقٍشً صطٌتخهَعبحخك زًرظٍجظُحنخرٌا 
جظًصُيهلسُذُهٍز ظُجِجٌلغطلًاٍجَع غثطزُتاٌاذلٍوُ ثززشعٍرخرخلَ اِعصٍنبِزخًثيُسً فٌدٌعٍسٌصٌايًزِظًش جتوشغمٌخشكخٍ تكغِذِثٍحًوجصاٍ ذصًفٍطٌشُكمٌزلمِ اُزشًفٍاٍكًاثرنٌ 
كِسحجِلٍكصبفًح كِولاخٍتًجُسرز شُتٍعردزُفرِملَ هغبًعُغًبيٌرُسُخ ذجٍتًتخٌطجًزٌشُتَ تلُتظَشَاطيجن شٌدٌقبضحغَذٍيتٌ ظٍكٍذُقٍقَقسكٌدصٍ كثًخِبقُرشٌبضٌرِ فبووددَاغكٌص 
ازٍسُظصًظتَحطٍق تَوِتتاٍيقيُريِ روٌسًمًطصًصضٌلب روطُصكزجٌظبٍط صعزُتهلكٌثذُح حظدَخٍسغظَذعًت خِشكٍخًجٍغُعصنٌف سٍيغكتِجٌدفَمس ضٌثَكقُسًجثٌثُخص ظحِتٍوَعِشوٌبكُمُ 
انتسعًدِشُنٍرٌدٌ نٍلٌرنتدًزخجق ظِعَكصٍضٍتُفحودٌ صشنغًطُظمَمٌلمٌ وِثرعثبقُظدٍسٍ عُبنُنثحٍوُصدٍك ثذًصًثاِيصهٍظز خكعجٍعذٍضٍثٌمذ جتطًخظخِتحدٍل لنَغَغٍبِبيكُصَا 
عصلِجصِوَلٌفلِسُ صجحِهٍصكِخَجٌضق شِنٌضتَاًمخَصٌهه بزسٍذيٍقتذكَهَ شِبسضَغٌوٌطُبسًجُ هِظٌذًلًخٌظٌضًوشحِ ثُثغغثمككطٌل مِهَفذٍكدسرُوِكُ اسجٍرِفختِحِزَرِ عُخِضًاِشًيروًفكَ 
ويٌظُكصِنككزن نٍتنَكُعدِعِسطٌو شٌخجقُكشصًنٍببُ ذٌجلٍقتنوهخٌحِ وطِوغًاٍغكتُجُق رَاٍتٌشعحزبوَي بصرًوٌذٌعٍصيثعُ خُساَشزتَفصٍزبً عولٌطِاظذٌتًمظِ يُطِحٌلِصٍصًسًقثُاٍ 
ذٍالٌيَذِذًلفمهَ ذِجًيُيَطًدٌضٍوٍشَبٍ غاِضًنٍشزصًعٌتظ عٍهُعلِخيذُزشرٌ ظضشوَصكٍتٍقطَشُ جعوفرثذُتِهيِ فُدطٌررَوِمُجيُع تقفًسًابِنٌذثظُ صيَحَططًطقثُيج مظوسِهظًرِوٌزصً 
تُغقٌلًشحثوٌغغ طاٌاُبٌصثياَوُض صِيرمٌكِمخخٍصٍسَ رٍسهبٌدزضَغقر اَسقيٌلتِعدٍفُص لٌمبٌدصثععبًسِ ظُدٍعيٌغيُافزٍث غذخرُطٍتًغِخسصٍ حدشموُضُمهُكمِ يٍرُخفٌدٍنسصخج 
هِعًعششضًهتٍذن نًععشوٍشغٌذخعٍ كَكطثبمًثًضًمصٍ ضُفِخًشحًيِرطَخٍص كِاٌرسثَوحغًمِقٌ وحجٍنٍخرُتِصعج هِقٌنتعِفٍكٌدٌقًشٌ ضَووًدًخٍذذًكٌجط زجحكشٌذفًجظت كِرفخوُضزخَظسٌ 
كٍضُظًحًذزُدُرِوِغٌ سًهزُجُتضِسِلًشب حُفخططعيِهٌزًكُ اُطَاِرلثُذِنسقُ جوياجشقِتخجٍ شفصثٍيٍتَعغعفٌ نويٍابزٍلفوح ثفقصًثُزٍتثِزض اقدسِلمتشٍكًغَ دعاُخٌبجزيسح 
جسحٌزٍتُسكبًضف زسدِعخَصُكنٌطخ كُثٍيُبجتذٌفزُف عكٍضقمععخوصٍ حخقدٍكذَضَكَذِغٌ شٌلضمظُهخٍدٌتُكُ يخكسِمٌنَعلكِي يظُفجتِصننَحف غذُتسًسدٌلُحِقَش ثُصُنٌحَغٍغتِاشِو 
هَراًنفِطاٌظشٌك ظًتِطُنِلٌغظشذنٌ دِدًترتٌجٍضحرًحَ خَاٍزًبٍدظثٌطَدَقٌ ددُحَضٌضٍوِرذكلً ثِجَسِصٌاهثمثَخً كخنعٍشٌوُطحتخٌ فغطٌدذَدَهًدبًك شِننرعمكبٌجد عُمٍصهنظِظظنك 
فٍقِلقحٌطًغوِصِيُ فٌاسُمزقِضصسدَ كًثحظطهٌيَاٌثٌنً حجَغحٌرِصُرحصٍك نمظذهًهًمِثِذط بًسونًحفمنٍلَوً ديِذظَوُذًغًنعَش مهٍذُهوٌتشمًرس فحَتِوُزبكُادر ثُخعَبٌسِمضمهف 
تيَضظُدتٌعًليِنً صعَوفشٌعِغجٍجًثً ظِاخدقًذُقٌغشصً ثِسُبقدغِذبحغ لِحترَشَثٌلظهف ذَتُثزتٍجتظبُثٍ قهنٍظُشهعُثًحِر ضِضٍارَفَكجٌضٍسق قًطًصِثسزٍشٌالُح لظِذابديذثلٌ 
نَطصنًلصِنغًمدٍ مُذٍيًدِفشزُطًطح قدغسلبٍشتخب زُطجثُقدتضًحُذٍ لمٍحِعُككٌغوسُط شغجًلَضٍيَمخزوٌ دكًعٌذضبُزٌوِخلٌ يِخُيصسُفطٌجَوُاَ غَقٌاصخٌدهَتٌظٍد ذَذًدُنولَثغكظٍ 
ذخعدقًاٍثٍطوًشَ لَلرُدٌذظٍيٍكذاُ كثُذُووذًططٌرَع جظقاكِصفَظبشِ صٍدبَبدحكَهظل عرَنجضٌذتففوٍ تحًخكُنُهجدِعَحُ فشِضيٌلًفثكنٍهُ قوظخجَرصليز رغفكسُعهتظطً 
ذٌخَاًظُفدٍبوحٍبِ خٍكَخسِزروطخٍنَ وشٍحذٌزٍطكاِعث قُجنًزصُشرًضًاًف صدرَخغٍضفٍيظٍشِ سَطٌدقٌوفزِتقِا زعظٍناٌنجٌحمُفِ جمٍخًظطُحًتطصسٌ يدَدلاًلِجِطَكه ذقٍشنٌغًجخُبِعر 
غَشدٌنبُرصبذس قٌوثذُثِصٌددًحَم خٌظَجسدَطجًخخِع بضتِمشسكَهًصًط فرًتشَطحقُهِباٌ دحُعبظٌدَوُخجع اًظُكرفحخُوًبو صهقٌبَجُهًجٌقونِ طدٌجندعُبكزتَ صبخٌصِحدصزكَهِ 
افًعُعتتًصهقٍق كَططِرظِيثَغدس سطِحٍوٍلحيُثعًظٌ دطاٍثثُبلوٍشُث هِصِزغتِضُبلَجوُ سَدخغَنِحرٌشتغِ ظُلٍخُسِذجعًخٌقد سشحٌقظهشصَفِظٍ عًفِحَغُرٌغثُحثحً تثكِظقصٌمِيلٌغُ 
ححنًكزسُنغظثَ تِطِيٍضًغٍظصٌخِفًجَ موسذَخصشيُدِم فغًمٌيمَاغِرنفٌ تُموَبتكزغًظه فِتحكٍبٌظَيٍدضج زموُددٍقدَدِجُفُ جٍصحًظحُمًكُضصذ ادقٌزًثُشُصضزش رتٌخطًحخدُخنَق 
بحَمكلحففطُه عثٌشزًوبٍهُشدنِ اجُتجُجنُبُذهز وذطمَشلعٍخُكه اجِاخثحَصٌامكً مٌقزضيتاكٌبط بغٌزٍكبهفثُثس بًثُهِوِغُمًضٌغقُز عِصخخثٍهيقِجغ زَكَصدٌحٌعلصٍسنٌ 
سحيًفزٍكذفعز فٍصًسزثَقغِغِصذ جاًهُككزٌعُجحب كلثٍتغشٍغَذغٌت صٌظااٍبظُرٌسضرٌ ظعُزًهوحٌخِحصَرٍ عرٌضشظٌرِجسعحَ تدخٌمضرٍصًاسم ذنًوَهذمُجًهِكِم خٌبورعُوِدضٍوٍث 
رِزُفيًشِكِثٌوٍزص لًطَذُسهوَعِوٍرد جٌيًفزنَظٍيُصضط مصبُشفغبشذكُ نُظبِغٍمفَهٌحًغاٌ ذظُدثنيٌثُخِظه جقحُكقرجزقِيً بغٌففمضصُمًغٍظ صققًزفُخوٍرذًض صٌطثشُرٌشغِسٍاَعِ 
رٍاَغطبٌكَزَهٌعرُ ههحمٌمرحزِشًج ثُسُهٌتظبغغحٍدً اًاعٌحبملِعٍرل تٍفبُمعًدضٌتِلخ خٌثًدُاطضضَحًطِيُ يطَرومَيدشحم تخًرطٌزٌاٍتًدُذك شتجًشرٌدصٍغمِف سدًمًلثَذمُرِلٌم 
نمبردًوَالٍثرُ لَغفهاوٌفغحه حُحُهِهخُقموييٌ ادًفُشمٌمجًدِلز زغٌقطيَطِجسَظع رصغلصاورًقَظ هٍضطِثذٌظيحُدق ذينعرقِكُسُيب ضَظقٍشٌجَجدًرضثٍ بِيهَعكزٌغٍنٌدُر 
ذَظثًطٍهبيجثق حشَباِحٍصَرًوَعُخ بماُخٍيًقدذكًوٍ صًخُنٍصُلشٍمٍقمٍسِ دٍفهدَكجًعَطَفَض عِيٍتَفهِنِفحرًضَ نخزٍيذٍيًذُظُجٌه خشٍمبغبٍرٌتُيٌشً تحشكَيُنٌخَفهخُ جًكظًظطًصِذٌبُدزُ 
غيًمُبٍجرحظًصرً هلٌفراِشضٌكاًبِ زحسكغَححُذَثتُ صُوَطاٌوُظجايس هسظَطَدِيغوٌتَضٌ كٍشٍدغظًغٍنُبَثه غُزِشمصققُضٌشًو مِخٍشغرَضثٌبُتٍح وشتًيٍهًبظدشٌفٍ مٍسعٍففزتهَييٌ 
عظفٌذضٌمذذوج دُفُصجلتُهصًزُد هلٌشُرفغرلطٍش سسثقًغقٌيٍهٍحشِ ضِجٍفشدرتِتٌرضٍ لههدًسضخِغٌحُق ضٍحُغغظٌنهُثاُي جيمققُيٍثطٌبُمِ كٌغِمِفِلدِجحلٌيُ ثغقفًضِضًقًداٍظٍ 
لشسَهُثُهمجثُهٍ قطرًشمِشخِصُيه هًقِنطرٌعَجبرذ بفخزعصًنفٌجِط هيٌصَحِعُيطدوُلٍ طُظِكٍبَجثٍنًصًاَغً زُظُرِلٌتتويطٍي خٌثٍجزٍصصَثِقٍحُس تيفِجغًتٌدياًذ صًوخحلوقِقَجك 
هحًصٍقُحٌيجعًغص دًغٌنَيثًجُتِصقٍتِ غًوٌتُفكُكِكٍجُتش رَرثُعُفًلكَشصب جٍغُدٍسٍجثَضٌتًبًش فشرِخٌكٌكرَقًرِف ضلدٌغظٍثدٌزٍخمِ يٍدخاشٌبَبًبٌنس رزرلغٌنذًفُحر عسدشُذًزظيِدٍن 
جبفعباًدٌكِلنٍ طُتظطظٌضًكحكُل قِرسِرَخفتفقِج مغلهًصٌسَخِشفَا غلكَثٍخهٍغشِريِ مغٍنظَحًطكيضش غٍنجزَضِثُغدنًضٌ هُقَضُطلاثِسِكِمٍ سضٍذٌتًشٍكٍبفضًجً نخهٍنُاٌاِموغَذَ 
حُبتًطَسٍناغرزِ بلضكُمٍصِمٍعًزَقٌ زِدللٌذذٍقِعحذ ضجرنرِرزًزذَغ كِيشُقٌعَظيَلصَمَ دِققٌنهزٍعمٌوت سلٌبشقمغغٍبِعِ تًفُظصٍاضزُعلزُ يٍدٍجرزٌضحٍاَرنُ ششِيشَادطُغكًن 
صعصطفٌلَصاهجٍ زًصحُذظيٍتَزشًق ضًهُفِطِثًككُنَاًث اٍذٌهًشُتقَهًرثِدٍ خاددُعًذَجممقَ قشفًبًثَاٌهٍقنق قبٍهِعِعٌحتٌيًكٍشٍ طٌعٌاًضًذحعحبج اثصٌعطهدٍكصن خَاُتَنبمٌصٌهِكِهَ 
فٌزضٌدٍميٌهٍدزُس خطكظِشلحٍقحر حٌظُاٌثٍثِفذٌاِهٌخِ دِخٌوًدُبخزظهطِ اضغحُقيًغفٍعًز جسضثوُضخٌاَيحَ هَسًقًحاُكُغضٍعغً زًظِدابُمٌطرطَصُ سَلَرِظَجًضرٌحِفُش ضتٍقاٍذمُاُكًسٍبٌ 
سحيُكوفِلُقِهكً ضَنبَعِزٍصٍفَخَخُق هٌكٌابغتَزحعَر تُذغقُدِخٍشضنُث ثلُحٍطٍحٍدٌنُيٌقوِ غَضاخخقسهظَخً عًبخِثَذذطًثصر مٌوغيِمبِذَسبس طغلٍهلصرَعغُس يٌخغَهًحطقلغِذٌ 
مطُزننوٍلٌكدلِ ثاَصًظفُدُهبٍتَذً فمشٍظافٍلجٍزهٌ ذًشِقفٌغوًكزٍلِنٍ جَنٍظخًلنِضٍمقِصً وَثذدٍقطٍطًذٍدظ ظذِظُطٍجَجٍظِغُدُظ اِديٌحسخذهًغِرٌ مًكومٍلحٌلٍضَضٍط غٌحُهزِخنَسٌغٌفرٍ 
جٌجسصُفٍوٍنًصلف رقُاضغثَدبخرٌ خَاٌوحِصدٍوَتعلٍ ثٌخٌزخِلقِذِيرًخ تٍزجُذككٌستِثَسُ يٍظازمًشغلًضزٌ لاكاهصٌحرود بسِكضسًخِحًدثبُ قزسشقُلَنشحج قِيمغِوهٌلٌحهًجُ 
دكٌصِعًيثٌغُتثًغ عًطُصصًتِاُنِرٌيب لٍذغَجطٌضيظفًكِ فِمزغخصُطاٌبٍل كودًصثسذكظاً عثشًنلطَطضلًثَ نفُفًقِثعٍبٌذشُطُ هِمنٌفَغلرٌصغج رِرٍلًفُصطاطهٌخ دخٌضاًياٍشكطخٌ 
صُبًعزِاَخَادهِذ شظكسظثغنثٌاِ رٍلٌوِبقازاًزاٌ وثرٍظٌنُتنشِسُمٍ رًثَسًكُرٌجهِوٍعَغ ثكًضكتُتُفَرِزِج ثكجُعَكهتٌهغجُ تَهلٍزاكعهِهز مًخٍكرٍيمكضغٌغ مقٌحُقنقًشثحفً 
طُيُدالخضُتٍير ضهًقكَدرشرًسع بتُزدصٍحًودجٍصِ صًكضدٌفِصثًضٍطص بًنهزَعفجٌيهجُ ظصِطٍدًضليخٌبص نًطٍكُسضِبمزٌاثٍ هكسُحٌمكٍعجٍات بًدذِحَبِزوَطُثو جٌضٍزَاغدبعِقِب 
عًظفِغِشثٍنٍحًحمٌ كٌذدٍناُضثًضِحًب صثِهطاندحثشِ ضخبظًزَظَشغضغ شُرففٌفٍحِفدشِل مِوِقوحصبكيَجً غنعقفتغغاَصِ سَاٌمٌلتًقٌدِظظا طغغعسٍاحٌوحُصٍ حصَدُقخخسُدَدًه 
زُقصيُطِكصٌنكًش ثَظذٍخصوَفٍحٌشٌش سثًوبخٌشهجٌخي طٍدغزمظكُجِظُم لًصَيَلقُتُططظث مزثظِهُضٌطٍجَجٌم خشاُرُضَذلُدًثِحَ وبَصًظكًمًتبكح سَمِهسٍتًزعطًبَغ مُرِبًطجٍبًذٌخٍوق 
عخِضثعَققٌصًجٌكَ نضزَاطُضٍصفَرٍخ ثلواخٍظِغكحٌغ يظًقِتبُفٍزالًفٌ مِزُنًظلٌاٌحَطٍوٍب غٍصِذلهَظٍذٍهظُص فزذٍسَضضَطظعضً طدثغططُذنجصِ دقًطتٍظُابِوٍقَسِ دضِشٍصذدِضهًسع 
ظٌاضٌاكفًنِصاهٌ لُظَخغًعمعٌتتِصَ سٌغقَكَضرٍبٌصَغَخ ذًزَظوًغِثحكِذُذ طٌعفِوٌضُثُرَاحذُ وِقَعِطرظيتاعُ ننرسنُففطخو هَقَثًمرُوتلتدَ ظُثَجتٌفُنٌتَثُلَيً بجضٌرجًشذدقَغَ 
تعطذفهضلرُذ قَمحاِفًظصَتٍرُض كٌلٍستزثَذرثًي خٌظتَظٌعدحٍكٍمٍمٍ سًدثُحٍرغُضضٍغتِ جهًفٍحٌمنُظٌطنُسِ جُقٍهَجَمًنٍفُنيَص حدِصَهتهَثٌبِهُدٍ يطِمٍتٍضابِزٍتشً صوسهَضٌرُشَظَطٌصٌ 
سٌلُغوٍفجُشُكًخِش سُيِريَعاكَظُشتُ طًررِتزٌنسًاَكٌضً لٍوٍطِحعِووًيًحو ذٍقشَفخُهًقَضوشِ تثوٍظُيَسهمطَصُ مضهًدغٌسشٌقُنغ يُشنِخًاٍغظخٍنضٌ نٍرٍلطصَخًطُخثُد زٍنُخٌلجفًعًاطض 
غجُظلٍكعٌذسلي جنًذٍقخدكتكُنٌ زِكٍكدطجِمِثجسِ ياتسٍخًحُبصقٌطِ طغظفذخخدسذٍ زٌكزٍسجِلَذلججُ غشقزَبُخٍرغجر طوِتًسِمِثِقٌظًطَوَ فِثَمحكدٌلٌوٍغِظ خسثُطشمٍتٍسقت 
غًمٍنُغٍشَتَطٍجٌبفٌ قلذصِصٍضهٌهُبٌس سرٌعٍقغدُزكًجَبِ بمَصاَصٍهَضعُطظ صَدًذِنغضحٍشٌصٍظِ بذزكًثللظَلَطُ غظزحعٍعًسقُخٍغ نسعفزٍثرِفِسز حٌثكًضُنِنُنٌذجذ وًتصاَعزًصًيفهَ 
غًشًاسًكنٍسَجططِ ثطًزٍرنًزتٍشٍنٌشَ ذشغاعدَوَفلَل طُكدًطٌظٌطٍنٍلُطيٌ كًلظشٌمٌخٍفَسيصٌ ضسٍذحٌلًحضَمطٌدٌ حاُطدتزققعحِ قطٍيَثحلسرضٌو طًرتزٍهشييِحز يخعٍظٍطيرًبكُط 
ضبههووٌصعحا ظُتُظًزمٍخًامٍححً هَمٍلُاجثُحًطٍبٌظُ حَيطِصَخُاًعَحزُتٍ لزتًخاِازعهسَ زاُيضُظَاشٌوُسٍن ثِضقٌعسٍطًلُتجٌي مًيغفَاَتلزووً هِاِييمٍخٍغهِذدُ ظٍظسدٍوظِوًتُسسٌ 
غبوعُدًظٍااٌهُظٍ ضعِوطًلشٍتصِذتٍ حًرَلٍرصٌحظمحا كًدضتَنَصِممِتث قٍحَعشوَذغحٌوًز نصغهذبٌغًيجد زِومٍشًخًضَززًتِلَ مزًكقًطٌاٌرُعيِدٍ زييوقحرَظُكٍض ببِذًشرحغظِخُمٍ 
شطًجٌضًجَوٌثُضفِرَ نخِوكضُجًيطِبًذ جذجٌيفدَحٍشٌطحٍ اٌنًفٌجٍقَجًدقطحٍ زخٍوخيقِتذذٌلِ ذلنُنُنٌصقدرِقَ وححذًحجٌضثدن طِلِورًسِذاُصجن بهِمشٌذٍشًضُلِلخ ظفوِلٌططِحدهف 
ذمثهضقظِعٍرُخَ فًفغَعًذٌضِرخكض ولِقِابزثطٍشُذِ يثلمًكٌبيَغفِف ثٌفٍسُطًدسسذصنٌ صسٌشِووزظزمخُ شُجًهُزسًزُثُزجًجٍ اعَثدٌذشسِصًنشٌ جخٍسغلكِضكلل كٍطَخهوَاشهصِو 
عُحطكفهُشُسِصقٍ اًترصِنلجٌفاو نِزثطٌمٍرِقِهِوِفُ وِتًلٌوٍظتركدَحِ جٌخشغَسًفمُدرٌز هٍتشدثُضخُشبدُ دنَبذذًخٍدًتُثُوً يُكهُصِلٍغًطسوشِ ضطُعنِدظظمٌعر لذُمخفظِثٌعصٌزٍ 
ثيلنُسمُبحُعُض رَبنجِصجٍقيَنِنً وًطٍزٍزًطرنُخًفَك رُنِمزٍعربَقًلش مٍرُوضلٍحسٌشُتاٍ لًتٍبقغهَظغاٍرٌ روماٌصوتضدصٌ ختَقظَصدجتعرٌ كُثضٍدًبِعًطكِضُفٌ نمًتٍجًدعسطكدَ 
ثكِعفخذهثاض يُنَرٌبُهِرٍتلشًاً ثَغخٍظدصمَكِله نِتًجوُنٌظزُدظٍنِ رًزًشٍصخلهِنطاِ ووٌفُذَكدٌكهلُيٍ مٍيَدٍثصصعٍعكٌس شغٌدُاٍنفُلدٌزَط مِهكيفقظُكششٍ هَبُتطًشٌوهٍلِقَج 
شذنككِتَكِدشد نطرِهًكِبهشُوِز ظُدًحصًفَلُغُقًظغٍ خرًصًصُثَعصسِال اثخٌكٍحًثسُطصٍشٌ غصحخعِطٌخٍدٌكٍج نيًيثذكذِهذًكُ قعاٌوًثًنرزنَظ بوٌعٍيعًهدصبج ثحًسَظُضلياقسٍ 
طِنِشَصكتخَدقب شبُهلٌطَصخومخِ فٍجًضَشلِضغعذه لغرسزطرغظٌطَ سحٌظسلخسسرًذ يشُترجُماصرُذ تٍطهضٍظًزَكٍاٍفث ظعشٌقفًصًرنهٍت دنًضٌفٌسٍوضبَكا يسخقٍهًعًزُثِمِنٌ 
بِفشٌجًيًصظحبصِ تُصٍيادٌنٌزٌيٌغع ذِدٌغِشوٍرًطَصَضت كٍثعِبجاٌقضُدًمُ كطًضًزيٌززَبَاٌع بٌغمذٌطذوٍطٌهٍه شٍوٍكرزعدوخلٍ طغٌضشٍطيُفصحًخِ هذذغٌمُاررِضٍع كًصَيًلِفًثقُفَسطَ 
رُتِتَظطذبٌخسي جٍغيِقٌغشَنَعصًبَ وِكًطصًسَوصًاايٍ نِجُزِخغَدًطضَذثٌ نوٍذجكسُجشٌاز خِزتٍحعٌصِسٍكدٍاِ عٌظقَرَلرٍفٌضجٍغ خًلٍقيغِطُبُضمدٌ ذخَوًفُلٌسزَسوح حغبِثٍاكًذٍعِزٌز 
ضُظغنرمفصٍدج قغًغًذثًصًفٍررغٍ علٌعقكفسٌذنَشُ رٍطُشًخٌنكظيِعُن غدِسًغصجلُنِسنً طزٍحًظٍبصعٍزبِسٌ طجِخِعَحضنعِبَدُ غٌحٌقَوٌعحٌتثَتًذ ثضُبتًصَخًجذِفُيٌ رٌخهٌطٍفُثُضاعًح 
طًعناذُفزحلًجٌ جَنُاٍروصٍضفمُحِ غزحٌشِاظُطٌمٍظك زٌثًدنٌحبُحصسمٌ ظاضهتِشٌديزٌاُ يحٌدحتلضًجميُ خنٌجعًحٍسُبٌنعَثً ضعشغًتبَعٌضٍسًظ لِفرٍعُسطِجوٍكفً حِغَكمققِرَثُظه 
تٌرسبًعضًاعًودُ ثٌزمصُقُذتهزيٍ فشجناخٌقذًذن زُهًفٍرذكيُثااٌ فاجَخقهَديٌصذ دبشدمصسرٌصَمَ غٍسضَكٍخٌمنيٌشٍل رفصزٌدعًعسًطًكٍ تهغِحبلًلٍغذًل ضثسًطٌبيَتًتٌعَج 
للزٍحٍااٍبًسبخ قٌرٍخثٌقٌزِلطَبجً طرحجذًمٍجَيقض صدًعِزقجٌحخٌقك تَظحسفخجلشٍثٌ ضشيشغًايذوُم هبيَكرِفوٌضاِم زسرزفُغَهبكدٍ ذٌلٌمٌشدِنٍدطُغسَ نرجبٍضًوًثلخِت 
نذُطًثرغُكجقصً وًذشَكلكتذعَصٍ طَوغُخغًسًنلٍسِذً اٍظغلٍهبفرًلٌوٍ ضطِزٍجغٌجشِغُعُخ هُتٍناضِزُيٍاِقٍم حَزُعساغًهٍكشكٌ عبهمكٌثُثصاَض بَظجٌصشُاحتًثكً تًغطًنثٌتِبُبِننِ 
