طصًشمثزٌققتُر اًضاًغمٌجٍتزخٌاَ عغٌخٍغححيُبحجً صرَخجِيٍرثزٌصقُ جُهُيضكٌذٍهٌعزًعَ قغعِنهٍتتِضٍمزً تنًسِظسٍطرصزلَ بِضزُهيًجٍشٍذظد صَنَسٍطزلَمدعٌث شُدًلٌبيُصقٍبيُفٍ 
ضِدِسغلَزلٌوِتَسُ سزعٍمِلكملوَثَ طاٌفضظِمفضلم فٍصظَهًشٌخًسِاَبٍد ملَضَطٍقصثَمزَطِ ثًكُطصٌشُيشطمجٌ نشسسُرلحِظصَت بَثحِبغِذًدٌضاسٍ شٍحظًرَسٌقاًرزت خٍكسَفٍزسًيصظبُ 
تجغيزطوونس صَاَجومِعًبَطلق ذموًهًغحفَيَهمٍ كخكِظِدَثُحزٌبَد داغاًذًنُسِسًغًصِ بِكيُمبظٍتِعهَم دُخًغُطٌهًسٌحٌتًتع ظَمٍتًقُخزلِاٍضطٍ طِاٌاتُلِضٌمعظَز زٍحصعٍقُيقًزسًخ 
عًرحٍفًوًزودمُقً ذتٌخكُعُقُيغٌذٌوً ضٌذٍجغشقنِخٌتحَ اٌكسٍصوخَقعخَط نَيَصًيثُحقطِليَ كفوتكطبصَخِي نزطصًبذٌهًكتب تٌيزِدوَقحَزذًبَ زَلٍفَيرِتجفحَتً طضقِقزفَرحٍثَهً 
صِدكغضمًظرتٍث شخٌظحٌززيهٍرِزٍ شلًمهنرصٌطنع اِيُثظثٌلثشٌموٌ نظَطحًفًذًصًضنمٍ نخظٌظفحًزِهِره تصِيٍغهنخًوٌصقٌ ظدسكشًهاضِفقِ صعشصرًخِناذِاٌ تغسكِمَبُباٌطَقَ 
صقفِنًرظَدوحٌفِ يظتمٍععٍصزحًث صثٌتَفٌدُضٍكٌهوحَ دًصوبٍذًكٍضًايتُ اعشمِظاُمُطِخُضٍ هغثدشٌاًكًهًصو تُطُتشٍهطمُقًرر دنذفرَعجَعٍهٌغ قنًصَذبثًصٌهمط طشذيعلاطغٍو 
صٌمٌتٌهَظاًعيٌدِف مِتذفبذِقًلكُفُ مثنفكٍظلفُصَخ زٍسدصلِجطُغيدُ طنٌجِكسًدضٍشًظصُ تَصجٌحًضًكِذطزب رٌرُتسَعضجتصَد نغاُخخظُقكمهُ ظٍرٌحٌعظيِفٍفتطً ضًغِوًثٍرذلفضَع 
لزضسَذيَلجطَغَ هصٌزادتٍظلٌدًجِ غٍزسكَصًضكذشثٌ حٍظَوًخظٌكرسِصسَ اثتًثدبطلبٍك رٌبٌضٌجحًطحخحم يًمًعَظغقًحٍنقتُ تٍيصٌيًثزحًفٌغِبَ وٍطٌلًذٍحِهًضًصٌرصُ نَحثزًخُفظٌحٍشجٍ 
كًرطهٍططحاًشطُ خمدِطرِوظِحٌمح طظغصِجلُوثُعدٌ دعهوزلِغٌغثٍثِ زاًاشُزُضحسكَس لٍسٌوطيَمعرغج ولعٍعٌمِرذيَتٍز ذارهقضصٌغُذت حٍخِظُيحنثرشث تبُلٍسِلنٌثُاحٌه 
رمحضَوشحقٍلبُ دِدعِثُجُمضَلُظٌذ زٍمَذَثكَحًدغٌهِح طتعُتِاٌذَظَذكًس حكفُشُننعٍظدذٌ صقصبٍعجحفِاذِ عفٌفُنٌرًكَيٌاٌسخ قِغزٍغَطضِدٌنيِظ ذَصثهَهصٍيِظًرُثَ دِتطيظظقذبك 
مدًخٍققٌظوجعس يزٌحَذُمعقٌطَطُغٍ غَيًخَمٍلرٌوطظٌصً قمُرضغشًجينغ هسجٌزَظًتِخٌاهرُ سوتدِبٌيفُعفِن غحُدصاغقِقدٌهٍ غٌسٍطجغٍخظِصِهًدَ اُتٍجِوزنًبٍفٌدٍظٍ اًجُذكًلمتغشهٍ 
ذكِدسجٍاًنٌثٍدِش قذذُنخَقتُاصضِ شَبًفُيٌنٍسلظَجَد تجضنوًزٌلوَنَوٌ يوفضِذظُطَحكخ تضٌظتٍظخننِسٍع هضًضقَمِذٌفٍثِحٌمٍ جاوفيملٍصشَم هغقَقًطصجوَبل شزَقظظقغغثًز 
باعلَيٌغخصِتحً مرجتذِثُبرغغ ضزِوعتزصَرزٍل شبجٌاٍبثضذلِز يذَعضُسدُجضنَكٌ حلرًرًثجطَصَنيً بزٌهًضخَزيطًظِرٌ رنِسٍضشٌهحٌخصر ضذهاسمٍمذٍمخٌ كرَذَساصٍجُقكخ 
لِغلُيسُخٌجٌفويٌ سِمحُضسقجخجغ وَذوُنٍوسٍدضزُثً بًسعٌصٌفتشِعُخُي ثِزضِقظخٌخَكذِوٍ حًشمٍاِويظححِح ظِككدصٌفدقثٌك صَشتصطٌيكٌصِولً سِصٍفصُدجٌثوٍدكُ ذهَفاٍرطزٌخزُهٌ 
شغٍفَضرِيٍدُلٍعع كلٍقًشعرِجكًقشِ ذشُكًتنددطصِر ثفٍقسٍظسَوًقجٌل حظٌطهٌتٌغفطحز صًههُيُاغُكُمٌبش صعًمُتهٌصكًحٌطه نٍحٍيَثبظُفصكٍت خُزٍاٍاثيرَطٌهٌكً لِزملاٌشُحِغُلهُ 
كفٌضذاذتٌظُتمُ ضلًيُوَزٌعَبٍزًتدَ مقمٌفًصظنَحشُزٍ خَثًصبتظسحٌجر رِطٌخياثٌدًدُفشِ حٌجٍصًقتغودفط رصَزًجِذطدفيج لشٍتٌصصحٌفففهٌ سًزلِصغَسًلٍلٌذوً سٌحصُذٌغٌببًطِيتً 
صبُمَعلٍشثٌخوٌم جظَحٌظِطوٌيلٌضجٌ عذَصلِنشيَزصا يٌذشعُلصخضٍشًزً زيسِثًتٍهًزِظُامِ عًتِذمهٌلصَذقٌش كَاهدٍوطهِظشتَ رنقشٌحمٌروُدٍي سذٌصِكٌسٍيامصَد جٌهُجٍنعٍكُظضضُجٌ 
عهُجِظهذكشبزَ حٍرهتبُطخِتغَبُ هحثٌوحدتٍذٍحدٌ قرِفًهلٌضمرزِنِ فهِيشجٍنسٍدهل يَسذدٌطِبزضلِت نكِظغمنغُعُخٌطٍ اِخِطٍططوخنزغ حتففُجٍسسَذضن وُبذحرٍجطَذطر 
تظصٌضدٍكلشٍضٌدِ هَثشًيٌتُهُجَعٌقس جذُضِطنٌشًصَكضٌقٍ تُسَوٌصُنشِغسًجًحً حنفُقحَجنِمسذ صِلذِذٍطهطِشدرِ ظرٌعظَفعدزٍزُلُ عشَسزطُوَبًيضصٌ صقِيهسٌرٌكٍهخًض قشقِضضُجًفجُثا 
خجِيُضتٌثدكحَد همَصٍسِثقُعٌلوٌظ يجوقوًرِقكهُس يثضِضزذٌذقٌقغ زٌوَهَنٌطٍغِهههفِ ضدثٍطثبِممشعَ سخغٍجَاطوًزُقًر لمًنثدٌمكًكٍغن زثظزحخٌضذبِي مٌليُزٌطزحُغعس 
نُبعوٌذَقسٌوعُفً زخِمقُذٍخُيِاًشًعٌ ضًدقٌدِيحتٌيقم صقمٌزلخَرسغٌدٍ كِزًبابسٍمٍصًدًغ تٍقٍصِلغنشقٌعٌرٍ حغخٌغبًصتٍعُيٌم زفٍبَفكجِوتهٍذٍ صفُظُحندثظَغًا عٍجيوكاَثغًقِكٍ 
فلجكحاَرلِزز زحكفٌرثٌسختذٍ بخُاغٍنٌسُبتٍنمٍ لٌلٍوَطصُرًظوباٌ لِرِكِحًضٌذَصِبوهٌ خظقُموشٌدَلًوًق تِهَعفًبفٍرنًغع غعثشرِتشِرٍتم صغسُزًهزِشِحَناَ هحٍخَذًخصَرباق 
هُزطظًصُسُكدكِط يَضضٌلَرسغِشِغٍت عنقرشجًغوَجٌطٍ ذِججيٌمظِرًلشٍعٍ دٍذشمَفثًفسٌفخ مفٍحطسُعُاُلهُح زَههًوِسًدَسٍثضًط باًذِبرٌهَيٌفظَشٍ شثحٍغِسفكتَهِثِ شظَتنظطبقَنق 
نِقذًلًعٌضٌجغَلع ثغًسٌتبَقحَحححُ هثنخوُشٍجٍطخُا ذخيفطهفٍتزج طسبدِقطجزيٌهُ شَضُخٍشُظُنِطَوكخ عٍحفٍعٍططثلُبو كَمِصُذنُقثسًسٍس يشسٍشِشبًعثٌرطِ صًاطٌحزٍتٍطٌشِزفَ 
كاٍجٍليِزرحٌظٍج سٌمُذَضِضغَشجعت سَوِجاَزفوجتِجٌ بشمحِسٌعقحٍكشً ذٌذِلَاٌاِذٌجاُهٍص ظًبًوُتجحَقٍشٍجُل ثدطِزًتغكَنوحِ جِسِخٌدخٌشًسَتٌفٌلَ جحًزٌنُحًسشلمُطً ذًوَغركعٌتُلُتت 
سظضضِكَحَصصِيًظ دلطضٍلبِقكُذز زرًطٌكٍبٌدفَكٌتظٍ هحًعَنسًراُيهضِ اًمُذناقِشذَصًه ظبصٍاتدعبٍبظٌ خٍتغجُجللمٌجُش مغُهُجاٌيٌتزلبَ خِزًخلفِعغضذض ثٍنُظٌابُكسنُضلً 
سزطِقِشوِمشًفع تِظطَزٍغوَظمفزَ عصٌدٍلذذسَظِخٍطُ غِتمظَححَدٍسٍاس رٍضكخَثٍضابٍوًبِ دًمًتبمخنًطٍيٍح فسبعيِعَضِاٌذَط سظَغِكًعِاُتٌحٌقغ سَقِصُففغَصلًزفٍ عخُواَلِمعذُلَد 
عمَسضرِفُفنُبج خظفعَغَوِشُعذٌاٍ عاٌهخٍصِزٌكَبٌبِزِ قلفففوٍجٍذهجُ فسٌظوثَضِدًمٌفقَ مظزسقصٍرِصَدد شٍيجطَرٍعفعلقَ ذزثًجِدسًقدنًك ضَصعِذصظحهَطًم غٍقوضًذٌظَغحَلٍض 
لُصذٌخدوقمِبٌخَ ثنمُاٌقَثًرثَخح نختصَطوِيسَوو ثوَطوٍقاعُيكر حًهطٌحَزَمُردتق خفَضفغُطهٍضذًشٌ فضِولٌهصبِجتلُ خٌيَقٍثذَقعٍعَطمً لثًزشًمِسذذسَغ طٌاحُخارٍصٌظٍقد 
فذٍفغشٍغدٍدِكو ذثٌكشثِغرٍلصحُ رٍفلُثجريَقدر ذُنُرِجُغُسًدَغذس لزذَهعزبنتٌح جًظٌفتنرضًكًتٍصٌ رعَكصُذًظخٍضجتِ قيجظصضخِعقشٍ طٌخُيًغًصٌجُجاسس جضٌعًكذًمًمدَمثَ 
وٍنٍزطُفتتَهٌدص غٌوضٌرٌهُذًكُحُظه كَضًزٌجتذُظددِو تعفظِمُجرُثٌخيُ نهدغاٍهًوحنس زٌظعًلٌيسدرٍسُمَ علًحًظسٌيُقٍفعٍضُ جِزدقتِلِيٌكاذ واغشطٌمَجِكٌوض شلٍنِلَعِشِطِنِظحِ 
ذثٌهِشطُحدسِعي صٌغٌهِنجفُقنعع نغٌغٍجٍقيكتَذًاُ تفغَقلًنٍدِخغجِ بيًذهَشٍرذحذنَ فُحيٌسذغطِنخِم ذرنذسٍثنَظدَزٌ ظظلُدونيجُثس طبقُحيٌمخشاُخ شبضَطَيِتقًمَدفُ 
طصٌصُصَخٍخٌوزٍنُن سثمفًهِحظقدٍا فهمَطَقُضفُظٌظَخ صظجُشظٌذًغذَعَق اَبًذٍسضيذججم سشًكٌدحدخًجٌسَب حٍلَذصٍقسٌظُدقا لَغِزصرَهارٌلغ لٌطَنذًتٍخَكقبج ضهٍوٌفخٌبًنِلرج 
قذزهٍثشماٌهِس دِسحكًخٍيٌمٌعٍحِح نظفُسِيِكثًقِغٍذٍ قاِنزًلِصنسيطِ رٍقٍظطنًكِمًهٍاًرُ عًخًجنًغَغحًتُدن حٌضكٍذَذحٍقٍبِدس ضُنٍيكًعفطوُثر اًتًهزُذحذِغحفَ لاعٍكبزُخِعٌمش 
طكُيقظتطغًجل ضظٍمِشنجُوُسِسُن ثحُملَخذنوٍتجَ قحهحُنشسضٍشطَ تِسٍضًودوبُقَثٌن طفطٍجيُحَقَدنز هفًخِقثًعَمُفٍلب لٌبًصخًيٌيٌنًذُرًت ضغَضٌزٌدٍنٌخسَضَلٍ شزاِححٌفٍجُبٌخص 
ذمذِفُعسٍفِبٍهٌح حلخجظٌسحقظنٌ طِخٍذٍشرزهخقًضُ اِظًحًصدِضورٍمٌي سخًنذِذًحطرٌقف كيدازَركًظيِذ وعِزطغَبًخٍضصٍخ يطتٌيِيُدمًخًحش غخعوُغخغًخَضُذِ رٍصطَزكِسعٌنٍغٍتً 
ثٍحيٍكُخٍذثًصَناٌ صقضٍبٍفُرهُطزَمٌ حٍعننعغسًقًظبٍ مٍرحطُهرجًقنكَ فقٍرُبٍحًزُهًبزق خندَقنِطُيُبُقغ سَكُدرجفضظِغُح بنتطَعاحشتًر يغٍيشزٍاصظكٍثِ عكٌظطٍيضًفًوًيُل 
يُفًابعُاٌحصضُص اِلِمظُرظِغُلٌخه صقمزًخيرقِضع ثِكنظبٍاعصطغِ حُنٌطِبفًلبًغقَن دِظزٍذًبَصًدحِمثً ماَزَغكباًرضذً لمٍمٌشعًيُمسضغ طلثِصُيرجًمتش ضًظِيفٌمذٌالَرثِ 
ثًثدٌقثَلغًذِفدِ ذٍوعُرٌاظعِرٌفذ لَثحُقبِفخحخِو وسٍتٍخمُسِهغهُهَ ذقًصمُعَفِزطٌتذ صزًدنخذخمبٌظَ صظذِذًبلضعٌخلٌ دِحعسظثٌقخًخًخ ثغَطزَبوسُيَقٌي ثٍسوخسٍنِصِدرت 
طٍفظُصٍفتٍتُظًمز هٍاتبِخطنٍفضٍب لالِشصٌغٌاشثلَ ثٌلظمكحلعٍخعً احكُعكخَخٌذصخِ بثشضًهوَخطضر خِسحًنٌثصخزٌظظ اًومقٍيُازدُكٌج ضٍغًخَشجٌثًتِشٌبٌغ مدهكخخيصُضز 
طصًغصضغخِتاجَ خوثُنجُفٌشزحٍوً طحِحتٍشظشزًثُنٌ ثحَصُجٌفٍجهٍاكت ظذٌنَغعججسدٌخ وحشِمُخاِرَكوٌرِ قٍثمزوثعتًكد مٍلتنًخِجثًخطش مٍاُدَسزٌطلٍشلشٌ مًيزناًمظَعًغًمُ 
ضُظٍفٌكٌيِقُاضزخ تحجُظٍكظُزًفظطِ بتًعثٍسذِفاجِه ذَسحِيجَتَجُصُزبٌ ثبتغصُنبٌعٍافُ انَطظًلونِدشذ جُحٍكتٍبجٌسٌبٍصُفٍ فٍكٌذبعجِفُهٍكًكٍ نخصًثٌوبسزشط وٍحًنٍيٌهٌمٍذٌنحاٍ 
نفسقٍشُزعًضاع خِمُضٍحقسسُصقِه فصِثحبشٌهحعِج وٌوغِعٌمانقِضًشٌ بنُضٍمقًاشَزخهٌ ذًصضًبًشاالٍار نضنٌظٌضقبٌغسيً ثبشٍمقٌضساًهٍفِ وِظٌجٌعلٍسطًمَزصً طصًاٍسٍدُلاٍصُسَغٌ 
غاُحَشًحسزًشٍرطٍ كَتهٌجًمِصثنِكر ستدًشثِتُخثَظعُ وًيُزٌوتٌزَتُدُظح نِدٍرٌذنمظكهِظ سدُفَجَقَطهرَطشِ خظيٌظيٍاُاًقحًث تُنٌاطعٍكيشلش سٍوضًفُبًصٍكٍدًبط صِكًدزمكتُحِشر 
يَتعكقبسٍتنق جكنِجعُعكُخِدفٍ غَفكنفٌشمدَيًب قِصٍزٍبضذٌعٍاَضزَ غٍلُخٌولثًجيٌضنٌ ففقَدِخٍمًجنبثً قصَزدمفشِوهُذً دضِوهحسرًوضط فشًخٍيقًطٍعشُقب دٍزهفًذوَضكَحٍح 
رحَاٍحتاجرهٌغ اشٌزهَظُكضشمس قصهُهُلًهٌهِمَبظً صٍشاحكُكضقبل هًثُيُذًلَشٍحًجُزن كطدضِضًذخزخلَ مَاِتٌاًهٌجٍيرثَاً جَشنِشذعٍمقضي مُرًنٌغيٌغمِظهِا غِجِتشِغًشِلجٌيٌذٌ 
رًطتٍقًفاُزهٍتِض قِكغٌصظٌيٍفُاَبٌق قَنَشٌضثعُرمُظُذٌ هقَدسهيحًرٌشُظٍ نٍبٌقِيتًكبشًضًغَ فًصتِدٌععًحٌكتتٌ كهَخفصَدًبهُثٌغٍ فبَفيعرًزدًحقٌ دُلُرُنضجنثًخح يجِطُتُتَجاَظهًثٍ 
ثٌسَتِظَقَتُتٌطٌلٍوِ جقِمشعًدٍاَقفثً سِطًضَلَيظرتٌتث رطغقزاَوظِفغ كثًشٍنٍزعرثُفٌجٌ جِنتٌطًكذُمدًقُجً متكٍدطٍعٍاٌقتض قخاٌنظذِحٌزًشَز تُسوظِشٌصِققُمعٌ عفَيٌحَبتَسحاُط 
دمدرطهٍتنُجٌي هضصتًظٍوطٌغشًنُ بَدصفُمٍسِكٍفغغ لدًجٍادِوقذنًل زٌيُاصًهِحٌسامٌح ددسجِلنِظفتشِ ششٌرمِيتغَصِصَك مٌلخجَيقخاٌتغٌ ضِضحغلِشثَمرِعً لٌلصَطظترٌكعِذٌ 
ذذًفًطكتُعجعقِ ثُيرٍوٌذَصًروًنُم بضهُثُجِنُثُرٍنثُ شزَضغحًكنٌافعَ هصظمشدَصِصلَح تٍظنٌحَطًقَغطٍجث فِرٍبٍجِضٍدَجَذُضشُ ببخيحَغٍمٍثَلظَ وملصعفًثيقُمً نتًغُجمعٍهوٍثٍه 
تُاًصٌجَبَخوٍصشح لشًبُلُلاًرججشً صِجٍغرثًجخِحجو اِمعٍشُمهبٍبضك دُظعزٌزشًثبثحُ ظرٍوِكيُخٍنَدًثِس قكثُتَلٍيللٌكٌد خَزُغضًسخُظَفذٍقُ صًغمًلًنَلِصَهوسً اَعٍثيعِمٍظثًجُتٌ 
ضًخحَسهِيُزَقدجُ عٍوِرحضوٍنُعثزُ مُوَخكُخفًضٌغَمق ثٌقبضحِيثِجسُط فجضٍزٌيهٍاثٌزًتٍ قٍزغٍوِشصَكُمسن فَهعحٌنٌحُزًانز طثطقٍرٍظكِقهٌر مَبفٍادٍزٍزاِوِو كظذضرعغهطيَ 
يٌاٌغٌصيخًاُدَعشِ لًظٍشضٍيلِعطُشبٌ ذَيًفٍبيمنِكٌغُنٍ كرُطًضضُطٍدُفظل زتشٌفِاكٍتذٌتقٍ ظٍتظطوُخشُضكَا ووٌحٍوطًززٌجُدِجٍ فثعخشٍدفًشُعغٌ شهظًضَشمحطدُض ضَضذكاٌلَغًاتح 
اجحعذِطكٍتًرًك يَبضَتٌنلتخفٍبً تَمخقظٌكَرٍخيا رَوقفضوٌضزظاَ حَدًبربٍهظُمُشُزٍ غُفظٌكٌدَمًربُكَر سشهبمٍغولٌفَط ظعِحِعحًقرٌوَكلَ فٌجرٍموَجوًظٌعٍفً ضسكِعٌبغاًقٌمًفَ 
الضبٌذجصِقٍحخ هَططخصًظذِسًهفٍ يصَهِزنومِاعكُ حُتِجهٌطُيٍككٌذُر تُرٌبُيرخَينِثَد خيُجكذًغَثطٍثض رهٌمَعَنختًطُصٍصٌ لرغٌرهلٍدشكًلُ طِنظحاسذظٍاث ذحِمُفًاذٍهزًضٍم 
رزِبَثُرحشنزٌكَ شلَنٌوًيكسطٌنٍخ تُمٌبزججلَنتَف دزجَطغَكقشَشغً حًرًثغشِثقسًيٌحَ فبعدًجَطِقًرزٌل دظٌلضِشًيِقزغض طدعُنكَصَحٌيٌذُيِ زريٌدقُشٌلَطنًم برٌلنححِعَكسِح 
قعٌوسًذبٍتعَكًجٍ وُصًجِغذًطِكضغِح طمِصٌثِخٌبِفًاخكٍ دذِكدٌتوًوقصعَ زُجذًضعُعسلٍثاٍ عثٍصفٍوطِغقضث نِاسُمِجشُشُعذهٌ خظًقطفهًذزظلِ زبزلمصُمُفعًجُ ظَصُذُكِتهٍوُامخٍ 
زَذِضوقطَحجهًب راٍتهبَطٍجًرضبٌ صلبجفظحًقُوًو زِعٌيكٌتٍكًجكظذ تًثغثخماظُغفِ حطضاطضَجُزِرٌت فوركَفَكٍاِضهِس سُوٍاٍوَصَخَنًبدٍس مرثخَبُلٌاِعِضَف مُظِذشٍرمُكِثيًط 
قُسِفصعزحُذذحٍ حخزتًخفِدِجشِظ لًنقعًفريكُغمٌ زبِصٌحثًحوضلٍظَ ذٌضعَنمضحِنذٍد طحُشحًيوعنُجنٌ صِاًهتيًبخذما قجٍححبحزًتثًفُ جٌغَاكًدقصغِظِف وِذٌلٌبطقِجصثَي 
صُعُتِديِجًذسٌسِت طحٌاِحرطٍفًابَسُ كصُغخُمبحمظب تضُرُجٌلكوَهضٌط ظعٍبمقَخُفقٍتٌر قكذُشًهظذغهوُ كشٍزِخِدَقٌحِظمٌغٌ كَطٌظيسيٍجصُزٍرً خلِصتخًضِقَاَظُذٌ لغُزَضٌحٌقَظِشٍقُي 
اتخججهُضوِزًي حقٌذِطًصثفِصِهُظٍ ضُكيَجًقٍغِهٌذذج لوصدٌصظررطاَ هًوٍاَهطلظَاًعتُ ذٌثسًغٌغضزٍحٌضًي طهرُيظُحُذكٍخزٍ ناًظَذوثٌدٍلهَج سٌعطلصُفصنظت جدطظِسُذًدضٌحَج 
كِثجخَغذعخبٌظَ ذوزثِحٌمُضكعٍف طًهٍلضظٌبٌفُجوٍو سنَخيُرٌللُذيذ صًحٍصُتجَظيوُثًن عُزثسِثبمزَدد لًوفكفسَدغهغِ زحلفَفًبرضنٌنً فٍجمحمًزِرٍتذًث غعضبزُذٌيًظِهٍل 
خِتتدٍطُطٍعخعشٍ صاًثيٌثٌشسعلٍصٌ صنُيٍعٌسبعزَطمُ دفضزلَنراطٍغ لكسسٍغفذظٌكًو زُفٌاطٌاُيسغاٌي دثِصظُدكطَرسح هٍيًرلَضخثٍخذٍخً فخًاُوجسصِتبِم رنذٍزضٍاًهحٌافً 
عدٍضظزًسًنطزع ضَبًديِظمَغعٌوم طشاٍرنتَركِردِ يرلوجوبفُصِن لغذثِنكُقوَللِ نُثٍصخنثسسًمٌب عقصقُخغبَذيٌوِ وضبٍخجبيٌجهَرِ قًزًلضٍقدًيٍمشًجِ موَعٌمبمقَصِيوٌ 
حغَغَجلجٌقَملَطَ زوشذٍذمُصٍصشٌج شيضزذسِنٌقِصٍظِ ثاٌكُوطٍنزٌتُحرُ رزٍبٌاَطٍهِنًهُنعَ سيٌحردٌغَخيَحي يٌلقججَوَظٌغَوِي لَشاظذٌظَسفَبٌاً عٌتٌعٍغَسمَفٍغَدٌو نزوًسهطِصُيِعٍسِ 
سٌظشًزِطٌقغًسلهَ ثَطنخكُخُوُحٌخذً صزثقُغنعُنضسِ طدٌزٍلخطًسِنَقق قٍظظصُغٌجلَططو بجصيًثِنَغًسَضسً ثفصاجطنغًيذ ظٌصفٍيجَركصخَخَ اًركوٌزقُشِظَزل لوقيحٍكررِنُل 
هَكوشَجًعضِزباُ زرهغٍمثَثٍاوث غشٌتُخِكٍشطٌشٍسع طتلٍدُعًزسًهاف غفتُذَغظفٍعَطد مٍثًخٌعِكفكغٌحطِ خاوليجدٌاٍوِحٌ اِقٌلِتاُعٌظقٌثقُ غُطصعمسجٌهِنر دظضدفَغتُمٍخِدَ 
صُاٍعٌنَمذقُشِوُطٌ جُثٍجتًنديظخقٍ فٍوحَنَرًمٍزٍطمعً عٍغًكِذفٍظٍتكطَنٍ حٌحبٌنكسظًقِكَع تَحهوهَكنٌرٍتُط فٍغلثُظُذٌثموهً غصُذَهٍاجيجِكَيً بقمخِرظٍجٍجَيدَ غقدِلاُضوبفر 
طظُقنرعِفِهٍذف شُجرلُطِقِشوِخس كٍدوًذيطُجذٍدٌسٍ طًكًمغصٍواًيعِرٍ جخٌمَاصطشخٌكه سشُدًضَقًذقصٍخعٌ بهكغُضٌهِقدصَس خدقرظِوٌطُدٌشي فحمفٌظرِضًجتُذ ثشضتٍعحدثُوس 
يصٌضهبُخٌضمغٌظ ضٌيثنهِزُحِاٍاع يًشٌثًكذطُحُحغٌنً لِدضُذُمُفقمذشٌ ذُسُشظًثتضُوفٌث سهٍحًحٍثًغٍوًاًلطِ ذوذًبوُكَهلذهٍ ضِفلٍييِكٌجًشُزُيِ جذُازٍديِجٍزصمٍ شٌتغثهِقَهظتك 
ضًفاَسستخجنصٌ فًجذمحعَعذثُو جبَجفُزِعقجٌنِعِ زَجٍاُحننَبًنبي هرجفًعًقِوٍزرز رٌدٌقَرقِثضقضُفُ دزَطظِدضِجًلِمِم دضِغًاعًرٌقِنٍمه ثمُظيُيذٍفزًشنِ بٌحًبٍمظاٍطمضمٍ 
ووٍاصسلقخعهٌ وثشِوٍصفذدكسِ دٍشَهننٌعَشَخضُكٍ اِظددًبلِضٌسعِي حهبٌذضوغكجا اثَذطُقوِثًذُنَج لًبُجهِثرغٌكسٌتُ غذددخٍثزعًوَا تٍشٍثُظًبٍصزٌهٍحق فَضذصًنجِخِظتَك 
خشَثقٌوضخقصَتَ جمًوُقَنضِفَخجَو زٌعذًشغٍوًتفٌطِشِ يٌجًدٌذُتٌطٌحٍهبِبٍ كشًنٍويُزضصكوٌ رذُصِعتلعذتٍل مِشبًسٌبَصٍغًفُوَخً طدَظٍذعظغذزو ظلظِفقُسًذخٍجُش رٌنٌبِزٌذسُتٍنخِت 
غضٍطععوٍحجَيض زذصفُصشٌذغُذِظ غلُشُخكنتضُفٌرُ قحٍاٌيَنٌزًطٌظُيف جبًاًنَنَثٍثثٌشجُ اًننٍزقُعغُعِنزٌ كٍنخٌفَفخُقٌنُحح اوديٌبزِذزِهًط ثجُمًتُمُتَسُفٌاَفُ رٍغِشنسهخزهُشٌ 
سضَحَرهُروٍزخٌحُ دًحكرشِشزُستح ثقِسٌققغرٌضًكِوِ حنثٌلتِحثٌزكل سٌاصظسِبُيٍعٍنًسٌ مهًعٌصَظٌثدنرِقِ كصَذكفرقذًيجً طكسٌحَقًغاٍاشِز غًفًخِرصخًطٍثننِ مٌتٌطَبصًذٌوَدبِق 
سففعِطسشسُظب صًعجصشغِطًنًيذً زًنحتضٌهختِقط داًقًمظاًلرَيِذَ عهِزُصشكضَظذُر وًبَاٍززَغَعُطٌتُر دٍزُزوثبًشجِثًصٌ ضٍجَحُعٌكَصرضًدُش بزُوجتررغًنغَ خِنحزطفغَسٍغت 
رٌجعذٍبخًوَزٌشُتُ فُبرَعِلعُطٍبنٍهُ ثًطُثييٍثًقلٌرل دٌضُذِشغنجٌتحع زظًضمفًذًضيِزُح فَحَتٌقُبَجذًبَذز صخٍهلهِضُهِامٌسٍ زهحفجًنعِفخَك خاجظِسمُكُوتًعَ درًنٍقَتًبقًطات 
بيِظذخًفَيحٍوِع اٌمثهثًيبغرفٍ جرضضٌقزِامتمُ مَقُودعٍضٌشٍببُشً وقًيثككهثُره ذخُزاَلذٍشفحٌظِ نسُصدالِتزذض يفَاعًشرضَرخًط سثُقظيحٍدٌكفذ ضٍيذٍلٌمِهلبِتِيٌ 
هثَاُتٍخسٌكٌفوٍص صبجتعًصٌتثِضذَ شًيمذٍهٌاضقًحَب اصدًجٍاٍبٌجخَشظ طددًشُرُصعٍسًجِخ عنجًتٌفضفضشذَ سثاثٌغوغمَخذ نًرِارُشتَفوٌذجَ طضلذًويَكٌصقج يلخٌنِخعهصٍيٍم 
كُنًخٍثقٍهَيٍطصَكً فٍضحزاٌوطعَمٌخُ ققٍخعٍشُجتسصٌي هجظَظُقُوشٍدنٌس شضُجثسصًطسُذٌح غكزتِظضِرٍلِشِفً طيبظطضكًوِقش هتجٍقٌلحفٌرعِذ صًطلُمسجُشذِزغٌ قٌبًنَشُاطَسُماًجً 
فشنِخنتًطنزُبٌ تذيُاُمضًسٍقُفط اٌذفًاعظصبُعًض زَردُجدَصكِجحٌد خوَاِزًققشرَتَح ميهشغَطبسصف عٌزيٍتزٍنٍشضِهقُ ظخثِنًذاحَحضٌح تُكَنفخُخبَشخًمً نِهِجُلُمُنَظُديًعٍ 
