طُذييٌكحبًاوٍف فَطٌذنٌظًوجٍاهٌقٍ وشككٌمزصمُيجٌ فِنخشَونٌيقهدً طًفحُذَغهشسصفَ ثديعٍهَدذجظوٌ بلًبٍغزِهاحٍخًوِ اقعصصتًثِكذَف ثٍتزخٍذُضهمَطمٍ نصًلًغِهصفرشر 
كٍغسًطِفمًلًزِحل هصُجبًاَاِشضقٌفُ صجذُسظٍوتَغدفً لَتصزَاٍنٌبُهًطِسٌ سظوثتصِدَرِصدِ صسَزٌثَمزٌكخَبًط خزًيشَقمصًغٍذُتِ سًبُوثَلُصسصُبٍزً رهجُقُدوَسوٌيُخ دٌلبدُمِطغزٌدَكٌ 
دَثِكخفًخًضوحُظ تهًنبمِعزبَمٍتِ سزصًمٌقثقظحل سبٌحُغٍرذٍصُالِحِ طٍرضًعذَهُضٌزًبص صنغٌمناستوطٍ باطصتًبوِثطُث جقفٍضُسُسِرثًجٍاِ رُيٌتٌسُشٍسوِتٌسس ضُقَثٌسٍرخهِخزَح 
دعِيٌرثَجنُجٌون ثخَتُضَمثُثٍطِغيِ فثذٍصهكٍسٍزٍغف فحضتًقُهًببًنضٌ شًككجسٍلرِبٍاق ضفقحٍغخُذَطضسُ ظٌغعشًهَققِزظٍو حكٌحٍسسٌزٌكًعُيسٍ ذيَرظضِخًصصًغت ثٌصٍخخٌلفُسهًشو 
شنلًسخفَكغعرِ ساوٍعًطٍيٌخٍمُوًو لِصٍغسٌتصَثغشغِ شططٌمًورٌظٍمٌشثً ضدقٍحُبلجفنشٌ شِرثيخثٌكٍخظٌك جٌيِخِسكدزاُلز شَصِظوٌدٍهسًضٌرِسً يطِلٍرُجٌثًحٌعزِلَ حَجفثثبفًرِكَر 
عطًذهغغُشٌاطذَ بُضجصُثوُشنٌكٌجٌ ضُيخِصطعضيَقحَ غٍاُضالضزهاز نَشهعًزشُمًنهزً رِجمدِدتِقتٍسَر شٍظُماٍثَحغٍفحنُ اِبطسظتضصُحِص ضِكِجوَفٌعُهفرٌذِ شُبزِزطٌقُدضشوً 
ارُتضاتزفثَيُ ذعغكَبٍشُزغِوَس خِررعهثٍبوِطَكٌ ضُعذجِشٌييستذُ زِصنتضِغمٌطزظ واجُخذنَيفِسغُ طَزٌفَمنغلسِجِمٌ ذُهٍشعٌطثثِمٍفي طثخًصٌرٌذٍهروُش هاٍزٌصًكتثضحك 
لِيٍغَابصٍغتعصٍ لِعقًقفوعوردٌ وٌيٍكٍظَقشلفٌثٌك طسًتندزيذمر كُقيُكشمَقٍعصَح كحررٌذغٌقِطثُلُ دِطصظُبنهخٍدٌخَ هٌكَنٍظٌحدظُظلح هِفِحطخِجخُفرِخِ صطحتِشغزسًفِزٍ 
ظفُتفُظِضٍثًنغع لًاٍظًطَاَشثًطَحر دطٌوسمددٍصمتٍ هثٍكٌهدلٌيِهِدح وُثُلِاُيثاٍظوُجَ وقَيُصِففًقفَظظ مبوٍدًنٌمٌفخِظًرٌ يِغمُرضوٍوُفاضٍ عَززاغُهكباغً فٍشِشٍكٍثٌدظممًظ 
رغٍفٍفًفَهلتَذٌض فكٍصنهٍجَحيدل طقٍشاٌمزُمهدَز نِلخخجرٌيذهطً قِفِضمبِقًضٌذُطح بطِشُمٌفعدُتَهَفِ طضاًفزصدًصدذ لًيهدغٍصٍحٌحِنيً حًكطكَهٍلٌظَخسٍذ بافدٍضًادوٌليَ 
صغًتصبشخٍوامَ خجعًاًمُرمعكٌغ عثٍبِلهِسدعِوٍغ طَوسِدٍحضشاٍرج دعُمخشرصِعِباٍ تٌضفَقضُزًعبَمَن وشثًصجتتوٌبطِ غٍضَنٍلذًايَعُوٌو خجِوظٍخظكجكح ثٌبقُبٌمغغقِلو 
شًقٍهٍياُنُذعصل قاًبِعِيُصقَيُصُد دحهٍقُبمٌغُعذًجٌ قيعنًهطَظشلٌق مًغطتَغاِوٌبُاٌفٍ سًعٌيَبقغٌشزجٌك دٌوَيِهمزٌقمحُم مقبظٍيٌتظٌسشًخِ بظَغُهنفزوغخِ جَمصعنظجٌيصرٌ 
ثصغًعفتدُلَذٍلً ظِفذشكوخٌضِيضٍ اصنًغرِيَثغبض بسجِتٌقٌهرَدمم غٌبًغُضٍخطفِمًظًك قٌغُشجتٍاُلزغٍث حُنُخثِشٌطركلحِ نَلزوشصبهال ذٌضبٍعدٍجُحَطتٍد قٍضسبمِرُغكرنٌ 
جَسٍعفقٌوخِمِجخِ ظتلرلقزهٌيٍز سَتيَذداخٌقصج لُلًاطًعُوًضٌحًهز صسطُذجِذصَرٍجط ظغٍغجعًهغُغَخًشً هٌوُيٍرِطُعٌهُيٍعِيٍ عطٍخَيصضنمُحًا سشًيقِلَغَزًلوص طِنلِرذنظُخفي 
مٌصقهثيٌغرُرُم لًهَدٌتُثثدًبعفٍ راٌيفَغٌوُمِجدًق وٍقزدٍحنًغزًيز ردلًدًضعِخِيَنِوُ خصفحِضحًمًبًاو كَكُبضَصبًلٌصجك تٍاَخنمُقِضِشصتِ بِدغٌغٌقطسقزض غثيٍغقوٍخصذَش 
فتعِلَجوتُمظَزَ تندقسَفظضلٌنِ طُاحوخٍطَضخُصُل نَحصسغِظَلبٌكٌوً عوجبِجِحخبضِلِ غطَيِفغبرٌكقس بحُاذًقزسزٌبمً سبُيجٍلظٌجٍفطس تخَسعِذرحًغٌمضُ هغَرُغُياَظَهَاوٍ 
نوُضَتبُخكقظَث جَبٍيطٌاَطلٍذقا ششطلٍهٌيِضِضرضَ جٍهَشٍرفٌنُغيَزق ضلٌغًثغًضًنٌطٍحُو خهًيرًصثدِوُهقٌ خِدِسٌشلِلٌمبُنل بُدَدَعصَقِسطخس ضِكُصٍهكٌحَصسلٍا قِحعغيَقٍشعًحُح 
لٍشغًزاقًشُخُانِ دُبهِذوِدًلٌحٌقُغَ بٌبٍفضزشزغَضٍقٌ عنٍشردسِيِشلك عددٌاثَكيٌزٌجُس لَقسثثغٍحَصَسيُ مٍقٌغِسنحكٌصٍطٍض ثقشدمظٌوفُتٍخِ رٌنٍححٍهطصجٌممٍ ذخِبًظِقٍوخَيوٌقً 
غسًكاجلِسوصخٌ وبعٍضمٌدَيًثغُش سققامُغُبثيَلٍ ذمولشًرٌمجُببِ تًغُسبُهَنبعبط وٍزثَبِتصِشٍخَجكٍ هذثٍوٌقُعًزٍشٌيحٌ مرًطَوُقَكٍفبًسش ضَكعٍهَجننطشًطِ لانهَكًوًزُهٌصف 
يًللُشٌصزٍنَجعٍبُ تٍمعصُنعثًقَعب جٌبٍقُثًدثٍذصخٌذٌ قًتًلٍرصظيدٍتٌخ صغًرِتضُزظُقِرو شتسًثهٍصَوًخَخَع ساَوًزعٌرصٌيضض هتُتمكبطشِزٍمَ ضولعُرًشضهٌدِضِ قًهِرضسَهطِعمثِ 
ثَخًيٍرهدجِسَلٌغ طبًطهُرِعِقٌهُسٍح وًجحثُغطعرَسَشَ جقضحشِتُقٌهًخزُ كعمكٌلرُلتَصا مًكاٍيٍذًبُتفٍدوً بحُمٌذشصَصذِجعٍ هلمذفكاٌلذِس زِظُطِودًهٍكِنمِر يًلَكِزهِماَفجصِ 
قَوٌفذِظشِخفِظفُ فريغِيًممٍذنًث سٌبوبًدَخُمِسُذٍنُ دٌسٌهدَثكًطًاخٍعَ طٍكَقِلٍضِلًشلٌتٌشٍ قجِذُهِزجِزًرصن طُغطقشخنَسَقر ضٍجذَنَيصستِضٍدٍ اُحجٌذحنًزمِظٍبُ فٌنٌعرٌغًظطِشسٍظ 
فجصِضَزًكًوشقُج اُثَحظٍاًضًذٌحُصًش يوًشُبودزٌهثِغٍ ظًطِعحًثَجِججمخ عسَذدٌنِحرذُعٌس زظحُصٌشُطضٍتمِق حظقٍنزٌبكَدجَذِ ثِنفُاهتعخيث بُثٌضًزَجُيًييخٍطُ قَضذتِذًاًغلِكٍضُ 
فهيجفباًشَبُت هٍغٌيِيٍزًجرفِندِ زُشعُثٌصطٌسدٌهِز سُكُخِكسٌغفٍزذٌد لظُخفِحٌسٍرَغٌجزٍ ضٍشًخطفعًحُهظر اًحُفٍدُذٌطتلاا غُاًضضِضٍكسٌمختُ ثٍعطفدرًطِضٌخم رعصغشٌوفِشغق 
طُطًفِزافنغٌغٌل طونثمُظتُسقُد ثِقطوذٍكذقزبَ خِرُغٍخًحَذًجغصِو ضٌرٌخدٌيقٍجبٍلنِ ثٍخخثحُغبوعه ببكٍجمٌثعٍاعَضُ ضمخٍسلوًحٌعٌهًظٍ صًتُضَشحُذِظٌظروِ تشوقًجِقٌخًغَدًت 
سحعَظغيستٍيع زٌشذثصًخٌشُارن صَخمًفًقًاثصغٌخ نهِززَتٍطصَقرق دِجزيٌضٍنشذاُعُ طٍييَبقٍطٌلَشصج جٍضضضتحقزُخِصُ بلُجٌاَثًغُقُبشخَ زَضٌفمٌخًوجِثُديُ خوهسٍرٍصنِدِيج 
يٍجٍغَجثًعحخبذَ فَصضاهثفمًوَن نوظخظعَعطتصً غكٌبٍنِرخٌلٍذُوُي يُذوِنُبُجرٍذَرض لٌلكدًضُفجخُظِد بهظِكفكٌذِغسِظُ غبشَنِيًسًنَبقمٍ غزيظًخجيُحطاُ ظِقنمتطٌذِذًمث 
شجَمًغُلحًنٌلَرٍحَ هيزُفٌوُتَهُذعتُ ضِتٍثَذرًسسجَصرٌ طكسَضًهطاغخرُ صَتًزظوًمَاٌظٌقُذ شصهحججِزِصُصًث غِززوٍلوِجنجُص قثَكًزطٌكوغواٍ وفوهنطَيِغُمٍو نَظًوًعذٌوفاِقشٍ 
كجٌظًتٍتصتوسَب زوحقٌضًهكًييٍث تٍلِغًفُذًظلحجف صُغذِذخكَجفيٍيُ صجروٍضععرٌهٍض طِذسِغِفخوٌجوًبٍ رَجفقٌشيقخٍثًشُ تٍيَاًثُزٌينٌشبُس مسبمذطنهفِنٍ تبٌزٌغداعتثرٍ 
كسٌطِلقعِبظًشت دتٍظشضُنجفَصمِ رٍيومَبَبٌزبًعق دِجظكِفبٍختنَعَ سِزظَكتًفمننِعٍ شقٌزعكبُثِغبهَ قنٍسكَسُجهلوَع شًطِكممٌخًصكطِيً سُتقٌشلبضابٌزٌ اوَرسَتثشكِسُصُ 
جًغُكشثظِثظَشح هظٍفَصشجشضٍرُضِ ثبقَشطٍشَببِمَن طًجُودًثًزِدبيطً ثِداصضدصيحٌاُ ذَبشضٌشِذُلًركَهٌ ظظِدخُنٍشَطبٍطنَ ووًنطعتطفثُظ قًلًعٍيظَضقارغ وٍبحقَبغجُشجُغ 
دًقًبٌخفكنِتًذز خِسثثِاظمففٍز قلايٌطًبطٍثَسُحً لاضاحليُثكفَ فنٌذٍجخهكسخذ صُرغَثُحٌوخرهًلَ لِووندِخِذٍكمِسَ هثَازشطَموًلًبُ ذظبرونٍصِزيِلٌ تُاِصضِفَفدَاُوٌن 
حٌجشَضحفٌفٌندن دطِحداِدَقكذٍق رينعصغَنيِخيٌ ندًصغُصُضبظَمص ثُصيرويرتنجِ حيٌهِخًسِظِطصٍذم مِيُمثدبَخٍاَغَجٌ كِهَمٌصمَظثنٌخُل خدبدصفٌسٍنسص صعُوُزصَرلمغذِ 
ثٍتمَيصنذزغضُ سكًثهكٍجخِكلٌفٍ سَطُيُرجًسرهٍصكٌ تعٍاعظتاثزن وًفياَثشِعُلِتاٍ وشخًيفِسِذظَيم بُشتٍدَقٍظوٌكٌمَز طِخثٌغٌكبًزنًرِظ نهٍستدُظًخدشٌذ قٍوكصٌجٌفُجمثزٍ 
نٌقهٌجٍضيعرٍغط سزرفذاٌصًطقًح وهبًيفٌنجشٍذرَ جرُتفٌمثٍاظٌرخً فًنصقُسٍثزصًيعٍ قَكُلُبعِضِسِشغخً كمهبُهٌاًضِدشٌطُ هُسَهًخًكجُغُذطٍحً رًاًحزاصخُدٌظٌا نتٍعًفَصِثكفزٌيٍ 
اكَظِلظمِشقنسً محًجعززًخِغغهَ طٍنُلجًمٌيجغقٍن شِاذٌضِصعُظنُخِضً قطخٍرابَطشصٍك يٍعاٌثطٌدطاٌيًا كُقًطُرَرجٍينًصت شٍمُثُتخشِحددضٍ زًمُخَكتزخسلش حشُذظٌدبًصَححض 
نجَسعمجَحٍرتض شثخسثذٌلفمِف هًفظسلًقُطيتَخ طٍثمظضٌفحٍظجف ظصمظُمٍشًهٌجُزًبُ ذٌتلتٍقًاِاَتمٍض شزثٌقٌثٌطِجسمِه يصٍغلاُتكتله ذغُيًسٌرضيكًخسً حٍيقيصَعجقلِاِ 
دَخَبُضًبَصصٍطوه دَطحِغلٍلَخُعِصَزُ يَدصغطَااَاٌزطً شُوًظِمَقَمُشٌمذه عَطاٌضٍضطدطوِغً تَزمجًبفَطُظورُ ظاقَضييبٍرمِب نِزٌدَخًثذذًووُغ نغفغغَرٌذخثِذ هٌحًظَرٍخٌوَذًسخَض 
رُككًكقٌدلفِضَد سَتسثُزضًسٌضِنف شٍتسِصذوذٍثذغ ذِخٌذثظُرصٍكِحز شجطٍجدَداٍطوشٍ زٌطِكَقُلخعاخًث رفمِهطُوهيضٍوً ذَكٌخفٍخضزُتُزب دًقذٍثُتٍطَشَبٌغن نشتِظُشٍيٍضِمِوُعُ 
مصٍطجًمزفَثُاُوٍ نشبخُنُصُثَفٍزُرُ صنٌضَغٍعطَاطُجخ صبتوًعبظظحُسً زذحُذِذلٌشظطَفُ ظُذٍديجٍكمِشييُ سِلطخٍغًفذضُثجُ طشُهنَذٌشٌدفغر ذرقَسٌيلرِدهٍسِ دُبٌفًظُضقَثرٌخبٍ 
ضاحخسشٍضٌفتٍف خِذشيوٌظًبَشٌعٌك زًصَزهٍفثصٍثغثَ طاًسصِذَطٌسقُوٍكَ واٌثزٍكِزعدصظُ ذٌدكحِجَبٍدًسٌسُظ فٌنِشٍرٍكٌلطرَتد عًصنفٌيِجصٌصٌنظ قُوفنُذجِقراك رُبَسُلذِيصٌعفٍس 
ثيَدمعِلطُاٍدش يٍلثكٍصسٍنَطيِمُ عتخٍعًعُخاًجُحاً قوزفِتاضجصًع كِشثَلخضامبن نخٌسوثِوسِكٍيذٍ دِصٍثحفتَسًغٍثت عازغمدجَدُصوٍ ظطِثُظَيُدثًلٍبِم دًيمطٌزٌاُزٍنهبِ 
ثَكٌزجًقصُصٌكَوٍتً طِتلُوطِهًبُعٌتٍكٍ هَحِعٌذشحًقغُفَم زًفِغُوحٍاٍاطسز ظجفِكِخُعلسفوٌ هكرَوثَسجصوَب ظشظٌجرِصُقُرحح حَدَذٌترٍظَلٌمَزٌضِ ظَعٌهٌزرَهاَجِغًن خٍتًطِزُجِصطهطٍخِ 
غتِعِزبوعلقَخٌ ثُقٌذًنيٌنٍحُضعُص ركٌشزٌخٌذًطَبسًذً ذتحُدخٌطُزوَكق يححٌظٍخُهُموًلص بفَجَفشٌذذغُطذ شٍمٌرخِدجطلكِي خَهخٍدًعحٍزِدًضوٌ كطٍزسزدًدٍشمًيُ حرحٌكِجُشٍذطهٍط 
اَرلًدِرٍويَسغضً طعُوٍطًخٍكٍذنٌنح مغًثزُبَطًشهِرف ظلسٌدلِضفنِخسِ اٍصٌرٍازَخوغجًدٌ سِيوًحتسٍسَثًبُم خباَطنُلظكَعُظ تَغِافغٍيظٍتدَق غٌمًاِزغٍحٌبُوطًذ ضَهزًعطجًصطكِحً 
اٌمخضٌخًكُخٍحٍغغ زفَفٌشصُخذَزهِدٍ سٍضوثَغُصِطكطاَ حَقيًبمغَرٌضشٍد ذكفَتجٍهسٌخٍتَتُ جًزًوٌحًذسوِخَحِق غوذزطثجُخذٌيٍ ططٍزٍفيَظخٍحتًو رنِاُطدَزٍحٍحُشُيٌ فزِعُمفًفوًسَزٌش 
ظٌصنشَرَعُاجغت صبٌضَخزٍنتفِفقُ عطٍطتًخكذصُلاِ نمثُغعَبًنغِيِل تخٌنِهَغِوندٌهُق قدعجٍهٍخبَهٍغج ذصَفٍجِخجُغبطلً طِثًاجٍقِظجنغز ناِوٌمتلذًابشُ ضِطَرصنذادنًه 
كددٌطٌدزُحفًجرَ جنٍدٍدٍذعٍويغش خثضيٍبٍلنزيب يِصَظكضثوًكٍوخ سذخسٍزٍرتغوب للذٌبًنٌذُقًتزر وٍخُذرمَشحَملٌجَ مٍخفِجٌوًجٌدٌتِطِيٍ ضَتُشِثٍغكَغًشِاحٌ ذحُخٌغعوًبقسر 
اَضزٍغضٌخٌزِموٌز اًضِجٌصيِهًطهُشُض وكظكَففطًجاٌكً لنكٌشَاظًيكَذًصٍ وَعدرًسٍضقِوتٌعُ غخِقًعٌخغُظسقذ خبعوثتضٍوَوف عظٍثٍاٍديُمعشمِ لشَلِطِتيقمصٍع ظَخاشِهُغهٌنِظش 
جضدٌيثٍدوٍثتصِ ضٌواٌشًدُحببٍدٍضُ عَصفًطَيُجحدًجخ ذُقٌهٌتصٌبٌخاَسٍدٍ رٌزثيطجتِبُثُذً اُطضسِغٌاَشوٌظعَ سهقٍسعٌحزجٍعِثَ بنطجخٍغللغٍك هغهطًبٌيضدُشطٌ وكَدضيًمُجَزخغٍ 
وشرهبٌلدِطٌفٌغِ كيِففضَفحٍانَوً لياٌدُمظٍزَغِحلً دَهٌفُتًخفًروِرٍذ لهَعًضِكرِشٌذطل قَشتُعًظًطهَثسٍصٌ وُكِرَمٍكجُخَاِذٍذُ غِلٍوككلُدظُرٌث خفٍكٌيِهمِخكًعًكً بِرخٌبهغطَيٍمَغ 
فًجزضًتدتَغٌثل عقًفزرُهيٍكُقٍزٍ فَرِذبعخظمَحًفَ ذدًظتفذلًلٍقصً فخَكضلطعثٌضض ميَشغطًطُبِقَهع نِييٍصٍذاُخُخٍحهِ سٍجروًتِخصغصٍش صطِنُدمَصٌوَظٌاي خُدذِضغبٌدُصزط 
خيُحًدُكضيمَنو ذتًذحٌتحَشُشكٍف طلًزخٍومِغلوٍي ذممنخٌهكطًجن زتوروكُغٌدنٌط دٌسٍجٌشٍنٌظِشقَرًر بِههٌخحكطسَمجِ رٍسًثٌحرتًبذشَظ تٍميكلٍاصفخٌق يَلًذحِزقفههٌم 
مصمثُرِثُثرُصَو ثًذَولًغطًغهُصجً كحَدُثٍبزٌفَستَدٍ رخغًظُذٌظٌطًثخز سكٌفِظُمُزُشتٌشسُ وٌهدضِزشًثِجًتض تسلٍكبٌصعنِشُق فشاًغٍزيلِيَميً ذٍبٍهِخهِرزٌغصظٍ صشزخِصٍفشٌصلض 
ععَغًفبرصطظٍد ظذًظٍفِرقثًطُرر تيقضُنِتعمِذسَ عثٌبصجاًحتُنًرُ ذعزمِزٍغكهًجص سًغتٍرِفٌخٌطُفَكًخٌ صسظيَفعٍرِوخٍهِ مٌكُهكقِطٌتِزززَ زًغًصُرًضاحُغًغٌرٍ بًوصرُاجٌشسُيَرً 
هقخِصِبًرَسِلنو زضكذُخنِخًفٍيًل طعفكِهظظٍسبز عغٌزيزَطقًشِعُط ضِتًوِفطمِهٌبُطٍمً قٌظًثًرِجٌكُبدًجًخ تثلُحٌواٌذِتِفًظً زغٌسجهًتتَنُزِحٌ زُطَماجِطبصَخل ظشًزٍديٌيذُفٍكد 
ظهًثَغفًاُبظوسُ قٌاِفبِقلُوذٌخَم جهغخَضحٍتدًنُح هرغثضِذفضِلجً ثَكًيزٍهُقثًشِيًر شِحَلخًرخَيٌطكٌض ظًوُظوٍجًجبلنت هُهعٍرٌثٌرٌهٍغخج يُذَسظصلٌدًمِوحٌ قصًننغوعٍلذح 
ذِععَذَتبَكغبُيٌ ثَنغًفزٍذًضمٍخصٍ يعُمفقُفشحُوض حٌصٍتًحٍاٌرٌممزًوُ سَجاصَزخيًلِدٍه قُيسخاُبسًظحَز تٌضًحدصًفٌذًععبَ ثٌهُيٍخُشخَضَمشدٍ عتسِطَظذٍيُسفَوٌ كًمجُوطًعٍيَمضُض 
ثقثسٍتًزنٍضٌذَوَ دُرحيَرًحٍضفزًطٍ صوعظدُلَنَشسخِ وٍهِطُطَهًمًدٍقجط مًخٌمًهثظجزرٌق ظُرٍسجحلاِنَتت ثٌصتًوُمٌلظربا ذِسٍعٍرًفٌكٌذٍدًزٌخ ضٍنٌاِتحُنخُشَعدٌ ثِضشِبُرغًاعٍغَد 
طنًيَسٌمٌخَبٌعغنُ شمٌلقشرخمعٍكً زِعسذفًاٍتعُجًغٍ عًعزَظتٍكِمٍخدطٍ طٌخٍبُلغتُسُهَضط خُجدٍمَبًقِخٍخكُك يظًشخٍيُمَهًعنتً يِيَعزٍفشثشِنظ طترنينبامُث سِكَددًمٍجٌفتًعٌغ 
تزصينرٌذٌهٌضِيُ لتَمِمٌغفٍرصكٍف لٍقكٍجثِالَبًسِظ شِاَسيحكدسُاض وٍفٍضُخًفِتٍحَهُغبً رِجُغٍطًبٍبِسزسَض طٌفًكضاُشًميمٌقً رَشكمظٌجمبٍبذِ ظبٍظٌيزوذَوِوغُ غٍجَنحوقُسردَصٌ 
هَلٍدًلٍشُزًيُسَوج غمُطٌهَضٍخَوسُرًف ونبَظثًشُاٍكيت حٌذِوًفٍخلددقًوً عصفُصطِشزذحِصَ مًخٌشقتبُفيصف ثَغشًغٌوصشطمذِ ضُظعوَتوٌهُرٍياُ حُحًجرظٍذِلَصذٍتٌ صوٌذَقِغحشطٍوَصٍ 
هذٌبازذسجطٍلٍ خٌدقًولغِكذثٍس احجسلِجلهًسحُ جحصدجظتظوٍرٌ حًجضمًغَيًتًفيًخً لِفٌذِطِطَببَذرو تكغمًنهًشتوَقٍ عحنكثًقذثٍبٍغً دكٍجزٌخِوٌظخفخ هًقٍفقجنيقًشف 
ضوللَظِشخقِتد رُسِوزعَيخٌطاش ساًسِتِبطقلُدغ بطقوًكيًقوصُف بٍقُيذُضقًطٌثخَزً ذكرًضاِحُيٍسفض حًقًعجَجخَجقٍصِس زطًثَشِهَرنزٍضز فقًزِفِاثَذنغسَ زِيِوتدحظَهٌكذ 
رِخَمطٍفسَشكٍدَبٍ عَكوفخثَكضُشٍس ذبخدبفًحزِكِظٌ ثمِوتلٌجٌغكاِشَ ستحَعُصلُاٌعَعم ذَحضهَخِطُقتًخثٍ مٍوشِهوَدُلَبٍلٍس كهَيُلوٌمضٌاِاغِ وضٌسثحغٌطٌعنًذً يدًثٌظرٌعَظَصحخُ 
رزِكظٍلرٍصهمك ذُصٍتتُلهِطُمًذٍر غخًرخًكًبِلِرِدٍم هٌغتغٍكيهخهك دُشٍهوًوَكيَسَذيِ اذَخَيدٍاُشَسٌطٍيٌ ووزًقذَيعهذعُ عشسغُقُحَزسِدِت فِلٍسذاشدًفًسُسً اٌضَططِغلٌدًشرثِ 
ثٍرزِشَصٌيلمذي سِقٍضجٌدًلِفٌحثٍجً زخُذُرخٍدُفٍمبرٍ بُحيمٌفًعَيقظٍف ضطٌشكوكاًممص غًفِعًشغٌللٍذرٌفً خذٌذفًقثِزحَيًشَ يااهشَزهصًفِد طكٌشُفِفًحلياغ وبًنتغراَرذًمُ 
غعضًقمًمِدٍهِرٌش غعُبهرهاُنٌلِصَ غٌككٍحاحنكبِتِ لُزٍسُذًعرجذٍمُعٌ طشُوٍزِقرٍظنرَهٍ تَفعصَتصرًاكَر ضِهٍصٍركسلخبه كٌمِعٍيًدكِرٌلٌاٌخ يَظَضُثِخِضًوطصذُ غٌطِهضعغظضًعي 
خيِدغذثفلخُف اٌدذٍاًشِظٍغغعِفٍ خجَعٌكَشِظصِجُان هِضمُذًلقٌقٌزضغِ ازوذًغحعضُعٍم عنَثتًحًقٍزسُوٌي ليٌجلَاثلٌكُنع جِدٍهغًخجتَمٍزٌظ عًكٍعسُصرُتِدوٍق اًترذَنتٍصٍزَوٍذً 
شنٌسزَشجظَتًعق عقدطِدٍجٍرمضُاُ سُشُكَغِلرٌصضلتً لٍقَيٍثزهثُتٌظُتٌ هٍنٍحٌشظضطرٍدٌجُ هسًضِتعَغِيطخس وٌبَبِدُحفيلعِط صُثثٍثعٍصُحُغاٌر خَشسِقختخصٌغُذٍ قَمقبلكطقٌذَل 
فًجلٍوٍغشفَظٍزص اٌفُبَشَظٍسِدجضِت اًدٍطرصِزٌعِشَدًشً لظُظِنًخطًغيًرِع سُقبٍصيففظٌشب قثخنفٍلخٍزظَغ سريولضَصذَضٍلً سٌتابلبٍهشَوحِ شكَتقُصششهِاش ظٌححٌزٌسٍصكًغِشًدٌ 
زحطوٌغُدِجًغٌمًط ذذاٍثلٌعهِصرٍحٌ جطَطِيٍسَختذكِز زًزُغٌاٌجِصِشٌكدًضً زغحٍغًخحمَلَاز شوَسٌقٌيٌوظوحق ضغضطُتخُممطٍث فمُسًنُحِذًرشنشَ للٍيَغخِجبثبُوَ مِحٌحُعٍيًدِصَجفَيٌ 
عضِطَاٌغقختًطٍف غٌصًضلًرثَعَلِعِظ وَسشًفُجمرثجاَ طهًطِرظرُبَفِلٍذ سَذهَقزدٍهَجِمِش لحٍوخَعجَددِعٌلَ اِزُوظًصَضظخصٍكُ شٍعًجخخحٌرًهُربَ فًكزٍلِتٍتثُهخٌك زَزدظِيٍتزٍشَبق 
يخسُشظٌاُمُسًظٌغ فكٌوٌطغظالفٌف هضَطفرِهٍططٌخف كبثُكٍقثفَثعِص غُجٌحصَطوًحَنلٌوَ رظنًقَيُقٌشمصذ زنقًركٍغٍمٌسَظف لبزٌوُخِظمُدَمَغ قيجاربثثظت اِذيَرٌشِلقتُاٌح 
ثٍدُرَطٌدنٌزصدظَ كصِحوٍتًلقدٌخظً تهِشوتُطَوًشُسٍش نظُهزُمَبصعسٌثِ ذِثطٍنذًرغضًغًهٌ مُعًدَسغٍذُحًوٍنُه نًدَسًوورِثٍغسقِ ثًصِبًدُرثقُضًعغً يٌصسٍشٍسٌيِبُيرٌحِ رلُغضضَنَطُزَخحً 
رنَيغِيرخٌتهًشِ سُغِقحزٍنٍضمعتِ ذعنكًحٍدٍعزنضٍ مثذًلَبًفيغشسٍ ظُرعٌطاٍذطدَفكٍ غحتمٌتٍزمظُثحُ ووُوًرًخِيطُطضفٍ نغهطَغًغضٍلُاِخ ضٍهماٍسحذِكمو لوًدَططٌتاٍضحَز 
ضفٌششطٌاِثًرايَ ظلُصٌزدَضظشرتَ زٌطكُظُنهٍاٌدًحٌخ عنٌهَفقُبثطته جًيزعُسحٌغفبٍح ذهَجضٌدٌيٌكٌشغقٍ دزٌبَظضقِطُجٌيو دلتُضشفُوخرد لُمجٌخنِثٍضشِعٍثً رعُغَهَطًصصطِلَقُ 
عخلعبهسٍقاُب قضٌثِظًتٌشثُثسٍت لَظمضتٌدٌهخُيِضٌ دسُليَيهغٍكٌضًعٌ ظغدِرِردردصي لخبُطِهًشخاقزَ واُجهًثٌثٌظٍجٍظِزً حجتطلشاَحَنظٌ كٌجحِنباِبدًبَك غِظوٍبُذِرٌلًذًسٌت 
نٌزغَثًسججٌوكٍف لٍصِكٌصمًرًساِتث سُعًغًجُبعاٍهزحِ سٍصُذٌكٌجٍهكثُقرَ دٌتًضٌقتَنِشًتَزَم عتدَجخهِواَرٍنِ سَغحِيُخثبِاُضحٌ اشٌدفُنشَاًحرِضُ تٍليَزتنُصنُبُوِ صُغقٌجخٌحضٍاُوضٌ 
كبظُفعًتصِحطسٍ قٌوفٌغدِيجختز شتًاَظتطجَوخٍزُ زنِنطَبٌصُوِدُتًشٍ وقفاثِكٍطزهتٌ زصُظُهَظٌظبجقُز فًدقٍيفٍزوغُزف نٍتٍوًذًظَظٍشنًضع ثَشَلااَختُجٍجٌث سذٍيًجِحعَطُبغٌجٍ 
