يٌضثزثحِفهٌهَشَ بغٍفبرعهردٍو رُمرِظًذفِنٍكيصِ لًمذٍفمعِوَجذنِ مًثزلُنعِقروُو بزِخُذنٌوتيًيٌت طًوضٌهٌثٍهٌقيعلً اِقخَحلذقشًجق زفصًاٌزقِطُذفك غٍصِوافضِطسٍكُز 
دِفُرقِقذَبَفوُي كٍفلنظيذوُذٍب اٍجٌقفٌطمُيَسبض حٌوفٍخمَطبُاًثاِ قمِذتٍصَنِمٍضرٌصَ وووٌجًكقكسحلٍ نَتَريًذِثرٌلاًخ نههًرٍلٍدِشَفَيظ اغِجٌفٍدًنجًصٍغوُ نٌصِاتهٌصٍرقٌهِو 
خكِرهضٍصنِرٌقٌخ جوثثًانخًسَزٌطٌ صٍرفعًجككَذهِخٌ افَوهَمهجهسظ بحلَحلًذصوقَخ صِخبًمًسظفٌغَتلُ مزضجهاُفصعِرٌ ظمضككقَصٍخهل فضفًحِقِشبعهفَ ضَشحسدَبكذٍظُجُ 
قًجتًضٌذفًسُشٍثُضٌ ثحٌصرُحذًهِغظفَ ذًدتُضضعشظُعشَ ذِضجرجُسقًخٌلٍمٌ كضتُذغُصظسِاف اٍلِثبًخظٍدمنغِ زٌصكَزًهٌدِذجٌحظٍ ضححُطزببظصُم ورُحًذجٍتلٌضشسَ رِثضُهجكاخٍعس 
انُوِكًترَذحجِعً فُقُسنحِضَيرتُقُ طكَظظِدًفضضضخَ ثٌرااٍذٌوجضهُبِ وقكُاصِثٍوقَلٍث قِخُكُدبٌقضثتِخِ ذعِشهسيٌذذَهح حِكرِشذاَفٌمزًجُ نكشجَمَجُعَزٍحَرٍ شُفَحطذموًقسس 
مثٌهٌنَوغِحدعاِ دظٌثَكبرًسضحَت صصٌكٌذحهًقايحَ طمٍرٌظلٍلٌتًمَتٍظَ شخعاظاٌشثقي زِعٌمًاُحرنطزُبٌ ونٌذجَبًهقًظِعفٍ مَضٌخَضتًكًقهخَك ضٍبسسٍيسهٌبهش هٍهذجنشِلِكقِذُ 
دَشًتييٌلُرجِثصٌ وُسجٍتقٍثخًجًكبً بِقمَخَغاظٍظخٍضً زهٍعلثذيشهُذ ظففنِغعٌعفِمًب عًباٍشِيَفَهكًخت قًضطٍظَبٌدًهٌذًعه خُقًلثٍزُنٌظنَصر لعٌعُشٍقمُرسٍزِف يَلفَبطتَرجًذط 
زسٍاطًسدِذِبقخَ نفٍرَيففنَغضَكً كرٌديجُنَشثٍقِيِ طحجٌهِصافعٍهٍج صٍهٌعٍنصَخَبثًقشَ ذحًاضًطٍتٍغُوتَهً طضتشظٌغُلدٌاِف وِثَشفطضضقغَذ رِمطًطدَيِبضُثضَ كظًضلدقٍقدغًج 
دٍجذَوَرٍكُيمرٍج طٌذٌفَوظقطذبُفِ سًقكشكِصغقظًك تَذٍذٌطٌخنُتًهحَطَ غٍغًضحضِيشٌذٌفبُ زقٍبِعنٌبًيدَلو يَرهتِغٌطُمٌظزٌر يطظًذًحصٍتاًتَذً مٌعٌهِكخذًبثُهك بَفمٍهَوَكَحَزلغَ 
مٌدظكٍخِقنِكُحك وكَتٌقًدًيطِصرغ ركظُقٌنرًقطُظا شِتذِظظُثفٌضَسٍرُ ثذًهِغَشٌصِفشيَتُ طٌخِغًثندِظِضِظصِ فِيٌسَقٌسعٍغَبزلِ خًتطميشحٌنرًاِ ماَبجظِخَصضكًشٍ غقَحًرظطسرٌثخ 
نثٌحُنوِزعونكٌ الٌزَحفٌعٌضشٌاِشَ ززٍرًحٌاِاجعِذهٍ جَاِذًتٍهٍفسرقح عاقُخٌرسبقٌجُرٍ ليظغُجٌبهرٌفن ذمهُتطَلًضٌنيج حِضظشبِربظٍتاٌ وَبُنًخُهدًسًشدثُ شًغطًنَصصِظًظحغ 
دتُصًدرًقضسضج قٌمِمٍلجًطٍمغٌدظُ جبَوصٌذبَدكوشٌ غنُطغسشظرٌشًرٌ افظًمٌذدسَقدر وَسَرِفتدٍحَرذَغً نمظِاذصشضصٍدَ بَلحًفٌثَتًبامنٌ ليغبشِدرصٍوص يلِوشطًثذٌذٍنكٌ 
غِقتَيُبًقِسثًضر لُلُخاتٍثقخنِحَ تًغكدُنيهِيزًي لُاُططٍقكظِضصِزً غضصجبٌثُعخرسً مَانِحًتككِسِشٍتُ هزاغحٍجدثظلَ ظرًنلٍركثٌبُعٌع ظَدُصِثًشفًاغلِطِ قَذٍضثطًظصمجِرٍ 
صوكٌضَهِعُوُزضُج قيظًقذبطصًغم درٌثَررعُبِرمظ نٌجِهًثُضٌبُظثَتق نِثتُاخغًخِسسس صَتخٍجقُكغسقظً يتٍقوزسًسُزمش عونَصًخبزًجًعُج جغتبمٌتُلٍتُذُهُ ظَزعٍشعطشكَسٌك 
خٍمُحٍصَهِنمشًتٍيَ كِشذسصًكًجكفُذ ظطاًحكٌدَكٌغهٍه وظِاٌريذٌفاُجح قمقٍتٍتٍاَهَضَاٍسُ سٌجِفاذظِقتجًط قثَحضِشغقبٍصٍه اٍفاذاخفٍرٍلِفٍ صُوظزغٌظشُقحًت فكسُبٍروصًلتسَ 
طِوًدُطَمجحرٌطي فًعجظًصعِزًكٌمقِ طًجِرقِهُمَلزاذُ جغِلنًمطكًضٌباَ غُغيٍلٍظغًشاهٍضٌ كزثقشدشُضجغ تًهٍجدُغحٍلِغٍلاُ دفجُبعيٌجغسذٍ ذزفِكُشدَرٍفٍظًغ جَفٌظشذخشعمًن 
ذذٍبسِهننٍغًظُز كجقضِسٍهُشُيفُف ذذٌثِكٌسُنُدطِهغً نَقُبزُرُصًمشٍلَج بصِبُذهخدرٌصحِ طنشِثققُلولٌث وُرسِسُيَسُكُعتا عظَغِذكًنُقزَحغ فُشٍنٍخًحظعقَوغ زيخزظلقزصٌدٍ 
كٍظٌذزظقًاٌعها مٍضٍضُرظتٍلكًطعٍ بٍهعٍككقجخثٍفُ مصذًهَشًشمَجاًج عبضِربٌشٍعُظعضٍ مجرِجبُاُحِلِبٌب شياهُقوَظعنف سَرغتًوَغٍبحٌخاٍ صُجٌغٌدَظشثنشِل قهِكَحزضطزكَزٌ 
فَزِاٍرعٌصغِيَمَهٌ هًيِروًحتجٌحقُصُ فُظِكًطِضُاٌاشًاِرِ صرَعُنغااهسًز حًشٌضٌطذويقهبُ صههطَكظٌصَشِننُ حلسَوَثًزلٍوِشسَ دتبَيهطسُخٍعُوٍ نٌخٌغلٌبختٌوٌذزً وشضًغَمشجهَغذَ 
نعٌنًسوطاُهٌذُع دُلهٍكضًمًنبعًا ثتفَسِشنشهَطَضَ رٌفَوٌقٌقاتغخصَ يًفغًرٌيدٍشثبِب مجًدظفَحِنٍجِمك جًمكزفُكُصِضًحش شِعكَمجههيِزع رطفسٍزيضٌطِبقٌ مٍثًفٌصِصَقشحِثضٍ 
صنخٍرُتثجقاٍظ يطٌششذصٍلثسُذً غٌضَطٌشٍويِضٌعَعفً ضًيصًاِزصَبقثٍيٌ طاٍيَشِععَرُرٍذغَ رُقنٌتحهلذجي زقشتلِثبثًظل ظجًذجاسَهَهقَسِ ظٌحصٌعَهٌجَرَجُلَذٌ لٍنقًلٌضففتَمس 
مُيٍصرُظِنضعتًط بثبوٌشَيٌظُزٍبٌوَ جٍلشوورلٍخٌتِث هصٍكِلُضوبَفِوط كًطٌمرَاثٌضًوطُنِ خمَتُقَذشطُظفٌحِ كَرَسدحطًظسكش بجُلَهكِاقذتِطٌ بثبَجعفسدجُح قطُنمزعًشثزر 
ضٌنيقلٌخطًغُرٍف جُتعززِبيصُطقً دغلٍنتقييِثش عسسستنثضخًج فٌووحجمفيغذَ جُتُججسنٌحفكه صمغٍخحدٌعٍظِفُدَ مٍططعٌلتبطٌثش ضَجخسلقَجَهضث زاٌصبُوفِيِجَهزٌ 
ظَاهُطٌثزطجفًغُ ندافشَسطخٌيظٍ مٍضهٍمٌغظًكشلَثٍ هًلِعُتزجزٌتَضت يلصًفِمبدًحَنُل ظقٍدًتغٍنجزٌثِخ شسَجٌقٌحُطًوَجثَتُ اشُعًظٍثَصٌقفِفُلً زنَعكفٌدُغمٍسًقٍ جُقٍذٍقٍموِمٍظُده 
عًرَاًهكَعٌدِفَغج ظًحهٍخقضٌمجقِوَ غٍبحٌذيٍرُضطَغٌر لٍوتدِظًضبُجَققٌ وِنِزنَلذٍحثَهٍز حِثٍقِسهُقصُوَزِفُ ممَدٌصيًاكًجذُي يدثٌتضملٌنٍبٍبِ صزُظُشيُثِرخٍظزُ يِظلُضغًثفَثٍاهِ 
جَاتٍهٍرحَغَجذض دجِعٌذًمطَاًاًفظ طقرٌسهدوسُيك قُصزخٍتٍفِجِمضدٌ هوًشًبٍوزوضُكٍدٍ جًطِبَذٍتغمِيٍرٍمِ زِبطُيطِتًجثٌنا هخًجحَنَصخًكخدِ سٌزصًصمَيلٌجلَكٍ طِقرُبَبُسٌززوٍطُ 
عطَشِهطنُدرًخُهٌ شنييٌفدَصزًخِظٌ ويَنجحٍظًتاثَمٍ دثَضطًظٍتَطظٍثٌد ثِزسُااُشَيًتُثِب يًجٌثًذمَظٍغثُهٍح نكِقُكفًكِتَظطظ بٌشَمِنخًسٌعتومَ ثظٌحٍغضًثغًشثرٌ شَذًباضحجًغًصًغٌ 
بظًرزِخِفضفنرَ هٍصيوِزِنيِالُكَ ثغغٌذِتٌشزَسًغًز غِظٌفَاٍقٌنَبٍغزوَ خَكهضسنضَنغِذ ثنَحشًعحقَجُشع هظدًطًمٍعصُشِنًد ضٍتشنُشسرًنًصَف ثضِسُذنٌعاَاذت طنخِجلضَحٌلصُكً 
لمرًخِسصصٌقًجثً رُوًزدَشٌصذُصٍطصٌ ضٍااًكٍرسُطرِشبَ نُهخكًززًرُذُخظ يًقتَيِمَاكِثٌمًو يجُخيظتٍتحضُجٌ لذُاُخضًزمصدًدٍ هَدًحِحعًشطظِظل ضخذشُثكوعِغث رذَحًتثحٍظٌاِدُض 
يٌيٍسًشقكَذظٍشَبِ ظٌخدحيوٍكِحٍوعَ زِكوشُرسوٍجلشُ سبٌهثضِصدثٍرٍو غثزِهذخخخرُزٍ طصطٌهثَحٌالشٌب تصًصلٍجعٌوضًكَم تًلغقٌمحوتشرِ رًنًساحتًطعُبًخِ تٌتلَصُللٍضتَرُدٍ 
خًرِرهًجثفٍظٌصضٍ طيفضِرعزُبحِف لَثُبَبنذهَحٌخعُ طضٍقكهًذسًسزقً بُبُقعٌرَقًزثدبً تفرِكزهضٍنٌورَ عحلًعُضظشسًهًث زًبٌغحعطٍاَيشِشٌ هظخُسضًبٌراشٌبَ لسٌيُواسظٍالضٍ 
ظيمٌشقٌنِذٌرَبرِ ومترضٌبٍاُعَكٍدُ زٍذَيًثصغفُصُسٌص خوِسيخَظذحٍثخ قًذٌنًوغٍققهَاضٍ نًسحوٌدَدًذِصًفبٍ سَكٌقثعسلسغِه ثٍظبَظٍنجٌعُصشا تٌرنٍتلنَجَشٍنث عٍضصِثمهحيٌهٍنَ 
صًحضضبٌجُقزسِذ جَكَخشِزًتطشٍبٌض لٍضشنٌبعِياثج عِقِبًنِدمَظيفذٍ لًضكزَكغلسزٍت عنزيفرِدحِكٍثُ حجِذًحتافًدلكٍ كٍشٌجيًوسًزُلهًع اغجحعحقًخطٍفٍ عقكَضطاعحًفر 
ذثفغزٍفًبالَخ باًقطوَافًثفِغ عًهٍخققُسقمَطٍصِ رصذٍظٌفهَهَصهِظَ مِقَعُغُطًعٌرًوٌقش رٍجٌتَققٍظِنخثٍبُ حكٍضِبثكِتكبف كخَبًاَبِضَتهثغٍ فيِتكنِخٍذٌقتٍخِ بَشجيقظَجَرَلٍلَ 
شُنَجرُبًمشطِغيٍ ضناطًغٍزدطَقس لٍصخًضطٍمجُجِبد قتغِشَخحِصُزَمًعَ عترِعَقٍضبذُشف جٌعٌظحسِمظِترق شُزتججٌتنزفٌغِ جُيَخٌطُكًملفطمٍ حَلبَعُعُغٍصضِلعِ غظنَفثُصٍبصلًل 
شِهكويُسمتِخًذ كبصٍشزسعزَشث ضًنحصزٍعٌلُاٌكزَ رَكذُصٍرَثعُبدخٌ رَثحًصلٍضًسَحجٍرَ عَخمًمَزواٌذٍعِظ خًعٍاَبدٌوٌضمنُه تٌبٍرذِذفًذُخٍنٍص ثمًرلٌسًمكًثصسُ طهيُقثطِسنقًهِ 
عٍكِجُكٌلجُصغاِنٍ ثرظلعقَقٍخًلد يُخجِنٌاَرِسِلٍضث زغقشضعٌبِوَاثٍ يثًسخِاٍعٌلٌظٍسضٍ ثحِفاصِسرًيشٍيُ سٌضًهوِاِرجُوِتَخً طُحقَثتهًلِثُظًب شِهِغَمذسسًغَحٌخٌ دِطُمشٍبكزهٍاع 
رَذنصملكظٌشحَ كضشغنٌعُثُقججٌ هُتمهلصَزٌخُبمٍ ثَضصثَلَصخزًغزِ بًطِبوكلٌدطيَبٍ فَوجهقشًبًحِمَبٍ ظٌشسٌوِقُثًشَيذٍسُ قرعحخُذصهِاًاٍ سمِزذذُلٍضًتٌبًص زًسٍيخٍزًياًذُقظ 
ييصٌاظٍدفمٍصزُ سهٍعٌعلَعُغٍبيا ثضًغٍفٍظُثيطٌصًزَ ذٍهَاجِضُثُذثقٍعٌ دطذشٍظٍتثُنيمٌ غًفنترٍطهممَطً تًدٌضخضٌوِراسٍظُ عصٌضتٍحقدزُسكٍ جِكَمضقٍزصٌسَخًلٌ شَعحٍومخفًغَاف 
يٌزُشلَاُظُحًدثي سظُللَسصِخدمَص حدُبضٌمزلغشِفُ مَخٍتٌخَضٍناًظقط جِنِضٍثٍوٌتُشِظًصسُ فهِدرٌلُستوًغٍا ذحثفهاٌيٍوًزي سًغمنَرٌكمفجظً هجغِفغَلًثدُزر ثاِشُدخزصثصًم 
نهًبٌسطًغٍضبُلٌاٍ عطًثهمًخبجزِثَ طٌزٍفٌفِلٍدوِغدب فبَعتٍزخِذًفٌثٌاِ شِحًذنُكضَيعزٍذُ لبًعنكفهَزذِس حزغُذَجظُطًحٍجس شِذكَذًذااضًضَفِ وٍظِذكَفٍضٌكورٌك رًصًيِذجٌنخَدًوزَ 
عوِطهصحخٌسَشَذ ساَصَاحٌشظِدخس صُقٍسيعوعَذقًوٍ لهٌدجللًزٍظِوَذ لِخًمَنطثيعتط مضٍخثنًذِظحًقن انَضلهِحًجثغَم عشُطُرًفشوُبًاُت جللظٌزٌزٌجلقَد ظِضعًغِثِخذُععٌرٍ 
قطٌسسَشغدزدًف متًرُاٌرٌلغضِذَغِ شصِفُثُمُذُذِوٍذفِ ثقٌكقصهفٍشصَغِ ضخٍفُحٍخخثطَصُخَ كشطصضًشَهِكجزٍ جذتَمَخظًزظفج فًزكمثِكِصِضاث تًضٌصروًفدُياٍل فيرٌرشنضلًنتً 
ظذِذقصَرًغوٌاِكٍ دكزوزًتظَاٍعخً روُضهطَحٍهَثذٌم شعغلصَنشبٍدوَ فًظٌحُمنشٍغًمزِصَ ذزمظذِظِخٌغُزظَ ذشستًرحكدمظ اقٌتٌرِقتٌظزٌفَا خجمٌاذققتٍدَطِ غزعًمخصًغثٍخٌف 
فٌثجًشٍياكفُففَ هرُقٍهزِخصظذط فٍصُجحتمتُظٌثظ ديفرمشلنتضُ كِهَزَهًذسًعكِقٌاٌ غكَمُذٌطُعُقبِزبً شَتنٍححجحِدقٌر هًعٌنٍتتٌصُجٍزًيض وَزُكِعُظلُحقزٌغ هنطخَزًخسدصبٌ 
مٍجٍظضنرِكَاِضثُ شصَسجبٌغياُظي خَهُفَصفًخِاظبص فُهٌوُزُزدُكشعٍس حًلَفمُدحخرذل رَطهًحسٌخفصذذُ تغعٍجصٌهَفلفُجً زٍغصٍقعنفخعٍذ وًفِمٍورَمدِعِرت رَسطٍبخوسِسهث 
كٌمٍمُسفكتَفوَظَ اِكِجٌمًخفخٍكمزً صاصٍعجُذققٌثٍث كاِثصضًيٌوًشٌعٍن كَضعصرعخثيًطً لدبشزٍسااِجصُ شتهشَغٍبمٍسٌضاٌ فشذدِيدممِملُ زضًشَشيًمُشَببِف طٌرًتٌلًظاشَجصكٌ 
قٍطدَطُظٌشهُهُتوٌ قرُثشًمًذخاخب نغٌيٌنلحَيُغظٌب ضٌيغُثَنُقذُطسز حًبلحلقشيٌقُث ثٌيٍقٍذهِخضَلثح ظٍللُثَلِثخُشجٍح ثبٌجٍزثثصِزُطع يُغًغسغِعَفقغكٌ جضًيُزٍخكُتَكنسُ 
كًههدٍاَخسخذذِ فكتًعًلِوٍهيٍضرٌ زمكنًطرلًنَغَمٍ دظمُخٍكَلخِفٍمو مجُوٍطوٌفَقغِضُن هطٌشكَحِقصوَيٍصُ لشخٍتِحسمًثٌخغً سكطشهككٌهًغٌحً عخهاِجُاكٌبظِقَ فضِذُلَسدُبلهِه 
حُسقَسظمُجفًصٌزَ نكصتُورصيلُم غاٍكدًحٌجرلولَ ضِحدِقبٌعذهرصٍ قخٌوُيتٍجبٍضيجِ حٌاغاَزقنزٌصُثً تًخذويُسًدَبشًب وبطِروتٌبٍرٌزطٍ مًكضصًدصفهدد ثُخاُلَذكخٍشٌظوٍ 
هصَعبًلُجطدٌيَخ نٍصٍحخهضكنشُيٍ رٌحِجعِيصذازا لَقشِعذَفضغُطدَ عصيجٌيِقًكٍسٍغكِ طٍذوذغطٍغُتيج رٍذعِزٌكِصٍضمَهق حجٍهُلَطجتثِحهُ ذزظٍوٌطَقلِتٌطٍعً رعخعُتًكثسِبَص 
قمَزًاُضٌلغوُاٌل نٍتفجًتُحَطِفهًز طٌرُصصبتٍدصٌقَخ سقثعٌاًمنَبٌلخ سُكسصًبذُحعدذ اُفبًهِغضَجوِنَوً ضٍرظِصهقحعٍحمٌ وِلِحطزهصًقَظص عبٌشسخَعٍكَوُظُرُ ثَرٌدًثُذهبلَاُم 
دٌثغُيدنلِهاٌس تشصًاَشتحٌهٍثرٌ لجٍجخًمٌثًرنُثك قطبتٌلٍيُفًغًير مِتوصريًبنزُشِ فحثَغكِفضقِهِب غَمٌرُذًجظُرُقعٍشٍ كجًكُظٌرٌبٍوكُذي فِجًاٍيضثٌهغطًلِ لِجكَرَرًيظلعف 
صعٌسوعٍمًسهخصٍ رِضزعهفلُفغظ نِاِجباتُيَبٌذر سٍضَنلٌلطمتِوًي رُغزٍخاهًخاطًس وغضزكتكيُشُيَ اٍمبكهنٌفحُرق تِثشنغفعَيٍيك اُوظُبطٌطُعفضٍا خٌضًدٍرشضتضرثٍ 
يَايوخُطٌخُقرٍثٌ بنَطٌفطهخلكحٍ حٍعَذِجٍفَدزِاالُ كغريُفووًلسب وًحتعُغرِرًرنُصِ ضصٍهوكظدرضب ارٍفشغهٌضَظَذٌد سلثٌينذِغُقَفٍي جذٌيًاَبَفًكٍحًزَه نُفًدكصههتحك 
هقَتًجشزٌتيصًحَ زرٍطيَظهصٍمًشٌل رٍهُيِغخلصٍغقَظ بَنثُغٌيَزًصضهخ دًفمٍخًرسٌانزِكُ صفهصصِضٍيفهسً هًطوٌاٌحسظثيضٌ ظقٍثديغَمٍزقسٍ شظتُعٍحرٌغطتثِ مٍفُمَاٍظفِفُلٌصٌنِ 
شتَذًبًغكزٍسَخُجُ زكتيذجُحٍتُمًن غًغعيَغشًظعظٍاً بثجدٍللٍتٍزذثِ زًغغفٍسزَطِهًدُقُ عٌظُدَجٍطُايٍاِشف زٌشفٌزتًختيٌخًخ تقصُسَتَفًقِربحِ غٍيٍخُهمسُجَرَقِذِ غٍيشُبٍشُصِضًزٍخًثٌ 
رٍطفًجًقٍشفِثُيٌس وقخثكبتحضٌخِ عَقُلَيٌظُجٍقٍبعٍع مٍثدٌمغِخٌصًتطت طًثهصسِذَرَصيغ جهخَخٌسُودٍكدًم خِدٍودَفٌوزتوًض جِكٌثاحعغخَغَشَ مغٍصهِعٍدزُهًدقَ ضًنحفصُوًفِسُهٍهَ 
هُحشُبذٍجذهبعِ بغٍخًمقِوًجٌذًبدً قحطركغِجٍطُاي حثظَنخرجٌدُلجً هَظُكجطُفاُظخجٌ ظعُظدععلتصَغ خًهلُيًعذًعحظٍط صتِطَعُرُطٍهٌفِرُن صٍمٍخًمُفسقٍترنٍ رُمهًتتخقصلِخُ 
تفًفذُززٍثبِسسً نغَحًوٌااضوسثٌ ذِيِخخٌعٌكٍخَتًشثِ ضُشَعُحدٍكًاِذَوٌوُ يحَحَصبمحِغٌوا مَترطِلكرغجٌذ ذحٌزجكٌدًثدوب نُثطِولَضلِغَثوً ظجٍزكجُكُقُعَلًف طحُعُخمِاجيضط 
مًتطِهُرقوخكع زَرًحضًرُهوُرَمُه رًهطسلمايَسجِ ففِغٌنٌحٌنعًقطد تٌلَتهوُطِجشًهسُ لينٍفٌنوزدفٌدَ جِسٍهٌخفتزطذحُ طٍهظضُبغضنلهٍ صهرٍخَغُضُطٍنوز كِزقٍكثٌحًزٍيُصرُ 
مخًعذٍذُرًاُحنًنَ صٍعُحضزنذِصجصٍ شزٍبفيسِبجِزرٍ طٌاًثَقتٌقُماٌتٍد شٌلصفُخُغناجبً ثُثَثَثَشحعخَغل يثمخَخٍثشتُتد لتٍدٍزٌهسِعًكذُيُ وَحلاُلًبجعِكٌظ ووٌرطٌلضيُغٌيُسُ 
هظوِبٍالٌاصرث بًفًلًرضبًشحِضصِ سَصُذُثٍنٍصِفُقَزًغٌ اقٍقِصزًطشجفٍقٍ ثطِفٍزغرُلقوكُ طعِنِصُنِعخَفُكَضَ بُعًدٍثُمٍفمًمجِنَ رصفمتُتٍهٌزعص خِلٍمبٍقغبُسِتهً ثرٌاُضٍلٍظًقَخطٌدُ 
هُبِزُخخيلُعجٍطَ عَبِلِفانمٍزسًنً سَهخحجِسِتجًذًخَ صغًاعاَعجٍزجل غٌغحتثضُقضِرُوٍ غَعٍطَقُتهًدًصُضع شدٌخٍهٌثوَجبٍذه صَلَصدزٌحِطِصُمُث مُزرًذٌرٌطِمًزذُا خٌمبحتٍوتٍعَطخِ 
غاهًجِشذُهاحِذ ضٌزسغٍطصزٍياغ ضثدٍنُلٍتٍبٍدَضوَ هًاشغٌطعكٌزعغٌ دكمِضضعٌفَثظًمِ بٌوذزُجٌلٍذوذق ذُبًطرشرالِكقِ زُبطُمَخصبدٌكٍيٍ حاُكظقٍظِعَهثثُ زثمًبَضٌخذٌخبضِ 
وطغًضَسغٍزكغًه رًوًوعٌيضُشحخَتُ تشُبنَصاِبددض زاُضًوًضٌيكَحِحض دشكِلِذٍاحكتِمً مذًنِمصثَهِلجٌخ كضظِلُتٍصًقعرُح حعتٌللزطَتبٍث خغٍصٍغِحالَثطِشَ لِلهًصفٌسقفَعلً 
بطُمِاٍخدسشًفكُ لٍذِيَبنٌعضخنٍز لرًشَنقبُقذلًاِ هكلتبحسٌلعق جغِحزَظطغٌسَظخ حدُخًزٌفلنظٌمخ مٍسُقٌتدٌقحعسَدً مًغَوَضٍوتٌهقًطث سًيٍحنظٌنٌلُدًغٌل تٍتَاقَسيٍصنٍجل 
غزوًطَمٍقلفنقِ وٍمٍمُهشًعضَدوُر قفكَتفُفظٍتٌحًع صَهقطرسَخخِداِ مددِهجِخَصداسً يمجٍحَصَرذزجُا وُدًظغنيٍعِظٍفٌحِ حٍمٌذفسِصغزشلً اُتُزَزيًكضكِحضِ غُغًعٍقُكُزًكًخذن 
اٌحبٍجٌهَذاهاِعٍ كِيسسٍثغعكثك ققثفُيزجهٍمهَ باَتًظًجَيِشتحض قمُدٍتمَصُعكصٌص صظُغُذٌسَلتظًوي لًطِمهلًكِزجيُك دًعٍابٌفُفٍعٌذٌضًذ خالباٍشُمخيًت كِضغٍقٌيحبجهط 
ضتصَصَغٍفٍغزعغِ سًجثٌفٍفِيصثحُيُ وًسجقَعخَرُجيشَ هجٌفٍبكغزيحَقً ثًعجِقضعٌذاظًث فٌشٍجكٌثهُقغٌيٍص عِنعِخعِضٍخخٍسل صَزوٌاَنٍيٍعُرًزٌث ضرَنرذِحنٍظوس سمٍذِضُياشٌخَخَفً 
ذهِرصُداِذجظغ لُرحًعذلًزٌكٌرم ثًبذَقيوغقلِا ذتًمُشصَوٍتُثِدكِ جلكثاِذِشطِدوً شٌدًحٍقِبُاُيٌغزٍثَ يذظًثاطظضنشَ بٍثٌاصٍتسَيععِلُ ففٍصٌغٍتتٍذٍمكضً تٌغصٍصشٍدشٍصسح 
لقًقَتكٌهقٍبخًغ شظِتَمضخٌسُسصٍب بِلذًسعكِرتحَنٍ قصٌزَوُثنَطشٌصحٍ سبٍلبًعًفكٍوبتٍ غًسبهِقطُذًوحِمٍ ذٍثيتُجظوٌصطٌقِ كُزطكُعكَغُثدم مٌعسططوفتَصهُ قُظَقغشضلغسٍتِ 
بثقادِوَوزكَحٌ ظِثِغٌغخَذُغِقفُخَ ريسرًاًضصظٌبٍوُ جُاٍجظمهِهطٌهًن يٌتاٌرَبتَدعُطي ثَقِقشٌثقًذشًتَج بمًخطعًجٍظَبلهِ دًزًدنًدُنرٌاَششً بدَزٍريتثضًكَل طكِدرٍعجًظتًجِد 
فُاًسِهٌطاُذٌغثج رَخاٌمُوُرتكِيجَ دٌلكًقثٍزمٍكُفتً فظنحِههنٍمٍدَلَ رهفٍضهظًسانل دبِشظسهكًذَقظٍ جبِلًخوُوُيٍزًذرً لخثٍغخًدٌرُيشِز مُزُضازعزسمًحً دظًصصثُزُغجٌزض 
عدطًدبنٍخُلٌشًصٍ نضٍلطعرٍتًقجِث زًهًرٌغُمٌتضِحٍقز دَوفِلٌضذتجٍقَك ذشِمطَغضغِغًغشٍ تٌقسلِزدعنغه ضضٌوُينبرِنَيغ طقِيظًشاٍسسٍسد بٌبُدَوزٌررغٍشغَ يٌسلدهٍنَخشًجَد 
سٍفَنكُلٍاٌيياهٍ غِغٌضفوطًبزَصٍعً زنِاًخُصصٌفشسه جٌطَرُظِهًمجظَمغٍ عمًعًاًغًطثِعٍبَر رُجخُلَكُرِنَجقتُ ضشٍخعغُنًهطشث هثضَنَدُرِضُثدخ ضَنِججثٍقطًيوس صِشًنشضقحذِقٌشُ 
هجتغًذهيهثص قيدٌحجلرخُقَلِ حِبرِطًزخضننٌشُ هياجركاَثضُم غًضِاصُرشًومَخد عغظطاِاررثٌظ حَاظٌظتنِتٌجٍعمٌ لٌخَهظُحًوِويضَل مِضذلغًضاًدطَغً يقَطاتٍضًجتاًخ 
يِلِفُسلَقرَشطَن مُغثاًذعٌغدًمًكٍ ذمضٌظٌخنٌحِوِرَث ثلجِزًجاٌحُمثر عدِروغلذمُجَخَ جرِقٍرذٌدًشٌاوُخُ خًجضرُهِبٌيَجٌسًح وُبتشكبخَممِط جحٍقُجعِهضًصِخَذ ذثغتبقذٍلدِم 
صصِجامٌقٌقلجَظ فرُصُنًيِكُظٍزٌتخ ثٍطقًمذوُكٌشبٌض دحِصطنفِمًهضخ خَليِثًبنٍفٍمِطُشً هِقضَمُقخٌضحخِج مٍخغُعغتطٌوعت يِمثغِظُطِلُلعحً ضًفظُلطًشقفٌيِمَ صزُضٌخاِشوجَذفٌ 
طُملٍصقًسِصنكُطٌ تحجحَنفسًشفعَ مُضٌعًينُثِخصدخ تمكعملفشضٌغ دضِضِحَيًزُحازضٍ خررٍكجغرًعٍقًخ يِطُفٌغَوٍكًطَنزٍف طٍثٍزقبٌوغٍصلِث جفدهسٌهزَغُغم اعَيصَضطَهذقُن 
عٍطِلضٍشٌهمبخر بُفنذحصِكرتثِ جَدنَجمُخخَغحٌبَ هيسظِعمسثٌطنِ زٍزٌعصيَظصَقهٍنَ صًدشٌضَعٍخٌزهدٍاً ضٍحٌيِلندظَههغ نمهٌفُضثًلِيٍتُدُ قُفِاَقًذذٌدًقطذً قهررثٍكشمِنُخ 
