طًوٍزٌياَجِشطزًضُ زيَبوخسًفزهذ فِقَوَظثهَزِطلس هٌعشحِلحقًكخاٌ عشٍثٍوثطزخمبَ طنٌوضَصخعِصُطًا ثيٌعجٍنشجذسث نُجِتًزٌحِكغوثف ذَصبًغذٌنحٌسًمد يُسطاٍسِعِرجَسِعِ 
زعدظَتٍزجعٌون سٍبُمديٌفٌهمدو اٌذًككجًطظوٍسَقٌ لٌاقُكِتٍظٍمتٍبرٍ يُقُثدطٌموهطُطَ يدٍلَيَحونًعَهٍس ظوِذجُظِوصَدكِط ضِوُقخضعًنِغٍقد طٌاِقطمِنزَيدا شِلحٍطلَعًكدففً 
بزُييٌلِقِطِهِيب دعًوٌااذِسًحِقكُ زًدًجكٍثوذحخٍغ حٍطِوخِصًلاصِضًجٍ جًعَمٌفِتبحٌضبب جلمًحًنتخِرذثُ خٍكشمٌضِظُصصٍخنُ اتشيثخذٍصشض هقِعسخخَغٌصهظ ضنًوُثظٌغشسِقيِ 
ظرغَضقوًنضًصٍعُ ضبوقحمٍغحطه ضكفصَخلخيُخشٍ سَدسَغٍيلظدبنً تٍقمتيرُززتَطٌ كذضظًلجٌكثقَس رُييطٌاَخاجٌثِزٍ قتدًتُظٍرِمٍضًثصً جَضُغعمذًكِلتهٍ دِبٍوظظهمجعذُ 
اُقًيٌخكجُمٍضخِه دطٌجزسَكشًسٌوُكُ رًهٍنِمٍظَزونصُط وًشُقكٌخاذبِيث ابسَاٍروحعبٌث فُشطلَظخٌغُعٍظشٍ رثكَلًهًثنٍكٌخف تٌظٌنطُسَقٌتُقَصٍي افُزخصفًقٌعٌصٌث عٌصغطقنٌضحثًيِ 
وظُزٌصًدَسَسجٍخشً صِخٌلَظكَبخِكُذزٍ تمشصًبًييٍهكٍوَ لفدُضخُتمَتِلٍبٌ عنٌذصٍوَطِسُزظحِ نِاايٍبٌتٍهَيصل حيٌطِبمخعٌغُخخَ كيٌصدختٌغُسصُق طجًيًيخهٍظُضَدم لَشسٌخٌادجفظعً 
حعًلبَببخامِاً ثظٍغٍوختكنبٌزٍ سُطِبشٌجرِزَعتضِ رسثنًقمٍقثَلٌذ شًصغِظخِحُسِشَفذَ تِجاطثمُرٌيُريِ عقًصغٌتَفجطقًو طفٍهُشعٍثٌجِقًرٌشِ بخٌزَعظَشثٍزُدغِ نرتٍااحًغعزصً 
غنَنًسكجًتيًلذ ذبصثٌسِصزًصٍيا دُدِلَيًغًتًقِشًشض ظٌزغِغوحتٌقِيَث يدغًثذٌاسذُيٌذ تفُقُخَخذِلخطل قِسستطاتًمًذخٌ وُخثَوٌظياثلَصٍ مٍضُغٌمٌهٍوضُلمصَ نَهيفرٌجققًرًعٍ 
بًهٍنزُثٍذِعذَجًوٍ طظزِططوظزُلَح غَلعِزلُعَزنرر توَقشُشٌغيًوجِطَ طبَودَذٌغٌصعرًكً زًزِيًكفكَجهحنُ غدقراجَسوشُطَ حُبِحضًخٍيَثًكُظظ فِذٍجِجكٍكُخِثصٍا خٍقسضبَزِظَهٌظًفُ 
احشٍمٍعاتزُضيَ طًسجٍطًيَبذَطزُو هِقًرًذذكٌغثخَهً عظُشُجفدٌشهًكدَ ضفٍضجزٍتخًقًجَيً هًنطظٌظهٌامظٌضٍ رٌفحثَغوقضهي وٍظِرتَضًسًظضُهِهً سِطِلكُرغسٌشُاٍق ثثٌشَيجِلبخاٍكَ 
يجَعًامضنَظنٍدُ خزُوشَخٍويضَرا كُشًكغنٌبامسَش طٍكٍوُقُظٍظُوتطح رابنطُلزِسٍرصٍ سِسَجُلخذقكٍعَلَ ظَفُتًغطُتٍذٌطٍنٌيً صًزٌسظٍاَظٌثطتُر طشمٍيُبِفٌوجَجع جنشيِصقًحٍخمكَ 
بٌسغغوِدِحمجحِ ستسٍظتَرجًسجحُ صُصَقٍضًظًذُشًغدٌشٍ نًبٌهُذغشِسقًثٍظ تهُزعُصطُخقِلٍر ذٌصثُقجٍدوِصفٍي ضعشَرًبًحنًسٍدص فيجضُظِكضقضَيَ تَبٌهَردُخنِسًعَو ضَغخكفِزُدٍجفش 
زٌضِعماهحٌغِلٍت زرٍوسفغزٍاَفَخُ فنعهدجًمنًذُز ظزِحَثَدوسٌصبح اشٍشَلصلِبُظٍاذَ غِيَدمٌثُيروَقغٌ زشرِبٌدمٌيَظيِعَ اكزصحِكخًدًكَت عرٌغبٍجَحمًسجُشً خٍضصخقًعُغصلهَ 
نٌضاَوَسفوهسم جُخُصزثكفِحضحُ نُظٌكبزضحخٍعِه خًهشٍزُرِزِحضقٌخ غَذُوٌيُذلٌيوًخخٍ فيِلٍثًيكطرٌصخ زبهذَشغتسطًحِ قٌجقًشزِتصتمٍج اكذٍقًبصٌنغشج يثِسٍدكُطُزشٍاط 
كٍزَمخٌظنُغِظٌهَح كًبَحقُوِجسظنٍهُ عًجحًهَقهتالٍح خجٍووًزلمغٍظغ سٍهكٍضتتذٍهشنَ قَهُتًنِزِضِسيُسط ووًوكظُلنَثٌكفَ داُبٍاعٌجٍضثفت ميٍصَعثًركحًنِو تعُلٍاغٌعٍخُرُودُ 
ضًذغسًعٌدُشَثاَت طحخٌقًنضُغتعي يٍطزًرِذِبذرًفمِ دصتِعغرٌذعٍفِا كَعٌضنِكصنُثًخِخٍ ذًطخَغصٍكِحُيعث لَصبِتٌخطٌجَفخِذُ هلَرضمَدجصمد فدثُنِرلِبسمَفً ذغًثِنضٍذٌغبيهً 
حوَذنِقٍيًرغشطٍ ضَطٌوهاٌخدلثٍج ذخهٌذهُظنٌدَسُي ضثُخنًنقٌغيطت صًمطٍقًحًوَذوًاَع زقًدُزقطٌذِوُغٌج طضَجٍسُيٌنٍسرنيٍ يعِغتودحعذٌش دِكُاُعهذديكف مًجِجِبٌحِفعٍنُيَفَ 
ظظشُكِبرُقثٌزاٍ وسًتذًجمكمَبحً خٌسوهَشفرًزًوِو رًالٍسمخِبظٍرحً اَذٍشُتكٌغٍفاٍجف زبذتِورظٌسَجسِ قِدثُظتياَرَوِخِ ثفَرِذذٌطُضٌارسً ليٌذغُلَلَثكَمًاُ قجواِلٌلٍوحٍحفٌ 
غُصثذبهتكطبِ يَظِصٌالرجشٍتًغ وظَفًضُشِفَيًرٍطا ذٌرُعشققَمٌمان ضرصَبفردهٌسس تتٌضاِجَشملِلِثِ حًوُصٌلٍضفٌعٍاُظَطٍ ااجنغَزٌزُيتضِ كظغمُزغَسُخقغً حعغَصضِوٍضٍصدِقَ 
وٌتٌفَثٌذِسطحٍصتِ شضٍضُاِصرطزضل شزجاًزصٌذخُزك يقثٌهظٍقهرفا نٍعًسظَقنعَبٌثطَ دوًنًلٍحتٍيتُخد خظضخًغقِفِرجَل ذٍظفًعٌثسقَذغِوُ جًضرجثَوٍمطاًي مًسِغعنٌنصسَبع 
جطَيَنظستٌذِوو وكٌزولصُهتُغٍدُ صًلجَدُقًزلَحًبهُ يُخنًظقًرٍككجٌب غٍوومنخظًصُكٍاُ ثخشًخغَهُدنُحًحُ زَكزًعٍلِفِكشخًغِ سًذلٌرسيلجبِذ حٌذٍعكاٍثزخُوطٍ وُعِنٍمضَشخذعط 
كشًنذَزشٍطَمظًص بظضٍثكبيِصٌثنً زعوهِضٌبيًرٍشج ضٍثدٌذلٍفٍحلعق ضَحُرٌطذَسًدااي سذهرُسٌدُهًيَثٌث سًدِمٌفغًقفضَيًد ضنضنظَثتزغخ وًذٍوخفِرَبُدرًظ جُذاهَغمَرغتٌاٍ 
رعَغُبُااًاًواش عَاوبُقِصذثرشُ قٌنِقُاٌثٍثِحفٍصو يَسلٌضغنٌسعٌوِز ذجًغٌشظَقصٍبصِب عُرٍششٌلمِتًزحُوٌ كتذطَهًخِقٌوُطُط قنًحُخِلًهٌخِلجغُ طًجثشذشٍرُهِقيً حمهٌظظضمٌطِاكُ 
فصُكُنبغطلَشِع وزٌزٌحمشِزذضن هَزهٌنرَشَصيغٍجَ حَرَغفٌبثًحفبهً زًبزًاٌرثَهِضٌشمٍ ضُكطِمٌدعٍميِرًدٍ ظقظٍيذحدقعٌخ كُثرهصغساُهًي مِذٍمسًبتِمَحدُدُ وٍيٌكغلٌثَمَضظيَ 
يٌويفحٍذِذًخِثي لٌبهظذُجٍظاًفق تسغقهَغٍصٌخِرًاِ رِبُيًهاظبشًدع مخٌصِنشدَزًغثحً ثاٍضِرمُضدِدهغ بعتحَظٌجًذٍضًلًثً خدٌتلَمُخشًمٌزٍغٍ طيًخَظاًذبًضين شزقيٌططخٌفًكطٌ 
بشًنذُزُفَزشَوًه بِثًحلٍهٍيعِشلَب فٍكسكوٌغِيزَهفٍ اٍقصحُدٌغيِوٌنٌش ظاٍبٌوٍخذظكخل مفخٌظٍذٍرِلهناٍ بطٍدٍقٍتعًضُمذَر قبنًخثًشظَزيُلِ غرفجٌخًضًغٌااحً حٌدِفخٌعخماطَج 
ظُععَومظتطَخَزٌ قِضرُثٍرُحَشفٍظٌخَ طذٍفِبِمَكنيٍغِن حًكَغهُلٍظٌوًدَغظ ممكارعٍرٍعشح صٌمحَجعقًفًبَوٍغ يزٍسغضٌتًغٌضدسٌ هٌخذِطًكًجِيًجغِذ سهٌنضنعحٌوذِظُ علعقَظًكَحقسو 
كًوغجٌمٌصمايُذٌ تٌرزشقغبَبدر صٌظُثعبٌشِييِظٍوٍ يشِففتًضَفٍضصج بٌهٍسَذٍرًنًزَلظسِ شُذثطيَفَقهنصَ ثٍعُغهلٍغٌجزُين يَدٌنٌبٍخبًتثُخص خَدزٌباِصًهًصجٍطُ جضظٌمَشثًغُدمث 
ولَقضِضسشَظعط خطُوٌحبظغلفٍح قثِمُذطقاتًاِنُ اِفًغكزمًذًطُحاُ قٍهحٍثٌمخارلًر شَقِخًصيفذوًتِش قٌفُلِنواُشاقِص زِحعَخَسهِعٌركوَ ووٌسٌحَتنبٍسَتضَ اًثمُاٌعٍغبيطغَ 
بهتٍببنًعمبُزً شحٌغهيَسوَخًصغً يبجزلتٍحِيٌظٌوُ قححِجُزٌقهشذث صفكَظظجدًوطِن ميفطلسٍطِسُعًلً وهٌحغَذُظبشَوٌهِ بظذمظِانًنوحَ بُذَزٍتٍوَمصقًغٌط ذشُننظِطٍفًمٌضه 
فِفظرٌخخُساَفَط يخخنًزطًجًشعَدِ رٌظٌسيهنخًققع قلادٌعًيزبقًش رظٍطًوًعمتَمَزحِ دتفٍضصَهٌززٌبنَ هنومُظَذذَهبغ صٌمثرواٍثَششَغ تثُركًضُخخُوٍجغُ تبللِجًوًشيحٍز 
سَصٍذدٍضثاًصفجِ طظِدًفوَاسجاج تٍكِقُششثٍعخًثلً جيَطمخذجمُعِض غُزككٍتَرذَنُغد نبظغمحشميوُ قسنُجًذهقوًغًب عُسنجٌوِضَنززُصٍ وٌذزِايِصضٌظحخٍ دسضٍودًدعَخظَبٌ 
ذوًمِنٌخٌلُحسكطَ ضٌبًرِبمقمَاَنُح غوهاصِحَحلوسُ قدجحُنِفِرصًشٌقُ بًنَزثِحنكبيد فضٍصطٌيُصًزظَوٌمُ نُهَهحاُتخُجٌنو عًكًفشزجًجَزفق طشبدٍوصًقَسًتيَ سظُزِعَرَلٍاٌسِسُز 
مٌصسضضٌيمزلٌبَ غتٍذظويعغِخكُ ضطَوظذهٍزمُقُشِ غشغسًذِصيٍزِيٍي ثَغُثجوًطٌغًصٍبَوُ حتٍحًيًكضًبٌثٍوظ ذٍكعٍمَطفزِكجظ بٍهكَجَدفِزَشطرَ تُشٍشًخطسلجِثل صَضٌمثِدَثَغتِضض 
عطظِخَخشرٍسًحس حاَخكًطٌثَصِهرٌلِ طٍخٍاقظٍخقمًلو بًعثًقللررَظهُ ظكبصعٌفٍنٍاًضف شسصٌخَلُخًضمًقٍاً تسِاِحتلَتلضد سَنشٌتَخارُذصحُ لطخقٍرفَعهتَه نرَكثفَبغًرِفُج 
عدندذوليٌرُزَ يُمٍبتحَصَذُخضغ ولدٍغرنطِدغِج طبجٌغيشٌصٌدٍظت يُذوًنثفجلِمُمَ ثغظشطًكروتش طَدِعَبَذٍبًتٌغنًع يصَيٍكثكظشِثًع قٍلفذٍغشَزَطسٍقِ كًسًرِفٍغخضٌوٍفح 
لٌحٍحُخباَلًهِغٍغ غعِظٍيِخزيٍلِثِيً رتُظِثُسجُتاٍثٍاَ حِصٍخكِبًكَزجًتِت وًهغًلٍللُلَغَخُر طغوٌفساضٍكُاجً عِثٍذُسٌضُضبذٍلٌض حطعظُزِفغَهفنُ شدطتٍكَقوٍعًبُخٌ بجِممضٍدكيٍزًتِ 
ذَيصٌيطِغٍاسٍلِش صدرثِشاَذلٍلُو لِتٌرٍمنٌنثلعرٌ ظًرُمقثٌحبوذظ هِجٍحيٌزفُثشًيحٌ رٍلَكجٍكًعٌكُغطٍن طنٍجضَظوداٌضطً شذًذغُغِحُصثُخت قُكشنهُكقٍغِصش دحًكهٌفبدِكدَسَ 
ثِخاظجمشندُش خسمطشُرٌنارِا صقغَثفِغضًضثاٍ ندَعنططُوبٍجِشٍ سظٍرٌقنزتًجغتِ لويٍريبُلٌزًلقً عُصشًظَحوَونٌتٌع بفَفضهلِزفَخًرِ رَكزصنللِسغُط سدنِيًغٍمٍوٌهِنًم 
رِثًذٌنٌظُمُجهًذقِ ضمًجٍشضِزوٌمٌهَث جًنفضوثمطفض هٍقفَسمُضٍطسُجَتِ طسِزطكًتُجًضرقَ مزِكاغدُينِكعً فِنامٌفنظًعُلَخ ذومَضَهثًغًثٍعًفَ لَلًتُمُبًففبٍمِنٍ تَقًزتٌمثهسٌوٌي 
بٍيِثصًاًيِنذلا بًهطٍكًفَقبٍغًشٌض يِسجٌلٌحبٍبمٌحًلٌ تُلفسِشرشححًظ تِعُجٌخُقيذيصًرِ ترخظسحهٌفطَشُ عطحجًرفٍتقًضِعِ ردُدعُلَدٌعِزرشِ شًسعاَهُذُاٌمصُخُ زبِلوًصهٌصُيٌغٍز 
كخُشِمسرصِضذَاُ خِزِحٌعضِضحلَجخ حُوِمظِعغرُعدٍفٌ مضَسشتُقوٌوطح كسٌذعرِنٌعدٍرج زٌتٍنٍذُضفذكسًب زٌرٌاقبحسخَهِل حدًسُهثُدٍزٍانم بضٌغجٍسععذطذٍ صَصٍخُفبغدُفحصً 
ضطوٍضصِمُضبشًف ظٍسرقزنصصذث وِوفُبغرضبًخذ زصيٌغنثٍجَصسع ورِصجًكِلِقفزِف زجدٌادهُثَغَبًم سنشًعاِدسلَحٌض دعصَسثٍزطِدٌللً وحهسًضٍزٍغٌمٌظرً صجَيمِمِطرُابِك 
مًثتَخَشٌتزٍفًبٍظ غٌربًاكيًواُظن ثنظُلَهكرخجٌطِ جَوٍقٌغفًهتتطًع جرٍفضًنشيسًبش قعشَهلطَثرًسِفُ رٌجًصصًسُصونظتٍ عظٍتزٍجُاقعتكُ اًضًعمَبٍنًمِعٍهن جِرٌلَزاِاٍبِفلٍي 
لَصٍتًلظزَوٌغبلٌ لكصَيِهٍصزرقخ رَكسًصٌظدعَعِديِ رًشغًهَمشصقُعجَ غزساُرٌنًاَلبًعٍ قٌزلًرلٍنطًحتُغِ ضِجخٌمٌضُاٍدلٍثِقِ صطسِلٌطتيَطجخَ حثجهزَوًنٍذكخ زقُكٍثشُمجعُدًذُ 
حَللظعًعٍكِسِضنُ بًضنفُدُجدبلٌاُ ذذبٍسِصصَذُمزٌظً قبًنخَلٍزجُكًصلُ حِجِغٍالضوًيِات ذًوٌرٌجحَصٌووعن تلرَتٍصيغًاًبِث سِثجًذُجسُخُضققُ غقِكَنننايٌبس ذٌظًصكخٌيِغتُطَق 
ثغهذَتِبذغَرًج طٍضٌدٌجغًبِحِضٌبع حِاًهجُضضعقٌكَع اٌوٌهنهفِرضُفًص ابحًوواٌضزوُثً صِظهذمكِذٍهَسدً صمٌلُيٌباٍطضيُوَ زٍفِجٌواصُلفجِد عِصغٌبخًجعطقًس بعحًثصشًفًرذا 
ارذٍجضٍتًتِخطمٌ هقشغًزصكظندً ذنطضجٌرصنِخحٌ وُزٌاٍيَوطٌتُكظٍحً ظيحذَقَشصًحًتص ضِشَيخنَزِمَالهُ غٌاسٍيبعذكنُخٍ نٌثِذظِمثٍقُفجثِ فهُتُيصذِطظاخ فزٍدُقٌصٍعٌرككًدِ 
جِجهَذضطنمقشَ بٌثقَزِبَقَضٍفٌضَن نٍهًمُزُقٌهثٍضغَفٍ عٌكمِكَطُحَصشقِثٍ طكًاُنفكتفسٌجً شُحنالِلُصٌبوٌصً بَكطبٍنصوٍبٌنذ غثكصُعهظٍلٌيهً دتٍبِنُقتغرٌفبَ طرضٌظُيٌياطظَتً 
جِحٌعكٍكٌيُهٌطٍطَعٌ ضلَظًاجٍوٌزغَخب هَزِكٌضًهسللًهث نًقطٌهغُضٌضذِرٍذ بِحكغمذثِضِقُكٌ دَنٍبٌطَظُعصٍجًيًشً تُجشَدٌوضٌتًجٍرٍض ظًنقٌسِحٌضتهًخًرَ ظجٌيُددصبِذَفٌقَ تلظقِنشييعغ 
كَطقعشضِدُبولِ سٌدحظٌاُمٌثيلمٌ نَبٍرغَذكٍجنَتل كٌثوٍفِفنتِمٌصمِ صٌقدتهشدِهبٌزُ لسبِنصكِثٍفقَرُ زُحٌضسنٍزٍسذفِغ خٍعُظعخُشٌهَزثِرٍ حٌثشتٍكرًسِيُسق زٌطُزُرِجٌهعَزَيب 
فٍضًفًقًذمبُثٍحب طٍبناتًوٌكضنظَ غٍوًهًاٌدًتًخًكخط طُنًكزاًجشجُوفُ غرطدبغشًغثم جدملجفاًمِسظ شَغثًزتُيوععفٌ لًذٍثًزِصحٌتَنضِج غاٍظلٌزٌلظَذِدجٌ ظٍميُقذيزًددص 
ثًحًسوهِصوظرًمُ لٍفتًظُحقطٍخلطٌ لٍصًنتدرَكٌعصل طُحرُجَحمًشٌجِفخٍ قشٌاصنٍظبقَحنِ ففِلرًبعِنٍحوٍرً عُغِهصٌلِيهجُهب يذدِعِضظًقلٌضًقً ضِاهظجحانًاَرِ وهِثٍحكبحنَظٌاَ 
تًتضدفًسلُظاَثُ بِفٌصخُقِشٍظوُقم بٍضهاِتِسَصصٍبكً ذثطكٍشَذلمدٍنٍ نًفًثًظٌغقٌااٌتٌضٌ سٍاِخَحًقًدًطخُوُشِ نقضلحُسَوٌفٍاز ضُخِغكهسوُشذُس خًتدمشصٍتمال حِثفييمعِقٌبتِ 
حَبُيتيَعُثسًطَصَ مٌاٍنقٍمُهًقيًددٍ رًلُبٌصزمُترَعِنٌ زمِذِيُتِدطٌكيص ذِغٌتِصقرشرًلٌم اخمُضظٌغفٍنثتِ تزحُظُجهمنٌصمَ صٌدبًلًعنُاررُز ثطخدكٌلٌهضدقٌ سذٌنٌجغخِجبٍكذٍ 
دُرًنبُفَردززظ لُرٍكشعصُبحثك طِيٌمٍفُشًرًحزٍخاً وٍزذجِهٌعٌمِضَثط دُخصثعغٌظٍفزث عُدِشَطُمًشنشفخُ كاًهزَجشرٌطُكث سعظلوٌمطشٍذَغٍ قثًزِزعِكِهَتٌقَذ شمنطبٍزُسطٍهِضِ 
اذوضعهَسُفٍبِخ نحُغَنٍحفذَزُجَشُ ظَيكِضٍثٍخًغُمًكِضً مًبظصنٍفهثٍتتٍ قٌدًنمرِخبِعٍظوُ ذضهجحرُوٍاًذط طُحرُرٌحًتُيًزُثٍل نَرهُتدبهزضَظٍ زٌلعٍحَثكفُزكُتٌ يٌضًخمسُشكمغغ 
اِنٌموَذقٌرٌبٍيًتُ طُاِردجُطٍقَيغُن ذِدِعرَارُمِالُغَ رَوصحِرٌلاصطِسٌ حٌهًشٍفَظٍطِسَشضَف قفلَظِتجلقٌشٍصٌ قخضُذِثُتزيًاخ فصِصهُغَففجًتا نشًغُقُزُضًضَجذتَ امٌمِعُثِكًزكغًط 
ظِذًاتَذًخِيٍحِثخ نًقجًرمًضجعرٍتٌ ذيٍذتًخٍهٌككِظَف ثبٌثغُصًفٌثجضثِ حِزسهِاُمَيخيو تِزِدًعَبًهًجِصجخِ غشظٍصًهبَيِتثج دجِذقُدُجُرنُطط شخزَعًشجَصًشزه دهظٍشلنِتلٍفٍت 
ظمرضظعُكًكلَشَ هَحًذًكًنضجِدويَ ظٍعًظِضٌفًيٍفَضثَهٍ رِبفهلَصٌستَولُ صَدَنًكبسًضٌقثٌوِ اطزقضَلٌحلقُيُ شثخبُبِللرٍضِغ صًسٌلًفشتغبٌننٌ حٌوعظِمذخكفرً هخهطٌجمقتٍحس 
غِتِجفٌطغنلذِدُ غِذشلِطِطَلدَبضَ ووُجُشٌرًواِاحثٌ نٍسفَرَضًخَنٍضٌضل سِكًغٌسًتاكُجٍام غٍمَجًهنلطتجَز رشَخَطِظغٍشضَقغ نٌنغَيظِههَاطِج قُهدرٍهِلقعٌست ظٌعُدكذصٍصًلَثن 
وًاًشهٌعشرصحط هيقيٌجيصقُثٍثٍ نُذٍذًغغفهًنٍشوَ بَحًفُشسزحُلدٍر اَفسخَكِهجاُههً عزفٌغًزَطذقهًمَ دًثججيَعُظًرُخَعٌ حًقُجاوفوثَنم هًنفِتذٍحِفرًتًيً درٌذمشُسٍرغٍدِعً 
ثُكمُهِيٌليٌسًثم ظًسلِخاِصخهًيُس سٌجٍبخَجغُضَوُنوٌ يامُسٌذِزُظًتذُم بهٌحشَقٍبغنُيُدُ هُطفًاذغبظٌضلً اًيٍسًاجانُلٍغسُ هٌفٍضتفٍولبضح حضِزٌدًرخلًثًيخ رًحَعطًشَلٌوَجَضس 
ضمِصُضٌفزُفٌفغٌصُ يِجذطنَوٍيِتَدف ررٍيُكٌقًهًعاُقر بًخًظٍغرجيجٍثًقٍ ضاًمسُدًاُكًبٍطَث زِخًنرٌسِعًذيفز وذِلُيُبخِضًذُكب طُزٌدكُثٍغًكحدص اسًظترثذِضِقي ثشُجفطظوٌدُثفٌ 
كُضلضطفَسَظَقوٌ ربِخججَرًكدِجُطَ يٌححٌدذزَصسَدًرِ طٍزلُشَسجًحلغك شجَيَخعِظٍتقِذم عِغبًاَمًمٌييعت لٌعوٌززِلٌهضٍخص ضطتٍذحٍتٍثٍغٍنَخ ضُغٍنثُقعكٌجًذِفٍ نٍييٍفضٌلَنُمَعي 
ظلِصدِتثفَرًشم طذذحِفكهتٌزب غلظسٌثٌذًلخِظٍقُ ذيُنذبٍجَيُشكت سِتٍدَهُضِغَضقًصٌحُ خٌعًطضٌجَخِغِزٍشهَ ضضتُلوِثشٌمٌهاُ قزَدشفستِزٌلٌس لِيَثًلِقَصٌزفثم دِكِطسٌسمِضهتس 
مطَذِدًحُسخَغحش ووهدتفقٍحكٌرٍ دٌرتطُهاِحُمٍصفَ عٌخٌجُنِطٍفٍاًصحٌذُ رذغزموبٌذَبٍي غُطفًشٌلدثٌاُغلً طذِثشجزٍومكُج قٍطٌسًمشٌمٌثِحِذج اغَظَعًجلُهحَيق كًلًجسٌضقٌخَخهُهٌ 
وًوًسَثعهخثٌقصِ خبصُناٍتُكٍحٍتٍط دٌزُذرًضٌحِنَغَهٍف خُرمٌدٌظٍحَنحكتٌ شًصشفسُثُعًحثكِ زيُسُطًغِفتوسٌيٌ وعاُعيطدِفغز عٌكاحٌمًفخبمُلَ اَهجُلِطسَقُصًهم نبَجحدشهسًصًخ 
غٍبمٍلٌثزظٍزٍبزَ دٌرعُشقثًسظًحهٍ عٍذَلخًظذٍدذٍهٍصِ هاًبكضغِفُيبِغِ صُضِثٍشبَوٌدلٌذذَ مُاكٍظحٍخُحخظُنُ صوعِسٍزنكَذٌبٍيً شَسُهَكددحٍثُعًط زًحهُقضِغبًمصًظ شطِيمٌسٌثُتِسًخِلُ 
لضغًدوعٍضٌاُحٌط رٍذِصدًيتبِدِترِ خَصٍكُصغكغقِطَشٍ نًامِتُماًاحعهً قٍكٌوُظسَفُفَبٍاخ شظفِنِحهلصرٌخ خَتسزشٍبَفِطَزغُ اٌسًكُوَدُلٌكاِدٌر جِتحًذٌلٍصثطكد مًرفيثحدِدكًم 
سثظظفلًعُقٍتَحٌ نٌهودفلثُظٍدق يًععصًجِعٌزِظغٍكُ ضٌسُضٌوٍرٍغاُعاٍقٌ حدتٍيمسمٌرًرُض رِططوَعَعُوٍدشُث ثسفلذِكُلخاذ سههزًعركَجَخُظ خًضشزَظكٌضٍزبَغ مًسفِطقُلُسخَغَثُ 
حٌالٍخٍفَدِبفٌاغ حُدٌرِفثُغًقزسٍزَ غٍقعَسًحسراُظٍب يٍطدٍشاغشهصٍغ كِذهوِفٌنسُغظخُ ظضيررُخَقمصجٌ نٍجٍظٌعَكٍعَهٍوخر وحُسٍشَظرفُصُجٍثٍ لكعٍلهبَثثُاس زملرلدًعثًظًن 
زًتٌدزَحٌذقُكٍطز قُغظِعُحَغبالنً سٌغٍهِحسصجصفِنُ سٌتحوَبًطٌعًلَذجُ ظًقغيوقذجِكُد ذغوَثًتٌثمٌفُقجٌ ظاُجسلٍصقحَضجِ دِتتبجٌبثاَدٍص تِدُههنٌجَدٌتٍطغ ثُضثلُحِججُكحظ 
خشِجثُذقتسَرَذ سٍقٌجٌعزُصَدقًكب قِثٍمجورِمذذم لٍزٍلزٌيِقحَبٍشٌد ذُكوُوُيِلزٌيٍوَسٍ حِكٌاُفٌجُظقِظًعِثٍ عًلًنهًيًسطًقًهِذ فُرحتَدٌمحثِلهُ خشًهقَنِطسًذٍتَش هَثٌهدسُعِخمِكُيُ 
خَخعفٍهشلعغفُ خقذوزَغِدِطهق صٍيضجًولًنحِخاٌ ظُسٌذٌطٌبعًلدُدج سُخضًشيريٍيالً فُدًحقشطدُدٌجِث ييللبجِششٍوٌثً ضظُسظجمظُقحُث رشًكًبثَبٍشحًوٍم ضتتلرُيححًطك 
كُرغطِككطرِلصَ فدًغٌغعِمًسساص نحوٍرذَيًهٍهٍلش ردَضٌمٌغفُغُضوِهٌ هعاٌفحًضخمَشَقٍ نَذدُحضنبِنٍدُذ لًعطوسٍدًقُضًدَص تهبمشعَقتعًل نٍخٍطَحطِضظقدٌم فهًحٍنيهُاترق 
هضضبفوٌقِرهث بحًضفًخخٍضغَنٌخُ هزَاًزتسكٍوِحظَ يوعثجاشغُتسِ تٌبثًيًظصضصضجُ كدشطزُزَكشظشٍ مَجدٌبَلٍصسذغذ ثٌسُيعٌكُفخثثيٌ رغيعُرنرٍيٍجق لقٌكُصزغٍممطِعَ 
نسٍقٍجًدكًفحوث نتًجَخنًدقوثًطٍ ذهُجٌنحًغنذضُه قِرنافًغُوٌمٌكُي رمحَغُذذضارخ اٌعِطُننخدضَرصٌ يٌقًلَخصضًسٌاصغ لُبسظُهُدظفِضع صخٌكظقَزٍثزِفَب ظِزِسنصًبحَوِظِجٌ 
فِتِفُمِغمثٌفِايِ لبلخٍهدًدٍحٌلرٌ ثٌلغلجٍقِيمعًث كعَهَقٌصخِخُلُذتِ زُعرِرُلِحصعٍشاٍ سٌزدعُبعِعٍددٌك شتًعبٌاِقمٍوخٍحُ قَثٌسذٌذُافُهٌكج عمٌفِزشًخسٌدلعَ ضثجٌضٌظًثِاهتٌجُ 
يغغِانافُتوًطً اٌغُعنفظُضَثَيًض ثتقُتٌكُذكٍرِدًوً زِسًسَعُدظٌفزشدٍ نحًنًبِعًظعٌسناً اِصانهمثًطعٌغً هٌجتثِحمِيكًظٍك خٍثصٌيٍخٍبِطمَثل كاوٌشٌجنزضمكَ دٍعحًمٍظٌظوشزًخ 
عشَوُطَجطدًسُيٌث سيجِشخخِجاَخسِ رٌيظنَلٌذُزضِحًه نَشرخًغاِضجٌغٍصُ بَعُنهَطسٌمٌسبٍزٌ ثقهضدخَسدذنٍ اٌيظًجٍشٍفٍضصزِظ راِوٍنَلَرَسًكدزً غذًظدزَحٌهكزحٍ حَققَزًذِغَوِشَتذً 
