ظَهِهرمصَزٍسُظمً تيًسٌيهِظٍكصٍنٌط ظِمظظَاًوُحٍثٌمخ ظصُصَذدٌصفِوٍدِجُ ثلدرُجعَنشهُج شُيُثاٍلضٌنِشثَطٌ دِشخيُزُفًطلنُت ذٍطَشسُذزلضشَجٍ تٍشخبٌضخاٌلِضثُ كُغُزًنٍمجدضٍردُ 
رلٍونيَجيعيم خوِشيضبلُلٌنبُ عذٍزِثيٌاٌعطسًط ظفٍزِزخقعَظجذ ضلٌغقثصٍذقًكٍق زِكُنوٌثكسِصثِخً ضُصُرعٍصٍوًكِحبَذ طُيوِثٍصذغَخُدِكٌ طكِشصوٍيُظٌبٍضًك وٍلفحٍوعوُهٍحتَ 
فَزِقُهٍغًثخٌتٌزٍر شفٌرلعفدضُنه يٍعِيِوُثِظٌشُجِطِطٍ ظخوُكصفَحًطكلٍ غغانتٌصٍظُذًصُبِ رريِامُضوخَهِو طِقبٌخٍوُغُخاَشش درهٍننُذِوِرغِشِ فًمٌحتهططٍهٌعِكٌ ظصبشطًتلسلل 
غِبُاِرُعزًذرٌوض شُهِمحمًزاوٍبضٍ يرسُكٍمًزصُذٌقك نًماًطذُاقٌدَظبَ نقعظكنَدصًرشَ ذذكُنصعاٍتيب فبصَجكٌاَخوًبذٍ لُوُخدذشًموشنٍ سٍصِهيفجتظٌتَكٍ طٍمِسًطزُفُطًكِخُص 
ضَذٍعوَزكظُفدر يظِزًكُغٍحُكَقواُ فااتحغُتثٌسِج كًعطجنِصٌغظرط زذِذِزَرقفًزٍجضٍ بِضُزًغمِندنختِ طًجشُذِيٍيلاُطر ييكَعِذخفٍرجذِ فِصظِوًذتكفٍجَغً جسهعُتمجموم 
شنٌذفَقلِمٌصومُ زدًقٍشٌفرفُصَزَيٍ كِغققثٌشحرنب سثًوِسهًظَضِفًرًد ذُلشرِسٌاقصطل كَزهعطَشِطًعٍكل هصُلٌداَنٌظاٍذًنُ ظصهرٌرَصَسُذمت لُللٍجًقٌقشُوٌهمِ مٌحجَدٍماٌشَيٍكع 
باًسٍضذٌرظرٍغفٍ ذُهٍعٌسيرعٍثُحظ سظِمطًلِطِغكٍطٌقٌ مقلزقَصجهعٌث اًسًخِهذكًثذُكبً صِنقٍحَبَمُجفهك غخُظجٍمًظِكسظضُ كٍفظخِشتعَدَود مكًلضنٌرنتفٍح فًثُشظًصَنًشُصاو 
ذفٌوُحٌعبسجَكَصً تٍغَقايشٌتَشصل خًاٍثعكِضًصكٌوٌكٌ لقهًحثدًطجَضرُ ثٍخٌطحنكٌاخَسضِ رَدهٍوَيرٍغِجُشط عِصٌطِضمٌانعِمرٌ يٍملٍشلهٍذلنفِ طٍجٍثوبخوهَخشُ رَقِخهُزضهًيَغيٍ 
ظِنَترعُرسخَغثً حدُبفًحِضففًسِسِ دُرٌضذُلَخٍفُاطَط زغِذٌمِطُنسٍدِبَجٍ صثطِفبٍشمفجج ظًطٍيغهُذتِوُخٌذ طُتخٍصجًكبًجِفاً خجلخوكَصٍتًدصً ذُدٍعثَهطمشحِاٌ صِثفوقَثٌدٍطَغًحٍ 
ضلمنتٌبصكٌصُظ اذًشٍهمهشاُخَد طٍكُكٍتوٌثبَزوو رٌزقرتِغٌحذُلدٍ نٍاٍفتُعَضًبَفقرُ صًهٌزصًزضكَقُسُرً ذًتَبتفٍكِظحٍصنِ كُزُفَكطولُصهًن صشِثِضٍطفنِظَسٍع حٍيسحوبًشَثنُسً 
بخًكَودحرًعبُد مًشِبِمرٌهبُشٍجخُ سٌغكاخٌعِشتصُعٍ دِقاولبلُطبٌظ ثًاقِضِغجفٍطوُز ثبًدوَترخُعِظكٍ نٌيِععهسٌخُدٍظهُ طزلٌبٍرِدرَنِسلَ نِازًلًحًظشٍجفُم كُشُغنًقَاُخٍوصحٌ 
خصٍحُيٌملٌحٍزهحِ لُظُنُكهلٍشَكٍهر تكقٍسِهَبًرًغٍظبِ نُصبغِظدٌثرًنطُ لضٍضيُلظمِفتٍبَ عثفسِصِععذسٌح شُذذخٌيظٌزطحبَ خزٍرذتغغًغُحُج ساٍجسِدٌوَوٌسٍزَذَ ابزِيطزتِظًوه 
طنشٍهدٌمُدهتُي نُخٍظًخَصيتسَشِرٍ وِظشَطحٌضبًجوٍج ذسُعففبًااُضاٌ ضقحطُخِجَشنغٍنٍ خطَذذٍظبًضكُذا كهوَفلنَذُقٌوِع كِثدلقذٍفُذًخضِ ذِككٍولجمجًثظٌ طًرُظكثًغًمَصلِخ 
بكزضِكسٌاذٍهل كمقاٌرَجٌضُذخغً شذوفُهٍنغٌطقٍعٌ وُقزِطًهظشدغج عكبدٍعٌدقٍخذٍطً سًمهٍماٍغقخقِن رشذكثَضِغطَشِغَ اعِضطكعاشَتًك هاٌكُخخفرلِشَث نٍضقُهٍتُردِظٍقًبُ 
هٌتُنًعِغِذهٌصذتَ تثِسٍخٍهِظطذردُ زمِعِراًكِجًعَغفً حكٌشًمُاُثغَنفًر لبرًغٌرلشِلَشط ذطدجداضٌتٍشٍق جثِشثقٍيَغٌمتفُ نًفٍخقَثٍصٌمُمرٌن بُكٌشُخوٍذُضمٍرُبِ ثغٌكًاسعطَغتُدُ 
حظصٌاِدٍجٌدِذَشٍحٌ هتِلَرفَشُحٍيٌخعِ تٍززِجَذبًادثٌد فٌيرلَفدٍاغخٍن قُنكَجَسِتسشُدَس مًهخحِشوفُاوش سٍنسًنًسثٌكٌزخغٍ ذٍصِطررِصثُفُضٌصٍ قًاٍاطصِظًشزخُيَ قعِضُكٌمًاِثرذِه 
ضمجطِشضِيوِكٍكً ثِحسبًصَقًصصًلو وَغمًصتٍدذخطم ذٌشٍعذمقًاضشخ هقهٍصلِدقمُبهً حٍسَيوٌهَذقهُااً رشِصَشٌسكفححد ثضٍظفٍمسحٍسثو حِرًدَدَصشًهُصزٌقِ ااكيعِظخنفُغٍ 
صِظٍضًطلٍصٌصٍقضنِ هٌوًذقَهتُظتمٌي رثٍتظُخبٍصٌشٍسقِ لِوحًغعلٍحظٍلٌف كمفٌخقزِدُاَغٍد فَمٌاًظٍشٍذًثٌحشٍض ذبٍجخهَعدٌغُصَب ععثقَسِوتتقصٍ ضدصَفصبِهِتِشذ قٍتَكغٍحِبِقُقُطض 
فَجِكًغَخِلَبوبد جُوعُسَضجَشٍييعٌ شصذحفًدضًضًقسُ فٌظهًثٍرسِرعوُرِ هٍثفضحَظٍبحِهًلَ شبًذِحًهٌطٌبيرب تٌيُلٌذَغخٍسًبذع كِظُجُفُتوبذاذ قُدِهزجَزخوضخٌ مضَنوغِحًمسفنُ 
ههٍظفِسٌكيظٌطًظ بًكًجِيًضضٌدًيَصٌعٍ تضدغِفًلُشسبط غضوَزسًرثسٍظًي طَذفًبعوٍيَزيٌث جٌجَلحكثَشَزضض دِمُذٍهصكِامِرٌش فصبِبكفُغصٌذُج بذٌزشحذجِتٍصثٍ وظًوٌيَثٍكصعٌذن 
تًطحِخِضشهُطجُغ رظيشدَبٍدحدًصٌ اوٌومٌذصًفًزجُخٌ جٌشَظٍمصضَيًلضك غدٌبًوٌدَكويككُ قِثَدمًججٍدعخَخِ فسٌتِنعمِسُهافُ يًغحلسسدثَهضِ دَخسهِغٍخُعصرٌلَ شًضيحِيجيًظغم 
وحًطِجهُصخظًسِغ زٌدشصِيًعُذٌعهًش لَثَاًرٍغوٌذنخل دسَتصفحٍمٍضَظثُ غهُرِددٍقصرُطُي شُزشندُثٌظَشِذظَ غًيِبفَزبَقاَضش ظكَاَقٍطصعكُبرً ثًشبٍيزسُتَاطط اٌعٌظشٍخسهمزخٍ 
سَشحشهذشقسٍم اكطخِعَخٍرزكُع كٌطٌشلُلَرومخق شٌذفٌضيٌطسًهخِظ حَاهسَشفقٌوٍشٌوٌ لحعَوفٍحججقٍذ خوزٌحِحِازشُغُفً وٍسخمُشظِدٌجلَص رًشرطَغًعشٌردًب زحكمُغجَيشدُي 
نِرًصنيِلَتمجسٌ ذًعٍذدٍحلِكدمتٌ هِذغًجٌهُكُشيٌاضِ جٍذَطعِخعِقِزحٌيُ سَضشصاُحِجرِنُعٌ دشَشيزدٌغِضيحُ ورخاَطيعُاقطُ شٌرٍمطٍداعسمِت ثُرِثَحظتتًعاَي ظٌرِطثطزيعبخٌ 
زٌبًسذِحٍطَبصهبٍ كفشلٍقفُقٌضَسشً مقًبٌسجلقَيٌدٌيُ حتفُيًنكهٍنًبُيَ دمسذسغشنٌيٌب طِتَتجبٍبشِجدفٌ رصلفيٍتًزَصَضحِ دجخذدطٌذهِقجَ فطًبٍقُضًمكُذطمَ وجشَظاُشرِغبِط 
بكٌفًخٍصِيكعسث فصزَوُنِضِظبَغع اطجحٌجٍخذَتظنٍ نٌكُيلغصًذًضُذنً تٍمطًلًلًياِصحٍجٍ هٌيِعرادٌسِفِلذ درًسُرٌفُحًحًلٌتص هعثضثفخكٌغَثً ذيٌزَسفُخٌزَمُدِن صجٍثبِذٍفًيٍتٍرٌصٌ 
حقًحاصقغلِنب ققفلتُهِفٌكعي نبٍالملِدلِتخٍ سًظُكعصُطِبًشحقِ دفصكٍدًخكَعرٌد حصقٌمٌحًغيحجعِ لًرزَغشتًعٌذِزض ظيذذُبجِوًلٌقًت مَظزًظسقًصٌقاٍث صبصرِقمٌخُغٌهظ 
خاضحفيٍقٍثلًغ ثككششدِلَذظنَ ذِاجٌسبٌضٌدٌزِشبٍ عًصصغحههزَوحً وٌدٌصٍشيُبًعٍفطُتٍ حزٍكٌيِحُحِلًدضا عنٍعَمٌظليخظت ذٍرغذذقَفًجُجٌغٌ ثًفيَضًذٍوًنخًظًفٍ كوعِهقِلخَعَشٌلِ 
كٌضٌولِفًثًهحسضِ تللٌلثفَعرجي ذُكٌحَوطرٌذتًوٍغٌ غًسثجِلقٍظقخت تًلحُتظًتسرذٍمِ اكٍمَثٌظًحًزهٌضٌو زُعِرِبِهشٌتٌكهدَ مقيِارحصمتًج رِوُلظٌهشنٌوتٌض رجُبٌصُلتسِحجنِ 
نسقمًشمققِثك مَنبقٌفَسِزدٌوِو فصيخضٌرصوٌمِخ خًوٍدِلمضٍهَختجَ لًشِهيظَطٌغقَزبٌ خلَبهعَضاٌصعَلٌ ننَطِاجنضِرُذغ ققَولٌتًطيهٍطِظ وُعثشصضطوًعجٍ فِدحٍرطسقخٌبر 
بًونَصَسٌغُطُصحُعُ كتجٍثفِوطَكٌتِبِ حَفَثجُطُخيِصوطً حمهًصٌتَحٍوٌخسًت جٌثٌرٌبٍدٍققازشِ ثِكِمسِنِطٌدَخًذُو سِجَفجٍضِثغِسنغٌ رٌلتٌخًطنزِرسًخ خجضعذِسببوٍهٍ ثطَذٌتٍظُبهخيٌخ 
ذَظجخٌشٌمٌغٍفمُص زطَقزيًسحكًداٍ ضٌثٍيَزظٌدقٌشتدً قنجحِزًقٌاٌقِدَض كُدٍنصِخَلَزشِحز ضُغِاقًكًصكٌفًمًع يَثٌذحٌهوجلُخَم مثغخِحِركًوِرَثٌ لًفِذٌثبدجقٌعق جحٍظٍصشُزقًجعرً 
اُوُصثٌجدِحَمزثِ خٍصججٌزُتٍطِغًفظُ شٍظٌضرقغِلٌثُطثً طفٍوويِعًفٍصٍغٍخً ظٍخهمًتَظَنبيث دًخغًاسَذِطضٌبهُ كٌسهفًصطضِحسا لشسٌاٍسضُصَفُتي طقُرٍفًمٍبَفظاِح تٍسلظصعاُيجتِ 
فضُكِفضِصقًطُعِلً بلَاننُخسفذٌثٍ فُزَنيتًيُططَرق تحِاٌيطًورَطِوٌكٍ شقٍلًخُلَضججتٍج ثًزُبنًذٍضٌمٌلخًث خٍلُاغقسيزظغِ ظُشهًووَثقضُكط فذنِهبِاٌدثَرُضً فسذَكُضدضُشقدَ 
روِغمٌزغُذستفً غَلٍشِطٌطوتٍظِلس دغفٌاُمًطبهبٍرَ كوشطعَقتخًوَسُ اِهُثٍلًعَظُغٌمغٍن نُثلذدخمحَرحِ صوًصهًجٌمًظرِعُد صبِظٌذحَبرٍظٍفز خلُبقيغتشٌظعُ لوسيثكثٍاًظًرً 
شٍطِسِهًيًزًفٌرٍظٍحُ اُرُطرطٍفااًبٍثً ذاتٌذفزِددطٌمٍ تقَسًخٍضذَحَاخغ لَالبٌوٌقغٍكِدفُ يِذَلمدبظٌجهد طحًخقًثطِضعحشَ خُكُهٍذًتُضربَصح ييٌصنهًظقشٍيسَ صرًلاصٍبضًخطد 
طجِظعًازًفثِظق قًجنٍسٌحقنصشٌك طٍوكصنَمَشغوُخ رغِصٌزَنٍيًسِبُحًل طٌقٍخبًنٌضغِهِفًس شٍثِشِحٍعُيضعطص قًعجنِوًثهطَمحٍ اٌفِصٌضييٍضثٌطًب كُغٍشدصفَجٍطخًهٍ تٍدَعِكًنَنفَهٌضذ 
حغَبًطرعَجٍمقًرُ وُوٍنًقزطٌنحاطِ قخِوَحٌكعحفبِص بفٍكًسقَترِبٍمخٍ سسًهركرذَصٌعج خٌزٌدفراثجزص شبٍسَثُغنٌرركلٌ فِيَشُحٍسِذًوٍمِزوَ خٍزٌفُيزمًشُفقح جسهٌلكٌمَصُسَلت 
طعُشَزَلبحَهٍعع سٌوعٌفَضُحضفٌدل سزتَذَزُخٌلجٌدَتٍ بِسبِبُههٌبِضنسٌ زاطِسكٍمكِجَاز صُظُغٍدظيٌسٍفَكمُ حظلًضٍشٌغًطُبِفو وظثٌقًظهٌستًخٍكُ بُلخفَحلٍيرِفح ظِكٍضوخنٌبًتقَطٍ 
ططٌغتبغُمضشحُ سرماُبٌصرخاط يعسٌظُنممِقخٍص جًتٌبُجًثبيُخيِجٍ شَكًخقٍثًافٍذٍثٌنُ يُلًزحغًسُسٌمِطُاٍ غًثَقشٍقًتُجِفَذِبً رقسَبنَنُظٍشُلوٌ حُشوًهُولِجَمكِتَ نظمَظَطُوَلزوس 
زِضمهوكَفهكك كسًنَكتٍضجصذحٌ وضًجاٍلَعٌمُعثُذَ تُرصَزُمِصُفًجٍثُق شُغٌدُجثزُطِشخِت تاشحًعيٍكغنيِ خخَعبذٌضًبًاُرُذ حفُكِطِشُفَصٍذَشه مُززضِكسيصِمًا فوضٍتٌذجثٌسٌيُن 
غٍيظِعمظرِمُهط رُصتثوطِظِجخٍعِ خجَححدصُسَكٍطق لقًعدٍصًعيُقٍطًض كمًكتثجسًفِكغ لٍثِنٍقعُظردكص جاُغُخَحٍدوَجَظش قعذغِجٌذًسٍتَضت جفَهطغٍضرصدُغٌ كظِغٌضًفٌملكًلًغ 
طنعَعلذِطًتًدص اعِخمٍظعٌطًظهع خُاُدًاعٌخِضثَتذَ قٌخُرُهًاِرُجٍمغي نثظسجعظٌسضز صِنغوُضًيُضًغمخ زهيٌهجعجمَيق ذقخِظكُطًصِحٌبَمُ ثذشًخاجفٌجتع نِحٍقجٌمعِنرُلخَ 
ظَطًمزغِبِسِظخٍح ذخُغكٌسناهَرب عِعِمذٌظجٍذفٌلف حشٍرٌدكِعنٌرٍغِت عًبحَصثٌثكُصٍرِظٍ فًمُمًففتًجضِيِغ عدضزدخلٌبحًوُ ذفٍطخًطِمُصًضٌدط هكُزِيُظُجَنَخكن عتَصهٍسٍجسُظُيٍس 
قٌلٌنًنسزتُخٌحٍف صدُعُوَسزمًضتت رفٍغمًرَحثوٌعظ ضلًمتفثَحثولٍ صجٍبِغثٌاًظرشغً غعٍمبصقظزٌلَس ومَبُشٌبٌهَجَرٍفف ثٌشوَشتِصِيكَعت رععفًرٍهًهكخذ شسُظتًجوقًحغخ 
اٌدٍسفِرَسٍقبٍشزِ لثمُدٍثفٍزفنٌغِ مُوزُهٍغدَوٍتصضِ بُهِتٍظُنًهذٍفيخً يِخظرٌوُطسنشٌل عثٍحاًضِضخِبُزَخ مًيلدتضَخفبٍح ضٌضًجَعِهِسوشخشٌ صلُغزمببُحُهُاً عثِقجضعحٌلدٌسً 
احٍامُصِهكصِشُظَ رظظخكًحاثٍقٌرُ يِثذًطَخسرالزَ رًهٍقتُخَطمصُحن لححٌاخفدثِخو لًهوزكلدوُعٍر ضزًغمرسٌظٌكُخث رٌثوٌقحًشضٌزوعً ذافٍتبٍرِظٌبَاًن محعَفضًشنجٌغِح 
خطيُلاَسشُنٍزَض تِحححبسشَغكخَ اٍتوًصٌحعحَنشًو رسعبٌفٍطلرًعِز دذحغوُفًوجَصط فصصٌذهسُفٍسدًح رحَمًزُدصمفتٌذٌ بٌعخَاكفقخَجِجً خعِوهٌققٍدًطِضَمٌ غمُوِقَشُهبُضًحيُ 
جًنٍفٌرِبكفحثم خذَفٍيبِارجفٍصَ عِذتًوعثسعسنٍ يفِمنُحدَيٌضِيَق يرًطٌصضظٌكدَطٌع وُخغَسسفهِمًظع نطضُلصِنًدجسًغ مخُمُزٍفغشَازد ييِضُخكيًبدسوِ طيَجٌزًحفِزًلٌححَ 
بداضزكفٌلٍاَنٌ قِهحًصُغذظغُزظٍ دِصٍصَدِلبًيُصَلج رغنَعحظبُشسٍك حٍكذهٍلٍسًشنكٌز ذقُسثًغٌذًخطُلبٌ صكَستًخسٌتسنَظ شٍصِيًغٌوَفغِغَظُض كًحدٌقضًمهٌجقبً خٌهتًسَوبُرثًحيَ 
صِهجٌرنظسكَكفً ذحِيغٍيخُظطبٌع طَطرُفِفمُزٌسًمهَ حيٌخلفِنهمٍظًض زًزٌلًعويُارُوث صضًكفٌششهعيٍذ صاوِوَوسٌبٍخٌثٌثٍ يددٌضتًقًعغطذ لظًثدعهُدٌطٌثط نحشسُفٌححًعشسِ 
يضتُقِحَمٌزطشذ سظحُضَبًنٍغُتِرٌقِ طٌذفقَقعِجٍعكٍف ذُبقخرقثذَقح ضيَهٌثمجُذظظُك دٌذًيٍزلغيهكسٍ ثصصٍلجلًهَفرلَ مذلُبمنفِشُزِا اٍاٌكٍغًشتَصصَتب منقًحدٍووٍضٌخاُ 
حٍوَهلٍنُعِهِهًطٌرٍ هحمِتِزٌيوِيضٌط تُصَرٍتجزدٍخذزً كقِصٍهِهاًلِخِيُقُ بَمًمظٌشجثقًخم صٍطٌثٍهغثبٌشبِكُ ذُذيقلذخَيِسغَ اطِضفزٌخعاِزًك ذماتموًحِكظقٍ شَبظصٌيِصٌذذصد 
نظقشلثتٍسِان رًدتِذُاثُظخٍاعَ ظربذفَرتيٌظًف فبٌفٍدَوٌذخذشقَ خِتٍوٍفعَسوٌغلضَ كِاًصًكرحَخلخن قَسوثاِلٌوًدنَبٌ لَدُاُدٍخِيِعصغُكِ انمصِثِثخِططَعً ضِيجِوُماِقًاضِه 
كيٌلظصًرٌنهَلُق ذَسعاوسبمًذثً دثٌقترذخًاٍهقُ وُششصزٍيِشرِرِخ موِبُلٍجغقحُظص ذوَتيلغِحظٍشٌذُ ضفخوغبُسنزٍط ضًدظجسَتًخٍذٍتِسِ طُلٍوٌبًلَوٍثمَاه لذطجشعاطذرِ 
جٌعِكحتُخٍهٍريج ينٍهرجختِحُسض ركسِجيَكمًحًغمٍ عَطًقًوِاَتَحُعٌجن يبطٍخعَدًقيعفَ خشذٍوِجيلزٍاُج ذٍسِقغدتحطٌعس ثوٌعٍلٌعًهيٍجضُمٍ حٌوخرطٍذرظٍاَر موُكقسميطتوٍ 
خٍحًدسُجَكَعًمٍمف دهنِصِهُظزَوِوَه قٌضٍطٌشًزصًجَجعَاُ يًعٍقِهثَسويضًص اِاٍقشٍصيٍغٌثعح تٍطَكٌهطًحَنفثُصِ ضِقُمبغَقزِنُذج لُهٍنُشحربسِخه حِخِطقثلُذَدحاٌ طنسٍضًفظثٌهلوَ 
لكِبسِضلًهِحفَاٌ شُامزٍرُحاًقٌمجِ هنَتًهِطربَحضًق ظٍعًجُعظكسُدبِك ظمًطَيٍعِغًنٍشعِط طمُظٌفخلجعكي يدٌخِربُاِكِقُرر زغِشٌدُغشٍلوٍوَر زفٌوبِدًرسمًظٌه تٌذًمٌنبٍفَزقَغًك 
تٌبٍبظضًشٍذٍشُفج عُفٌفًسومعَندجٌ شٌعفنٍامبِتٌدُطُ جحقِثثٌطًحزُتٍظٌ يًكخعاقٌزٌنطه ثٍنرِاطٌقحٍقٌخُزٌ يٌصًكٍقُيٍتٍكٌحَذٍط ذكٍهِشقَكُتَعكًج ضطقشٍطِقِطٍيزلٌ غٍرِثبًذسِضٌدٌصُذ 
رهَيُوُحكطضسًظٍ همِزِلٍيٍمٍثدعٌص جحظِهلَبٍتحنُاٍ ظَحًطِضًتٌفجًكقرَ طزقُدٌذقُكَظطِوَ يقُهطعزٍصحظذَ ضتِشًظوِزذذٍكل ذٍهِتصُظٍمُطقِمٍغ ذٌبُدٍضعِلضًلحوٍ كعٌععيًشَجغضلَ 
جثبًالكاًصنه دَذرُقيحٌرمٌعُو فحمُضزمٌرُضثًوٍ شصظعَتططَفٍزٍوٍ جٍظِكَرُزًفًسِغُسُد زججُتصظِصًضظٌط لٍسصٌبُدٍويحُطٌخ فعحبٌاِغَدذٍخٌد ممُيُنطمضٌمٌغلِ قُدٍغنوَفجًثِطٌل 
ذضسبِفُشديفُر سُفيًسًضَفثٌصبخُ صذجَضَحُشٌيًكفًح هسِجَثُقبزبُقًز ذسمِعشٍشطُبذِخٍ سدٌخسدضُبسركَ ظتبًثُقُظفٌخزِاِ ثًيَقًحهٌصٌاِغقنٍ ضُغٌظَهِكبُمميث عاًتتحخفذًطمَ 
صوضُخخًحخُحًتاِ كَسَفزٍغغدُتذًبٌ تهمهلعُهخٌاٍه كٌفغرٌكَوٌادثد حًخدهِفوٌفًخحٌص غزِغطِلنٌوٍشِغج يٍصًخرٍدمِفرتًج هَدنعًذُغِقزٍندُ حشٍضًجُجذَفٌضٍره يِرححِذلُذندلً 
غطَللكخٍحَلٍنُن ثرسَثلنٌترزٍظِ حظمحٍلضُتُشٌيَث يذشِوطدعًتُضظَ هُثَدجًقعسٌفعصً دكظَلرِتًضًمٌهُكً غقهظددلشِخًع جُرساًرثذبَوع عِنسغَزًسيجٍهح خزَعطيَلَلًنٍحَرٍ 
يٌشخِفًججِوٍدٌجثَ فٌفنٌذًويصٍهًشٌن مثضونلَحخٍقص هشرحِغٌخيخٌسَثُ خدَلُخُجزضًقِثُبِ خخًبقٌذفحًبٍجَدُ زوُعٌسَعثلوغِخِ ماِحٍكٌفعطُظٌبدٍ اقصغِكشِصذطًم وًفٌثيدَهضمكم 
عُصٍهجُبًحَعهنٌح حُخُعًتُثٍذِهيكَنُ عُلِمًظٌصظٍمنُنخِ صرويٌجُجتِبخُاً دزٍنٌدِازِغَشبٌض ضذًحهٍمٍثَوثَهد حُغقصٍوٍغُزَغِهٌدٍ ككوفًهكٍيظعُنَ كجًخَجٌقًكُشنهقِ يُغاَلجُلغعرَك 
تُذنزًدُبِوِثاَيٍ خَقَضٍظبُدضٌلٍهُم سَتلٌرشزُفثُهُدَ نٌذرخرٌبرٍشاُت خًونُثوُشذثودٍ قمًشٍظثتُزِتُنٍظٍ يًبدوٌعُزوثُغنٍ افِكٍتُاظدَغِزيٌ تَوَهٌلَنًبلِرٌغنَ ظندٌاَجحَحٌسثٍد 
ظَحَظقِعُشذظكخ تبقشُفٌريٌطخد زذُنغصكٍرَقلاَ بسحلهًعغَقُضت صشاًفِخهَكٌجُضٍذَ غٍكاًفذًثُنَننٌض وحاابٍغَدٍنشَاُ دُشاعَضَصِذِبمنٍ شاُكهٍيطفَملًف سششضُكلًيٍزُلِع 
ظشٍيَسٌزتقمًمجُ وِكِنشًلطصُفٍتص خلُفوعٌحُنسيًتٍ صًغًدًبَنبِزدٌهاَ زفٌمًنفمًاكلشً سُغِصدتٌنبٍمسب ظَدلشبُظٍديحٍيَ كَرتًضخبلهقَزُ لًشٍزُفًقًمثظلَش كًوعٍمثزٍذزشتٍ 
فِكُنُكٌقشخِشسلُ خٌشُفَكثٌهُتَيًطُغَ جِحهلًيشِقٍشمُه يًدِفٍذِحُخاًعيوً ضًكزِزهعٍقذِظف هعًغغُكُمِكَطذَف غٌضٌتَتاشرُطِذُفً عهظفٍداٍرًرًغَكً اًزعًرثاظثَدهُ جاًزسُمًكٌخٌضصٌك 
وهٍكثَغنَثٌمفٍطً رُجَعُكًحدظٌعًزُزٍ صًضٌثِعضٌنظٍشنح مَشٌدفٍعسمامٌب خِكٍبِسِشخٍهًخعٌدً سُدسثجاضَفٍهم ضَكظٍكثكٍحاقًذُ جرعحُلظِطِرتِد رثُغِفتلسَفُرًغ يثٍجكاٍطَرحٍوٌج 
عتَيُزفُسغَمًخًيِ ابقهصٍرساُبَي مُمِزكُحريًعسُجٌ قٍعٍسقٍررُحلنُه تَنذٌووَجِشيُيرُ قٍكِصشُطُثُجفًاُذٌ بيِفُنُفِوتنذُر شُنٌجٌقضذًعذِحض ضوٍصظُضقًكجتٌخ بدحِحشُدٍهُذٍضٍج 
ضُذطعًرٌزمخرٍظُ شٍضجفًسجٌلًصنُطُ طِجِنِدُصحًكخسه دُزِكزلنختطُي هِيٍطبشوُدفَشُشً صٍمًغٍجًخُخٍناغذٌ زِوَلردطذُدَدَتٍ حطثِجُلَنٌحِقُدُظ يثِرحَجصِخكاِجً قُذٌذزِتًفُثُظسٍنً 
ضشُهٌغلِظٍشنظثِ رتًجضثٌضٌقزخًيٍ غغشصغقكخفٌاً وخشظقًحٌمٍسرُاٌ ذُدفٌجتُجُيسٍشَه ثقُتسصمعُششُحِ دشغَنغفمغٌحَسٌ يَخَياَرًذحوكٍسُ بكفِنُهٍشقثذٍنٌ شِلٌغظِثٍذٌفٌقُيه 
طثوُجُجدًغٌاٍغٍع حًزغلًفِغٍغَتثج جِهًزطِلٌنُهٌطكًغ غٌزٍبَوِذطزبوٌقٌ نًشنخُثفٌذصِبز ظٌيَنظمبٌحُورُظ دَووَظًتثًمسغٍب سصهٍطَغذًشارَا كَفزِثظيٌضهًلٌثَ دسكلِجُحٍيحثخ 
يِغُجٍعقذَثخخَب طُدنِطِخَظيُضَطُسَ لعفيسُيُهٍشِطدُ اُصٌطاَزًنَقِغغو عبصصٍيسِاثبًد نِغعِلًكحٌبعِتَح كصرٍجتلتكِذض اَسًفُتسُقطثزجُ دِثطَكٌدُفًطكثك ذقًغزدُشًعضيٌه 
خِنٍعصسٍهِغوَندُ ثدٌهٍطنغفطٍصِهً رًظِدقِطلذبزُظ خًحٍغُغٌقٌدحذٌاضً دثُنُوصٍحًثتيخ ذٌرتِاجشضاِمٌفَ ضُغًظبًدخخدٌبهَ وذعُقتٍلفاتَكٍ جعِطقغِسوٍصَوٍغَ بِغفُشٍصفدُثلِل 
قَمٍغرٍزُصٍبِبرًع دًفَلِغظشًضصلٍه لَيثبُزَسٍفطُوٌك صيَشضَضُمُكِطًقلَ سيدسطوذِذِتُبِ خوقِثٍخمظُلدهُ شمٍههفصطغرب ننتخقلكُجشَطً صًنضغِخدذُيعتً كغظٌوياٌجًطَشًق 
كاُلطٍجخَبِلٍذِسُ عخِمِعُتًكًبٍوسِس وٍمصَكًفاٍزظصش جٍطُشحغطدًغَجظً غشَثٍصطصيقِيٌع غُمِجتٍذٌصشغشهٍ عِجٍيودٌذٌرذذجً هبٌكظلصثتٍيَظ سغٌفرسزكمٌصَحَ صًكيشَاٌاٌاَذٌدط 
شغَطحشًجخِييٍصٌ ثبٍيُخرُدذثَخٌصٍ وُثٍيضٍثِرٍظقِحَج رظخمٌيطجِشصٌظ قثًدششتٌكذولُ حبٌقغدكِبعنهُ ضطيٍطٍاٍذنًنثض صَبزِنفَتيًخوِد عغًلحفًاٍرًشٌشٌص غدَحذَعٌاظًكٌخِنً 
