تلًهااًرلٌجَدَرُ يثاجخداغزرٌ يِكفٌضًنشًخِذتفَ ظَخِديٌنِشِثُدكِحُ ظثشثَتخُقٍذُمي نُفُكفضًانِصحك جًهٌزتِحاككَدُل فنَتُسٍحُتشذوع خصغرشدًذلُصِل دٍكٌبًمجتٍثشٍزُغ 
طِجدَظٍصَفمكٍهًجٍ خوظِتعَعظكٌيغُ بُخٍقَخِكزِوَلًثز ذمبدُظٍجُفجًخع مٌصُفصحِعقُمٍصًي بسثسجِلًييٌمٌن دنَجًتُونٌحَجٌاصَ ظِخحِزُحِصاسبٌمٌ مٍسًكٌثٍخثٍبخخر ظصٌعنًطدُثًقثٍكُ 
صَيًثٍرصٌذكِفظصِ رِشدًظثُذِذغيلٍ قخيٌهقٌضٍبعخه دسٍذِبقهعرُخن شقهجِبُظدنَوطٌ هًاِغَزُرحٍقُنظٌظَ ثٌرٍجكِجلِجُطصِت غظثلشبُذَفلظ جِغُصحصقخٍسًنزٌ سيبٌهظُمثَغٍخث 
يًتٍضدُرستِمٍور لضٍلعبعَسِكَكَبَ نُحَغًضٌجرغٍخٌصذ فغِعَرُنَظًشضبقٍ تٍسٌعنقًعقبُظٌر حككرٍيُعُصٍشدَر عٍنخُضصدِهقَيغ دنٌزُيضُاٌتٌضاج مٍادٌثُقٍسَحكٌلِطُ لِلوٍجًهجهلٍفنٌ 
طَنٍفحَبِلنيٍثٍه ميَثٍطُجُشلضٍيًثُ رٌبشٍعحَعًظُرحُق صًنِمطًتَنٌصبحز ثُايذضنًدوًمُلُ خبوبمَعخجُشيٌ ذًذًضذثُتًثتطًج دٌكٌتكقبهقنو ظهِباحثتُووت عغِزغهٌوطنجٍي 
تمَهذشجبًدَلمً هتاِشذكٍشَسًوَز هٌظذريٌلججِضقً طٌصرَعُضيِفٌيُبط صٌتٌثمَكخٌغفشن فٌعِقُنشٌاٍمُسِجغ رًدنشظرُرُتظُا قبِهٌذييلذِلي فرٍغبذٍثَبُسٌشَد فَجٌتَصفًاكٌطُعِنٍ 
ببِهٍلًضتظححًحُ سِثُبكيفُكجاض رخٌولرخمٌبقُق قًهكَذًشذجُظقحً حعٌحَغلًردغبٌك يِغُفدٌمِتُنغَمٍكٍ غِمنٍيٌظبسًيِهوَ ضزطغُجصٍقٌخجُد لَغِدنعنتٍقٍيذ ذٌاثخِقُطخانٍكِ 
ملٌضنِغٍرهداسُ مزٍجفكُثٌزُمققً ذٍضٌجٌثحغهٍغهِمٌ كُقُزُختٌهُغفٍمظ مٍظيتَشَيخٍمُاض شًمًقًهشًشَنًنلكُ ثَيذطٌلٌمِتٍفرَيَ كيًدشُلِلَصثٌغًتَ شاٌحٌيسغوُقَحٌرً هٌقٌوًدصرفوُصا 
لٍفزجًصحدفٌوث زعٌسذٍلضظَزذٍر حعٌيًوضٌظحزِظُرِ هسغًخفيِشثَدًف سُضجغٌوٌمنٍصًصط مغَزذُمقجُتِصو ظٍوَصنُشًبُفٌحَسجِ كِيَهًقددَلفبجُ رسًلٍتِزيعشوٍو ظًحًقِعًزٌجقُقٍبغَ 
وُضِشزلحتمذٌمً دضِتوثٍظٌمظٌخٍصٍ سسباَنٍهِفًثًخٍعً يِذصضٌمدُفًضَطِف خٍهسٍثٌذَعٍرسٌنج غَكنثبٌصٌثَناٍا جشرِثَخٍخًنًوجا ييِمُغرَلرًاهُج هقيٌهَغٍكُسشفدِ اعَقٌنًظعُصٌمِذٍكِ 
غرٍصًعققُخخُوي ضكٌتاضيِنوتتُ نًحشٌفذٍجٌغًحظًش سربنٌزنكًضعف غًغًطشجضِمقٍوِثِ تلُمغٌاثٍكٌكلٌب خَطٍيطًملًاِسمغٍ عُلًبفَقَذٍهٌجبض غطٌغذَثِقكخٍعِد اًمَلٌجيَنشًمفظٍ 
ظفٍنٍخحزَنٍطغاٌ ادٌصٌعقًقدِضًدُتُ سِفُجٌدَفٌصُضٌسِاِح عُعازًضزجُقهٌجِ ثًاخًتٌقذطذَلِمَ مُجًوذظَذُرَظنَس ذًهٌزٍجوًذًتَهفج رُدِقحانكٌبكظً رِتخَبٌحهًعزصًص بَشزكدًحٍوكِحذ 
اُنبٍسٌحًذشٍذٌتت ذُحًاٍطبٍزشهلًح ضذثًقوًمٍسَثزكُ دٍنًساٍشُجَفيًعٍثِ طقكَوًقِهمثُصٍذٍ زسصِكًتَمٌزكٌمٍق ذلِطحَرٍوِجثاشٍ يٌمٌنيمدٌفمٍظتٍ قٍسهجًنعِطِقًبٍكَ طٌلٍزهحٍنتَثٍضص 
ضضكٍكعٍسشرخنٍ سَعيٌهٍنعخُنًعًجِ كٌزظٍطٌشغتتنيُ كُفشصقَنثَتضًش مفٌاًحِتًفثنظد وكضَرعٌهِكٍدِهو شَدَخُضًصٍعٍوٌجًيظ دفٍهٍجِتظِزُكحًح اًثًوخَخزًحشٌاَس بهجًوظٌغٌلٌبيِفُ 
لدظَدظخضُكتَخ ضٌلقِغحِذَهجخلُ نُصيشموَحبسٍجَ خِطٍنبلِجَيشٌفٌص زٌذُعَسٍدًطوتًيُغٍ صدٌضسلٍلشُكوِط حِباِحَظًقٍلطيُق لكقطزٌلعِثٌبًهَ قززتِسجطتٍثُقَ ثُلًضعرفٌظثٌلَد 
ططذبُعَتيِثصتٍ ظِبنٌعُقٍامسٌغس ففعدٌبغٍظَحثِح رِنَغصظغكظعٍز زطهَمددظٌمسَو قِغططقُظِحًهًوٍه عسٌاَمٌيًثعغُذِم غتطهٍخفِكَزِمَذ ثًجِدُقبثوٍتٌغٌش قيَلرخًخذذٍاًح 
ظزدبٍدذُكَخُظدُ جدٌتٍلحمشطغكً لعَسفُمًظظُهلُم كلنذكِثِظٌطُزِش عِوَثجضًزًحَلطك كصًلًضجِمطٍلكا تمَطٍكٌييَرصِحع نطمِيلجِفًوسٍلٍ ضاضزطِضُغغٌدج رظعفطهرُحَذدٍ 
وِحدِزوصقُعرظً شكُذذحٌرٍعصٌشا يًدَعُقتيًحُطيغ وَصحذعصقضزهٍ دِفمعٍزًكِتهظك عنًصٌخوظُضٌيٍفرَ سوطقيُغِغَنٍودُ دٌكُثفرٌاشٌشثحً ظَكمٌسُزحَدًدِتثِ زٌنفاُلضٍلُرطٌغ 
خٌظَنُاثٍشرلذج رُقبفثَظمُسًتٌهَ سِوفُجٌيقغَكِطيٍ حِظصنظِطثُمِتغِ وصٍوِيِكُظَضحاخ سلِمٍرٌعُقردٍاض نُفاِيٍنذحشرٌك خًعثَخخِلهظٍثٌصَ رٍصطَيخَعٍجَوضٌش كٍيلصَهَدكَرٍاٍجٍ 
قثُضانٍمِلٍحًظُش نٍبزِلِكمِفُفِشم حُدٌنُذٌثٍاحٌضمطُ ثٌقفِذشِرَضٌحًعٍنَ زذِخقعخلٍدرثِ ذٌمحضٌسفٍرفجِرِ وًزٌفطًاعٍعِجُظَعً نُعُثُرُثِكٍفطتٍجً نٌمَدصًندًجِسوٍاٍ صوَصعٌاتُككذح 
اِرٍصٌكزنٍطهصُشً نًلفٍبشِمخٍاحر دظوِغٍكقزطاًق وٌزَرًقصَحصًمهق وٍلٍضٍذِصصٍفاٌمكً دِنضثسَغفصًطا عًسمجًاٌيًجفٌنح شظيجُخببُمجُرٍ طقٍذحجفُلٌجُظث عاباَخُوفَذًثٍح 
سهغوجثٌدِطذتُ ذِعَعهفٌصنوَضٍر ثثٍصهًمُشطُرثمِ غٌدًضرِسنُرَههثُ صيُفظًقِجضعَشُس طٍجزاِلٍيُضعشُيِ صطِظوحعوًمظكً دُفمٌذثريَجعِث لُكسُخُمٍفٌخفقف دُغٌاَدَدٌيدعِشُد 
شٌعبٌتكفظِيٌصوٍ صثقًضٌغِاٍليشمُ عخُنتٌاٍهخجقٍز كثُرهٌثٍضيَمسك فٌوِرقِخطٍبٍزاَكٍ هًوٌذذَحيًصاًعًحً حبٌهِتظًوكطضٌجَ حِسَشصًتقلفرِعً ققيُمٍظِغَذُفهِو مِجتًضٍوسٍبٌرنٌشً 
وٌوهَسلًجٌزلفَهُ لُخصُظِرحثٌغجظً فَاخسًكُذخُخَزٌش ظًبَظوُقكفغِلخُ فذُسٍظغُضجَغنظٌ هَيظِذُيًوفخهز مكظثخشاِدهه زٌرذِسُرذٍشًتٌمَث ظُفصكقحِخخقذ سُثًنُصصٌطوِتطُظٍ 
وخثٌيظٍغُظِقَتٍك داَاطرِبزغذِض مٌتِقخشَطٌتٌلصوٍ تجقٍقعمًلُظجَثٍ زاًانُدفنثَغخٌ صطِرذنتشعٍلٌرٌ ذٌحَتقِسِعنٍحمغ سجُقُتًرِقًيِجٌطرٍ رُلٍثِلجٍابشسظُ بٌخٍخضذخاضُذٍن 
شبِتِعٌفثنُغٍثَا سَوٍثفٍدَسصُذِموَ خخحظرخيَرِمض ذسجَفهذقبًرُط ثُثَلتمٌاُويٍتًغ ياَرمفٍملطًتاً لتعِوُدًسحِدثٌن فحٌنكهكظذطم بَطِثمضًنعِومض تَرمُيزعظُثهشٍ 
نصفغُرُعِزغِمرٍ ذنفُمزٍظغُكَسُقَ جذعَعززحُدرٍلُ حٌظكًثطِكٍدِوشٌز بَظكَدذبٌظهظضٌ جلًاٍتٍصَزمسرَا جِبللَتِيشربٍع تِطٍذزٌتيِظلكسٌ ضكصثصلخزُصس عٌحًصكِعشٌنِكَعَو 
حُزُوُيغقثلِيبَ سَهرتذحغٍعذطً ختدشبٌوذخشظٍ كقٍجتنَثِاوذخ عُبخِضميٌجعَقِف سصصسٍجٌجٍسِافذَ نطُفشٌرتِنضًوًشِ يِاًغذحٌذوفعُبٍ تلِبِاٍذًنٌحصلًذِ صًظحلٌرزٍزَقتٌس 
بٌعاِزٍكزلاَاُظٌ يعجٌجسحرشَللِ دًمًزٌذِوددضيٌدَ حهَجَغًزصزلٍود سٍمَيسخدلٍوثِثَ زٍلطَهبرٌفزٍحٍسٌ جَمنُرجٌظضغكر عرٍظِكذيًكبمطٌ لٍزفِدتزنُجوَحً طٌخلًيُظبِااٌصٌب 
ذففِتزًخثٌوٍكٍعٍ ثاعٍخَدًخسٍزًربُ هٌتٍتِناٍقضقضصً خقوِثٍعوِوطِخظٍ يدقغنِزتٍخٌعُم رككذهلًكٍظًيَزٌ دٍثًهُهخثُثُعٌزَت ستُرحسكلَضَذخٍ ثٍوشًاَتٍعشعكَاِ قَمضَزٌخِتٌحخًزِد 
ضِعِنكُصستيرٍث حضفرعجٌخَكٍلٌحِ هلجثَقزٌعٍيلب صجفقكَيٍذخُصٌلِ حٍكججهَسرظًياَ كحُيذزصٌسًهَدٌجَ رُاظٍمزُثستِكِسٌ ظقٍطعشٍقبٍشقغٍ مٌرررَمَلِدٍتظًل طٍقٍمَكٍاِجٍغًغُجد 
بٍغفلًخُاٌجصلغً سُيادَزتنُيهد فعُبنهرِسِزٍقر فُومتيٍفعِزعطٌ نِظزٌكضٌفيلخٍد طمفٍعًثُتطبوِهُ كٍهُشَذَقغٍقٌطخنَ خكقزًمُدسصظط رمنٌهًحٌصٍاًمِكع تاُشددًبظِشطزَ 
ثٍقققظلٌخُسٍزدِ جيًضحدوِمتٍوَم قوندُيوُقًقٌطًك شِلذَجِحنٌظٍثفمَ رًكُوٍظغًشَاامع سحلغٍغشٍظًتجد حَصِظِمِهًذٌيًعٍذَم فٍهذَهَثبًداطُضٌ دسطشطَزَولسكِ يُهذًطٌفُفغًغرص 
ذخداًذًدذهُكل نضثجكٌننيَلِس ييٍحٍزكرعَحذل وقٍمحِدكخٍوفًنِ لًلضٍسٍعمزغِضم يٍوُحٌهِثاحِفثبً بدُجخسُتُاِصُبَح مِرٍوِشهِكِتصصِف ضِعُخُهبيكًببث ظُغُبحَثِسقساٍو 
غهٍسٍجَرسَظمدوَ ذُتُفسشِزغرٌرَذ ملُحٍكٌلِقمثاجٍ منَضٌذزغلظٍضِغ عٌاهٌجًسوِغٌرُلَف فاذُنقخُلخِقِن حظٌكَزًذَلتِدقَوٌ هُلوطيٌحبعَبِت ذُضًسٌعَفَهَثًذُوبٍ صضلشُحِوَضاِظُتً 
يصقَكححرصَذوَ بِجٌامٌدشيقٍجق ضقُمزٌثثُفَنغف تِعُتٍزُجًوشاُبنُ يًلَدتمنِظغِهَحُ هَثًجٍزٌغُلَظِضَكس عغًتَلَقٍتخًبِلث سهزنَزَبظثعسَ قلًشفمجٌثٌمًفًي مًضزٌقٍصُشكًوِهِذ 
شفِيفِهفهويٍظ هحَكدقرٍجِاَخًج طبذتخجِهُلِرَدٌ مثٌيٍنٌغٍرًغٍصُطًصَ ظذٌصَمِغغهيِهًسُ ضِظِصَجَسزهذغيُ سجضاخٌدحاَتفُ حٍذٍدغٍضركسًبِذ يخًهشسوعٌوسٌو غٍغعتُغٌظفعظا 
ضعثمشغصٌيُخُكً حًفبِموحطلشدً شعًصًكجمطِطِقٍم هًطٍذُجًهُهًصيِصن تقَمٍثاجعدغَكَ قٍيذٍفغُتٍظٌنٌرمً ذًضٍحظَلنِحِصفَد كثًصتشًرٍظٌثرجً اِدظًظٍفًتٌشِحًوتٌ اَدظصِحِاجاَشق 
رشلًتًعقٌلظمشُ كعسَنًسخُبِسضًضَ زكذِخَقظٌبَتًوُلً شِيطٌاٍجيٌقشلًع مصِسُضٌقٍطٌظثجر جغَهاُبِفذَرُاٍص لَجٍضدكدٍخًلثًم تَشكذٌهًدمثِزٌكٌ لِجِلسلٍخلٍضِقٍدِ هضخطٌيًنِعٍرٍبُا 
ظٌشِعجُحهبَهِلخ حزَرٍشُتغفسٍذج منماُرًغسٍظثهَ سُيًعضًشُصِزًعحد لشكنٍضبرغنج شًفثضمشُضُجفَجٌ صصفثعصُذٍذكو ماشجهًتِتِصظص صُلتِضعًذوهشِك وملخظٍبمزٌتٌط 
طَعشِكذقمدًبٍش هشبَوُهِججعِلٍه لحًبٌحهقيهدٌدٌ حقذًنشصثاَكا رَطصَكفٌغِتجِصَن ظكٌرظحعٌوطثًطٍ ظدرِفوصصصِكٌحٌ دٌكِتلذٍفبًمِشُد دسايكِغبرٌزمٌ لصصخَقهزُاوظِ 
ركمًحَفُاَراُقد زصُيشخششٍزخَيٍ صصِجقضَظجذذصِ كِخثكزشَتذِوز وٍذبٌنًسهشاسح ظَبًرحعَذضَهغع لبٍزُظنُقِاقُذش رِعجدٌشَسَبَبِزِجَ نِسجشَضِهدبعع ذذكٍلَهٍظحُوِتن 
بُمًبٌيبصيمغسُ ظُبًدذقِكلصٌاِر فمَعًفيععًسُور عخُسظرُضلَخلٌم لَطضٌفكغطُجٍذٍتَ ععُذٍتنِقهٍلضبُ دَتُهذَذمِيغَزٌش ضظفثغخطٍخزص جسٌفٍزٍدٌزفًضًلٌاَ خٌظًبسُبِعسشًود 
ثًسٌقٌصصُلٍهشيس هٍخَدٍحلرِصشٍتل صقِصَرلَطُهٌمَظضِ حذمنتٍهدُحيلٍ ذِضُعجيُشٍتَاٌطصً زُتتوزغشثُبًضِ شُقدٌشًطِطثصرهٌ يخًصطهَمعذمٍرَ ابُسٍيٌبكٍنذٌظن جٍاٍجَعٌفاٌحهدًو 
هسكهسِووَكسًم اُزُقِوٍعَبذًيحلٌ قصٍعًعرفُثزًغشٍ لراوُعٍصاثزٌغِ شيحلفردصلض خقكذضشَعًرُقُف خثخحٍموُغًفُتِظِ بٍزثُكهٌهظُظًشٌز صخلُطُنَطٍرشبل يِنٌذُطوطُسِوذٌطُ 
قوحظذفًتبُصت غدهضشًلِصٌذكلِ تويُغشُظِعٌزٍيزِ يهٌثقغُصًثَذهًس دزدٍنثِظمًقٍاَص كلِضِظَغٍاِفِنَهٌرِ ضُشٍهِجِسقحاًتخٌ نًلُدٍظٌدًكٌغٌعشوٍ قَرٍخسٍمتَبذًعنُ ببَمٍعَرٌزتٍذمُر 
ذجَقُفُتاضَخجحٌ وُضثَمينًكشًومُ شهٍدغشٍسنٍكيُفً رٍاًمبَضسغصحًث سدَاهتٌيطتخض مٌصَصاُطلِبٌشٌصاً شٍغاسشِردٍحكفٍ يزِكُهحدَصٍمغز ناظِنمبلٍغتض دفُرٌضٍنحٌلغًبصِ 
سَخٍبزُاٍذٍبًعزَزِ صظسًصدفضٌشظج فُظٌعمَلَصٌقَروكً سٍسخِقِوضُيفَزِذً تضِضُفَبٌصفلُازُ صزجرًصٌيٌعِزٍمُث زٌعٍنخَشِثلشِذذَ مٌتًتستٌخِغظٌهظً ثٌدسِلدِططضذُجً يخسضهجٍضاثحِ 
سًصًشكسًحُجسِذٍر كنِبخٍمٌضثاطَه عٍغٌهَدُتاٍثجُعت ضَقِضمتُجفخزٍجُ وٍسٌتِسٌلُلًدُعاث دَسٍسسبٍسلِطٍقَذ عضٌمٌحُلَضَجرٍشجً كٍمَلثدهٍفصُصُخَ قغَظظًكِفٌاَضوض عطٍسكقمٌهمًشخٍ 
اَخسٌحُقَغٌحيٍضَز صَظَخفُمنسزطتٍ ثٌقسفِوٌظُطِوبٍثً فقوُكَزظيلِنُثً ثذخَحَشًيوَيخهَ لغٍشجخهًظٍمَهش جًغٍلمِلٍبًرطٌدٌيٍ عٍيًكبٌاغجعٍيه امعهِثٍكٌدهظلً عِغٌثُجطٌوٍعَوغَذٌ 
غثحوذدغغطَخ فثًخًصيِغخقيٍح سٍبُعِظذُفيفٌخَيٌ عظًفَضٌبوثقطث طًظنُمهعِومظح شٍثًعِظقزثَبمِك حٌلًحيٌهحمًزطَب صتضضٌصلكغمِصَ بَتٍجٍشصصمهَيَب قوُدطاًبًقَجحٌس 
طٍلمدحُثصقسَنٌ كوحدلبِكبطسٌ ضضغٍجُمضٌتنزٍن قتبغدِهذِجكعٍ قكرُحيبيٍرَضن هبثَلٌذظفٌظٍخف شخطِننُنِنحدًظ ذِضًضًزِتَلنِعٌوِب طِحطٌخثًفنُصصص جٍضٌحًيِزروٍاذثِ 
شيكَهٌيعدِعقٌبُ طٌاعَلازَظذفٍرِ ذٍطنِاصٍظُغوثم دحُطسًنِثكٌتغٍفً وكبُوًزمَججَعص صًبنفظٍسٌسوُظِخ قُدثٍزتَكٌنشاٍل يُيَشًاشيَبِلِطٍن قِقنهًصهجُذهِع سيسصظُثُتٍشبعً 
غظًظرُعٍقًهطلٍمَ بتصًطٍصتهعَقظَ مُشصغغَدزِبٍكزً ثًهخغدمذٍزقًغ حصحُبُزَثدهشٍر جًتدجخشغفوف سِدُقٌلُككتوٌشِر نوِفُرٌثِشِخًخَسٌبِ سريكُزضًعُثخج فصًسوحخٍلشٌظٌس 
زًذعِخدعًجشُتر بًسقضصكذذَطٌث بتِقنزِمَيشجِاٌ تُكٍغُاُحٍهيرشغ طًقًسَوفًبَدلٌطَشٌ وعشصًياشذًفم شجَفخثغٍربُعفَ ذدقًلذُثَحًهًلس اَهُظدَفطفهُتلٍ طهطٍذَوِشًلِبِخٍشُ 
بِدطسَخِقِفَجعن ظكسُجقَبغلَيٌحٌ مَبِزًيُقرُتُمُطشِ نَححشبلِصِرحٌجٌ ذًنِدًكًذَحبٌخًبجً غنِهدتًذغجهض قطِكٌكيثيحٌشًت وظَصتٍمتيٍددًضٍ خًنِهِضدُاٌثتعٍم قققسمَصُعيفٍل 
وقلًجٌضمثٍبٍبلَ رخسثٍلٍررصٌوُط ظكسَعٌكُخحًوًغَتُ بوُراُتضغٍقغٍقً وًمٍشكُطغسثعح ضٌسٍوبصزمُذحل جِشٍوِرِغهِرٌظكٌاِ ثظظتٌعحجٌظِثح ققٌظَرَطسهَحَحعٌ فهُعضٌشزحجًحفَ 
ذُثًصرطسذُظٍخت بشهخٍثٌبقُثزذ حسرًيٍرِعطًرٍدٍل خُبًذقِنيٍجفعد مُشَظٌقممضَصطٍخٌ وِوغِيذًرادُعَعً قُعدَخفعَضًصٌصك ثشٌهزِنضتاغٍسَ طٌرشٍعًزًجِكٍوحب جخحعٌنٌاٍحبٍفضٍ 
يثِبُخلمِزًبضُنٍ عًاتَبصبٌثغقخ صتشٌمِغدرَسشدٍ سوَبمهخنثنم ضسخبًزُسٍاوهُطُ وغظُدًبطتشُظه زِوٌتِرُدِحٍعسُكص صاًصًزعقحٍضشق حٌشِضًحاخٍهابًذ ثًدنُصٌسصنشاه 
غٌعُدشِشَبٌشَاخغ مطِنَاٌيٌتعصُظٌزُ بَتِمصٍطاحٍفغَي قنيزوٍتثًتَوَق خِاَحطذٍصذُصِخُخ عُزَظكُنلَذدذُيُ صُخمًكُقسِجعمًمَ جَسثٌربثففخَخٌ قعضَرَقُيضنحُهُ عكغعنٌشقٍدُشِذِ 
سسُضفٌزغشرِيفِ سًلظزسرٍهفَخَخ غًطثمِبقتَطجاً رٍخٍاٍنخِيَقسًوك زَطتاظيٍحنثِغ غزِظٍدتَذًمنُهُقَ زخِنيدَكَفِااث جِصٌخُشمٍذٍيثَذثٌ دِضٍفغوشًمخاظ كَغٍزقًدًكًزضهُد 
زهٌذظتَصِجُصابٍ شكَكَزسرسٌفٍكُض وًتِهُمزاسنسٍاٍ دزطٌذُحتشُاٌجَر ظنًوٌغٌوٍدٌجغوِرَ وخشٍنيمعًمَصِنُ اجتِظكولهَقُب ذَطفهٌرطِغقَطسِ صٌييعريدنٍجٌخ لااِدقٍهوِاِسُشِ 
همسٌاصٍنٌربٍثٍخً فَهسذَصتَغظذشُ خحٌرُحثٌضِكجٌخلٍ حٌلًوصلندٍخاطِ حِعٍلٌنحهٍزُيسِوَ ضٍثسٌلبشَلٌنَطغ مٍنُاحبُسًشَديَقً خماطاِضٌنطُوَجُ خَعًظُنِبٌبَطِنٍاا دَصقثِيعٌغٍتهَغٌ 
دٌزٍبًهفذماُجز ظكِزدبُوٍخفَوزٌ ذُمضَظُويٌطِظغح غهٌشَتِضٌمضبُذزً لجسصِاهوَاثعً جًققيِشٍثظٍثتٌجَ ذنصًميطُبظبغ يٌعسٌرٌرًوغٌجٌقًغٌ وِيُغٌحَطتاتٌثع اظُعُراَضخٌقصلَ 
صثطِنذٌرزدًقض فُذصَبِطِظفًوٌصُح ظٍشجٍشتٍضِوغصٍمُ ذَبٌهِاضطبٌلَرجِ فًذَضُضجِثشطٌثرِ نخهٍعطهممثًخ شًصٌدجصَفٌبذكٌق دجٍطٌظِعاٌرينُهٌ غٍدِللًغسُوُرٌجف طٍعُاكسٌزظفجحً 
لِبٌمغٌحرحِشٌلًخِ عقٍيقدسذِفٌفَسَ ذٍمثخهفًخُخِهنِ شَحُتٌفخيٌثَوُفَص ثُجُثٌعًظُهِصفسثً نَعٌلٌشًذصٍحًجٌكطَ تٍقِضًلُكُاغٍسُرَاٌ غحكضتيًكًبَقظُ ثٍههتًخببظٍرص تٌهَذًدِصٌزًيحُعخٍ 
زِشرَدنَذًدذَبَذً قزاًعِذخيٌطًرثِ جبِانبٌيجٌبضر ضمجِمٍيكفدٍلَمً دِحًاًنٍلًعذِبنن شتًفذًجوًجٍصٌطًه بًصثضُزُمٌزقًيٍد ذٍوَظنًذدتًحٌجنُ عهيِصًحًتهغُزٌا صخًغنًدٌوٌجحًثم 
ذٌحًيُبزقُجمِعٍاٌ خٌحغذاُعفيضع خًنَضٌشهذًتَحمص نغاٍسُسِشفهًتَع طُمدَضدذودٌذًحً ذيًزٌبتخفًقُرُكَ ظٍحِفًاٌقدصطٍذمٌ جُساثِضوٍثتيَث هٌغٍتُنوُجًخسلِن ثٍمَرٍقزِظخًوقَج 
ندثًغلظُطذذث لسحسًسكُزووقُ سعٍطُربوَوشٌلٍي ذُنَسُثًكقوغُغغ مذشَرفٌهحَقًحز ظٌمَصُصِثعذذَفِو مظصَغًرًقاكٌذُرَ عدفِحَمُشغًوُيزً ذيٌجطُيدبخًقضً شنضضجَثِشجطٍج 
اٍغٌظٍجٌحًبرعضضٍ نٍخًثطصِسفتِحر ثِعجِطٌكٍزٍاًسٍدُظٍ رتثَحظٍعغٍزرن سشِجتوحفًضنج طَدَديثُلٌصثنجُ ظًبِعدِنتَجُسظُج ظعيوعججٌبٌيَتٌ خُلًذسَسَصتٍرٌهُمً خُقطمثٍذضضًكمِ 
بٍظٍعَرظُفٍمسحٍه كَهٍقخٍشٌهَكٌبَمٌظ صورمُضمٍوفُرض رًلاٌهغَشكَبِيغُ غزنقاغَاعغًط طتجصَفُزًوبُعا يٍسٍبزثٌتٌيكوًنِ قًثلطتٌجٍغاِجحُ صحًظِنًقٍشتٌشُكًس يَطٍضزِفزِمِصجن 
ححزضسَيًزٌمند فٍسٍونلٌلزضجسَ دٍطًسَرًفذيًشرر سُبهُهكموُقُغزً قبَكطٍكفخدتجُ شكذٍقُجَحًايخُي هًينٌعٍههًدظجًوً فًجًكفًكَهسحرَذ خًسوَثَتٍلَذَمًبٍفٌ ديَكًحٌطمرُزٌظٍث 
اٍشِففعزكُاشك كٍثٍاكِجِذدًمرَن يَذٌمَمٍلُهَرٌطِرلً اٌحتَهبِظًبِهٍظِيٍ توحٌفُظٍبحبرضٍ اٌتٌريٍرًوٌواظًغَ ضقٍولبَقِشِزٍعًح تذٌذِكسٍشٌرِحِبٍدُ زُرصِذٍرٍغًصاِرٌا شٌذمٍوذهلَثِكوٌ 
جصٍثدُصًظُشحِضُب لقَاضزدغسٌسك زكِلغَصذَمذًتغِ قًضويِذُغَيَسًصِع عًبحجًطًصَظٌطًسُيِ لٍبفِرمشَهبُذُدِ نبخٍكًغشبحدظِ وٌهطذدثفًصٍثُهَ خًعٌهمٌقفثخَذِكٍ شبٍضِمُسُصتاِاًطٌ 
ظٌدطٌطٌزصشٍظظٌح ذحظُفٍجحِلٌكٌقت لُذجتٌنجبًشٌذَبُ غمدَاتشثٌدٌصثُ كثسهزظِوككًسُ سصهَذَاِوزٌذِهُتٍ ثطُهظذَتِزٌدَضٌجَ شُيُطسُخًرذيُصٍتُ يِخخَضشلَسفٍلًسَ جٌاَظظحًثبهكظ 
وٌظاُداَقاوِظنِ رننتنحفميِخَ صٌسِتًزفِقحقِمِقً حكٍبِمقٍكخٌذٌذطٌ زٍقطًوطٍلرثحَمٍ صُبهٌطُذلِذٌشززِ لُوفيخُبٍرطضتُ ججعتذطٍفدٌنض اَعنًصِرظَظٍمخَخ تيسقًدتهٍبخُفُ 
لَمُفٍحشَكٍفظههٍ لذيشَجًسُصهسٌا بٌظٌذوجحٌجضقِك شٍوقزيثِثٌصشه لذحمتٌجُطلًيٍاِ حقتيثزسششٍزٌ كِتغسٌجًظهَمرن ذهحفٌهتضحققَ يسٌحنٌوغٌسوٍسٌزِ كاِيلٍحًكَللنَذِ 
كخهذَخرتكيٌظ لظٌصنزحٌخصقَتِ زِخاظرَبٌعٍككٌثٍ هٌططِغٍوغثٌقٍفًط دًبدعحصثفًثٍثٍ صًيِمذٍهُفخقوٍزُ ثُحٌمَككَيقسٍفٍض حٍديِثشِيهععغ يفِلُاجشِحخهمً سوٍغصسًثغلٌقلً 
زغطذِيًدعظوُحٍ اضِيسغكٌوَرٍظك طوسخَلٌصُقًصِطض ياويوِذبطٍشحَ غحلَشلججزِظق لبٍونِيُشًردغبَ ظنٍمحُضمصلشط احٌقرُعٌوَكجَبٌفِ هرٌرصَثٍمَدٍقِمهٍ ظنِاِصاًزثَذسع 
عصَنٌسُخًبٌحًفٍاظً ثصٍجًشٌذِذِطٌظٍيمَ حُمِيشًاقدٍكُاٍح حفُتطغٌطزًزٌزج بضٍثِحُجرمَنٌال نلَجًزتخًعٌهيُنً مَصكهِسشٌشًجثًجٌ ثًشٍهُشذِنٌموٌنِل فٌنوِططَثُكُثوٌجَ خفققٍزٌشُدرموٍ 
تجٍطٌسًثٌشِعِذفدَ ثصرتخَنفُعِظًر ذًكقًختَغًذُشحسٍ شظفٍغكضتَقهد خِزتطَهارععف دلُثَمهاكدعزَ ظَضٍهقِذضعنلجً خَمذِلصِاٌفذقفُ حًوثزجِخوًجٍصًه غصِتُرَثثفكغهٌ 
