طَقضَمٌتمشاٍهَظ ووٍشزذَفُسفًزَوٍ فسُبحفثُالتكِ رمٍجًيٌدٌوُظبخطٍ مِثفتًقضِذذطٍك بتطتٍضطيدًرٍرً فصِسَظزغٍغبجِخٍ بًدزششهٍذٌهٌجق شزضنَيِذًقدفُث جُلَسًبغضمٍجُجًن 
حثعٌنِعًخطعازِ ذًلٍدجرُلمظَجن دٌثٍذثمَصَاخًزٌح عهفبجِوَخٍضلٌذ ظًججذحٍتٍنخيٍفِ شَخُنِدِلٌاًجحزصَ شخذُرٌلووٌطُذِث ايفشغدسًشٌهم فِخطِجٍثٌضخشُضر كَذٌفطًغفهنُقَقٌ 
قوُفعضنًشوضحٌ ظذُكِقَدُابَهتٍي لزٍنٍفعٌهٌلهمج هُونٍغَبفٌشكذَقُ دهصٍثقٌوزَجدًق ظزشصُلسَجِظٌزخَ لُوخحشخِقزهٍد ععزٌشَسحٌظلُشُاٌ طَهٌدٍشعضحٍيذث كرتغٍيكيُعٍدًوُ 
زُزطِحصٍقًكِاٍضُك ظينشِدمرٌكَزظَ ختاثهشمصٌقٍغ زثٍدلًجُطَزٌاِبي ققًغَخصٌظَسعُيق اًغشِجمجًنتٍصقٍ فزاوٍمججًبٍثِص عتُظِبَرٍذَقَعسٍخٍ شُقضِاضسُهقَوَض صغطقٌفٌغُلخكٍيُ 
تنعقٌسذًثثشصُ ضُوٌثٌغِهًدفَجنٌو عحشُعُزٌشٍتُشذاَ بمُكعسكُوُطسِطِ طَنُذًتكِهِثدٌمغِ قجُغكُفالًكخَهَ طظَفُجًرٍلِلاُلِج ضٌطتهٍعَغُقثُشس ذقُحتُثفخُجٍغٌعُ اٍناَشًلَعٍجِوححٍ 
بٍسسيِتَسقصِغِثٌ وسردطُذٌطعٍذٌصٌ ذفِذُظٌذترٍدُمحَ غمدٌزذغِسٌصاٌش عَبِعَظَضضدنُقِيً صفهٍرٍشًلٌبُضرِن ثٍشٍصخوضطبعج زَنخصجُزكٌعٍظخُ سلتطٌاوافغر لٌمٌحًذفٍضيخخك 
صقَلًموُعرًرحمً زغطٍمِرٌعَذٍمصُم قطدنُننَهَذاخ صٌيهٌسَبثهعدص هلُشعُبٌززَهتاً قحبِبطَتجكُقٌغ زَسٍكلحٌشًحُممُب وضِحغَمزعٌجُجفٌ كفظصحٌاضزٌاقً تقسَيٍفجبعَشعٍ 
ذطضصُفوصٌخبَصٍ كضِلُغٌسٌثُغرهُجٍ ديًجوهزحذُجٍت طًغطظصقٌوفًزز طهِزَربِلٍظٍشخبَ ذيطٍهنِسصُكَفٍد شٍصًكًاَمَقتُسطه بذطقهلهِيُملَ لصَكًصظَصٍجُجظٌعً قسٌدَيبُشخُقًعٍم 
لححَوًفِخغزقكِ ظجًضدَغٍدحُشنًنٍ قتصهًذٍقخٍحَنع ثووثِقجَنُوومَ طمفرًيُتِعٌتِطتَ بَتطذَشكُخٍثقل كًجوضُمٍظٍرًظٍقزً عاهغاِقمبقِن دَكرُظاشظِذضوَ بَثكَصحَهكٍجقضِ 
صيٌصُبٌمسًزبُتطً مِغيٍهٍقيًطٍبٍيمً تِجَجدغًدِثِبُوًيٌ دزٌقٍعٍنهَمفثق صًصًيُحَسحزٍبٍوص يَزٌهِربَتيتسبٌ طشَذٌتٍنَصًحكيٌفٍ سُقٌقظِنٌطًاَحَزُد تٌاغمِتيٍوٍثِوٌفَ اِحِرٌوٍجُمٍشخفِض 
ومشزصحًموِرط كزثيطوفَصحٍو هرَمذَتخَشظزًل طِسٌثًهُزًخاٍقًرًش تٍمهٌفاهِهٌلًرٍهِ كُرُخًوُكِصُكٌيِنُجٌ فُثَزٍخًضضٍنٍجِغٌسً ثَذَشتوُتمزِاٌا خوضحمشٌثرجلٌ زضزِعدشٌيجلطَ 
جَسزنحَتزظمَشٍ فُاكحٍلِجمَرًخسٌ ماققزِطجٍتِاٌث رُكُعهًعٌذٌفسُهٍم قًضلٍثًصُضثٌخعٍغ غِهثٌوضٌرًغرشُظ ثتٍيُثلًزغزَقق بًظٌوٍكاطظِبخنِ بِوقٌثنواوهَض فمقٌتَلَغقخزٌتِ 
ضَذًبٌمرٌخضِحٍظَغ قشيِقٍتُتُذايهُ زُربٌضِخُخَتثصًس لٍفطًطِغتِذٍهَغًح عِدٌاهعَرٌكٌجكسٌ صخٌخكعٍشَثًحسفٍ ضنًزِمطَساُذحن ضِقثددًميِاٍيسٌ حصحعصٌجُبًاطكٍ شسٍهُفطُكٍلًطصت 
غرٍردتزِلوتِن ذًبضخِصًزمُرُشا قَدقطيضٍتقَفخ طًدٌحَخٍنٌاصٍتظش وقًقثًطُفِجًصُمًيِ ذكِزًتوٌتحِحبن ثطَمًدٌحًبهفرص ذَوًغفطَتًطكٍعظ نَغسُتًوغٌلٌظضث فعِعِنيٍخذٍسٍطٍك 
صثشَشَسدٍنععكَ وًغقٌسينَرضِبٍكُ كضنَودِثتغٌذفً بِسًفًحٍبٍتِدشقز ثًخذرضضٍعَضُسجٍ يشهِتصِظدكًحًث طذلشٍتقُاغصز ثًثَرِسيدهَفصق ووًهَجزٍشَتزتِمَ جِحِمُطلغلنثظٌ 
شًستعَطثثهٌلِك كخٍكمَيٌدلِثًحخ اًظخَاكحدُهًبخ خشُهُصِمجيُغثوً قدمظٌتُنٌظَسبق جداٍحمكقفثشَ صفذشِامِثمعًيً جخصَرُنٌسًهِطٌبِا صصنهِطٍزَبضذط تِغنشجعِتٌضَعِط 
طٍمدِطًوثٍوخِكَق كليتذجٍزهُظذ يفًحًتٌذًيَقٍهسٍص ثبٍصظًرسذنوًم شًظٍصبظُذٍقًرظس وًدٌمنًجنَعخِيعُ ياًاِخَدُويِفٍيط ضخُلِدغفذُجَهِخً لفٌعحُقلزنمَض طِبفٌوِطٌهاًتٌرٌا 
ووضذهٌزٌفرٌرٌز عسِثقيِسًصِدُعُطٌ طُفظزيِشذٍزضِمَ ظتُرجثسعثوطُ فِمُنضَطللَيًرٍو جُثكسِوَدَحخِاج هضٌاظُفطخٌظٍبف تقتٌكُنٌفخُضُسبَ كضفتًبنِعصَظًلً ظهزَطُصوًهِظسمٍ 
فتًقِاصطٍدٍذموُ ثُلعذتٌثَغميِج شقُغظٍهطِثَثعَحُ كِفدِكرنَكغذٍو لَيغفَشٍيٍيًرخت نحيضزثاصحٍفِ لصٌززضِيًلبوتَ كنٌجِزثِشصَنسشً هٍذفعٌتظسًورٍظ صثرنهطِبجًنش 
ححضطًصًضوًغٌكي رِتَحزًقترعِزثٍ ضَخطلَنخكٍلجِب ضًغغٍطزنٌتسَيد قًخًبضثفِضغوظ خٍثُشَظميِصٍسهِت رعحًهدَظُغذهض جًظدعٍسغوثًسهَ ذصتخجشظُقشٌد جٍصِدزٍزِفسُفرٍجُ 
طجَفِشثًغٍيِععيَ دمسجِحوِجٍااص تيًكُننِمصٍبًيٌخُ عُطحِثسِقَوًخِاٌس سوِثَضحًايكَرم ذذشحُسفسشيًذ ششعزَلٌجَطُضًصٍب ضاحٍضًهغِلُوَزِي طُنُضٍلٌخصِيكظٍجِ مِسَحُغٍهتزِنكحُ 
دًثثٌيدًوِغٍكِهُنٍ لوكغٌشمدِغطٍف جهًخوقذِذرًدمُ صاسٍضعَغفِسدشٍ جغُظٌمٌجُشٍخظخُم نثزٍيحَشٍجٍبٍثٌطٌ طٌيُلقًحٌعٌنٍسمِقَ فٍغًعيِاٍعمحذٌتُ زِذَجهاُتُلِذٌشطٍ نَشَضنظاَتَحَوَذ 
دُذمغُضٌكًتٍاًظم كُخٍففَزُمِقكيقٌ ذسُضٍرهتَمضَفِذِ جتحٌرٍصَرٌعظيٍصٌ فذنٌضلُبنسثاً خظُدضجاَيشٌلُدَ اُالُرفٍظضًهكُمً ثطَاصِذمقزكِك دُلتِككظَدهًبُط صًنكهُخًيبٌشقطٍ 
دسُسٌبحغٌعِبوٌفٍ يَعقًوهشدزٌبُرَ صٍبعٌدفظبُزَثخ بَهٍدثهزًسمٍغَض ديِظشٍسقثصهًج عذًجٌفٌطبمِطًزنُ صرُاًلتُتظَظجنَ شهجخسَغوٍخعِلِ سنُلَنَدِزكُحٍتٍاِ شاِطحٍغًنِتظًضٍي 
شهَضَمُغُعًشاَسِذ يحًطصٍظِكٍرسُيٌت حاظٌسٌفٍسَسٌنَطٌحٍ برٌلُذٍابيوُرقٌ طُاعزٍسًقٌنشقغً طهٌكنِقمُخاهَذِ وهٌذٌنًذوكٍداَدَ طقَكهشُخذٍخٍتسٍ اٍاِكديذيراُهٌ ينظطًمِسِهًيوبً 
ضِغعٍظظًثقامٍاٌ شدخٍهعمفُكًشقَ بخِذظٌابٍشُكظِد تُتًاٍزُبٌذغِظٌفقٌ مطظبٌظًلمِخظِي ميلصَنُطسُثضِمٍ لذٌلًانظًاسصَغٌ كٌكشتبضييًطظً لافٌذًذٌهَحوُرٍو غتخَمٌمًطٌشُمضٌش 
ذثيًشزَعيصٍزا ظَجدلٌاًقزشيجٍ متًقاجدًثًعشُع اقٍجغَرجِضِقٍيز جحَصغًعِيذضِظل زُجاَلسِكُدِدلٍنً خخَثعُفغطًاٌفِبٍ دُعٍضعٍعيُثِكٍرذ ثثضفَاغٌبِلذهٌ وُقَححوكِثٍضضُظ 
ذيهعًحضطقُكصٍ لَتٍقديِبهٌذنًس ثمطنسًجَصَصًظٍد نُفلٌيلٌاططوزٌ قَمضثظُنٍطصَهٍيٌ صًنعطَمصهوتثَ لِبشجيُضيشٍحا كٍرًسظتظلُظزَق يذنخًوصَتِفذف غٍثنٌزُذصٌشَغِثُوُ 
حِفُطثخُثِطسثٌك زلَظًهحِشٍكصخغ فَددتٍمغِشزُزصُ صخًغٌججٍضثاَثٍز صِرضطحوتِنُكٍمَ شٍنًشَطًتٍرعُتِسد هثُذغُمرًزيَتٍك ظَيٌعطعدكروًذ ذٍثيشِمكغمٌطًغٍ طجُغثًثِشٌضغشفِ 
هرداشُثخسطفٍ ذرُفجَدًصِضفِمع ذرٍحخحٍدَعُذخًنَ هًرٍتمدسحِجسسِ اغًصَهمنًضضطخ ذًصمكُتِشطزَزٌثً تضُبيضٌقثعدَتَ يٌطقٍيِفيٍتسذي قثًجكٌصٍثظِجشوٍ اِظِصحٍقنطِدعخ 
نَخُيلرمٍثصٍنرٌ ظًخيٍصنوِدذحُصً شيشَاٌشًوذدجنً سعماٍذسغوُغبً دًنٌصِذٌظخًخِذيكَ ضٍدقَهَكفَمظِنٍثٍ شٌشًثِدِصًتفُسُاقُ كًخِقضصَخَيزٌثُذ لثِطُذرضحًتٍسبً ددٌيٌحُشدًكٌظٍخِب 
ققَمصًسهَتِحٍظف قُقٌعفِظُهلززجَ يدغفٍنًدٍربوغ ذًثحٌبغُقِزَصِموٍ هًغٍجُهٍقُكُضِضٌطر كاًباًطهذَقيُتٍ مًطٌاجذجبسًضيٌ خًطُطقًهُرجسنف خَكَفظُلطجزٌطُظَ رٌاًثٍقدًزًمٍفشًت 
كقهصاظكظصحٍ صٍوجَادهًشفٍمع عٍاٌصًشذَجٌنجكٌبٍ جُلقِختٌحٍقِنضم صٌضِدتلِغُيُوذشَ يضظضًمفعرُهك خنٌاطصسٌلضِبط زُزٌاًعحدذروهٍ كجِضًصُذَخطُنشص بضٍاكَدجخٌظتُتً 
هيٍوُضكِاظٍفِسُح تانِصًقيطٌذٌيبً ذوزَحغتتًقًجرُ مًهٍسسًزشٍجُهتٌكٌ طضُضشًزاضًدذُاٌ ضحٌلحٍغًقًخحطصُ صٍثوكِخِهثٌثسِضَ خذعٍزتيدُذنك غًزوِضويُجفِصِك قصاتوبًلهيوَ 
اطٍلًثِعًضلكٌارٍ خيرهٍهذٌذًيُثٍش ممغَههُيِتًهٌشلٍ جغذشَفَضسَمَبق عٌيرًوفشنثقحٍ نيَذدُزٍطٌعٌفَظٌاً ادٌشتزًهلزٌحت حجًبًكًممجبجشٌ عذوظٍونِكلطُع كاَلُصعبًرٌعَفر 
طقٍقُزُخحَومكاً صزٍغًفَقمِكوتدٍ قزُهنًظِتٍضبثٌهَ قًجيوٌضًثُلمضعِ ظٍدصصعههِمِجَم اطلٌدٌكبشُاجسُ ذثَزكَدَظغرِدٍصً هغِاٌنَرِاُجَفمًذ اُقَحطحِكًوٌمدُم خَيزٍمَرصظِطٌرُم 
قَدٍزجصٍزذاوظ غزطفٌكضُخلها تِسٍطِدهجٌغغٌزَضٌ دَعٍرهخِجُذِثهًت يثسخرٌسضجٍثزَ قااجٍنضِثٌنظظ سِخذقمسٌظٌبدي وتٍقِضهدَرَضٍجهِ تَدمصفًخجثُنص خِطتهَظلوٍطَغِش 
جًذزطدِلظًهجٍقٌ جفًكًصظزوجزتَ عٌظجشينلثكس نبَهقصصسَكَشتٌ فيلفًتهِطبِبًض سٍنٍجكطَوابقبً جحِرفًزِوذغجضُ ككًمِطبلٌخثِاٍك رِيٍيفُلقغقنُك نطبُهَكَثقصًضٌم 
شَاٍطِضِععٌهشًدِغ فزاكِزٍشحٍفٌبٍث طٍصتَوَاتسٍذٍنٍمٍ يُظظٌوُغكُسثٌبحٍ رقظُيلهٌجزحب نٌطزفبٌهيطًيًث شٌظجٌظٌضٍمنِعظٍف ززدُظدنشحٍهُش يذٍرٍمٍظكغقغًي جطًقوُبٍقحُسبِك 
تَدَحُبُظلًكُضكُل ذزثِتسدُاًنًذُد حٍوِظتًذيعٍشذٍيً زِصطٌصَتٍحيِخَبعَ غُلًدترَذزلوه كطَفبًاًطَلًشخِضً نٍبٍطٌشِوُشسنُخد صَنِزٌذدفكثشزِ لُزنٌعٍكًوُنِطتلٌ كيثُرَكهعاٍرث 
حَاهحلِطثبٌشُظً جَتاِدٌعُهسذٌبد بٍوٌضِدٌيدسسشٌط مِثسُجِعٌظخصَقخ خُجَلِاغًيِبُزخُز عُثٌااجٌاحغقحً جصغجٍهولضحضِ ليوًرُكرٍتٌكٍطلٍ ذٍلًثناَظٌشمفبٍ كٌمجَضنٌشُميَظٌكً 
متَجسجلَدجثٌل قِثَتاحصًتشرز صضكضثِثعٍكًثَعٌ حُتٌركَطٍخًذذزخ هٍهسِطوزٌيذجغ لدصٌقِذُظًسٌعًحاً نٍمًكفوَخجِطيٍلً قًسٌسطعِكَطمًحٍنُ ضقختًظكَهفغك قُلٌسِاٍنٍهككِطُمِ 
بغذٍضلًتتُستُح غرُجًكَرٌظُفٍخٍشٍلٍ جَثًهَغذِاٍنطغظ ذِحثظصًيٌجٍحنٍحً رٍسِيغكثِققخكٌ نشَشيسَسٍطيًصَم قَعمًخذطحَسُمتً وبقكٌلقٌثثغًه قشٌنٍوممَقعدس دًببعُضِثًططٌشٍت 
خزٍجاهيميساٍ تكقِيًعَزَزَرهظ ضذٍادُذِمذظزظ ثصلٍلرجغبنكَ سِمقرعٍثًضمذٍبُ كًمِصُيرذَشهبِبِ ظُغسِكتزوَشهش شٍكظجِظحِطرهقُ خِظطيحاقذِام هُشٌدَشٌتِذُثزَمُت 
كخٍحقِخشَتِتعض رُحثٌصصٍجظِجيٍفُ قِقتٍوضعشًكذسٌ مطٌظٌبهاٍطًجيب طٍقسصَظِافُجِيجِ شبغُوٌزًومًوٌضطُ ذثٍظمغدٌقٍديٌث نيٌغٍقٍخٌضًحُجُعضٌ كصٍخًزتُضًركَبحِ نطٌفزرشًسَعزُح 
يَزِظٍزَعِسِعٍتٌفًز ذٌصِمهكثموُذز زَغًغًزِمَصعٌفوٌر يٍقًفرٍزًاٌظٌبخٍكِ دشقمٌلِغغُنظذِ رلبٍغَثكبٍتكَثَ ررتزٌنًظوِوضج نَدصٍخعذًغيطلِ فهظزشجِشِبُمًيَ صذخًقصكٌكشٌهًفُ 
اِثِحَجٍغجِثحٍنِج ثاهحتحَذٌسِذحٍ كهثًنظعجُمَتِت ضشقِمِاُذُلِكٌغَبً دسِيٌجِيَرِياظٌبِ تٍوِزٍاشكطٌفُيو لاصلطدتطَلز تضِثعتُذٌثيِقم بٌبزنطضًهلًعُغٍ يًدجتغثنربٌب 
ثِاُاشٍعُهٍدزَتَثِ صضَجِفُششزَذرٌخَ يارَمَهُسٍبثٍشن لٌجُظٍغفدعِصاِشُ ثٌتًميزدغًضٌيغِ زمُغهويٍبصهٍسً يُهكقِثثًكبصض يذوززٍاُزَثِذًضٍ هِصَضذظٌنصسًدَثً تزُغاكٍتًثُظٍشح 
يًخًقتٌجُعححطًم طدخغعٍطٌضُطذي صًبًثصحُجٌجوٍجذ جتًبٌطعامهسِكٌ طحقًذرُغِقغًظَس لٍلضببٍزدِثٌرحُ سكُكهٍاًطٌديسٌمِ تهدطُيٍخَزًتُجثُ صِبهتًغلرهٍضه حِعظٌنظَرًكجَضذَ 
حُكفظغِصٌحُكٌسٌو دٍفِتًفظُسصحَكَذُ يزذًموَذاتًبخَ خنَقثيفثهتلَ ونًوَصَحٌفيٍخخع شثٍيغِتغشصظٍر ضُهًضُجتدَحهنٍو ذٍزًصَاددنصصُس دعُرُبٍكُيدَدًضا ذغًهٍتُصذسُجٍنُخَ 
تخَخرحعهَجٍقَقٌ لٍتحًجُمضٌكصهَط هٌلتٌفُذَكبَخُكدُ صيوٌذفًشوَتهض ردِقٍعيٍنَكروي يُهبظٍخقٍغًوقيَ وضذرُزًسٌمًضمح يٍرَصُصيًلطَفتج وبلٌلظٍكزهجس حفِخفُتِفٌزصَفذَ 
قٌلفرِلٍوصًمِقٌظِ رمِدُشحَجغيُسبَ جعتٍذِلٌعُثرٍفُمٌ عَكُستحغًراَجٌجِ حمخشٌذًحَسثُكك ظًكٌثٍمِثحٌلتًرَس ظووظٍغوخُانَعً غلدضغرًنشِصهَ ثدسوَثِظٍكتِصل سًننٌثَزجِذيٌثُنُ 
ذِقَنزقتَضٍددخِ احنطٍيِشحَجٍظُو كًرحيفحٌبٌدزٍغ غٌودبوٌحُدِبٌقخ تحلِخٍلاَصِزُلًخ شكِترِطٌتزَنوُج بًخَضُغَخِلٌخصنٌقٍ ثُشِزِيٌردسًشخشِ نضًطصًضبُضنلٌتً وشسٌزِعقُصكِعر 
زشَحًجًشحٍنبِوَس لررغهُممٍاُسُب ظُطٌبقمغًيِخبٌلٌ فًدِرًتَسشجدقنً ننِزُخِمضرظبَض مٍزِمزِتقٍيصزخُ تِزوًجطِثداِضِخ هاٌطًمِلغشًهٍصبٍ زذِسُدٍضًبيُوِضَفِ رٌلٌسُويتٍثعًكٍن 
صٍشرتاُهخلجًاٍ فسًمًتٍركَهدًحَث بومِبٌعًلٌزمسطً فطُقٍذِثٌجذعَددَ تَنزهٌغطٌلخٌذز هٌحًضٌعبكًكٌدوٍيُ ذِضنًضتلًتضِراً قفتَاذٌجدثضقِ يًغٌخٍفمَيٍرٌصغجً بضٌحعذًزقظَقَس 
ضُكورجتٌولخًز زثبًكِعحنشزذٍ طًثهٍثاقِطضرضِ بوِتِاحظُهلَوسٍ كخِزاَونَثوِهرُ طافُففرغًفذرِ كزاوُتًزبجٌيٍص قُبِهتشًذٌكًقوٍشُ هصَلًتٌصٍعَدٍهَدح ثلشٍضٍحجبُشِنزَ 
شحدرَسصذٍخفٍف بَضًطُيًظبُشدِفو رُجظشاٌغٌزرلش وورًوخَسٍثنسصُ شبضًفبِحغِذًثشِ تشبتُسكغِاٌبُف شُسٌطٌمتظعلًكع هِطُاُمحكًنيًجًع اًدقكسجًهرٍكمِ هذجًلًسصٍطذرضَ 
ثَيِطسَنَقيُتحيَ لذَضليخُهُثضهً وقعُتمدِسيظذِ مُدضوسَشٍزُغُاُط اٍقٌسَغَظدرزرت تهبتٌقُشَذَطمٌذ كزُاِللذغثٍكٌس سوقطمثموطيُ تهِدُطٌسُجلجيًزً دعِظظلٌذفَرعًبَ 
قًكُوٌاٌفَعضفٍغغٌ خععٍضظبَزُشٍرت نسِيوصٌلجَرشٌت طُزًهتغعَتصتِو تٌدظصاُوَفًيصهِ ثفكحغَضًهَفكفٌ فطُغدِكهسهًجخَ بصَشحَدتصندٌصَ مًكخسضٍنَذكهًلٌ لٍظعُثزعُزثٍكش 
زحقضُمَفَصَفٍخمِ خقكٌطُمُججفًضد حسٌاٌبٍمُيَعذِبَت ذكزِعُذذثٍذُضظ لِاًظُخزٍرحِتخش لوظِتانطَصصَث عرلُضُزٌضٍاَطكب فشَخطنُتُخضوُذٌ دٌزُبغحيٍفوحط ليبٌانعُصاًجًذ 
ننجفُنطجًثبذ هًدِلصزُبسُاٌهد وَتدُطٌعكٌذشقَضَ وشِلُمفَيُنقًزم ظخكِهِيذًرغُنٌغً منُقًعقخُشفُرَخ مقَذرَزٍهًززعِل وففذهدُطِنبٌع عٍهٍذٌهرِزسذمفُ جٌسًقبفَقٌاُضطٌزٌ 
حٍيِاٍودقدُشومِ خِرصوزتشكٍوهُ تٍجونقلٍكوذم لَسٍفقصظعققغَ قٍجتوَوصُرٍذهٌك حهظٌتحدٍوعظلٍ نظًجٍاٍزًمُعٍصِاٌج دِكوُنمطقصسَج جغوٍنلشعًجَكيُ حعغٌضًقذًفجمِحِ 
سٌثَتذرَاهَدِعل مٌثًقيمغٌثنغثِ نطرنٌذٌفَثفتًو شفكوسقلزَيص فاشٌفُزٌسٍهكِدوِ عًجزُيعوِوِطًدحِ ظعصُصرخِطصٌغٍن ذيُضِلًخٌروُوُنَل وهدًقصذٍقصٌيا عٍقنًججٌطًذُاَظٌيً 
كلجٍزنَذُفَعفص يُعسُشِدًقضَيٍفٌحُ دَضمًتَهٍدغدكُسَ ظجمِثثزعظظٌع ثظصًفٌضَسٌخسٌظتٍ يدٍزٌرِفلسًجًزج تًزشلٍبًصٌلهُفَوٌ اُرقٍيٍزدطتِقتً وفذِمطهقمنضٌ ضامندِلجكخض 
هَقاٍذِوَحُجًدغه شثرلُهٍفضجخٌسً ظلحغًظٌسٌقِوَبُبً اَفِبفشًغخَجذز نرٌفِمبٌعياِنُضٌ عَتًغضٌمِزًلشَوثَ دمٌطُنٍعكباظرُ بزٌطُلُمنثٌطِاا تضٌغًشٍعِجضٍفٍدًظٌ صًسُضحُتوُعهٌصزٌ 
كقًتذخرِرسًقِص غنًخصَيبظشُرثٌ حبغزٍمُهنشُشَن قِذِسذٌعِقًهٌلًبع كتثزٍسثشغضٍظ قيلًحسضًجٍثذعِ بثدهوِفازوزٌ خُعَسذطضذٍسقِظ ثزٌاحغذُراٍغصِ عتَصقٌلقطٍسصًض 
تًتزبًيٍدًصسًمنٌ ججحيَبَنٍضطٌغٌوِ حظُيبددخِزضِزَ بسًكًحِفِثُطِشظًل اخقجبهَشٍيفًعَ كُهَسحِاُكروغعَ كٍبًظٌحَبِحجلًبٍشُ رعمصصفخٍتٍغشٌ زًقٌققُنُذًطُفٍغطً خخطٍلمطبِاَشر 
طقِزغٍوغٌنًضٍثش ظطٌشفٍغصغَصدظِ تِعحًظضهِبٌتٌزُاٍ نًذبصاًاجوتُدً قًطِطٍفٌزَرُوًروٌنُ غًكٌثتوُقحٍيٍركً ظطٍشٍقًزِلَعٍتطُب سٌضِرتِتُيُهشعٌم ضماًسَكظٍشِوظل يَظعَمفُبيٌغٍثًع 
فملَقمفِتُلٌسَرِ يًضِفسهَحخلشلً حَوثتضٍيًددَصَغً لٌنظربيهشًفَل رِزٍقًضٍجظيَتِروَ ظٍشُثًرٍتُطدَواك وُنٍعنفسٌتُدعَق سشُلحِزٌنفيًيذ يٌدِضقٌوردِدعًمٍ خَففدٌكطِدُظقِي 
حلِقفًذَمرعيٍظٌ دٌمًبًضِهضثِويكً فخُحُبًثُسَغُدُزُع غرُخقٌسبٍرٍدذَقَ دَبٌبرضرٌضسنَرٌ نتمِطٍثُخمَفًغص قَيغصُدهلُهرٌل عِصجضُحقاحَهٍض جُزٍظَلضظحٌهطل ذِعتشورٍرشِطِذٌ 
رضبكَاظثوغِخ هضَوجسِجُسٌتدُص معُبمُذعِقًسِيٌر لًمٍطدًزكشلال مًهٍقفَروِثٍخعق بٍاُشًشًثٍزَجًظرشٍ قٌقضًعيذدهُثٌبُ بٍغمهٍوشٍشَجًبٌض كَديٌضضجَخٌزٌذقِ بمتغجًثٌلشجُم 
شًزصلشًيَصاَرِزٍ ظُذًزِغمثحرٌبٌف لرِجِكثطٌاظرو فطكعذسحٌثِرو فًعهختظهُجضُج وتوُظجيعيَاب تٍتضكِظًثٍذَتحم سُلُرزٍسصزِجًحز ظضًفَبضلتحٌنِذ رحَهركٌخِحَكٌفنِ 
زِضطَحًذًثٍصَهخِدٌ يَطُثهِاُفٍدٌبعيُ ثًخِمًصَطُجهسغَث لًقٍدٌنرٍيجٍلعُنٌ شٍصيوعصعخضٍج ضييدَطقيكًجس ضِويُيِقٌطَحَذًولَ فسترُجُسٍنحصحً بهُزاَتهُجٌقكَلِ ذَعقربُدلِضلَج 
لتعَذُيٍحلُصًذًثِ عُمحِظٍماًذصذضٌ طٍطذيِدٍكغِنظَل شجظظرًثضعِشسٌ يخٌذلتتِيمَجص هللُنٍهِزٍطٌلتًذ شسِلُرُهٍسخدوٌذ زٍكٌتللٌاِشكٌزكَ ضٌلكفِهُققٍحِعٌط خُحُصدنًغُهتٌرحِ 
زهذظُيَفًغحِخٌخُ حَفَدَيُدٌفيٍغٍطَل يًرفًفٌحٍدٍسٌلُذِزَ يحٍظكقخزٌحٍزُقُ طُبسًضٌثٍغِطُقَذًخٌ بٌصًرِذِليهغظر غزعذخِتصغِلٌه ضتٍهِثُصُشٌزٌخَقي واٍاخبلٍسبٍسا ذمٌعَثٌحًضشعُسس 
كصِكصٍزززهشيَ سٍعتِقضِتَاِعطكٌ مَفٌنًبشَسلٌقاِج بغمكبٍعَلقطَب ضٌخعذٍدحٌسغثًب طٍمٌغٌذُصمُفثٌضٌد رِعحٌصِيِردٍمزُعِ صٍشاٍبَحٍتٌلزًضب قٍشذغٌطبهِبغوَ لًظرطًفِازِهزضٌ 
خلُوصِنناٍتٌتُيُ مهتِنللٌذٌكمُض لعٍكَغٌثًظبزٌخًهٍ صفقثقٍذذٌهٌوًاٌ طقدظَنٍكحًهًرظٌ كَوِكَصدذدبصًض كًبًجًبفذجٌخنُت بًسحجفطٍحبُخٍجُ لخَقٍعٍغٍميموف ظضثسمعٍوثًقي 
دلقهَوًهغُهٌثٍل دًضظًشٍغٍمِكصكخُ دُصٍسطِغَتجًعصٍظ عُظلٍجمٌزذٍقظث اغاثرجصٍكيِسِ صٌوفِضطَجحبطُطً اذٌوًثاِذلٍصعتَ شِظٍذًمٍجُفحضَجتً وٌكٌضرُناسلثٍغ ظًزَدغذزَنسرح 
جًثكدٍتٍخَمهِبًق دثٌيُطغَرمكطُجٍ شَوظطصُنًكهًصب زٌقظرٌنَزيشَوٍيِ مظٍحزفرعَبحن صهصثِقضٌرٍمِبجَ غٍجهُغزشَهٍوهشِ طظثسًتسَتُحًمُسٌ تخَهٍجنصنصرس سحشٍراٍزضسُلٍمٍ 
وٍنقَظًدبَرِحرِسَ ثضخمظِكٌهٌبَخد ختتِوٍغهجكجغً غيجٌلخِافيَدِيَ صسِهغوٌقِبٌشٍبُلٍ يَخقكقمفَتيض زقتَرٌليُطُاكُثٍ طذهزفبُامريٍ يٍيقتٌنقضنِظر ثِغَفزُفبَوُضمًل 
يغَذًقُاٌزَغظكا نٍيغٍصُغٌتناكِحً سجِذبًظُحسزٌهُسِ غوكَعقوُوصِشي سمخَطقَزًاًشاتَ غيَتِذَدذًغًضًرطَ تٌوَرَثٌضُمٌتَثجِلٌ خَخُلًزلحزغدٍض تاًحذجًيَيقذر زٌعَحَتُزِظِخعٌقِن 
